1692324098_394615701912428544 x	@MVFive mike vick not worth A PENNY
1692324098_372869536657440768 x	@PhillyPressSec nutter should change that to drop the ball, that is what you both did. Take your head out of nutters ass, then u will see
1692324098_372869283959033856 x	@PhillyPressSec what has dj mikey mike @MayorNutter done to help philly finances? Increased his administrations payroll? Drop the mic
1692324098_372718949299154944 x	@WarrenSapp if you were married into that crazy family you would find a crack house too. LOL!!
1692324098_372536501693071360 x	@Michael_Nutter  what would the SRC do if catholic schools would close? How would you handle 75k increase in public school enrollment?
1692324098_372531658915737600 x	@Michael_Nutter I'm sure i will get no response from you, because i am correct.
1692324098_372531507723657216 x	@Michael_Nutter public schools. What i do care about is paying more taxes (my hard earned $$) for a shitty, mismanaged school board.
1692324098_372531074074550273 x	@Michael_Nutter i pay for my child to go to catholic school, because the public schools in the city are a zoo. I don't give a fuck about the
1692324098_372508825258958849 x	@MattRiversCBS3 a concert should generate money, not cost money.
1692324098_372452039470878720 x	@SDPHite also what would you do if catholic schools were to close their doors? How would the school board handle 75k more students?
1692324098_372451664743383041 x	@SDPHite will be decreased by millions.
1692324098_372451382693220352 x	@SDPHite why can't more philly schools combine, cutting back on overhead? Staff probably will stay right about the same, but utilities
1692324098_371998241342357504 x	@philly311 what department would be responsible for removing shopping carts that some nice citizens leave on the corner of my street?
1692324098_372049984289787904 x	@philly311 any info on this.
1692324098_372004421720616962 x	@OCFRealty was this an inside? Looks like good timing to put the heat on the pointbreeze residents. The perp is not a ptbreezer.
1692324098_372002979471458304 x	@phillydotcom oh well, you can't afford the new construction in the area, i guess you can be counted out as potential buyers then. #ocf
1692324098_372002355367387136 x	@phillydotcom also thinking about the timing of this, did ori have his own windows broken to make the protesters look like the bad people.
1692324098_372002040538755072 x	@phillydotcom looking at the video, it is a white male, 20-30, hipster (look at the satchel). Can't knock ori feibush for trying to make $$
1692324098_371760414709006336 x	@MattRiversCBS3 how much is this years made in america gonna cost the "broke" city of philadelphia
1692324098_371689611598123008 x	@FOX29philly 3rd alarm being struck now.
1692324098_371686142795448320 x	@FOX29philly 2nd alarm
1692324098_371686083060183042 x	@FOX29philly 2nd just struck
1692324098_371671571129450496 x	@JimFKenney because he is 150 lbs. He can lay where ever he wants. Just joking. Lack of consideration for others.
1692324098_370745077532217344 x	What would the city and the src do if city residents (taxpayers) decided to pull there kids from catholic schools and send them to public
