49102329_420029950721548288 x	RT @ChiIdhoodRuiner: http://t.co/QlmbOWNMPL
49102329_418194354856271872 x	Benny's down with the Birds! #eaglestalk http://t.co/8dpyGzEkNn
49102329_418168924060913666 x	@loctastic @SpikeEskin 223 Your Mom Boulevard, Your Dad, PA 69666
49102329_418168699242037249 x	Don't drink and drive tonight! I'm sober this year, so if you need a ride, just contact me.
49102329_418156018799898624 x	NYE is a strange night-people cling to traditions as a way to embrace change. http://t.co/oJh5ykP727
49102329_418094285532454912 x	@cherrycrusade being there in person when my sister's old coworker from Chilis in college got his first win as the head coach at homecoming.
49102329_417862451896786944 x	Studio Night http://t.co/DVt93PfRrL
49102329_417859680434528257 x	@amiehartnett but seriously, hope you "Pheel" better soon.
49102329_417859310354698240 x	Image #3 of studio time fun. Inspired by a trip to The Barnes Foundation earlier today. http://t.co/OUS9wvwWsp
49102329_417859223884926976 x	Image #2 of studio time fun. Inspired by a trip to The Barnes Foundation earlier today. http://t.co/d2cS9ixqFh
49102329_417859108650635264 x	Image #1 of studio time fun. Inspired by a trip to The Barnes Foundation earlier today. http://t.co/tKAspNBYiB
49102329_417857874195251200 x	It's not the Philly flu unless it's called "The Phlu" ?@amiehartnett: I went to Philly for Xmas and all I got was The Flu :(?
49102329_417847513748889600 x	Late night drawing session: struggling w light on my paper. Until I realized I have 3 OTHER LIGHTS IN THIS ROOM. #Doh
49102329_417832867751034881 x	#EaglesTalk #Pfffftt from @zoowithroy http://t.co/zLjO7hQzQT
49102329_417829458541031424 x	RT @zoowithroy: BREAKING: PENN STATE TO SCULPT BILL O'BRIEN STATUE FOR SOLE PURPOSE OF MEDIA AND LUNATIC FAN DEMOLITION
49102329_417689847734996992 x	RT @ImToBlame: Cowboys gonna keep going 8-8 to forever honor Michael Irvin. How tragic.
49102329_417687806467903488 x	@mleif @jmo50Moyer @kmo50Moyer @Cubs So good. So, so, so good.
49102329_417687345627160576 x	RT @TheOnion: Dying Kid In Houston Holding On Until Astros Develop Player Worth Meeting http://t.co/LM0k5Fp3x2 #OurAnnualYear
49102329_417687181080408064 x	Fixed: Thata Boy-kin.  ?@GalloSays: Thata boy RT @dom9brown: Congrats to the eagles .?
49102329_417673083986907136 x	In all seriousness-looking at the mess in DC, if Spurrier got a chance w a real team, could he succeed in the NFL?
49102329_417672233067102208 x	@loctastic @Estebomb the job interview-"You're whole team, they're great. Mark my words-Pro Bowl."
49102329_417671137993428992 x	RT @celebrityhottub: Dan Snyder is pro football's Henry VIII.
49102329_417670763811209216 x	RT @SUDAorg: Upper Darby SD wins case against charter with many curricular inconsistencies and questionable community support http://t.co/9?
49102329_417669722222911488 x	@Estebomb @WIPMorningShow Can we please trade Angelo? Him=reason the stereotype of Philly fans is perpetuated-& he's not even from here!
49102329_417668509632847872 x	?@SammyChons: When do we start giving howie roseman some credit?? He's definitely a better GM than Jerry Jones.
49102329_417662626450382848 x	@tonyisdynamic http://t.co/zrICQMXnYz
49102329_417658522911145985 x	Yeah Boykin! http://t.co/MoLKeffpYI
49102329_417649212118302720 x	Tears of a clown. http://t.co/SSH8AcWJJ4
49102329_417514616566980608 x	RT @wheresweems: Lol @dom9brown
49102329_417497199891972096 x	Even kids from Thailand root for the #Eagles http://t.co/497BmoogzF
49102329_417495312887201792 x	Stolen from badandres. Too good. #EaglesTalk http://t.co/LGmWG7yk0r
49102329_417392598916296704 x	"Thanks for the present, it tastes great!" http://t.co/BImYqkGinW
49102329_417295661504425984 x	I wish I had a tree decorated in all Eagles stuff, with football presents wrapped underneath it to wake up to. And cleats hung by the fire.
49102329_417295424098406400 x	IT'S EAGLES DALLAS DAY! FINALLY, IT'S HERE!
49102329_416974389000011776 x	Been waiting all year for this game. http://t.co/5keQ85YHUI
49102329_416959502131662848 x	@BrianPHickey wow, Anchorman 2 wasn't great by any means, but it was almost exactly what you expect from a comedy sequel.
49102329_416966463883182080 x	@BrianPHickey I've seen much worse sequels. It has a dry mockery level to it that I appreciated regarding 24 hour news.
49102329_416782554789085185 x	RT @jay_bentley: i wonder what people here are going to do if jesus comes back down and lands in canada
49102329_416666702651588608 x	#Birding #Birders #MtComcastProject http://t.co/CnrWXHYy0r
49102329_416661052450148352 x	Taken through a viewfinder, using my iPhone. #HeinzWildlifeRefuge http://t.co/ZpE9RBop2u
49102329_416621480416256000 x	@teacherinphilly Only $100? must have been because the kids are off for a week.
49102329_416582881155493888 x	RT @jmverlin: My former art teacher lost his life last night at the young age of 39. Here's a great "TED" talk he gave last year: http://t.?
49102329_416419031629848576 x	@Coffeybean4  more if you count the SBDs...
49102329_416419813678796800 x	@Coffeybean4 Silent But Deadly.  Sneak attacks!
49102329_416416482071805952 x	@jmverlin Hey, @toddmarrone was a customer of mine at Merion Art when I worked there-he was always really cool. What happened?
49102329_416356323987451904 x	@Eaglescraaaazy @JFBB Hot Tub Time Machine?
49102329_416356060174098432 x	@mrsloctastic but where's he donating it to? I hope it's "Kill the Puppies" or something like that.
49102329_416292212641505280 x	I was just sitting here thinking about next year, with Jackson, Cooper, and Maclin lining up as WRs.
49102329_416336454407553024 x	@ECoffy Darn. Didn't realize that. Hopefully they're not stingy with him and claim that Cooper is all pro now.
49102329_416285577516814336 x	I really like @KenBurns' BASEBALL, but showing Smoltz strike out a Phillies pitcher wasn't a good choice in the 10th Inning.
49102329_416249523212546049 x	I'll be honest, I don't remember the last time I was this excited for an Eagles game. Not even the first game of the season. I want it now.
49102329_415929376124186624 x	Santa should get paid overtime for filling all these stockings! http://t.co/VRmwgFzpTd
49102329_415894230721368064 x	#UncleNephewTentPresentSelfie http://t.co/3zELf3T4ny
49102329_415887186475896832 x	Where's Danny? http://t.co/pxqWV7nrVu
49102329_415887001540653056 x	Discarded tent in the background. http://t.co/Y4GZ3B8UuL
49102329_415848750993915904 x	How many videos of kids having fun will be ruined by adults yelling-"Look over here! Look over here! Hey! Look over here!"?
49102329_415831945692856320 x	I have the same kitchen table as the one in Christmas Story! #ChristmasMiracle
49102329_415827925964189697 x	@sonofadeitch ha! That's great.
49102329_415826343591677952 x	@HeckPhilly yeah-I had that happen to me recently. I felt stalked.
49102329_415827233853669377 x	@HeckPhilly the weirdest is when there's no hashtag involved. If there was, I'd understand a little more.
49102329_415826514840936448 x	Soda Stream for Christmas. First batch-clementine soda. Already love it. Thanks @lizhoffmann1!
49102329_415825539610705920 x	@Sean_terrell I don't have kids, but I was up before 6 with excitement. Your cousin is doing it wrong.
