578425618_391645174004068352 x	#itbegins #goowls http://t.co/zuzjgYybek
578425618_222128341434634244 x	RT @Sensfan29: @RealRocket22 This girl @Skate4Life2012 is rollerblading xCanada to raise awareness for youth mental health . Please retw ...
578425618_222114450910621696 x	@veteransunited I think this is more than a bit of a stretch.
578425618_222124103669268481 x	@i1ahunt @veteransunited Actually, I think the weak economy is influencing people who dont have any reason other money to join.
578425618_222100859021033472 x	RT @GarySinise: God bless Ernest Borgnine. An amazingly strong spirit. R.I.P. Ernie
578425618_221983256915095552 x	RT @dcsportsbog: Nats fan on Facebook: "Some days I'm not sure if I'm getting more enjoyment out of the Nats winning or the debacle up i ...
578425618_221714345229422592 x	@HappiestGrandma. I thought you daid scrap booking was your fav?
578425618_221678538535878658 x	In Gene Sequencing Treatment for Leukemia, Glimpses of the Future http://t.co/O2ocFdtP
578425618_221674740018978817 x	@RealRocket22 @ctherien6 ....R u sure it wasnt Crosby?
578425618_221663410876723202 x	@julie081070 .......unfortunately it appears that way at times
578425618_221659954501783553 x	@julie081070 not yet
578425618_215075160447922178 x	Dear Flyers,  You need a new in arena host.
578425618_221625446255697920 x	@edwardhospodar is this the boxcar?  Its been along time!
578425618_221619851486171137 x	@TraceAdkins Great ballpark...Sat on the green monster for the winter classic
578425618_221619108297449475 x	@ctherien6 @AndrewPavucek. As big as you are, cant imagine anyone NOT being nice to you.....LOL
578425618_221611205989634048 x	RT @HappiestGrandma: Hello world!!! :)
578425618_221607272562954240 x	RT @Stompin_ste: @GarySinise the UK pray for those affected by 9/11, today we remember those who lost their lives in the London undergro ...
578425618_221603927437754368 x	@ManayunkMike any update?
578425618_221603164141522944 x	@PauleyP. this is my parents tescue dog Ellie http://t.co/T75YGaGO
578425618_221334135535439873 x	@StolieTheGoalie. If you play well and work hard they will follow you.....if you dont youll get crucified on WIP....
578425618_221333746245308416 x	@PhillyDailyNews @DNFlyers ......throwing the term scoop around a little loosely arent u?
578425618_221333310499078144 x	@PhillyDailyNews @LesBowen ...I dont have a degree in sportd journalism and I could have told you that......sheeeeesh riveting reports!
578425618_220672188754296833 x	@PhillyDailyNews @LesBowen. Sure it wont
578425618_220659980104253443 x	RT @veteransunited: "Patriotism is not short, frenzied outbursts of emotion, but the tranquil and steady dedication of a lifetime" -Adla ...
578425618_220656251506393088 x	RT @DownGoesBrown: Wonder if Eric Lindros called Jagr to welcome him to the "Nobody will remember you played for the Stars" club.
578425618_220652155558830080 x	RT @ctherien6: Whatever. Who spread that rumor? Lemme guess! RT @datch21: @ctherien6 Source: "Crosby is (cont) http://t.co/iADywfj6
578425618_220628456289996800 x	@ctherien6 @RealRocket22 BR reporting Flyers to sign Bruno Gervais from TB
578425618_220624102644400128 x	@RealRocket22 @ctherien6  Send #cornboy to talk to him
578425618_220606785298509824 x	@BradPaisley. NICE! HAPPY FREEDOM!!!
578425618_220578800302428160 x	@RandyJMiller Aren't you supposed to tell us whats next?
578425618_220573574195449856 x	RT @TEAMUNSUNGHERO: *WIN* A Unsung GYM TOWEL + TEE!! 'SHARE' this post to qualify and Comment below and tell us what songs you'd love... ...
578425618_220568128223059969 x	Could you pass the US citizenship test& http://t.co/zw4qtfTc via @msnbc_us
578425618_220559432193540097 x	@nufced So with Parise ans Suter off the table, whats next for the Flyers?
578425618_220557152429948929 x	@ctherien6 suter, parise signed with wild...whats next for Flyers?
578425618_220556923987173376 x	@NHLFlyers Suter, Parise signed with wild....whats the next step for Flyers?
578425618_220556237253779456 x	Suter,Parise signed with wild
578425618_220555521365782529 x	RT @Philly_Places: RT @MarkChillis TRX group training beginning at Fairmount Athletic Club in King of Prussia, PA! http://t.co/wPjEOZ5T
578425618_220551537406128128 x	@TraceAdkins Sir, thanks for the songs about me and for supporting Americas Troops. Have a safe and happy 4th of July!
578425618_220545473352712192 x	RT @NHLFlyers: Flyers fans, we would like to wish you a happy and safe 4th of July! #godblessamerica http://t.co/qPxjFgdy
578425618_220537414807064578 x	"@Beauty_Tips_Man: #71 If you hate Pierre McGuire, you're a beauty. #BeautyTips"
578425618_220536191542501376 x	@punoman what up bro? HAPPY 4TH OF JULY!
578425618_220535498106613761 x	RT @wwpinc: Happy 4th of July! Thanks to all who keep our nation free! http://t.co/yW5c6yog
578425618_220534160228483074 x	RT @GiveAnHour: Bands of Brothers Casting Call - Philadelphia area veterans needed to form three bands! http://t.co/Yr4UvfuD
578425618_220532539947876353 x	@GarySinise.      Thanks to you and your band for all that you do for the troops! Have a safe and happy 4th of July!
578425618_220530547015942144 x	RT @BrawnyTowels: Share this video to say thank you to those who protect our freedom every day: http://t.co/toK5ClC5.
578425618_220530054705332224 x	Too my brothers and sisters overseas...Happy 4th of July....thank you for your work!
578425618_220529243942162434 x	http://t.co/jq81XaW6
578425618_220525494993563650 x	Happy Birthday America!
578425618_220523152176984065 x	@ctherien6 Congrats!
578425618_220315073829285888 x	RT @TEAMUNSUNGHERO: *WIN* A Unsung GYM TOWEL + TEE!! 'SHARE' this post to qualify and Comment below and tell us what songs you'd love... ...
578425618_220282081119449088 x	@68Jagr Wish you were staying in Philly....would have liked to see you with another ring...bestvwishes in Dallas
578425618_220264835001237505 x	http://t.co/KN6dEvqM
578425618_220220893337624577 x	@BradPaisley That's my favorite video from you. Looking forward to Hershey .. you could do the Andy Griffith theme on tour in his honor.
578425618_220183183877083138 x	@MikeJerrick @Goalieman_PHL @JennFredFOX29 ......I heard Mike Jerrick is so old his blood type is dust
578425618_220173179900006401 x	Andy Griffith dies at age 86 http://t.co/DUpPvgyC via @USATODAY
578425618_220169890403844102 x	@BradPaisley.....Andy Griffith sings TV Show Theme Song. http://t.co/w2KFTKWk via @youtube -- Cass (@i1ahunt)
578425618_220169218505703425 x	Andy Griffith sings TV Show Theme Song. http://t.co/w2KFTKWk via @youtube
578425618_220164484218617856 x	TEAM UNSUNG HERO - GAME CHANGER MIX VOL 3 ft. DEATH5tar by TEAM UNSUNG HERO APPAREL via #soundcloud http://t.co/MwUWxDBM
578425618_220144089046327297 x	@rheahughes shrek
578425618_219893904076578816 x	@RealRocket22 Awesome dad!
578425618_219893743766077440 x	RT @RealRocket22: Gretzky and Lemieux coming out of retirement ...being offered 290 million for 5 years ..list down to 3 teams .
578425618_219852743270084608 x	@RandyJMiller.......If I am GM Paul Holmgrem....Read is not on the table
578425618_219831002233712640 x	Kiss My A$$ with Denis Leary http://t.co/gxMzwfFi
578425618_218517319448670208 x	Crosby not worth it after concussions
578425618_218374266461241344 x	@CoachsCornerCBC. Do you think Crosby is worth 100 Mill 13 years?
578425618_218371580361838592 x	@CoachsCornerCBC let him go to the khl
578425618_218013286665428992 x	@CoachsCornerCBC ..I agree.....but I am wondering how you feel about Fred Shero being snubbed all of these years
578425618_217742673157693440 x	@CoachsCornerCBC ....agree...think lavs and litle brother will help
578425618_217384150141906945 x	RT @28CGiroux: The new @TEAMUNSUNGHERO tees are looking great boys! #traininsane http://t.co/UYsKlOSd
578425618_217027924912652288 x	http://t.co/64VRNfFk
578425618_216923728674684928 x	@nufced whats your spin on the new aquisitions?
578425618_216897507333124096 x	Intetested in your take on Flyers moves so far.....I believe Homer still has moves he wants to make
578425618_216884357057609728 x	RT @RandyJMiller: I spoke to #Ducks Bobby Ryan today and he wants to be traded, preferably to #Flyers. Here's my story: http://t.co/u42Ykhk5
578425618_216883631145226240 x	RT @DownGoesBrown: Scott Laughton becomes the first player in months to wear a Flyer jersey in Pittsburgh without scoring on Marc-Andre  ...
578425618_216882427803598849 x	RT @RealRocket22: Leafs and Flyers trade good for both ...still think L .Schenn has to be developed better ...has another level ...Flyer ...
578425618_216677302115893248 x	@StolieTheGoalie ....Welcome to Philly...time to unlike the NJ Devils on facebook.....
578425618_216674350034714624 x	RT @dooda1414: good luck to @JVReemer21 , great player , great kid
578425618_216654440785121281 x	RT @Bschenn_10: Gunna miss playing with @JVReemer21 great guy. Now get a chance to play with the bro! Happy day in the Schenn household!
578425618_216644148718075904 x	RT @NHLFlyers: Breaking news: Flyers have acquired (D) Luke Schenn from the Toronto Maple Leafs in exchange for James van Riemsdyk
578425618_216633057074094080 x	IF you refuse to be a leader then get the fuck out of the way and let someone else take over!
578425618_216231809434927104 x	RT @NHLFlyers: OFFICIAL: #Flyers acquire 45th & 117th picks in 2012 Draft & 4th rd pick (from PHX) in 2013 Draft from Columbus f ...
578425618_216180156006543361 x	@bryzgoalie30. Happy birthday Bryz!
578425618_215959255310802944 x	Flyers release 2012-13 regular season schedule http://t.co/7A7Tog3u -- Philadelphia Flyers (@NHLFlyers)
578425618_215759718218608640 x	RT @arhoads80: @rheahughes sis is shaving head honor of her son who lost his battle please rt http://t.co/Wt0TmMzd
578425618_215611685409533953 x	@28CGiroux. Congrats on the cover NHL 13!
578425618_215473459067760640 x	RT @GarySinise: Folks in Pennsylvania! Come to the concert August 17 in Easton and support the effort. Hope to see you there. Go to: htt ...
578425618_215422091300847616 x	@rheahughes @SportsRadioWIP   If he can Hop he can sit on his duff and talk:)
578425618_215262257637101570 x	RT @DrinkPhilly: Retweet to win 2 tix to #BBQAtTheBallpark 7/7: Phils vs Braves, craft beer, tailgate, & game tix! http://t.co/0TTB8 ...
578425618_215116630664036352 x	@i1ahunt I recommend Joe Conkllin, it would be like having a different person every game
578425618_215063802541121536 x	PROTECTED
578425618_215071772851175426 x	@i1ahunt @rheahughes FIre the interns that was a horrible list
578425618_215080115615436801 x	@rheahughes. Haha yeah I guess so
578425618_215075444825923585 x	Dear Shawn Hill,   Your 15 minutes of fame is over, your act is tired, sit down and enjoy the game.
578425618_214896939689451520 x	Stompin' Tom Connors - Hockey Mom Tribute (Live 2005): http://t.co/7mNLjEWV via @youtube
578425618_214836232302235648 x	@denisleary I'm not gonna renew my license....Im just gonna be an undocumented driver
578425618_214702217641476096 x	Good morning Monday..I am ready to be shat upon.........
578425618_214508106170904576 x	Happy fathers day to me! http://t.co/nNKgrv59
578425618_214412999283326976 x	Not gonna renew my license...Im just gonna become an undocumented driver
578425618_214356431837732864 x	http://t.co/YMkak6RA
578425618_214356177235091456 x	http://t.co/RJzfsRJJ
578425618_214334175367532545 x	@bryzgoalie30. HAPPY FATHERS DAY BRYZ!
578425618_214144148926767104 x	"Its not THE way...its A way!" http://t.co/ZcJvC7aR
578425618_213610465291546624 x	"@denisleary: Wouldn't it be great if the US Doping Agency was in charge of picking up actual morons?"
578425618_212917071909101569 x	@dooda1414 ..Thank you for your hard work and devotion. You r the gutsiest classiest athlete to play here and we appreciate it! THANK YOU.
578425618_212612141289705473 x	http://t.co/ToVodeos  Ummmm no it is not .
578425618_212598038940745728 x	@dooda1414  Unfortunately its becoming more prevalant in ice hockey too
578425618_211479270084722688 x	RT @pepsi: Goal this summer: find a drive-in theater! Thanks to today's Google Doodle for this awesome idea! http://t.co/wv2v76y6 #LiveF ...
578425618_211206748940406785 x	@viggle
578425618_210760782319857666 x	My wife is the best! She just sent me flowers at work! http://t.co/w9bBBGJF
578425618_210760040242614274 x	Dear  Dan Snyder,  The Eagles have let Joe Banner go. Please offer him big bucks so he can come and fix our team.
578425618_210486210248978433 x	If u whine like a bitch...dont be shocked when you get treated like a bitch.....just sayin
578425618_210485445426020352 x	See you let Uma Thurmans sister follow you
578425618_210484838296322048 x	@JQuirple.  BAZINGA INDEED!!!!!
578425618_209630177100169216 x	WTF People!!!! Florida cemetery buries veteran in a cardboard box http://t.co/b9n8QkE via @msnNOW -- Cass (@i1ahunt)
578425618_209108432190586882 x	WTF People!!!!  Florida cemetery buries veteran in a cardboard box  http://t.co/b9n8QkE via @msnNOW
578425618_208677135160844288 x	RT @PenFedFound: June is #PTSD Awareness Month. @DeptVetAffairs has a list of 12 ways you can help on its website, but you can start by  ...
578425618_202823076189188096 x	Regardless of who wins the cup..Carter and Richards had to go...I love the work ethic of our new team...just need a few tweeks
578425618_202808325954486272 x	RT @GotYourSix: They've got ours... it's time we got theirs. #GotYour6 http://t.co/paxwN5Qb
578425618_201658820798328832 x	Helping the girl make pancakes from scratch for her Linda....happy mothersday
578425618_201436387889778688 x	I just tweeted!
