72202399_382183950019739649 x	@TheCusk29 @johncarey77 same..
72202399_331842433925136384 x	@NickFer_23 I lost my chapstick
72202399_329395916819812354 x	I miss andre iguodala
72202399_328277906050658305 x	https://t.co/ilxOv9d5ak @arrontheotter check it out
72202399_327602679570366464 x	@beccashannon9 awkward red light
72202399_327604448341938176 x	@beccashannon9 I know I almost got in an accident
72202399_326135294799777792 x	no one will ever beat the heat
72202399_324685829240913920 x	RT @BobCooney76: Indiana is 0-5 from the line and 3-10 from the floor. Ugly. And Malik Rose just bailed on ball headed toward press row. ...
72202399_324684803309989888 x	RT @BobCooney76: Seriously? A review of a foul on the last game of the season when neither team gives a flying f---? Wrap it up boys. Le ...
72202399_321406004262744064 x	@Bobbycooney14 Brandon Phillips 2-5 2 runs, 2 RBIs and a homerun. #suckit
72202399_320741162984026112 x	refs are trying to give michigan the game..
72202399_319304693685825536 x	RT @imWilISmith: Never ruin a perfectly good today by thinking about a bad yesterday.
72202399_319301413668806656 x	woke up and saw yu darvish blew a perfect game with one out to go. god those are the worst.
72202399_318765882555916289 x	best day of the year #openingday
72202399_398969537225555968 x	haha kinda feel bad for bynum, classic philly though.
