1950211951_392777000114724866 x	@PHISportsPhans yeah but at week 12 a little late for me haha
1950211951_394560455382814720 x	@A_dizzle24 ok but Vick wasn't a full 100% so why didn't they just let Barkley get full reps I'd rather have a rookie start than Vick
1950211951_394563412828905472 x	@A_dizzle24 then why did Chip Kelly draft him?
1950211951_394565895084724226 x	@A_dizzle24 he did but chip said he can adjust to the players he has so we'll see next week
1950211951_394559374339096576 x	@A_dizzle24 and you don't get prepared by splitting reps
1950211951_394558405790027776 x	Vick is done after this year can't wait for all the Vick dick lovers to go with him
1950211951_394549984512995328 x	Miracle in broad street?
1950211951_394549225608216576 x	This is what happens when you're 33 QB with injury probs
1950211951_394549017608462336 x	I wanna hear all of the Vick lovers excuses this week
1950211951_394540385252679680 x	Ok Jackson I guess you have a vagina now
1950211951_394540225604894720 x	RT @EagleOzz: Had the first, wanted more, to scared too lower the pads. Punt.
1950211951_394537940669693952 x	RT @SNOSSports: I'm shocked that Michael Vick is hurt
1950211951_394535839352758272 x	Fucking why?!?!?!?!?!?!
1950211951_394531315317768192 x	@PHISportsPhans didn't look bad at all until the fumble
1950211951_394531815064862720 x	@PHISportsPhans kept calm in the pocket under pressure spreading the ball around looks to be a better 2nd half
1950211951_394532210843611136 x	@PHISportsPhans or just drives Vick looks for the big plays and look what happens
1950211951_394530735748829184 x	Besides that fumble, Barkley didn't look bad at all
1950211951_394521153861332993 x	RT @FlyEaglesNation: Barkley might just be playing the rest of the game, and I might just be killing myself.
1950211951_394504235708317696 x	@Owls_BlueDevils gonzaga and Georgetown I think offered him
1950211951_394504113507291136 x	@Owls_BlueDevils yes
1950211951_394503430947221504 x	RT @LincolnFinatic: #Eagles fans "greeting" the Giants as they head into the locker room https://t.co/MfEqvD1mgq
1950211951_394503267130286080 x	Vick needs to get the ball out if his hands quick. Please for the love of god Vick do that
1950211951_394503076574662657 x	If the defense can play like they did last week we got this
1950211951_394499836076359680 x	@ESPNNFL fags (and before anyone gets offended at me. That's how you say cigarets in British, it's a joke)
1950211951_394495602677252096 x	Since penn state go shit wrecked yesterday. I watched the UCLA Oregon game and was impressed with both QB's. Would like either one of them
1950211951_394494508622438400 x	Did they put chuck bednarik in the scary players video. They had better, that guy messed up people in those days
1950211951_394478708888584192 x	You know. the big uglies never get any love but thanks to my sister I finally get a Jason peters shirt for my B-day http://t.co/DQ37nwENbg
1950211951_394476542543536128 x	Let's go eagles! Go get that first home win this year
1950211951_394242089854050304 x	C'mon flyers you gotta win on my birthday
1950211951_393786966007099392 x	@nas_philly @rdafor3 @MikeEvans13_ WR for Texas A&M
1950211951_393766823583551488 x	If Manziel is our QB next year. It will be one big drama with him and eagles fans
1950211951_393768140175585280 x	@_NoirBravo he can't do the stuff off the field that he is doing at TAMU. I know it's college but it looks like he won't stop at any point
1950211951_393768491054301184 x	@_NoirBravo I hope so
1950211951_393763880138448897 x	I really think the buccaneers are worst than jaguars. I'm not kidding
1950211951_393761536881463296 x	@RIPDMB I hate how he always tends to run in a pile of blockers and gets knocked back
1950211951_393759870702608384 x	@Geeeoff @nas_philly @EaglesNationTX that's true he tried too hard when he should've relaxed and do his thing
1950211951_393758694305193984 x	@nas_philly that's true if we had him in his prime he would've been the most beloved QB in eagles history lol
1950211951_393758292125941760 x	Phil Simms is just mad because he's team is in the shit hole
1950211951_393474761197907968 x	RT @NFL_Memes: Brett Favre > Tim Tebow http://t.co/bWzbYYCE5w
1950211951_392303289167253504 x	These are the QB's who I think can fit well. (Yes the last one is for real) http://t.co/B6rmGmQrlL
1950211951_393460198092058624 x	@JluddyPoker Mariota is a good fit but I think the bucs or Vikings are gonna get him that's why
1950211951_393461935779631104 x	@JluddyPoker naw I'm don't Vick next year this years QB class is amazing this year we gotta grab one this year
1950211951_393463153767776256 x	@JluddyPoker ok that's your opinion. thanks for the follow
1950211951_393466957946949632 x	@JluddyPoker yeah if they don't go QB than I want Ha-Ha Clinton-Dix from Bama
1950211951_393474081468985346 x	@JluddyPoker depends idk if they have the money pretty sure they should but I know people are say we should try to get Byrd and T.J. Ward
1950211951_393462718516457473 x	@JluddyPoker yeah Vick in his prime he isn't in his prime that's a fact
1950211951_393414080243204096 x	@nfldraftscout #ShitNoOneSays
1950211951_393412780688437248 x	I'm really impressed how healthy the eagles are 7 weeks into the season
1950211951_393388715139428352 x	It's 63 in Florida and all these people are acting like its -30 smh
1950211951_393354029289701376 x	@PHISportsPhans @Owls_BlueDevils @Sixers the blue was nice made me feel patriotic haha
1950211951_393037864772304896 x	Can't wait to watch Victor Cruz bitch to the refs about interference every time he drops a pass or gets overthrown
1950211951_392823949551099904 x	RT @NFL_Memes: Houston Texans Fans.. http://t.co/Wat0k3Py99
1950211951_392776579631570944 x	@PHISportsPhans it's like the eagles and their week 12 bye it doesn't make sense
1950211951_392777400523952128 x	@PHISportsPhans I remember one time they had a bye at week 16 in 2000.
1950211951_392775858877784065 x	Not even gonna lie having Matt Miller respond to my tweet was pretty awesome haha
1950211951_392774414263406592 x	@nfldraftscout you think the eagles will be able to get Mariota or Hundley if they enter the draft
1950211951_392774879235543040 x	@nfldraftscout that's what I'm thinking they still got a shot at the division
1950211951_392773976633921536 x	Fun fact: Michael Vicks wife owns a store a few blocks down from my dad's pizza parlor on south street
1950211951_392774522568736769 x	@TheZompster I live in Tampa buddy but I could ask my dad that lol
1950211951_392681489722535936 x	RT @ZBerm: LB Jake Knott doesn't appear to be practicing. Bradley Fletcher doesn't appear to be practicing
1950211951_392677120482111488 x	RT @TheZompster: Giants stopped AP yesterday cause that's the only offense Minnesota got!!!!
1950211951_392671197139570688 x	UCLA vs. Oregon Saturday a.k.a. Which one of these QB's the Eagles will take in April
1950211951_392657820425781249 x	I really dont want Vick back next year. Its time to move on, can we just draft someone next year and forget about him?
1950211951_392665158767878144 x	@rickseagles yes I know who he is. Look up Brett Hundley if you don't know him
1950211951_392670175847518208 x	@rickseagles he has speed the kids fast and yes his arm is a question but I like him if Marcus goes to the Bucs or Vikings
1950211951_392668376327540736 x	@BelieveIn_7 this QB controversy is tearing this fan base apart
1950211951_392668125139050496 x	I'm a Foles guy but I'm happy Vick is back, rather have him than Barkley
1950211951_392646881308078080 x	@nas_philly wait is that a fact or a rumor
1950211951_392647029715107840 x	@nas_philly shit
1950211951_392648271992467456 x	@AcrossTheLeague @nas_philly I hope so. I'm not big in Vick but I'll rather have him start over Barkley
1950211951_392305981029613569 x	@_NoirBravo yeah he's also an option him and McCarron are field generals, they just do what their told and quick readers facing the defense
1950211951_392315320977076224 x	@_NoirBravo not gonna happen I would love those guys too but JAX and TB are going to get those guys
1950211951_392305003303813120 x	@tommyfnmugga that's who I want the most he's raw at passing but he can run and is a great leader
1950211951_392288655555174400 x	I'm not saying I'm giving up on the eagles, but I will be posting some QB's who could run this system next year
1950211951_392289239146430464 x	@tommyfnmugga as much as I love that it's not gonna happen TB will most likely pick him. I live in Tampa and they're all about him
1950211951_392290291748962304 x	@tommyfnmugga you gotta give up a lot for a top 3 pick it's NYG,JAX,TB in that order for 1-3 and none of those teams are going to trade
1950211951_392294079369052160 x	@tommyfnmugga you gotta go QB this year because this years QB class is probably some of the best I've seen in my opinion
1950211951_392294294100643840 x	@tommyfnmugga plus it's stupid to purposely suck. That pisses me off when teams do that. That tells me you don't trust your players
1950211951_392289270712770560 x	@tommyfnmugga from what I hear
1950211951_392288123566452736 x	RT @philliesorca: 33 years ago today the @Phillies won the 1980 world series !
1950211951_392235557545603072 x	#Dallashangover
1950211951_392095841239842816 x	RT @NBASixersFan: Did you know?? http://t.co/4z5fT4j4uy
1950211951_392083962643755008 x	RT @HisStankness: Lol Redskins don't even have fans anymore. They just have people who root for RG3. ?
1950211951_392041135574904832 x	Just to clarify with everyone we will not get Bridgewater, or Mariota. Those two guys will be going either to JAX or TB
1950211951_392045293186723840 x	@trunn22 @PHISportsPhans #BrettHundley2014
1950211951_392071483268534272 x	@trunn22 @PHISportsPhans I mean I still wanna win there is so many good QB's this years draft we could get one in the 4th round
1950211951_392075195860520960 x	@PHISportsPhans @trunn22 yeah real solid player
1950211951_392071527614930944 x	@trunn22 @PHISportsPhans but I still want Hundley
1950211951_392071212681400320 x	RT @GoEaglesNation: Yes, Andy Reid is 7-0 with KC. Those wins include the Jags, Giants, Titans, Raiders, Texans (Case Keenum at QB).
1950211951_392048195016347648 x	RT @eaglescentral: I'll say it again. The Vick-Foles-Barkley debate is tearing apart the Eagles' fanbase. Eagles just got killed and Vick f?
1950211951_392041764061597696 x	@PHISportsPhans I don't like him he's a straight douche and does this...look at photo http://t.co/GwrvagaO46
1950211951_392042429181751296 x	@PHISportsPhans Mariota is gonna go to Tampa
1950211951_392043055374532608 x	@PHISportsPhans yeah but I like UCLA Hundley raw at passing but a great leader and can run
1950211951_392044781167063040 x	@PHISportsPhans yeah they don't show west coast games in Florida that much especially since I'm in SEC country
1950211951_392042313892888576 x	@kieranjwelsh I watch these teams every Sunday (Sadly) and their not gonna win anything
1950211951_392042839909363713 x	@kieranjwelsh won't be surprised if jags go 0-16
1950211951_392042085521424384 x	@kieranjwelsh depends but this is a QB heavy class this year I can see at least 8 of these quarterbacks being stars in the future
1950211951_392041335684755456 x	@TheZompster @BirdGang_Naj not true fans that's what they are. they just like one player not the whole team
1950211951_392038566995312640 x	#BrettHundley2014
1950211951_392039011898105856 x	@kieranjwelsh sophomore redshirt. yes he is eligible
1950211951_392040685324361728 x	@kieranjwelsh Boyd is inconsistent. Bridgewater to JAX, Mariota to TB
1950211951_392037677304143873 x	Guys we have the giants and raiders the next 2 games I'm not worrying about anything right now
1950211951_392028081898008576 x	Question would you guys go QB or defense 1st round? I've got some names eagles could go after in April
1950211951_392036436343390208 x	@Pressbox2013 http://t.co/Ff55j0nOcB
1950211951_392034194714398720 x	@ESPNNFL http://t.co/JBouUwh2B8
1950211951_392030376820224000 x	@arisbetch_ secondary still concerns me and if Kendrick's plays like shit at LB. Kalimera Mitch from buffalo is a good option
1950211951_392031535194333184 x	@arisbetch_ QB Brentt Hundley from UCLA is who I want for QB, but FS Ha-Ha Clinton-Dix is too good to pass up if he's there.
1950211951_392032731372077056 x	@arisbetch_ he's still raw as a passer but he's a great leader and can run like hell
1950211951_392034052233895938 x	@arisbetch_ oh yeah but just hope he does decided to enter the draft
1950211951_392030991876767744 x	@_NoirBravo Bridgewater to JAX Mariota to TB and Manziel is a straight douche. If he acts like he does at A&M, Philly fans will kill him
1950211951_392032493483732992 x	@_NoirBravo key words "he better", but I like Brett Hundley more as an option for QB
1950211951_392033860407414784 x	@_NoirBravo Manziel sometimes throws what I call "fuck it" passes he just chucks it down field and hopes his 6'5" receivers can catch it
1950211951_392031753117773824 x	RT @CrossCourtST: Patriots fans hate when calls don't go their way but: http://t.co/AR6nbnmnXw
1950211951_392029306496364544 x	@kieranjwelsh I feel like we should go defense first. This years QB class is good I feel we can get one in the 2nd and 3rd
1950211951_392029986837635072 x	@kieranjwelsh Mariota is gonna go to the bucs that's a fact. I want Hundley from UCLA if we go QB
1950211951_392023123908132864 x	Forget a QB 1st round I want Ha-Ha Clinton-Dix great saftey him and Earl Wolff can be deadly
1950211951_392022783271911425 x	I'm not even mad at Barkley he got thrown into the game
1950211951_392020069980848128 x	Ok defense did stop them there I'm not saying we're gonna win but let's just see what happens
1950211951_392021690106253312 x	@Chozet83 thank you
1950211951_392016317366419456 x	There still over 9 minutes everyone thought it was over against the giants 3 years ago. Just believe
1950211951_392019078887784448 x	@KOOT302 just never stop believing is what I'm trying to say
1950211951_392019699552501761 x	@KOOT302 oh I agree with that
1950211951_392018277746372608 x	Ok now it's over
1950211951_392016945052418048 x	@DopieDopeMan23 doesn't make a difference pal. Anything can happen
1950211951_392014037116280833 x	Hold them defense
1950211951_392013267528581120 x	I will take the field goal...should've been a TD. But defense has been good so far
1950211951_392008849903083520 x	I don't want to hear anything how we should've started Vick. Monte Kiffin is a defensive genius. He Would be doing the same for Vick
1950211951_392011762788495361 x	@A_dizzle24 do you remember those Bucs defenses from 2000-2008? yeah genius
1950211951_392010461782487040 x	He's fine right?! Please god let him be fine
1950211951_392010348653719552 x	RT @Flyersfan028: DESEAN! http://t.co/kkeHz4XaVx
1950211951_392009626755284992 x	There is that tony romo moment we all know and love
1950211951_392002349335842816 x	Let's go offense get your shit together
1950211951_391999153959882752 x	RT @nfldraftscout: Marcus Vick reminds me that I'm glad my younger brother doesn't tweet. Oh, and that he's not an idiot.
1950211951_391998855002488832 x	Good job Marcus call eagles fans dumb motherfuckers.
1950211951_391997269631053825 x	RT @GeoffMosherCSN: Last time Chip Kelly-coached team shut out at half: Oct. 10, 2009, vs. UCLA. Scored 24 in second half to win 24-10. #Ea?
1950211951_391996963778224128 x	RT @gonzoCSN: Michael Vick would have made that field goal (CC: @MVFive)
1950211951_391996781330182144 x	There is another half guys lets not jump to conclusion
1950211951_391988455427047424 x	RT @FightinForPHI: Punts on punts on punts on punts on punts on punts on punts on punts on punts on punts.
1950211951_391988391900106752 x	It feels like I'm watching the late 1990's. No offense but good defense lol
1950211951_391970009217761281 x	What I would do to be at that game right now
1950211951_391968830336929792 x	RT @EaglesFanTalk: #HomoRomo
1950211951_391968546592669696 x	Let's go eagles! #FlyEaglesFly #BeatDallas http://t.co/loJLLZpADE
1950211951_391692262671147008 x	Plan for tomorrow: 1.Go to church ask god to forgive my sins 2.Watch eagle cowboy game 3.Go back to church to ask god to forgive my new sins
1950211951_391673917460733952 x	I really hope that Dallas fans show up to the restaurant I go to for eagles games just to fuck with then if the eagles win
1950211951_391674393363230720 x	@PHISportsPhans I'm very superstitious. That's just me
1950211951_391674043503738881 x	@cowboyss12 @PHISportsPhans @RMueller_WTB oooohh that's a great comeback
1950211951_391673512001540096 x	RT @richeisen: Dallas' 3 wins have come against teams with combined 4-13 record, Philly's 3 wins against teams combined 1-15. #GameOn
1950211951_391673101001691137 x	I just love pissing off Dallas fans those buncha bitches
1950211951_391672631726198784 x	RT @ChipKellysBalls: Repaired a vacuum the other day.  It was easy, just stuck a #Cowboys star and a number 9 on it. Now it sucks just fine?
1950211951_391672490764021760 x	RT @Flyersfan028: @EaglesNews1 #Dallassucks and #dallasfansaregarbage #birdgang
1950211951_391672480697311232 x	@Flyersfan028 my thoughts everyday
1950211951_391670945473376256 x	@PHISportsPhans @cowboyss12 but the real question is for Dallas fans is? What have you guys done since your Super Bowls? Nothing that's what
1950211951_391671428162281472 x	@cowboyss12 @PHISportsPhans none I admit it. I don't live in the past like you guys
1950211951_391671753829007360 x	@PHISportsPhans @cowboyss12 i did actually
1950211951_391670173436248064 x	I would take Howie Roseman over Jerry Jones as GM over any day of the week
1950211951_391669206405902337 x	They are seriously the most overrated team for the past 10 years. Like before every season its "is this the cowboys year" no it's not idiots
1950211951_391667983858565120 x	I mean seriously what have they done since they won their Super Bowls? Win just 1 playoff game.
1950211951_391667187532193792 x	I don't like to talk shit before a game but I just hate cowboy fans so much, I can't help myself
1950211951_391664939456561153 x	@PHISportsPhans @cowboyss12 #gotem
1950211951_391666017912762368 x	@cowboyss12 #CowgirlsSuckDick I'm just gonna wait for the Tony Homo moment tomorrow
1950211951_391661165195313153 x	Dallas Cowboys fans are like that 40-year old guy who shows up to high school parties still wearing his state champion varsity jacket
1950211951_391616730734137344 x	So my dad tells me that fletcher cox goes to his restaurant last night and doesn't even tell me till now...k ?
1950211951_391228613150113792 x	#BeatDallas #Birdgang #HATEDALLASWEEK
1950211951_390879701654577152 x	If peters doesn't play I trust Allen Barbe enough for a solid relief. Wasn't that bad in Pre-season
1950211951_390133483701813248 x	@turkdaddydollar @phillyfanincal2 @dwr8810 giants were bad but the bucs defense is one of the best in the league. Foles is better in the RZ
1950211951_390152114657579008 x	@turkdaddydollar @phillyfanincal2 @dwr8810 well Vick beat a redskins team that's 1-4
1950211951_390155061021921280 x	@turkdaddydollar @phillyfanincal2 @dwr8810 just trying to have a good convo buddy have a good #DALLASHATEWEEK
1950211951_390151892460118016 x	Peters doesn't have helmet on today, doesn't seem like he's going to practice today. But Kelly says he should be playing this Sunday
1950211951_390151526003793920 x	Vick is 3rd after Foles and Barkley on easy drills today.
1950211951_390133751713636352 x	RT @OriginalSpinPOD: Eagles-Cowboys 44-6 Highlights http://t.co/cVRxnxiWVv
