350020705_391910837788872704 x	Gameday #BeatTheCowboys
350020705_351047429539368963 x	RT @LevineToilolo: Had to get a pic with the bros @ZERTZ_86 and @KULABAFI #StanUReppin #RookieSymposium #profootballhof http://t.co/3UAlKyS?
350020705_351016516768133120 x	@Eagles rookie class with the Lombardi trophy today in Canton at the pro football hall of game http://t.co/TeDDciGG7h
350020705_350740967680253952 x	@CoachStraubUSF what was the run? Hopefully it was earned not given haha
350020705_349721363583471617 x	Taco Tuesday @ChipotleTweets
350020705_348147731342184449 x	Monsters University, World War Z, or This is the End. Which one should we go see today? #needinput #summer #movies
350020705_347904660557942784 x	Congratulations to @AbbyWambach on setting the goal record today! #GOAT
350020705_347864330609496064 x	@ShayneSkov11 did they dye your hair too?? ??
350020705_347851296390406145 x	@DougBaldwinJr same thing happened to me man. Are they expecting their planes not to be full? That's a terrible attitude haha
350020705_347798790079647746 x	What do you guys think of this new backpack? #Eagles #86 http://t.co/ZPaExYmX7O
350020705_347178466233417729 x	@JustJoshin90 Bosh is from Texas...
350020705_346317382182113281 x	Just walked through Stanford tunnel one last time. Can't believe these four years have gone by so fast #StanfordGraduate
350020705_346132179975290880 x	Where do @_JulieJohnston_ and I go for dinner the night before my graduation... @ChipotleTweets of course
350020705_343052061325266944 x	RT @khoagie8: @ZERTZ_86 what'd i tell you? get the brooms out, the spurs are sweeping!
350020705_342819026801680384 x	Shout out to my boy and high school teammate @MAppel26 going #1 in the MLB draft! Showing all the doubters why he stayed in school #astros
350020705_341029108685365248 x	@DougBaldwinJr you gotta be sweating game 7with the way Wade and Bosh are playing. But I'm sure Lebron is gonna go off and will them
350020705_340671631540224000 x	The burrito bowl chicken quesadilla combo from @ChipotleTweets is a necessity at least twice a week #delicious #stillhealthy
350020705_340684069052502016 x	@ChipotleTweets haven't officially moved out to Philly yet, but ill let you guys know. Definitely gonna be an influence in the decision
350020705_340531588695724033 x	@Nertz13 congratulation little bro! Made it through the year ??
350020705_339543954544529409 x	@MattBarkley you worried about your kings tonight?? #sharks (only because Flyers aren't in it)
350020705_339541236136419329 x	RT @ToppsFB: Hey @ZERTZ_86 your #Platinum card turned out tight!! Pleasure to meet you at the #RookiePremiere #FlyEaglesFly! http://t.co/GV?
350020705_339067754713849856 x	Happy Memorial Day Everyone! And thank you troops for everything you sacrificed for our freedoms. ?????? #ProudAmerican
350020705_338877186956210177 x	Happy birthday @MoneyMike_27! #bigdog
350020705_336690651250958336 x	When deciding where to live in Philly, one of the key factors will be the distance from my place to the nearest @ChipotleTweets
350020705_336194879380156416 x	Had a great weekend down in LA thanks to @NFLPLAYERS. There's a lot of great talent in this rookie class but even better people #Premiere
350020705_335922352649011200 x	@StanfordFball @logansc88 @KULABAFI you guys couldn't have got a better picture? Haha #lookingdepressed
350020705_335861989471559680 x	RT @PlayerInsiders: Inside look at #rookiepremiere #eagles @ZERTZ_86 #cardinals @kulabafi Reppin #fresh new #nfl fits via @Theresa_PPI http?
350020705_335816276045864960 x	RT @NFLPLAYERS: Where you at Philly fans? @MattBarkley to @ZERTZ_86 at #RookiePremiere #Eagles #football https://t.co/a1kIFLvQGy
350020705_335789234856284160 x	Same field different jerseys @kulabafi #rookiepremiere #rosebowl http://t.co/xSJqqdkmgn
350020705_335571281586040834 x	RT @PaniniAmerica: Hey @Eagles fans the new QB @MattBarkley to TE @ZERTZ_86 connection #EagleNation #ScoreRookie   #nfl http://t.co/Gs8KxZX?
350020705_335535248777551872 x	Thanks for having me @toppscards @toppfb. It's been fun! #greatpic http://t.co/OKYUTqp5RP
350020705_335431746701099008 x	RT @kieranjwelsh: Look what just came in the mail. @ZERTZ_86 http://t.co/4CqYBjCoFI
350020705_335235323128864768 x	?@NFLPLAYERS: Behind the scenes at the #RookiePremiere with @ZERTZ_86 @kulabafi http://t.co/NvvQIn8mKG? those Stanford boys
350020705_333691084456734720 x	Happy Mother's Day to all those amazing mothers out there! I may be biased but it'd be hard to argue against my mom being the best #?uMom
350020705_333389324924100608 x	A little late, but on Thursday I became an official member of the E-A-G-L-E-S! #blessed #contract http://t.co/NifQcSD1Zx
350020705_333390488524689408 x	@DougBaldwinJr ya man ill be out there, when you get back?
350020705_333391071629410304 x	@DougBaldwinJr alright hit me up when you get back and well get some work in. Ill teach you some things about routes ? hahaha
350020705_333388985311313920 x	A little late, but on Thursday I became an official member of the E-A-G-L-E-S! #blessed http://t.co/y9Guui01RE
350020705_331576206757605377 x	This Optimization midterm is going to be a grind on Wednesday, but at least I go to Philly on Thursday! #minicamp #gottagraduate
350020705_330052263898918912 x	RT @EaglesInsider: New #Eagles TE Zach Ertz's signature game came last year against Oregon. Find out why it almost didn't happen: http://t.?
350020705_329653392089694208 x	Officially number 86! #eagles #86
350020705_328704191885365249 x	?@BennyG49: Ertzy's draft party with the boys. #FlyEaglesFly http://t.co/CTb0vgGUma? great time with the fellas today
350020705_328220781823807488 x	Great visit back in Philly today meeting everyone, even had my first Philly cheese steak. Big things ahead for The Eagles
350020705_327940422825566208 x	Couldn't have asked for a better situation! So humbled and blessed by all this. Thank you everyone for? http://t.co/Ug8X4b3vIe
350020705_327588838597881856 x	Congrats to my dude @TheUnderDog_64!!! So happy for one of the best guys I've met throughout this whole process
350020705_327566667917955073 x	RT @themichellewie: @ZERTZ_86  welcome to the Nike family! #makeitcount
350020705_327548637527801856 x	RT @usnikefootball: @ZERTZ_86 Welcome to the family.
350020705_327547198793461761 x	As if this week couldn't signify more importance, 24 hours ago I became an official member of @usnikefootball! #blessed #Nike #JustDoIt
350020705_327523158980718592 x	?@AbbyWambach: Sending a huge good luck to @ZERTZ_86 tonight. I think he gets picked tonight!? Thanks Abby! Means a lot
350020705_327508158824194049 x	Great yoga session and lower body lift to start the day!
350020705_327307010246852608 x	I'm not going to let where I'm drafted define me as a player; good or bad. And thank you everyone for the support #blessed
350020705_327306841958776832 x	Whatever happens these next three days I know I've done everything to the best of my ability and no matter what happens in the draft...
350020705_327180635489849344 x	@MarTerrell4 @realontherise04 @kulabafi @tsmooth06 @jamalrashad_pat @stanfordfb99 Thank you! Hopefully see you soon
350020705_324708265600638976 x	Jalen Rose, Kendrick Lamar, and myself as the guests of sports nation yesterday. Great time meeting? http://t.co/oHagjyiDWJ
350020705_324371093043433473 x	@AbbyWambach we just used the chipotle coin, thank you so much! Still working towards getting my chipotle for life card #dreambig #thanks
350020705_324336953006907394 x	RT @Sport_Science: Check out @ZERTZ_86's performance at the #SportScienceCombine... He's going to be a very successful NFL TE! http://t. ...
350020705_324275644232003584 x	Fun day down at ESPN! A little nervous at some points but it was all good, now back to the bay
350020705_324201397514027008 x	@Sport_Science did a great job putting the piece together! Let me know what you guys think #sportscience http://t.co/EIYuXIrXTt
350020705_323912690651262977 x	?Times like these be thankful for what you have and hug and kiss your loved ones. Thoughts go out to Boston and the people there.? #? #FF4
350020705_322962875134124032 x	Hearing @kobebryant tore his Achilles is like hearing something bad happened to your childhood hero. Guarantee he'll be back though
350020705_322911964227579904 x	This dude Steph Curry is unconscious right now against my Lakers #Lakers #Vino
350020705_322078318130249731 x	RT @agroshulla: @ZERTZ_86 miss seeing you play my man! You're my hero! Retweet this and make my day :)
350020705_320760078015791104 x	Anybody have any movie suggestions before this workout tomorrow? As of now thinking about heavy weights or finding nemo #classics
350020705_319603285839454208 x	Happy birthday Jen, hope its a great one! RT @samadamslovers: i hope @ShayneSkov11 @ZERTZ_86 @AJTarpley wish me a happy birthday today!
350020705_318582011658919936 x	Thanks to my moms and baby bro I'm finally all unpacked and ready to start my last quarter at Stanford tomorrow #timeflies #3classes
350020705_318519281669251072 x	RT @MotivateAthlete: #PrayForWare http://t.co/VRyEYohdVZ
350020705_316746034028085248 x	Watching this USA vs Mexico game. Gotta get this W #USA #USMNT
350020705_316612434259501058 x	Doing route work just isn't the same without @Amo8685
350020705_315989589338759169 x	@Amo8685 Preciate it coach!
350020705_315663975138349056 x	Me and the big homie levine_toilolo at pro day #TightEndU http://t.co/f4BwH7jVAE
350020705_314855672900640770 x	RT @SanfordStanford: @ZERTZ_86 off to a great start with this 35.5? Vert.  #StanfordProDay http://t.co/AFN30YotKe
350020705_314855368687759362 x	RT @StanfordFball: 4.57 this 40 for @ZERTZ_86. #StanfordProDay #gostanford http://t.co/BMjbG4LAqi
350020705_314740839127584768 x	Pumped to have one last opportunity to compete with my Stanford brothers again! Gonna be a great day #proday #speed
350020705_314429100834037760 x	RT @NFLDraftBible: We are hearing word from media inside Utah pro day that cornerback Reggie Topps has been timed at 4.26 unofficially i ...
350020705_313888143889809409 x	Watching the 30for30 on the 1983 NC State bball team; Coach Valvano is a coach that I would have loved to play for if I played bball
350020705_313817506101989376 x	RT @Abro_21: Jason Terry ????
350020705_312328132210348033 x	In the battle of the dentist vs myself, I'd say I won. 22 years and counting without a cavity #winning
350020705_312306553405448193 x	Well dentist, we meet again...
350020705_311868653433933824 x	Control What You Can Control
350020705_310227745370144769 x	Excited to get back out to the farm in the spring and watch my boy @MAppel26 pitch again, been too long.  #highschoolteammates
350020705_310232785606561793 x	?@drakeolson27: @ZERTZ_86 @MAppel26 did you play baseball? Did he play football??neither, played basketball
350020705_309767297545949184 x	Sherm just said he's better at life in his 24 years than skip bayless has been in his entire life #wowwwww
350020705_309760646361251840 x	?@RealSkipBayless: In a few minutes on ESPN: Richard Sherman vs. Stephen A and I. Better not miss this, 3:30-4E.? Gonna be classic
