380352123_387202350953533440 x	I can't even pick the right kicker for #FantasyFootball
380352123_386134229987631105 x	The Browns currently sit atop the AFC North. Yes, this is real life. #Browns #NFL
380352123_386118729236750336 x	I love how @TheTweetOfGod only follows one person, Justin Bieber.
380352123_386098899016245248 x	@PlantsvsZombies why am I so addicted to you!?
380352123_385806743248568320 x	It's been awhile since I've sent a tweet out so here it goes..."Hey!"#controversy
380352123_361951466312830976 x	Yeah I was drinking pi?a coladas last night, so what? http://t.co/LFffYM5VFI
380352123_361950632703295488 x	We made friends today #flockofseaguls #nonottheband http://t.co/RMzp4HZaGt
380352123_360390750652993536 x	A much needed boost to start this long day of work. #wawa #iced #coffee http://t.co/kodyqhPrmm
380352123_358975107844161536 x	Great day for kayaking! http://t.co/vb1UQ6k0e5
380352123_352863886350893056 x	Happy fourth!! #fireworks #boom http://t.co/E9PIxNkoB3
380352123_352832206152425472 x	RT @marcmaron: Happy 4th of July! We did it America! We've almost completely ruined everything!
380352123_352622430088462337 x	Sharknado, google it. #shark #Tornado #mindblown
380352123_352108300810190849 x	RT @LendingClub: Our first $1 billion loans took five years. Nine months later, we've passed $2 billion! - http://t.co/OWtjvoCrVu (http://t?
380352123_352086558507139072 x	The first day back at work after vacation is always the most exciting...
380352123_351171806570356736 x	RT @JuddApatow: I am rocking Times Square hard.  Got photo bombed by some dick. http://t.co/FUZvOVZpGW
380352123_350251508798996480 x	RT @ashholsonback: Next stop Birmingham! ?
380352123_349908583661576192 x	RT @jimjefferies: I can tell that Kate Middleton is really really boring
380352123_349906008803524608 x	I believe Gronk's dance moves are still the biggest tragedy to hit the Patriots Tight End core in recent times #AaronHernandez #Patriots
380352123_349904417019006979 x	RT @TheOnion: Your body is 70% water, so don't worry: Even if you were to drown, only 30% of you would die | More Pool-Safety Tips: http://?
380352123_349521037727252480 x	@ashholsonback I love you!!
380352123_348542014838673408 x	RT @ActuallyNPH: I just saw that I have 6M twitter followers. Holy shit. I guess I need to start watching my language.
380352123_348535018450210816 x	@WhereisADTR would it kill you to have some common curtesy and release your new album already!? #seewhatididthere
380352123_348215298823970817 x	Company night at the Phillies game! #phillies #citizensbankpark http://t.co/CdHv6c6wiI
380352123_347882893047128065 x	#nbafinals time #game7
380352123_347882454314545153 x	@JtSeber twitter just got a lot hairier
380352123_347832548669390848 x	Cracking up at @ElvisDuranShow #TonySoprano #phonetaps How do these people not recognize his voice? #RIPJamesGandolfini #funny #prank
380352123_347748072614395906 x	@KevinRCorkran Did you hear about this? I say you go for a full 48 hours! http://t.co/bdic4crN7T
380352123_347723818871169024 x	RT @absolutepunk: Quiet Country Audio Session: Allison Weiss http://t.co/KR513iIYv7
380352123_347714418311827456 x	Not sure why my email thinks I should be paying attention to tweets by @phillyfrugalmom #confused
380352123_347712132713947137 x	RT @lenadunham: Just misread a headline as "Jennifer Lopez demands diamonds never make eye contact with her" and I was like "cool. I respec?
380352123_347521443745107970 x	RT @ThatKevinSmith: RIP James Gandolfini! Your iconic portrayal of mob boss Tony Soprano gave soul to a monster and fostered perverse pride?
380352123_347521402250862593 x	RT @rickygervais: Damn. RIP James Gandofini. An amazing actor that made arguably the greatest drama of all time, & a funny, sweet, gentle g?
380352123_347496773331345408 x	Enjoying the Pour House with @ashholsonback http://t.co/qZPqw87oM1
380352123_347443985364692992 x	I wonder if George Zimmer is going to like the way his social security checks look? #fired #menswearhouse #bored #cheapjoke
380352123_347386471570882563 x	RT @billburr: Used the word "Expressionlessly" and thought: "There's no way that's a word." Looked it up and it is a word....But I'm still ?
380352123_347346141005889536 x	I thought the aliens had finally landed but turns out this is what the Falcons stadium will look like #falcons #whoa  http://t.co/dKHHScfbri
380352123_347341900853940224 x	I've been jamming out to @allisonweiss all morning, go buy her album!! #saywhatyoumean
380352123_347050958968205312 x	RT @billburr: Taylor Swift http://t.co/oHIEOxV23Y
380352123_347047272200142848 x	@JtSeber Is this a snapshot into your everyday life? http://t.co/dj9aHC6Ko9
380352123_347034413479124992 x	Is it bad that I've been picturing what random people would look like as zombies? I need walking dead back on the air.  #thewalkingdead
380352123_346802563120766976 x	Excited to see that Hard Knocks will be back this year! #nfl #bengals
380352123_346634633246547968 x	RT @anthonyjeselnik: The new Kanye baby just leaked.
380352123_346040743774801921 x	Beach weekend with my favorite person! http://t.co/NakQgy7f6y
380352123_345990633573457921 x	Sun 1 Sam 0, a great beach day nonetheless!
380352123_345531844168675328 x	Just gotta grind through today and then it's beach time!
380352123_345259850193838080 x	Hey look guys, I'm tweeting!
