2148133609_393077684198055936 x	http://t.co/OiRsOYDCk3
2148133609_392807012100079617 x	@sarahwebah Im gonna hold u to that FOR REAL. you should talk to jenny and come out with her
2148133609_392810015175614464 x	@sarahwebah yea i know that's why u gotta do it ;)
2148133609_392809869872340992 x	put 5 on it, or double up and put a dime on it, matter of fact triple ur nickle and put 14.99 on it
2148133609_392806775415504897 x	RT @sarahwebah: @mikeydeeznutzz I miss you much more?
2148133609_392806593063960576 x	so if u like to fuck pussy that dont mean that u wrong.. unless u fuckin raw dog
2148133609_392806454152790016 x	Minajatwa, what the fuck she expect, u a dog. all mighty god blessed u wit a dick and 2 balls...
2148133609_392805676721766400 x	u fuck a groupie chicken when u out on tour, smoke a lil tree wit her and fuck her some more. tell her bring 3 friends so u can fuck all 4..
2148133609_392763747481038849 x	You didnt know that im loco brotha, keep the tek and steele like the cocoa brova's, but they still smiff n wessin to me
2148133609_392760816908247040 x	You never see no pigs around me like a Jewish feast
2148133609_392754423463559168 x	@vinnie_paz http://t.co/ry6eji1Pdk Round of the century
2148133609_392752944468082688 x	@TPYoung11 Stop it Frank! You can stop it at anytime!! .. The round of the century
2148133609_392751328813776897 x	@TPYoung11 GO TO THE BBBOOODDDDYYYYYYY!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2148133609_392751233041043456 x	RT @TPYoung11: @mikeydeeznutzz http://t.co/4a9wd70VNW
2148133609_392748606731456513 x	RT @ILikeASSDaily: Booty shorts http://t.co/NdlLqSma5Z
2148133609_392748385423208448 x	@emmabuschh I'm awesome, just moved to San Diego 2 weeks ago and i love it !!
2148133609_392717104723415040 x	@JoeDiLanzo I call my brotha son cause he shine like one
2148133609_392711049817780225 x	RT @SportsCenter: 76ers expect first-round draft pick Nerlens Noel to miss the entire season as he recovers from knee surgery. http://t.co/?
2148133609_392701985645793281 x	@TheRealKoolGRap Kool G school'd me to the game, now i know my duty
2148133609_392695274331590657 x	Your arms too short to box wit god
2148133609_392674746287927297 x	RT @Tim_McManus: Shurmur: Vick will take first team reps today.
2148133609_392669837693960192 x	Fast enough to give your brain an aneurysm, cause you niggaz is slower than a fat bitch's metabolism
2148133609_392662180203491329 x	@emmabuschh where have you been all my life !?
2148133609_392567244934238208 x	@KreeeeeG so go to bed then
2148133609_392538438223679488 x	RT @vinnie_paz: the over/under in Vegas for Sixers wins is 16. this is gonna be a LONG fucking season.
2148133609_392479977842561024 x	Chiggity check ya self before ya wreck ya self, big dicks in ya ass is bad for ya health
2148133609_392473198240886785 x	@Milena_Arena ooo shittt G6 life
2148133609_392472477751709696 x	Took me long enough!!!!!!!!
2148133609_394639670803304448 x	If James Bond was me he'd be way more G
