1891419840_395720733940125696 x	@ElissaReillyS @KatEdorsson @Survivor_Tweet @JeffProbst Vytas' strategy paid off...he played them
1891419840_387379748902416384 x	@CeeLoGreen @NBCTheVoice @LupeMusic #WatchingBlinds   He has a smooth velvety voice!
1891419840_387377430635094016 x	@CeeLoGreen  Hilarious!
1891419840_387376049840857088 x	@NBCTheVoice @CeeLoGreen @blakeshelton   Go Blake!
1891419840_387375884933398528 x	@NBCTheVoice @HunterHayes #WatchingBlinds   Love his story  God is good!
1891419840_387373681753591808 x	@NBCTheVoice  GO #TeamXtina
1891419840_387373311027466240 x	@NBCTheVoice #WatchingBlinds  Way to go Christina!
1891419840_387370884274470912 x	@NBCTheVoice @MattCermanski He is Awesome!
1891419840_387244427590135808 x	@jodisbox  is there an address to where I can send Elissa a letter?
1891419840_387242977581490176 x	@jodisbox Did the slop diet mess with your system emotionally/physically/spiritually/mentally?  What is slop made out of and how it's taste?
1891419840_387240811953278976 x	@jodisbox My question: why did u say several times while in the house "this is only a tv show"?  Made me wonder if CBS staged some it
1891419840_386718036327006208 x	@ElissaReillyS @Jodisbox Hey, will we be able to access it later?  Thanks.
1891419840_386712128851152896 x	@RealTalkKim Thanks for the encouragement!  It's hard at times but am determined to stay strong in faith to see this through to other side.
1891419840_386625815699394560 x	@candiestewart @RealTalkKim  Never heard of her, thanks for sharing!  Will follow her.  Follow me please!  :)
1891419840_386565555634708480 x	@RueLaLa @ProjectRunway Just watched the episode this morning and love the idea of the bottom 3 competing for the final spot.  Go Helen!!
1891419840_386545488947712000 x	@lonelyplanet @reidontravel Your link is not working :(
1891419840_386534069149769728 x	@ElissaReillyS Be encouraged too, He is your shield!  Please follow!
1891419840_386156063474454529 x	@ElissareillyS  is there an address to where I can send you mail or an email?
1891419840_385894703813505024 x	@ryanacarrillo Didn't care for it either....maybe it will go better with the other judges next week.  Hoping.
1891419840_385868014224035840 x	@rachelereilly It's hot here, gotta love S CA weather...a favorite of mine  :)
1891419840_385772627999985664 x	RT @JoyceMeyer: Our lives are to be salt.  They should make others thirsty for God. -Joyce
1891419840_385265887286022144 x	@ElissaReillyS @OnAirJake @IamKingMac @KingMacRadio  LOVED the interview!
1891419840_385188491698532352 x	#elissaonkmr you said several times in the BBH "this is only a TV show" what were you telling the audience or yourself? What was behind it?
1891419840_384704741709594624 x	@candiestewart TY for your Christian witness during the interview w/elissa...it's the real thing and refreshing.  Hope u 2 make it on TAR :)
1891419840_384444722363633664 x	@ElissaReillyS Thank-you for taking the high road, it's refreshing :)  Enjoyed your interview, heartwarming.
1891419840_384446359178207234 x	@ElissaReillyS Been through a bullying incident recently myself with a next door neighbor, your testament is helping me deal with it.  TY!
1891419840_384399437532905472 x	#YRRLive   Andy were hgs saying they couldn't work with Elissa because they couldn't control what they wanted her to do?
1891419840_384388754045026304 x	@ElissaReillyS @RealityRecaps #YRRLive  I would like to know why Elissa while in the house kept repeating this is only a TV program.
1891419840_384094254932324352 x	@RachelEReilly @ElissaReillyS  Looking great ladies!  :)
1891419840_384045782501830656 x	@RachelEReilly Rachel u look fantastic!  Fell in love w ur mom too during interview a few days ago!
1891419840_383656336535195648 x	@andyherren Yes, but no respect.
1891419840_383443700048613376 x	@ProjectRunway love the idea!
1891419840_383432243097518080 x	@BBGossip what else could she do, Amanda was still playing the game in the jury house and such a in your face BULLY.  Good for her.
1891419840_383425652235313152 x	@ElissaReillyS Awesome show!  Enjoyed it!  Your mom is a cutie!  Understand now where your love and positivity comes from~all in the family!
1891419840_382686215809413121 x	@murtzjaffer @ElissaReillyS @RachelEReilly I'm in!
1891419840_382676875597725697 x	@NBCTheVoice #TeamBlake
1891419840_382665270839361536 x	@RyanACarrillo @afterbuzztv @RachelEReilly @ElissaReillyS @nickuhas  Loved every word!  Lot of laughs and BB info.  Elissa your love shines!
1891419840_381995968075292673 x	@ElissaReillyS Beautiful lady...from the inside out!
1891419840_381993998719541249 x	@JaspreetLongia @BBGossip @bigbrothrgossip @RealtorAmandaZ  She's covering her ass, don't let her fool you. She's playing us like the HGs.
