73158292_227859872249704448 x	Just aced par 3 (3rd) at North Hllls.  First ever! http://t.co/T9hUIFkf
73158292_363759771058315264 x	Tiger needs to bottle this week's game and save for next week at Oak Hill.
73158292_356944202396991488 x	Mr. Harper should tell his son to put on his hat.  #HRDerby
73158292_394673312657186816 x	PROTECTED
73158292_257653057305853953 x	Descalso is unconscious.  #NLCS
73158292_177570643179614209 x	I'm happy to get "Anthony" a cheesesteak from Max's regardless.  Incredible performance!  #Sixers
73158292_76732704296665088 x	Out the front door of my Villa...greetings from La Quinta. http://t.co/99AjGCi
73158292_75364479851954177 x	@SeanBrace975 Tell you tomorrow.
73158292_29131655813 x	Outstanding beginning for #Sixers tonight...5 for 5 with baskets coming from 4 of 5 starters.
73158292_350720183238795264 x	Best practice session this season...now the hard part...taking it to the course tomorrow. #HackerProblems
73158292_350726055138557952 x	@MattyIceland All by myself today.
73158292_389568486072012800 x	Jordan Reed is future beast.
73158292_366698301963243520 x	@JasonDufner wins #PGAChamp and Skoal defined as performance enhancing drug!
73158292_393158621594279936 x	J-Roll on @MLBONFOX pregame.  He could have a future there.
73158292_393131240171114497 x	Lincecum getting $35MM for past performance...sheesh!
73158292_370176396099739649 x	Doc basically admits #Phillies needed a kick in the ass...atmosphere too relaxed under Charlie. @975TheFanatic  http://t.co/SpoigEvDqp
73158292_323075245344960512 x	Since #Masters won't do it...Tiger should DQ himself.  If that's Steve Stricker...he's OUT.
73158292_395688987362209793 x	@Winless4Mariota Unfortunately for Chip...I think that horse is already out of the barn.
73158292_330320786290253829 x	@TonyBrunoShow is a walking violation today on @975TheFanatic...your thoughts? http://t.co/E6WT35rshU
73158292_354989757731848192 x	Wrestling Top 10:  Hogan, Rock, Ric Flair, SCS Austin, Bruno Sammartino, Andre The Giant, Shawn Michaels, Macho Man, Undertaker, Piper.
73158292_388509302316482562 x	Vegas vodka cran action for me and @TonyBrunoShow. http://t.co/AKcbT8MrVJ
73158292_386963437282009088 x	Why does @TigerWoods insist on picking up his tee when his back "hurts"??  #ThingsIThinkAbout #PresCup
73158292_375752463833239552 x	Attention hackers, accomplished golfers & @SheenaParveen...the man, the myth, the legend @CHansonGolf is now on twitter.  Give him a follow!
73158292_390306915185463296 x	Nice work Punto.  #NLCS
