559730381_330773437956116480 x	One dollar bill http://t.co/bgT1bsvYkf
559730381_344648437117104128 x	HOW BOUT DEM SPURS #oldguys #ageless
559730381_344646846364401664 x	Get up ginobili!!! #GoSpursGo
559730381_344416445750468608 x	hilarious. http://t.co/Ox5hTSBwPZ
559730381_343792361089949696 x	#UJ #troublemaker #rebel #lawless http://t.co/Gos00cAvym
559730381_343755656718848000 x	RT @SpringsteenSays: Well, buddy, when I die throw my body in the back and drive me to the junkyard in my Cadillac.
559730381_343135539836366849 x	Man, I miss hearing, "Previously on Lost"...
559730381_342829282952876032 x	#GoSpursGo
559730381_342604312230363137 x	RT @ScottDisick: Low 2 the ground, thanks for asking RT?@LDV_1: @ScottDisick My fellow Lord, how's it hanging?
559730381_342042420361437184 x	RT @SpringsteenSays: You'll be fine as long as your pretty face holds out, then it's gonna get pretty cold out.
559730381_342041943813001216 x	RT @kobebryant: #Walking. #crutchesoff
559730381_341516834232745984 x	RT @Shelli4523: WTF is wrong with ppl!!!!
559730381_341514831502905344 x	RT @TheRock: Look the devil in his eyes and say Im hotter than your hell. (smile is optional)  AM cardio in 3..2..  #FunTime
559730381_340963549469892608 x	#wannahaveacatch? http://t.co/dbYAEe23An
559730381_340953538542854144 x	#glorydays #boysareback #livinlavidaloca http://t.co/qWrV4RCja0
559730381_340932663366008833 x	The dogs on Main Street howl `cause they understand. If I could take one moment into my hands. And I believe in a #PromisedLand
559730381_340656473392705536 x	Props to Dominic Brown for leading the NL with homers. #philliestalk #somethingtotalkabout
559730381_339125448116158465 x	RT @SpringsteenSays: The faithful march up over the hill in some fools parade, shoutin' "victory for the righteous," but there ain't much h?
559730381_338631826170060801 x	RT @BillSimmons: Loved this RT @jadande: Tim Duncan: "Am I surprised at what I'm able to do? I'm just here to play, man. I'm not worried ab?
559730381_338631702027051008 x	RT @russos2: My moms all time favorite NBA players: "Dr J, Larry Bird, Iverson, Magic, and of course MJ" #skills #knowledge #NBA @Sixers @N?
559730381_338473442611437568 x	Happy birthday to the big guy. http://t.co/OD08XAigB8
559730381_337969404002304000 x	RT @HulkHogan: Tappin Out brothers. HH
559730381_335185748875681792 x	RT @KevinHart4real: OMG...."I ATE THE BONES" holy shit...."I ATE THE BONES" where are the FUUUCCKKIINNNGG BONES???? LMFAO
559730381_334994907796213760 x	RT @TheSlyStallone: What's the plan? Ask Jackie Chan....
559730381_334854577344102400 x	RT @MensHumor: Prom Dress: $200   Roses: $50   Limo: $350   Prom pictures that came out like this http://t.co/0kOY9CRrwh Priceless.
559730381_334854178188959745 x	RT @TheRock: RT: @PatBordersChew: @NBAonTNT can The Rock dunk? You bet your ass I can. #DunksBrowniesInMilk #ROCKTAKEOVER
559730381_333668283079327746 x	#MothersDay. http://t.co/kbTcsGPu15
559730381_333667263183990784 x	3 generations #sister#mother#grandma http://t.co/1RCBYJA41J
559730381_333235689195978753 x	RT @NHLFlyers: Your votes have @Simmonds17 holding the lead for #nhl14covervote but he still needs your support! Keep voting: http://t.co/s?
559730381_333235253080637441 x	RT @russos2: Wonder if DRose is watching DLee #nba
559730381_333031071467831297 x	watching this bulls/heat game and respecting the bulls more and more #Bullsfanfornow
559730381_332458231471411201 x	RT @JonahHill: New lonely island is great: http://t.co/6phAyBUCTY
559730381_332456468496388096 x	RT @SpringsteenSays: I don't wanna believe what my, what my heart keeps saying: You keep me on the line so you can keep me paying.
559730381_332242539765719040 x	Just posted a photo http://t.co/tsZDUVNGDL
559730381_331730950390157312 x	RT @russos2: How bout the cross court inbound pass from Leonard right into Ginobilis sweet spot #fundamentals
559730381_331366572859994112 x	RT @ConanOBrien: I watched the Kentucky Derby and said to my wife, ?All that build up for 2 minutes.? Why did she give me that look?
559730381_331365617485615104 x	RT @SteveCarell: Thank You Scranton.
559730381_330464254299877376 x	RT @TheSlyStallone: EX3 is in high gear.... many choices to make, some Big surprises..
559730381_329753717576441857 x	RT @MikeVick: I'm about to play a quick 9 on the course then taking some Q&A from my twitter followers. #BleedGreen
559730381_327933033565007874 x	RT @kurt13warner: Tell u what Jets fans... Your team never ceases to amaze me!!!!
559730381_327569806947663873 x	At the ball game #fightinphils http://t.co/7uI7McY4pk
559730381_325663608421900288 x	An amazing pregame ceremony at Fenway! #ClassAct
559730381_321085070465196033 x	Have you ever seen a one-legged man trying to dance his way free? If you've ever seen a one-legged man then you've seen me.
559730381_250926454869721089 x	"According to the nfl replacement refs, if I hug your baby, its officially my baby now"
559730381_239082897959686145 x	Say it ain't so Lance.
559730381_239079315608854528 x	Here's to you, weekend!
559730381_237200731072000000 x	Expendables II was exactly what I wanted: big explosions, gory battles, corny lines and the same wonderment as to how they all survived!
559730381_204007019512995841 x	Work to live. Happy Friday!
