762969481_329370515254956032 x	#iatethebones #4guys
762969481_286191660507992066 x	Cheers to another year ! Accomplish everything u deserve #4guys #newyear
762969481_285894794843152385 x	Happy new years from the #4guys everyone get smashed  and be safe
762969481_281199076928782337 x	What we do when we go high We doin it all night girls wanna ride with us tonight I'm in the middle of the club with my boys we all fucked up
762969481_269203091138699265 x	No turning back for me I'm in it til its over #4guys
762969481_267100332297973760 x	According to the average girl arms shoulders and pecks are better than solid abs. #helloladies
762969481_266971898632605696 x	Sometimes you gotta be dirty to stay clean #4guys
762969481_264400584168333313 x	RT @GeepsSays: Money over pussy pussy on my mind making that money can't get enough time. And in the end pussy over rules cuz we can't s ...
762969481_263433287677116416 x	Don't be serious, be mysterious. #4guys
762969481_263433100653129729 x	Don't ask a woman out on day that is good for you. Find out what day is good for her first and go from there.
762969481_263432524649345024 x	If you have no idea if she likes you, just remember...everyone likes you.
762969481_263432112059858946 x	Utilize "Plenty of girls" and "A lot of people" when describing yourself. She'll be attracted to you because others are attracted to you
762969481_261906226533789696 x	RT @GeepsSays: #Bazinga http://t.co/18ATrsYN
762969481_261905992495796224 x	Take in consideration the worst possible outcome and think "is it really that bad" #4guys
762969481_261905420304654336 x	Don't sweat the small stuff #4guys
762969481_259520098342162432 x	RT @FreddyAmazin: It?s sad when people you know become people you knew & how you used to be able to talk to them, and now you can ba ...
762969481_259519244243451905 x	RT @GeepsSays: @TheReal4Guys @mikelorini @stevelorini @brandondamiano #4guys
762969481_259519151482212352 x	RT @GeepsSays: Time for new phone. Nexus? Or Galaxy S 3? @GoogleMobile @googlenexus
762969481_259518624803479552 x	RT @ARENOUT: If ur retweeting some bitch late at night, you want the P
762969481_259518395744149505 x	Good pussy ain't nothing compared to loyal pussy #4guys
762969481_259125526919249920 x	The 4 Guys are the guys that you deserve, and they're the guys you need right now
762969481_259059340714078208 x	At the top its just us that's why I don't really trust see my family and the money is a must all the fame + the pussy is just a plus #4guys
762969481_258048970612408321 x	Hate when that happens !! @SteveLorini @EASports @EASPORTSNHL #NOT #SoMad
762969481_258048899351187456 x	RT @SteveLorini: MY PLAYERS DISAPPEAR IN GM CONNECTED !! I THOUGHT THIS WAS THE BEST GAME EVER ? #NOT #SoMad @EASports @EASPORTSNHL
762969481_257793392308805632 x	RT @SexFactsOfLife: Tearing the label off of your drink bottle is a sign of sexual frustration.
762969481_257792838912311297 x	RT @ComedyPosts: Don't assume my tweets are about you. But if you?re affected by them, then that obviously means you?re guilty of something.
762969481_257792545000652800 x	RT @iLikeSEXDaily: #GirlsLikeItWhenYou eat their vaginas well
762969481_240311654468956161 x	RT @SteveLorini: If you're 18+ Follow - @TheReal4Guys  for mature Quotes + Advice + Jokes & SEX
762969481_257792506790567937 x	RT @MrAce_Ventura: The frustrating moment when you know exactly what to say in your head but you have no idea how to explain it out loud.
762969481_257792243824467968 x	Unwritten rule of bros code number ONE DO NOT talk to your boys ex's #4guys
762969481_254578166587330560 x	I hate when I'm texting a girl while she's texting me. Bitch, now I have to change my whole message
762969481_254577992066535424 x	You either die a hero, or live long enough to see yourself become the FOUR GRINGOS
762969481_254428188497833984 x	if she's been spoiled by money pay her with the only way you know how ...your dick #4guys
762969481_254427929793163264 x	Nice watch, sorry but I don't have time for you #4guys
762969481_254427747496116224 x	Hoes come and go #4guys
762969481_254427621893472256 x	We manage to always forget who we are but then always remember where we started #4guys
762969481_254426818575208448 x	RT @GeepsSays: Nobody messes with my mother fucking clique @TheReal4Guys
762969481_254408543346761729 x	@TheReal4Guys getting LUCKY tonight so STRIKE a pose #4guys  @BrandonDamiano @SteveLorini @mikelorini
762969481_254351466217742336 x	"you live and you learn"
762969481_252863345668005888 x	They ask why men win. Well why do leaves fall? It is in their nature
762969481_252859354343170050 x	Real eyes, realize, real lies
762969481_252763859893493761 x	RT @SteveLorini: 262 days left until Summer
762969481_251766959744643072 x	If you got a team on your back and not on your shoulders whose supporting you more?
762969481_251766809097809920 x	RT @GeepsSays: Everyone in the world is lonely. Not if you got a team #4guys @BrandonDamiano @MikeLorini @SteveLorini @TheReal4Guys
762969481_251766641883508736 x	No one fucking with our clique #4guys
762969481_248588244420284417 x	RT @SteveLorini: Dang, I could totally see myself driving a Buick LaCrosse when I grow up! So Sophisticated >> http://t.co/Jz0qVMY ...
762969481_246987959117701120 x	Be Mr. Nice, not Mr. Desperate. Find a good balance between gentleman and asshole #4guys
762969481_246987304743337987 x	Don't forget to have a bunch of unique nicknames to call her. Women love nicknames #4guys
762969481_246660087551246336 x	Don't utilize "Lol" when texting a woman. This will make your chats serious which sets you apart from the other guys she talks to #4guys
762969481_246658632010305536 x	Don't give us your heart. If you did, you'd be dead. #4Guys
762969481_246656298203103232 x	Having SWAG written on your shirt does not mean you have it. Please make sure you have NO written on your back
762969481_246655934057832448 x	RT @BrandonDamiano: A meteorologist would say its raining due to excess moisture in clouds. A realist would say its raining because the  ...
762969481_243912922009579521 x	Spotted: Chad Ochocinco Pushes A Matte Gray Rolls-Royce #4Guys
762969481_243912549651857408 x	A Shakira Sex Tape Is Being Shopped Around #4Guys
762969481_243718752867323904 x	RT @iLikeHotBoobs: Nice lips... http://t.co/eZz4imlL
762969481_243714598816083970 x	That ass just reminded me of your ass #4guys
762969481_243535263442284544 x	Man I love my team, I would die for my team #4guys
762969481_243312712283742208 x	RT @MrAce_Ventura: Did you ever wish you could die, but be alive at your funeral. Just to see who would be there, just to see who would  ...
762969481_243312530758459392 x	RT @Traphik: Seinfeld reruns all day though!!!
762969481_243312517248602112 x	RT @ChirpHard: big congrats to the young buck, @GabeLandeskog92 on being named the captain of the Avs. you deserve it ya beauty!!
762969481_243312414769152000 x	You may get stabbed by the ones behind you but it hurts more when you get stabbed by the ones you trust the most where it hurts #4guys
762969481_243311981346557952 x	Strangers to friends friends to lovers lovers back to strangers #viciouscircle #4guys
762969481_243175886315204608 x	Remember the ones in front of you don't worry about the ones behind you #4guys
762969481_242822357197135873 x	Yaaa love it when u eat my face #fuckbitches #4guys
762969481_242817499530424320 x	RT @CauseWereGuys: When we "like" one of your pictures on facebook in a bikini, it means we want to fuck you.
762969481_242817022629670912 x	#HoldmeBack #4GUYS
762969481_242801345697050624 x	RT @YourFavWhiteGuy: I don't want to hear anything about Labor Day from any bitches who aren't actually in labor with a baby coming out  ...
762969481_242801252768034816 x	You just have to bring your breasts along #4guys
762969481_242793841088929792 x	Rap session coming out soon. "Mercy" (Freestyle) ft. #4guys @Lorini17 @GeepsSays
762969481_242249089448820736 x	We so classy #4guys
762969481_242248598652334080 x	Do you even know anything about the team that's on your baseball cap? #HACK #4guys
762969481_242248443945426946 x	Sun's Up, Guns Out #4guys
762969481_242248331429031936 x	We work as a Roman Legion. Build a wall, back you up into a corner, and slice you up with our swords ! #4Guys
762969481_242247957762670592 x	Bitches on our dick ! #4guys
762969481_242033063167676418 x	RT @AncientProverbs: Only the spoon knows what is stirring in the pot. -Italian Proverb
762969481_241961217449660417 x	RT @RelatableQuote: *At home* Me: "I want to go out, I want friends." *Out* "I want to go home, I hate people."
762969481_241927572303249408 x	RT @miilkkk: What happens when Batman sees Catwomen   The Dark Knight Rises
762969481_241742537302355969 x	RT @SteveLorini: Yo Bro wearing the "Bass Pro" Hat, stop dancing on@GeepsSays #Hack #WALL @Lorini17 @BrandonDamiano @TheReal4Guys
762969481_241730023139180544 x	#4GUYS UNITE @TattooRock TONIGHT !! @Lorini17 @SteveLorini @BrandonDamiano @GeepsSays
762969481_241591157111529472 x	RT @ComedyPosts: Sometimes music is all I have.
762969481_241590546991288320 x	These hoes be acting up and these guys be letting em #4guys
762969481_241589825214504961 x	RT @iLikeGirlsDaily: Fuck work, stay home and fuck this http://t.co/DKWoRXna
762969481_241368093509701632 x	RT @itsmeTre: For anyone wondering ...... condoms are on sale  at Walmart.;) #yourewelcome #practicesafesex #goodtoknow
762969481_241162619766059008 x	#4Guys @SteveLorini @Lorini17 @BrandonDamiano @GeepsSays ?  "@ComedyPics: Pillow fights? http://t.co/pQTwYSy8"
762969481_241162280186822656 x	RT @MrAce_Ventura: How to scare burglars off. First, put pictures on the wall of you with a tiger. Second, put a cat litter box in your  ...
762969481_241162175685726208 x	RT @LS_Vercetti: Every adversity, every failure, every heartache carries with it the seed on an equal or greater benefit. #game #perseve ...
762969481_240979829401452544 x	RT @GeepsSays: Jacks with the guys @Lorini17 @SteveLorini @BrandonDamiano #4guys @TheReal4Guys
762969481_240459175455506433 x	Rise and shine world its a beautiful day! Start it off right #hustle #betheboss
762969481_240290769091584001 x	RT @Lorini17: If you're single, going through a break up, or deeply in love. I suggest you follow @TheReal4Guys
762969481_240170633030422529 x	You know how to fight 6 men? The #4Guys can teach you how to fight 600
762969481_240169159135199233 x	If you can make yourself more than just a man, you become something else entirely. You become the #4Guys
762969481_239947021107212288 x	It's difficult to live without love. Find someone or something!
762969481_239939817385885696 x	If you don't win, you're the first loser #4guys
762969481_239596378978926593 x	100th tweet goes out to #4Guys @SteveLorini @GeepsSays @BrandonDamiano @Lorini17 whata night !
762969481_239562272031256576 x	It takes two to make things aright, it takes FOUR to make it out of sight
762969481_239561769633329152 x	Getting fucked up tonight @GeepsSays is the nigga @Lorini17 @SteveLorini @SteveLorini
762969481_239561550107656192 x	White boy wasted
762969481_239557844540739584 x	Its because we're not the account twitter deserves, but we're the one it needs right now #4Guys http://t.co/49X2XxhU
762969481_239552858150809600 x	Love from @KristyJ7 xoxo from #4guys http://t.co/HjkiLkgD
762969481_239551947064090624 x	#4GUYS http://t.co/uTwxlOuB
762969481_239534188628414464 x	RT @JimboHalpert: ???F?O?L?L?O?W???? @TheReal4Guys for humour, facts and latest news!!!
762969481_239534170756509696 x	RT @SteveLorini: #BdayDinner @Jackastors with @TheReal4Guys @Lorini17 @GeepsSays @BrandonDamiano #4guys  ft. @Marco_Nardini92
762969481_239441665570521088 x	RT @RapUp: Meek Mill Blesses the Stage with Drake and Wale in Maryland http://t.co/015QizfG
762969481_239439858215575552 x	RT @GeepsSays: Running through the city with my niggas I'd give a kidney selling under 150 u got to be kidding #4guys @TheReal4Guys
762969481_239343146809585664 x	Prince Harry -- Offered $10 MILLION to Bone on Film #4Guys
762969481_239164227082911744 x	RT @SteveLorini: #4Guys night at Wild Wings. @GeepsSays @BrandonDamiano @Lorini17 @TheReal4Guys
762969481_238847960761393152 x	RT @SteveLorini: 10,000th tweet goes to @Lorini17 @GeepsSays @BrandonDamiano #FF @TheReal4Guys making Twitter much more fun and a life w ...
762969481_238847296815656960 x	RT @HuffingtonPost: "The Walking Dead" is about to get a whole lot cooler  http://t.co/98StdtHm
762969481_238455579369148418 x	RT @SteveSpyro: Would you rather BE Wayne Gretzky or DO Paulina Gretzky? #FirstWorldProbs
762969481_238142720936398848 x	RT @__CourtneySmith: Say goodbye to the boys:( #Chell #NHL13 #alldayeveryday
762969481_238142680499097601 x	Astronomers Discover A Star That May Have Destroyed Its Own Plane http://t.co/Ekw99MUe #4Guys
762969481_238139827743252480 x	RT @nextmillennium: Follow @thereal4guys told y'all something big is hitting Toronto #4guys
762969481_238139762060431360 x	RT @JimboHalpert: FOLLOW @TheReal4Guys for witty tweets, informative tweets and tweets about life. Plus they follow back!
762969481_238139737121103872 x	RT @GeepsSays: Twitter accounts 1person perspective with @TheReal4Guys you get 4 different perspectives #4guys
762969481_238138885710950402 x	Pain is weakness leaving the body #4Guys
762969481_238138827795996673 x	RT @hallsy04: Well that summer went by slow.... not
762969481_238138654818721792 x	If you have a body, you're an athlete #4Guys
762969481_238138303570919424 x	Do not pray for easy lives. Pray to be stronger men. #4guys
762969481_238136677128863744 x	#TIFF 2012 will show first Bertolucci film in 10 years http://t.co/vYKXaXjf #4Guys
762969481_238135954081193984 x	Watch How 'The Dark Knight Rises' Should Have Ended: http://t.co/BmxRxYFZ
762969481_238135375632150528 x	'Jaws' Is Returning to Theaters, Plus Our 10 Favorite Stories from 'Jaws Week' http://t.co/3aLk94dC #4Guys
762969481_238134486716518402 x	Syphilis Outbreak Causes Porn Industry To Shut Down http://t.co/dqmTbiW7 #4Guys
762969481_238133872427151362 x	@KanyeWest In '#AmericanIdol' Talks #4Guys http://t.co/RMAtmbT7
762969481_238130322393427969 x	#TheWolfPack such at Flip Cup, just sayin #4Guys
762969481_238130225400143872 x	Bacon and Strippers #4Guys
762969481_237959707652935680 x	With men you get men with boys you get bitches #4guys
762969481_237958979005853696 x	Boys build snow forts men shovel snow and build snow homes #menvsboys #4guys
762969481_237958743353077760 x	Men rake leaves boys jump in leaves #menvsboys #4guys
762969481_237741777602351104 x	@Rihanna admits she still loves @ChrisBrown #4Guys
762969481_237740766590537728 x	@BritneySpears Tweets Photo of Her Bikini Body #4Guys http://t.co/sItegPdy
762969481_237740624688869376 x	Police: 1907 Stanley Cup Banner stolen in Kenora, Ont. #4Guys http://t.co/xbrupVwq
762969481_237719294048342016 x	One man with courage makes a majority. 4 men with courage makes 4 majorities #4guys
762969481_237672835768778752 x	Relationships are like contracts they all come to an end sooner or later #onone #4guys
762969481_237635460820774912 x	RT @smr_stats: 99% of women don't realize that for men, wearing a Condom is as mentally painful as giving birth #MindRape
762969481_237590541146157056 x	2nd place is the 1st loser
762969481_237354623688654849 x	@libbybenetto @pattenfeehrer gang banging #boom #4guys #thatsagoodtime
762969481_237354265503477760 x	RT @__CourtneySmith: NHL never gets old #rookies
762969481_237353952176390144 x	RT @st00pidfast: Just FYI, ball washers at golf courses are just for golf balls.
762969481_237353881376522242 x	"Almost just yacked all over that baby" #4GuysTextsFromLastNight
762969481_237353472830345218 x	RT @MrAce_Ventura: Teen Virgins might as well be an endangered species.
762969481_237353426730766337 x	"If I see one more #YOLO shirt on this boat, I'm going to sink this bitch !" #4Guys
762969481_237352767092568064 x	RT @ManlyAsshole: Women are like cinemas. I normally have to pay to enter them, but sometimes I force my way in through the back door.
762969481_237351472134754304 x	Get money fuck everything else if you got a team behind you the outcomes are endless #4guys
762969481_237351202529103872 x	The time is now but its never enough time #summersover #4guys
762969481_237350995968028672 x	We came. We saw. We conquered. #4Guys
762969481_237342559096147968 x	RT @iammaylynn: Last night I dreamt my liver was outside my body and confronted me about my drinking. And then we made out passionately. ...
