272751350_399160735882035200 x	I trust NooooOne! Especially you!
272751350_384853078094413824 x	@Sarey_Burlesque true, n yea ima give it a try. Thanx babe
272751350_384852767430688768 x	@Sarey_Burlesque  Try cinching your waist when u workout. Icy hot and Sarah wrap works just as good as the belts!
272751350_384852106576154624 x	@Sarey_Burlesque And chocolate is my weaknesses so what about ur cravings?
272751350_384848986768945152 x	Moves to be made, Progress to be gained, and Blessings to be rewarded! Its coming!
272751350_271627519382396929 x	@Mizzjaystar I love my daddy Yup Yup I love my boy shellz_HQ
272751350_262664474765443072 x	MY WHOLE THING IS...IF WANNATALK TO OTHER FEMALES, WHY NOT JUST BE #SINGLE  AND MAKE BOTH OUR LIVES A LOT EAISER & CARE FREE
272751350_249889607641088000 x	#GmAll  http://t.co/XYaQesuE
272751350_249888061025042433 x	#Gm All http://t.co/kM3rqiUD
272751350_247170100736692226 x	Too on... I fuckin love this girl! (my current situation) http://t.co/wGP6TAbR
272751350_246780847737430017 x	Let em kno... http://t.co/EURdmXVx
272751350_246607607593308160 x	Tamera's baby bump is so cute http://t.co/BQcdjcfL
272751350_242374247610212356 x	?Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.? - Buddha
272751350_241901811378843651 x	Smdh....this is the result of a good time last night! #bust my lip #drunk shit #this has to stop happenin Sm http://t.co/ND1v7su9
272751350_241583175606890496 x	All Natrual Today http://t.co/uTLNjn9I
272751350_240773417752723456 x	RT @MommyIsTattedd: Niggas Be Bragging About Having Side Hoes . . . A Lot Of Y'all Niggas Be Side Niggas .....
272751350_240502786016555008 x	To save time, don't waste it on ppl who don't deserve your attention
272751350_240192698944995328 x	If u lie, u steal, if u steal, you kill #will not tolerat a fucking lier!
272751350_239416583255109633 x	Everybody is not your friend! Some bitches is just fun to hang around! #real
272751350_239416093758857216 x	@TheRealMrOshay follow me, ill follow back
272751350_238802482220892160 x	I know dis broke bitch ain't just say, she lookin like a bag a money!!! Smh Ctfu...silly bitches #funny Shit
272751350_238726760206827520 x	Me & my sunshine http://t.co/y8XkqT08
272751350_238725738860253184 x	Relaxed n Natrual http://t.co/EFx2BHB5
272751350_237711572108181504 x	Look who has everybody up 3am in the damn mornin.. the nights companion- J'yann http://t.co/2AUSy9qz
272751350_237307597978492928 x	@XSTROLOGY always
272751350_237307316893020160 x	@STAFBEY23 nice
272751350_237303009888043008 x	I'm supose to be @ 2 baby showers today but I'm currently under construction Smh #im pissed
272751350_237212693008900099 x	Breakfast in bed made by my babe @shellz_13  http://t.co/gPq4GqhA
272751350_236537763598569472 x	@StonedRogue_Jay wusup how u been
272751350_237181507477848064 x	@StonedRogue_Jay can't complain living life the best eat I know how
272751350_237181607864320000 x	@Mizzjaystar way*
272751350_236606287188733952 x	@StonedRogue_Jay I defently sent this to the wrong person but I'm good, same here. Were do I know u from?
272751350_237181263696515073 x	@StonedRogue_Jay yeah I did, what's your name
272751350_237180863811555328 x	Karma- no need for revenge Just sit back & wait. Those who hurt u will eventually screw up themselves & if your lucky God will let you watch
272751350_237161450102210561 x	Dislocated my foot yesterday. I'm in so much pain, #need a perk http://t.co/Bgw8FD1P
272751350_237158163412041728 x	@FunnyAndReal Fake friends.= once they stop talking to you, they start to talk about you.
272751350_236970966826246144 x	Shellz Jr. http://t.co/3OJ0RXBH
272751350_236917764013580288 x	@MommyIsTattedd some ppl just can't be trusted. #very true
272751350_236914666729787392 x	@Lush_18 right! lol
272751350_236902917372801024 x	Wow, seriously! Just after a nice drink I decide I wanna dislocate my ankle. Smh my high is now blown, to the hospital I go. #frustrated
272751350_236667943545606144 x	Watching Ted #hilarious
272751350_236470229113393152 x	New phone #hit my jack
272751350_236469096424804352 x	Follow me :) #gm http://t.co/inWeilDd
272751350_51850772052320257 x	uuughm so i just made a twitter, like wusup wit it??
