15119617_395803051048460288 x	N?s, enquanto comunistas, pedimos um "basta!" ? isso!
15119617_395806716522012672 x	O capitalismo, se sobrevive a tanto tempo, mesmo passando por crises sucessivas, e que parecem ser intermin?veis,
15119617_395806638805757952 x	a classe trabalhadora pagou pelas d?vidas dos capitalistas, sendo os trabalhadores, demitidos em massa.
15119617_395806618614382592 x	Empresas, companhias foram fechadas, e como sempre,
15119617_395806526461329408 x	A Espanha chegou a ter mais de 6 milh?es de desempregados.
15119617_395806465522298880 x	que a princ?pio era uma crise da Gr?cia, e que em pouco tempo se estendeu aos demais pa?ses da Europa.
15119617_395806415077380096 x	e mais do que isso, para mostrar como ? verdadeira essa ru?na da classe burguesa, se n?o, citando a Crise da d?vida p?blica da Zona do Euro,
15119617_395806347419066369 x	Ora, nada melhor do que citar como exemplo para justificar esse grandioso trecho dos escritos de Marx,
15119617_395806166191591424 x	- uma luta que todas as vezes terminou com uma transforma??o revolucion?ria ou com a ru?na das classes em disputa."(...)
15119617_395806151104688128 x	resumindo, opressor e oprimido estiveram em constante oposi??o um ao outro, mantiveram sem interrup??o uma luta por vezes aberta
15119617_395805942018609152 x	Homem livre e escravo, patr?cio e plebeu, senhor e servo, chefe de corpora??o e assalariado;
15119617_395805866131075072 x	Dizia Karl Marx; "A hist?ria de todas as sociedades que j? existiram ? a hist?ria da luta de classes.
15119617_395805774615564288 x	Voltemos a quest?o da explora??o capitalista..
15119617_395805697637494784 x	devemos desmentir as atrocidades dos capitalistas, e mostrar a real verdade ?s massas.
15119617_395805679782359041 x	N?s, enquanto comunistas, e enquanto marxistas-leninistas,
15119617_395805490535350272 x	Os capitalistas falsificaram a hist?ria, falsificaram os nossos ideais criando mentiras,alienando as massas com cal?nias ao nosso respeito.
15119617_395805014381174784 x	Marx, Engels, Lenin e St?lin s?o nossas inspira??es, e assim permanecer?o sendo.
15119617_395804936262275072 x	? hora dos povos do mundo reivindicarem por justi?a e por igualdade!E mais do que isso,? hora de agirmos e pormos nossos ideais em pr?tica!
15119617_395804741482971136 x	N?o podemos mais nos sujeitar a explora??o burguesa do homem sobre o pr?prio homem!
15119617_395804675879862272 x	J? dizia Karl Marx; "Que as classes dominantes tremam ? id?ia de uma revolu??o comunista", ? isso que todos queremos.
15119617_395804614223597568 x	Nossos l?deres nos guiar?o rumo a vit?ria, onde viveremos em um mundo livre da explora??o selvagem do capitalismo.
15119617_395804461894860800 x	A verdadeira revolu??o, aquela que derruba o sistema, n?o uma mera reforma em um Estado Burgu?s!
15119617_395804423336640512 x	nossa vida pessoal para tr?s, e para ent?o nos dedicarmos somente a revolu??o!
15119617_395804408195203072 x	? nessa hora que vamos estar preparados para deixar nossas intimidades,
15119617_395804325865213952 x	E a? vem a import?ncia do partido comunista, que deve guiar os camaradas rumo a vit?ria, custe o que custar.
15119617_395804298958745600 x	O capitalismo n?o mudar? com reformas. N?o ? poss?vel humanizar o capitalismo. O capitalismo deve ser destru?do por meio da guerra popular.
15119617_395803409325891584 x	O caminho que todo comunista deve trilhar, ? o caminho da justi?a, o caminho da coragem, da convic??o com o que faz e o que pensa!
15119617_395803251947233280 x	A nossa vida pessoal enquanto revolucion?rios, n?o vale mais do que nossa vida partid?ria.
15119617_395803116743831552 x	e vale ressaltar tamb?m que a vida do partido deve vir em primeiro lugar sempre!
15119617_395803092882440192 x	Um comunista deve ser movido pelo sentimento de justi?a internacional,
15119617_395802949584052225 x	A burguesia n?o contenta-se com pouco, querem sempre lucrar mais e mais sobre o pesado suor, ora convenhamos,da classe trabalhadora.
15119617_395802869573509120 x	O capitalismo mostrou ser um sistema ineficiente, e mais do que isso, mostrou ser um sistema selvagem e explorador.
15119617_395802256693407744 x	O Combate ao capitalismo tem que ser internacional, precisamos combat?-lo sempre alertando as massas do mundo todo.
15119617_395775502801051648 x	Em outras palavras, deve-se abolir as classes sociais pra que todos REALMENTE possam ter direitos iguais.
15119617_395775021508882432 x	Ou seja, deve-se abolir a diferencia??o entre donos dos meios de produ??o e trabalhadores que vendem sua for?a de trabalho.
15119617_395774901585326080 x	? importante agora frisar uma ideia b?sica do marxismo:  a igualdade ? a igualdade em rela??o aos meios de produ??o, isto ? fim das classe.
15119617_395774620759904256 x	assim como um oper?rio como Stakhanov ganhava muito mais do que um diretor de f?brica mediano.
15119617_395774600153276416 x	um cientista de grande import?ncia ganhava bem mais que um jardineiro mediano,
15119617_395774469706223616 x	J? que os bolcheviques jamais igualaram sal?rios de ningu?m,
15119617_395773955581038592 x	Bom, nas experi?ncias hist?ricas tamb?m n?o.
15119617_395649951876653057 x	Inclusive, eles dizem que no socialismo as pessoas devem ser remuneradas de acordo com sua habilidade e produtividade.
15119617_395643860585439232 x	Dos escritos de Marx e Engels que n?o foi, j? que nem na obra mais b?sica de todas, ?O Manifesto do Partido Comunista?, n?o h? nada disso.
15119617_395643595148910592 x	Agora eu me pergunto, de onde foi que tiraram isso?
15119617_395643482129190912 x	Socialismo ? igualitarismo, ou seja, mesmos sal?rios, casas, roupas, etc.?
15119617_395452668522401792 x	Sam Mujoma (Nam?bia),Patrice Lumumba( Congo)e os mais de 60 mil comunistas que se engajaram na luta anti-racista para defender a M?e-?frica
15119617_395452534145310720 x	Agostinho Neto (Angola), Am?lcar Cabral(Guin?-Bissau), Samora Machel(Mo?ambique), L?opold Senghor (Senegal)
15119617_395452450993233920 x	como Nelson Mandela, que foi dirigente do Partido Comunista da ?frica do Sul,
15119617_395452409079558144 x	Estavam sob influ?ncia stalinista a maioria das lideran?as negras dos anos 50 e 60,
15119617_395452299062964224 x	No continente africano a linha stalinista foi respons?vel pelas vit?rias contra o colonialismo e o racismo.
15119617_395452196554170368 x	como Malcom X e Martin Luther King .
15119617_395452174743793664 x	A hegemonia stalinista dentro do Partido atingiu toda uma expressiva gera??o de l?deres negros dos Estados Unidos,
15119617_395452017050546176 x	onde o movimento pelos Direitos Civis teve sua maior agita??o, gra?as justamente a essa influ?ncia vinda de Stalin.
15119617_395451942102503424 x	com eco na III Internacional Comunista, cuja repercuss?o do pensamento de Stalin chegava ao Partido Comunista dos Estados Unidos,
15119617_395451749558796288 x	realiza-se a Conferencia de Bandung convocando a ?sia-?frica a lutar contra o colonialismo e a discrimina??o racial
15119617_395451710631464960 x	e em 1955, dois anos ap?s a morte do l?der bolchevique,
15119617_395451484441030656 x	Em 1948 Stalin ap?ia a cria??o do Estado de Israel, em 1950 convoca a Conferencia sobre Etnografia[16]
15119617_395451253083222017 x	Em 1943 o desejo de Hitler de aniquilar toda a popula??o judia sem exce??o. Foi frustrado por Stalin nos confrontos militares de Petrogrado
15119617_395449897609994240 x	os Sovietes de Deputados Oper?rios, Camponeses e Soldados.
15119617_395449842459111424 x	O Conselho dos Comiss?rios do Povo ratificou os princ?pios da declara??o e os defendeu com fervor revolucion?rio nos seus ?rg?os,
15119617_395449751887286272 x	com garantia tanto da liberdade religiosa quanto ? inviolabilidade desses valores.
15119617_395449692319776768 x	respeitando a soberania e o livre desenvolvimento das cren?as e costumes ?tnicos,
15119617_395449674884079616 x	? que, na pr?tica, o poder sovi?tico dava autonomia para a forma??o de Estados independentes,
15119617_395449566125756418 x	Mas o principal significado da declara??o ?A Todos os Povos da R?ssia?
15119617_395449475147120640 x	colocava fim ? viol?ncia de uns grupos contra outros e conclamava o povo ? fraternidade.
15119617_395449462744555520 x	onde o governo comunista tinha acabado de chegar ao poder,
15119617_395449324089257984 x	reconhecia o direito ? autodetermina??o e, inclusive, at? delas virem a se separar da R?ssia,
15119617_395449308549361664 x	A declara??o, al?m de defender a autonomia das rep?blicas socialistas,
15119617_395449223627288577 x	*aboli??o dos privil?gios nacionais  *aboli??o das restri??es religioso-nacionais  *liberdade das minorias ?tnicas
15119617_395449197538709504 x	*aboli??o do jugo nacional  *igualdade de direitos entre as nacionalidades  *autodetermina??o    *exalta??o da amizade e fraternidade
15119617_395449063459393536 x	A Declara??o dos Povos da R?ssia? com os seguintes princ?pios [6]:
15119617_395448986028367873 x	?rg?o respons?vel pela quest?o racial-nacional, onde a 2 de novembro deste ano edita ?
15119617_395448391548678145 x	a R?ssia passa a primeiro pa?s socialista da historia, em 1917, e Stalin ? eleito Comiss?rio das Nacionalidades,
15119617_395447341236248576 x	o que tornou-se fundamental para a consolida??o da URSS, p?s-1917. Com a vit?ria dos bolcheviques,
15119617_395447235053236224 x	Da? porque entendia como poucos a realidade e o sofrimento dessas minorias,
15119617_395447153134301184 x	curdos, judeus, ciganos, turcos, persas, entre outras).
15119617_395447078920282112 x	como editor de jornais e nas atividades clandestinas onde teve agudo contato com as minorias ?tnicas do interior da R?ssia
15119617_395447015338811392 x	pois esteve entre elas nos v?rios momentos de sua vida, como Agitprop[5]
15119617_395446877140688896 x	Ele afirmara isso porque sempre foi um ex?mio conhecedor das lutas do povo,
15119617_395446771129663488 x	deve ser subordinado aos princ?pios do socialismo?, pregava Stalin, o Pai dos Povos.[4]
15119617_395446749646446592 x	O principio da autodetermina??o deve ser utilizado como um meio de luta para o socialismo,
15119617_395446553856319488 x	o direito ? autodetermina??o ? o direito, n?o da burguesia, mas das massas trabalhadoras de uma na??o dada.
15119617_395446532268228609 x	sem abrir m?o da autodetermina??o:?
15119617_395446294786740224 x	que deveriam se organizar num Partido forte e centralizado[3]
15119617_395446228470595584 x	e afirma a necessidade da unidade entre as v?rias nacionalidades,
15119617_395446205234159616 x	O Marxismo e a Quest?o Nacional? (1912) aponta o perigo do multiculturalismo dentro do Partido
15119617_395445869266210816 x	, em que buscou tratar disso recordando, tamb?m, o seu passado, cujo avo Dzhugasvili, era judeu.
15119617_395445767847936001 x	Tal preocupa??o foi constante na vida de Stalin, como militante e como dirigente do PCUS[2]
15119617_395445711841398784 x	Ou seja, a desigualdade racial est? intrinsecamente ligada ao sistema capitalista[1]
15119617_395445621550641152 x	por?m, nesse caso, quem tematizou essa demanda ?tnico-racial foi Josef Stalin, um dos mais pr?ximos colaboradores de L?nin.
15119617_395445488628948992 x	Apesar dele se referir a possibilidade do triunfo socialista em um s? pa?s,suas palavras cabem muito bem quando o assunto ? a quest?o racial
15119617_395445344718176256 x	Para L?nin a desigualdade do desenvolvimento econ?mico era inerente ao capitalismo.
15119617_395445157039845376 x	"LEVANTE A BANDEIRA DO INTERNACIONALISMO PROLET?RIO"  http://t.co/m8Y4LN2wm6
15119617_395443789075992576 x	@AdrianeWerner Tenho certeza que esse ilustrador, tem saudades da era socialista da Pol?nia. Foi a melhor ?poca que o povo polon?s viveu.
15119617_395443009275179008 x	@AdrianeWerner Voc? viu a pintura dos chineses ? Os chineses todos felizes trabalhando em coletivo.
15119617_395442779750293505 x	@AdrianeWerner Lindas imagens, ele destruiu apenas com pinturas o sistema explorador e escravizador que ? o capitalismo.
15119617_395441815307837440 x	? c?mico ver os burgueses dos jardins,Alphaville,revoltados contra o aumento do IPTU.Tem mais ? que meter IPTU nessa burguesada parasit?ria.
15119617_395424250363781120 x	Somente quando se organizam e se submetem conscientemente ? disciplina de um coletivo, ? que conseguem alguma liberdade.
15119617_395424185859592192 x	n?o p?ra uma f?brica, n?o ocupa uma rua ou uma pra?a.
15119617_395424117404348416 x	A for?a dos trabalhadores est? em sua organiza??o, em sua uni?o, pois um oper?rio sozinho n?o enfrenta o patr?o,
15119617_395423889251000320 x	mas para a classe trabalhadora isso ? diferente.
15119617_395423788193439744 x	pois ela luta pela sua sobreviv?ncia de modo individual, com seus pequenos empreendimentos comerciais etc
15119617_395423682878636032 x	As liberdades individuais(burguesas) pregadas pelo liberalismo pode parecer boa ideia para a classe m?dia,
15119617_395422089710026752 x	fruto dos planos quinquenais, tornando-se uma grande pot?ncia econ?mica ao ponto de mandar o primeiro homem ao espa?o,
15119617_395422029253312512 x	e isso a pr?pria URSS mostrou ao mundo quando de seu desenvolvimento econ?mico
15119617_395421869722963968 x	Mas o fato de o capitalistas ajudar no desenvolvimento das for?as produtivas n?o significa que no socialismo elas ficar?o estagnadas,
15119617_395421767969169408 x	o que n?o ocorreu na R?ssia de 1917 e devido ?s circunst?ncias da ?poca L?nin adaptou as teorias de Marx do s?c XIX para o s?c XX.
15119617_395421627262828544 x	Inclusive para Marx o socialismo deveria nascer de um pa?s capitalista desenvolvido,
15119617_395421477861720064 x	pelo contr?rio ele destaca a import?ncia do mesmo na medida em que ele ajuda a desenvolver as for?as produtivas.
15119617_395421459243225089 x	O marxismo N?O rejeita as inova??es tecnol?gicas provenientes do sistema capitalistas,
15119617_395420635716784128 x	Todo o desenvolvimento tecnol?gico produzido pelo HOMEM sob o capitalismo vai ser utilizado, depois da revolu??o,pela sociedade socialista!
15119617_395419757542785024 x	do mesmo modo que, a seu tempo, o regime capitalista substituiu o regime feudal.
15119617_395419664802512896 x	Isso quer dizer que o regime capitalista pode ser substitu?do pelo regime socialista,
15119617_395419558552408065 x	e da explora??o, nem as "id?ias eternas" de submiss?o dos camponeses aos latifundi?rios  e dos oper?rios aos capitalistas.
15119617_395419439367073792 x	nem podem existir os "princ?pios eternos" da propriedade privada
15119617_395419341040017408 x	? evidente que j? n?o pode haver nenhum regime social "irremov?vel",
15119617_395419196055486464 x	e se a lei desse desenvolvimento ? a extin??o do velho e o fortalecimento do novo,
15119617_395419179752230912 x	Ora, se o mundo se acha em incessante movimento e desenvolvimento
15119617_395419012793790464 x	(F. Engels, "Dial?tica da natureza". Obras completas de Marx e Engels, ed. alem? do Instituto de Marx-Engels-Lenin, de Moscou, pag. 491).
15119617_395418880283131904 x	at? o homem, se acha em estado perene de nascimento e morte, em fluxo constante, sujeita a incessantes mudan?as e movimentos."
15119617_395418858334334976 x	do protozo?rio(1)
15119617_395418769985507328 x	"'Toda a natureza ? diz Engels ?, de suas part?culas mais min?sculas at? seus corpos mais gigantescos, do gr?o de areia at? o sol,
15119617_395418639219691522 x	de suas transforma??es e de seu desenvolvimento, do ponto de vista de seu nascimento e de sua morte.
15119617_395418575520808961 x	n?o s? do ponto de vista de suas rela??es m?tuas e de seu m?tuo condicionamento, mas tamb?m do ponto de vista de seu movimento,
15119617_395418422688763905 x	Por isso, o m?todo dial?tico exige que se examinem os fen?menos,
15119617_395418325263470592 x	onde h? sempre alguma coisa que nasce e se desenvolve, morre e caduca.
15119617_395418269273714688 x	mas como sujeito a perene movimento e a mudan?a consoante, renovando-se e desenvolvendo-se incessantemente,
15119617_395418182304804864 x	b) Em oposi??o ? metaf?sica, a dial?tica n?o considera a natureza como algo quieto e im?vel, parado e imut?vel,
15119617_395418093872107520 x	Primeira aula de materialismo dial?tico e hist?rico para os ignorantes direitistas:
15119617_395418037005733888 x	A classe m?dia conservadora deve achar que o capitalismo vai durar para sempre?
15119617_395412947322679296 x	Vou continuar mostrando preconceito que a direita elitista e racista passou a vociferar contra os m?dicos cubanos, e contra os mais pobres.
15119617_395411859408293889 x	Podem me amea?ar o quanto voc?s quiserem, pequenos burgueses. Eu sei que existem  alguns socialistas frouxos. Mas eu n?o fa?o parte deles !
15119617_395410329556893696 x	(que atrav?s do comunismo livrou-se de seus preconceitos) e Carlos Gardel.
15119617_395410307847168001 x	inspirada nos hermanos que puseram na Am?rica Latina grandes nomes como Che
15119617_395410169955241984 x	N?o se pode falar num Brasil democr?tico e livre de c?es obcecados pelo ?dio sem se falar numa eficaz "ley de medios"
15119617_395410101114122240 x	e de publica??es com uma mensagem antipopular, que criminaliza movimentos sociais e dissemina na sociedade a semente do ?dio.
15119617_395410031312523264 x	que trazem a russofobia, revisando o papel da pot?ncia socialista nos tempos da Segunda Guerra Mundial,
15119617_395409927201513472 x	onde livros s?o artigos de luxo e, quando publicados, trazem apenas mensagens reacion?rias que relativizam e at? negam o racismo,
15119617_395409879189311489 x	ele ? uma consequ?ncia direta de um pa?s cuja grande imprensa ? controlada por uma d?zia de fam?lias,
15119617_395409778022686720 x	O ?dio da classe m?dia n?o nasce de gera??o espont?nea,
15119617_395409667725078528 x	separar o parricida de seu mentor intelectual, como nos advertiu o escritor russo Fyodor Dostoyevskiy em sua obra "Os irm?os Karamazov".
15119617_395409570467549184 x	Entretanto, n?o se pode condenar Smyerdyakov sem se falar de Ivan Karamazov,
15119617_395409408638713856 x	ainda que esta tirania muitas vezes perten?a apenas ? esfera do universo policial ou meramente do "coronel" nordestino.
15119617_395409283954667520 x	que energ?menos criam no pa?s os pressupostos b?sicos para a instaura??o de uma tirania fascista,
15119617_395409180007202816 x	? exatamente desses preconceitos, da paranoia, de uma fobia de indiv?duos que est?o logo abaixo de sua camada social,
15119617_395408964021547009 x	, pelo elitismo, pelo racismo e por outros flagelos inerentes ao sistema capitalista.
15119617_395408669275222016 x	ideologia descrita pelo s?bio americano Michael Parenti como "a mais influente de todas as ideologias"
15119617_395408422591410176 x	al?m disso ? inerente na extrema-direita a fobia constante retroalimentada a cada dia pelo anticomunismo,
15119617_395408370330398720 x	e pesquisas apontam que pessoas menos inteligentes tendem a ser conservadoras e preconceituosas;
15119617_395408274104676352 x	a classe m?dia brasileira ? culturalmente miser?vel; a encarna??o do ?dio por que ? ignorante,
15119617_395408131557036032 x	pois diferente da classe m?dia de pa?ses como a R?ssia, onde ? abominado o l?xico n?o normativo,
15119617_395408027890622464 x	Assim, esse ? o perfil da extrema-direita nas redes sociais, reacion?rio, a encarna??o da baixaria,
15119617_395407870662946816 x	? @DaniloGentili Um dos mentores da pequena-burguesia xen?foba e racista.   http://t.co/HKpt8wkSxq
15119617_395406913308876800 x	inclusive de pa?ses como os Estados Unidos e a Su??a.
15119617_395406897529909248 x	segundo dados da OMS reconhecidos nas Na??es Unidas e corroborados por centenas de jornais ao redor do mundo,
15119617_395406798590472192 x	preferiram agir como prostitutas  insatisfeitas ao reclamar da chegada dos m?dicos do pa?s com a melhor medicina das Am?ricas,
15119617_395406759382118400 x	que deveriam estar orgulhosos por estarem vindo mais profissionais para cuidar de pessoas carentes no interior,
15119617_395406595477098496 x	dado que nesse ato uma parcela de m?dicos, turr?es,
15119617_395406457601916929 x	Nenhum verbo da l?ngua portuguesa pode descrever t?o bem o ato quanto o verbo "to bitch" da l?ngua inglesa,
15119617_395406319860977664 x	enquanto outra dizia "Lula, achamos que o seu dedo est? no *#% do povo brasileiro".
15119617_395406242861961216 x	onde m?dicas carregavam cartazes compar?veis apenas ao da Marcha das Vadias com dizeres como "Dilma, trate seu linfoma em Cuba",
15119617_395406182245867521 x	Um n?mero significativo chegou ao ponto de realizar um ato obn?xio de xenofobia,
15119617_395405890150338560 x	passou a vociferar e espumar contra a ideia da contrata??o de mais de 6.000 m?dicos cubanos proposta pelo Governo Federal.
15119617_395405838887571457 x	uma fra??o de m?dicos componentes da chamada "direita raivosa"
15119617_395405706628579328 x	Enquanto mais de 70 pa?ses, na ?frica, Europa e Am?rica, incluindo o Brasil, recebem m?dicos de Cuba,
15119617_395405554815754241 x	por?m ? xen?foba quando se trata de trazer ao Brasil m?dicos da rep?blica socialista insular.
15119617_395405036760489986 x	empres?rios de Portugal, cozinheiros da It?lia, professores da Su?cia.
15119617_395404979227197440 x	Essa pode at? ser receptiva quando se trata de trazer ao Brasil engenheiros do Canad?, executivos dos Estados Unidos,
15119617_395404878794612736 x	Se algu?m acreditava piamente no mito de que "o brasileiro ? caloroso e receptivo",? um fato que a sua pequena-burguesia n?o ? nenhum pouco!
15119617_395404770006925312 x	"Dot?" Nelson Neto,  cirurgi?o, casado, paiz?o, trabalhador incans?vel, intolerante com injusti?a(sic) e tamb?m m? http://t.co/M6shxPEczv
15119617_395404041464729601 x	Nem sempre a "direita raivosa" usa su?stica, uniformes nazistas ou tatuagem, parte dela usa maquiagem Dior, bolsa  http://t.co/aic5fjOeyb
15119617_395403644570304512 x	desde que n?o seja ainda o pequeno-burgu?s que comete crimes usando a internet em seu apartamento no bairro da "zona nobre".
15119617_395403574210883584 x	desde que o bandido n?o seja o filho do empres?rio, o pol?tico do DEM ou do PSDB,
15119617_395403482640809984 x	Maycon nos diz que "bandido bom ? bandido morto",
15119617_395403174695034880 x	que em sua vis?o s?o o "mal encarnado".
15119617_395403097117184000 x	e suposto l?der das ?ltimas manifesta??es, cont?m um perfil recheado de cita??es anticomunistas e contr?rias aos direitos humanos,
15119617_395402681092558849 x	Um certo Maycon Freitas, recentemente elevado ? categoria de "her?i", pela revista Veja, funcion?rio da Globo
15119617_395402556848873472 x	O ?dio pequeno-burgu?s ? vis?vel nos v?rios perfis do Facebook e era vis?vel na "finada" rede social Orkut.
15119617_395402392809656320 x	Ao contr?rio da ideia de que a intoler?ncia ? exclusividade de "jovens mal resolvidos e profissionalmente fracassa http://t.co/jwwiAOKs2o
15119617_395402043453476864 x	muitas vezes mais valorizados l? fora do que em seu pr?prio pa?s.
15119617_395402029457088512 x	muitos inclusive vindo a se casar com brasileiras e brasileiros de cor negra,
15119617_395401968979435521 x	que todos os anos o Brasil recebe milh?es de turistas,
15119617_395401862788046848 x	Para ela isso seria uma evid?ncia da "imagem absurda que o mundo tem do Brasil",
15119617_395401747276898304 x	por trazer uma mulher que "nem cara de brasileira tem, mas de africana, toda ca?da, numa praia esquisita, como se o Brasil fosse lixo".
15119617_395401684383330304 x	Segundo a meliante, a revista se tratava de uma "merda nas bancas de Paris",
