335927089_379826787192434688 x	@melissastark you at the Linc on Thursday?
335927089_397557611840544768 x	@donovanjmcnabb there is a reason Vince Young isn't signed.. not good enough
335927089_397526083945250816 x	RT @WaltDisneyWorld: RT for a chance to win tickets: ?Are you ready for Mickey's #VeryMerry Christmas Party this year?
335927089_397150325590589440 x	@JoeMessina16 MLB channel not working?..
335927089_397163329606533120 x	@JoeMessina16 Cowboys made that QB look lost.. on the road ..not worried
335927089_397038295558787072 x	@FriedgeHNIC that is because  @ScottOake is the best .. he carries every guest..makes them look great
335927089_397003986697347072 x	@Proteautype @TheHockeyNews no one cares about the three stars.. the players don't come out half the time and look bothered when they do..
335927089_396856741977006080 x	@IleanaMDiaz @JBernsteinCBS got to meet Jen once..as nice as could be
335927089_396854987394785280 x	@AdamSchefter are you bored?.. why not just wait until they release something official..
335927089_396820712712720384 x	@TonyDungy Cowboys win division at 9-7..maybe 10-6... then beat SF at home first round
335927089_396816275189428224 x	@abigailklein DCC not the same.. no icons.. none stand out.. no Abigail, Tobie, Brooke, Jordan C.. maybe Sydney..rest average
335927089_396810576472465408 x	@TonyDungy Kenny Stills the real deal?
335927089_396811390020616192 x	@TonyDungy always trust your opinion..thanks
335927089_396715316677341184 x	@ScottHanson @nflredzone very few people are irreplaceable on tv... Scott Hanson doing the Sunday NFL Red Zone channel comes pretty close ..
335927089_396714594208448512 x	@hollywoodhend @DrewPearsonShow @TrueBlueFanClub that put you in the NFC title game .. beat the Rams 37-7 to go to the Bowl
335927089_396649351608401920 x	@HulkHogan You are more jacked about the ridiculous fees for an autograph or pic.. normal kids don't have a chance anymore
335927089_396648951769620480 x	@DamoSpin @SunGarrioch the players don't take the three stars seriously anymore.. never come out after a loss.. so why should the writer
335927089_396647722113306624 x	@ctherien6 Cowboys finished 10-6.. win division ..get a home game.. and beat SF first round
335927089_396514719970131968 x	@SheenaParveen thought you might like this... http://t.co/KZTdAFCLiV
335927089_395997606809452544 x	@leilarahimiCSN before you were famous... opening Cowboys Stadium http://t.co/l3qhIBB9JJ
335927089_396025144394522627 x	@leilarahimiCSN I am a Cowboys STH from Philly (know Mike Parisano).. saw a pic of you and remembered the 2009 pic.. figured I would send it
335927089_396034132867690496 x	@leilarahimiCSN @MParisano91 lol.. he played ice hockey with my son in high school ...
335927089_396026076540833792 x	@leilarahimiCSN I asked you to get a pic.. you said you were "a nobody" .. I said  "but someday you will be famous" , lol...
335927089_395886480931172352 x	@nufced @stltoday this isn't football... the opposition is allowed to make a line change after a goal even if they line right up..
335927089_395717594709110785 x	@espnSteveLevy it isn't Cowboys Stadium... but it is ok
335927089_395625746644746240 x	@MBarkannCSN that is ridiculous .. go home after games instead of the nightlife
335927089_395192990240866304 x	@DezBryant keep bringing the passion.. someone has to wake this team up .. too good to be 4-4.. win division..home playoff game.. make a run
335927089_394883601420263427 x	@SiriusXMNFL @DrewPearsonShow usually I would agree, but maybe a good thing to yell about being afraid to lose vs going for the win ...
335927089_394882442924163072 x	@Laney5889 usually I would agree, but maybe not the worst thing to yell at the way they try not to lose instead of going for the win
335927089_394670943760818176 x	@georgehspencer so you are doing a story on a guy that is accused of pulling a gun on someone.. and you knock on his door..are you an idiot?
335927089_394680349047128064 x	@georgehspencer I disagree ..it isn't part of the deal.. one of these days a reporter is going to get hurt.. it is an unnecessary risk ..
335927089_394483482338287616 x	@sarahleigh27 @DrewPearsonShow be nice if Dunbar was healthy.. Randle doesn't hit the hole quick enough
335927089_394457199747293184 x	@Nicole_Brewer you should do an undercover story on wearing a Cowboys jersey at the Linc next year..It is ridiculous http://t.co/M5Fzl9rPNo
335927089_394330231852765184 x	@howardeskin Why is everyone afraid to say he tripped him on purpose?.. He had nothing to lose and rolled the dice..
335927089_394326496602750976 x	@KevinCooney intent doesn't matter, but no question he kicked up on purpose.. he had nothing to lose..rolled the dice
335927089_394325937707573248 x	@@LesBowen @samdonnellon it was the proper call.. plus, no question he kicked up on purpose.. he had nothing to lose..rolled the dice
335927089_394325003141140480 x	@LK intent isn't needed ..but he kicked his legs up on purpose.. rolled the dice .. he had nothing to lose
335927089_394324408409784320 x	@SI_PeterKing no intent is needed..but no question he kicked up on purpose ..
335927089_393165857494687745 x	@josh_ellis11 @AdamSchefter @cowyank would that be a Cowboys home game?
335927089_392689007081324544 x	@JohnKincade you are what your record says you are .. Chiefs have to be number one
335927089_392509681379598336 x	@TheRealDGunnCSN Cowboys are a good team with a tough schedule.. will be playoff tested after winning the division
335927089_392508647101964288 x	@dom9brown I live in Philly and I am a Cowboys STH... was a couple sections over from you at the Linc.. keep wearing that Cowboys jersey
335927089_392285665930784768 x	@JohnKincade thanks for the info.. Cowboys will be hosting one of those wildcard teams..
335927089_392291671800823808 x	@JohnKincade depends on who they play..key is finishing as top seed wildcard weekend and playing lowest seed
335927089_392286082836209664 x	@SI_PeterKing nice eagles pick on Philly TV.. still rank their offense 4th?..
335927089_391920937219940352 x	@KacieFOX29 @MikeFOX29 @JennFredFOX29 @KarenFox29 Kacie all ready for Cowboys Eagles... http://t.co/wlFMx4kNSh
335927089_389263642941980673 x	@GwenBegley I still have 75 cars from the late 60's early 70's..
335927089_388870228413022208 x	@achs_fred @JohnPCaseyJr @DNFlyers JM Pelletier also played for Flyers-Coyotes
335927089_387810482914353154 x	@caitlin_kummeth you looked pretty good for being sick tonight, lol
335927089_382907462086447104 x	@DCC_Brittney thought you would like this... from the home opener.. http://t.co/gD1gD4QjBo
335927089_380898879152992256 x	@chazzpalminteri you deserve it.. fantastic show and you are very fan friendly.. thanks for the pic.. Sonny and mush http://t.co/kryU1y6UJy
335927089_380861745616928768 x	@melissastark it was nice meeting you today.. thanks again for taking the time
335927089_380001005167194112 x	@melissastark nice.. I hope to get a pic with you for my fantasy football team page.. what time would be best before you get started?
335927089_379213793894858752 x	@deeanneuhhjay great movie http://t.co/fn6fpG9tDf
335927089_378935216473403392 x	@mlseigfried sent you a FB message with the name of a former Flyers ice girl that now lives in Nashville.. in case you need any info..
335927089_378760466690220032 x	@nefertitijaquez @Unit8X our pic is better, lol
335927089_378758161416876032 x	@chazzpalminteri @DrewPearsonShow couple of pics with two of my favorite icons... great people... http://t.co/uwq3Up7RFa
335927089_378677282862555136 x	@samgrinnan you two look familiar...
335927089_378235067317108736 x	@DCC_Kinzie http://t.co/CA3LfqgdQi
335927089_378234846222749697 x	@DCC_Kinzie http://t.co/YKuPqRSkTa
335927089_378234651506397184 x	@DCC_Kinzie http://t.co/pah9Px3OMJ
335927089_378232260140736512 x	@DCC_Kinzie another opener pic http://t.co/MgOMJnkOtI
335927089_378229976887484416 x	@DCC_Brittney from the opener... http://t.co/wu2UO1zsME
335927089_378229738411941888 x	@DCC_Sydney from the opener... http://t.co/u5SoBSoEZ6
335927089_378229369971671041 x	@DCC_Kinzie... from the opener.. http://t.co/VGc3HzeJjB
335927089_377187276037439488 x	@Nicole_Brewer hmmm... you aren't as attractive in eagles green, haha
335927089_376965573885698048 x	@DCC_Jennifer @Cassie_Trammell @KingJames I live in Philly.. a Cowboys STH.. 'Boys are 17-2 when I fly in.. I am the good luck charm
335927089_376668240069423104 x	@Nicole_Brewer @RussW0701 @CarolCBS3 just woke up in a Dallas hotel.. Cowboys home opener .. no Nicole Brewer on my tv.. need sling box
335927089_368534750484373506 x	@DaraleneJones scenary?
335927089_368551016523780096 x	@DaraleneJones lol... I don't need the dictionary.. I know how to spell it, lol.. I was just kidding.. you are one of the better reporters..
335927089_365262749523116032 x	@JonHeymanCBS @ByDavidMurphy @JSalisburyCSN @Ken_Rosenthal no one cares who had it first except the media themselves
335927089_364559791391117312 x	@IleanaMDiaz three minutes too long.. rather watch Brady Bunch reruns
335927089_362341096157753347 x	@stephanieespo did you realize you tweeted the wrong name and I was just letting you know?
335927089_362379345236475904 x	@stephanieespo your welcome.. I got the email from the tweet where you were yelling at me, haha.. I figured you realized it after, lol
335927089_362298236389699587 x	@stephanieespo Christopher Darby?
335927089_360469367600844802 x	@CJonesAnderson @dallascowboys @ATT as a season ticket holder, I hope this improves Internet service during games.. it has been brutal
335927089_360538866609954816 x	@ATT I have an AT&T iPhone.. no wifi and no 3G service in Cowboys Stadium since it opened..settle for texts and stats from out of town games
335927089_360466944878583811 x	@dallascowboys maybe this will give better Internet service during Cowboys games.. it has been non existent in the new Stadium so far
335927089_360235053034389504 x	@MBarkannCSN that is the minor leagues.. SD Chicken all time best... even ate a Flyers puck... http://t.co/a4ZZP7yUXo
335927089_357327345796919296 x	@DanielleMaslany absolutely... those ladies deserve a lot of credit.. I would have been like Steve Garvey..
335927089_357318756701188096 x	@kmattio those ladies were true pioneers
335927089_355801268167516161 x	@NatashaCBS3 @CBSPhilly @UkeeWashington Ukee is the best.. he should have to work every newscast..plus I know he is a Cowboys fan deep down
335927089_355595273868820481 x	@PhillySportPast @Bernieparent my first Flyers game..age 7.. Reg Fleming and Bobby Clarke scored.. Ernie Wakely the Blues goalie..
335927089_355464697673289729 x	@dmn_cowboys @SportsDayDFW @dcsportsbog I met Emmitt once..as ignorant and arrogant as can be.. so I can see that..
335927089_352162262208888832 x	@LesleyCBS3 86 degrees and you are wearing a jacket?
335927089_350318763415072768 x	@katebilo here is your new profile pic.. hope you like... http://t.co/hHUJ7BRsbE
335927089_349327316805103617 x	@caitlin_kummeth or this... http://t.co/lQRGC1VapJ
335927089_348779914671050752 x	@Nicole_Brewer @katebilo two of the nicest tv personalities in Philly right there.. class acts
335927089_347562895997030400 x	PROTECTED
335927089_347565675142852608 x	@MelissaRae_K that was a right place at the right time picture..and Kelly took it.. I miss Texas Stadium..pics after the game in parking lot
335927089_347551795389796352 x	@MelissaRae_K watch the Kate Smith / Lauren Hart duet. http://t.co/E8pfkHo2Wb
335927089_347559935707598849 x	@MelissaRae_K the video doesn't do it justice.. much different in person.. I have been in Chi.. you can't hear him with the crowd cheering
335927089_347513038687047680 x	@MelissaRae_K they are even...neither as good as the Lauren Hart / Kate Smith God Bless America duet in Philadelphia
335927089_347505157115879425 x	@dmn_cowboys Kelvin Martin PR for a TD at the Vet in 1991.. won game and signaled a changing of the guard from eagles to Cowboys...
335927089_346591172271149056 x	@DezBryant these guys should be your role models... on and off the field... @DrewPearsonShow and Tony Hill http://t.co/1MpAUEQSvD
335927089_343754462038478848 x	@NHLDevils at Disneyland on vacation.. went to game 6, then went back to the Duck Pond to watch game 7 on the arena vision..
335927089_342718642846310400 x	@ShirleenAllicot @6abc met you once... very ignorant.. I change the channel every time you are on..
335927089_341885995731529728 x	PROTECTED
335927089_341920930374770688 x	@ShawnyShawnyH great call on Benedict..I started with just the original six and went forward.. have to add him to the answer..still one left
335927089_342273415102750720 x	@ShawnyShawnyH haha.. there were a few goalies that almost did it.. they were part of the team and had an opportunity to do it..
335927089_340996647100219392 x	PROTECTED
335927089_341794402823442432 x	@ShawnyShawnyH no.. great question.. it would take some research .. I went thru every franchise and first shutout boxscore to check it
335927089_341270475927851008 x	PROTECTED
335927089_341280894146969600 x	@davegisaac Irbe only San Jose.. Rhodes for Atlanta only
335927089_340996258795749376 x	@JosinaAnderson you called? http://t.co/8dwiY6WMPL
335927089_338097161986248704 x	@amyfadoolCSN did you see Don Cherry's jacket tonight?.. I need one of those.. http://t.co/JDak2tHffz
335927089_336223068408147968 x	@BoopStats I am a firm believer in the "Back to the Future" time continuum.. so the Cliff Lee pick off was just as important as the HR's
335927089_335943402388594688 x	@AlexSantoro3 thought you might like this... http://t.co/dSSypeqvD9
335927089_281263979060412416 x	@BoopStats Bob, do you have access to old back pages?
335927089_333063768902873088 x	@achs_fred I was 8 years old..walked outside and missed the goal
335927089_331974632775245824 x	@LesBowen learned something new from Sam Donnellon in the Daily News today... Patrick Sharp scored Chicago's Cup winning goal... interesting
335927089_331991601515741184 x	@LesBowen I am sure they got hammered with it.. they took it out of the Internet article, but the damage was done in the print version
335927089_331474526045085696 x	@ItsAmandaGrace you retire and the Devils miss the playoffs... coincidence?
335927089_330364358184026114 x	@squiggg or I could give them all shirts with the pic of you riding the bull, haha
335927089_329440719913750529 x	@BoopStats that is an all timer headline, lol...
335927089_328667410490085378 x	@mlseigfried if you come back next year, please make chocolate icing cupcakes ... thanks
335927089_328309531710988289 x	@ReluctantSE don't turn in to Ed Moran in your old age, lol
335927089_327088520080535552 x	@TheIdleRich Why would I want to read that?, lol
335927089_326206630633013248 x	@dmn_cowboys @DeMarcusWare that means stop the nonsense offsides penalties as well...
335927089_325320893943382016 x	@mlseigfried you were an unexcused absence last night.. don't let it happen again... lol
335927089_320649813924392962 x	@BroadStBull second in Flyers history to play a regular season game.. Stephane Beauregard the first...
335927089_318881469038743553 x	@StuartScott maybe if you didn't arrogantly blow me off when I said hello to you on the field at Texas Stadium I would care what you did...
335927089_317744442410950656 x	@ClaytonESPN first intelligent tweet I have read..
335927089_317086033684606976 x	missed having @tracy_salyer and @michellepsu in the penalty box at Flyers Cup final...
335927089_312281225333198848 x	@SheenaParveen no spring training this year?
335927089_308736638018809856 x	@michellepsu Michelle, just watched your tv debut.. that was great... don't forget us now that you are famous, lol
335927089_308423848032886784 x	@kelli_finglass met Kelly twice on my many Cowboys trips.. always friendly and personable.. the DCC is the best and it all starts with her
335927089_306393179605852160 x	@christnemaddela if they allow a loyal viewer to ride skyforce10 with you one morning, keep this tweet.. I want to be first in line..
335927089_306417359281864705 x	@christnemaddela thanks.. you are the best... kind of scared of helicopters.. but i would force myself, lol
335927089_304215036862267393 x	@Good_Day_Philly @fox29 Bronx Tale.. Sonny to the bikers... " Now, you can't leave"
335927089_304214480370429952 x	@nufced he needs to be pushed... home grown Cole Hamels should get the start...
335927089_304116951851077636 x	@ErykaWashington they should have shown him the door... end of story
335927089_303587873398083586 x	@DNFlyers @broadsthockey they both take a back seat to the San Diego Chicken.. the best of all time..
335927089_302850067654656001 x	@PhilaPhans @broadstbull I remember Gene Hart starting the telecast saying "Live from the corner of St Catherine and Atwater"...
335927089_302426120333193216 x	@johnclarknbc10 I have been searched by TSA a few times on my way to Dallas for games wearing my jersey ..never bothers me.. I just laugh..
335927089_302106826328133632 x	@JohnPCaseyJr @achs_fred incorrect ... Flyers won 4-2 in St Louis on 2-14-87.. Hextall vs Millen.. Jensen 1-0 shutout was 1-25-86..
335927089_300859678953463808 x	@DrewPearsonShow hope that wasn't from the Billy Waddy game...still haunts me, lol
335927089_299373747327102976 x	@nefertitijaquez you looked a little chilly out there tonight, lol
335927089_298097687549599744 x	@judeholcomb @drewpearsonshow great pic
335927089_297754882532855808 x	@GMillerTSN thanks for posting that article ... Now you have to post the picture of them shaking hands...
335927089_295904678766587904 x	@nefertitijaquez @nbcphiladelphia nice to have Nefertiti back.. great move by NBC10
335927089_293838095269384194 x	@JohnKincade anything is better than Garrett calling the plays..
335927089_293882383197933570 x	@JohnKincade I don't have a problem with Jerry forcing the move.. Garrett on notice.. as he should be..hasn't improved at all
335927089_292449133036453888 x	@achs_fred besides the obvious...your goalie is too slow reading the play
335927089_291740237707763713 x	@JohnKincade if Chip Kelly lasts 14 years in Philly with 5 championship games, one SB appearance.. no SB wins.. I am ok with that, haha
335927089_290586903684730882 x	@The_ChrisMyers I would agree with the statement if they did not take the lead.. once they took a lead, they did overcome it..
335927089_290584813956657153 x	@The_ChrisMyers they had the lead with 30 seconds left..so it wasn't too big of a hole to climb out of..
335927089_290571175334141952 x	@JohnKincade @m_ryan02 if he doesn't do it two more times.. this will be forgotten .. just the way the NFL is
335927089_290270335448776704 x	@LesBowen you have Peyton Manning, you throw to win the game in regulation.... Fox has no guts...
335927089_288481904230027265 x	@DezBryant you have a chance to be something .. don't let stupid stuff get in the way... start hanging around Drew Pearson.. still the best
335927089_284776344850673664 x	@aliciavitarelli @shirleenallicot Shirleen only appreciates viewers thru the camera..ignorant in person.. I won't watch that fake smile
335927089_281265251155070976 x	@BoopStats lol... This was the one the day after the Flyers first exhibition game in Sept 2001.. Headline was "God Bless America"
335927089_281264525548875776 x	@SheenaParveen heard you sing today.. glad to see you aren't perfect, lol...
335927089_278259439742636032 x	@katebilo I guess the key to great Florida weather is to be down there the same time as you, lol
335927089_278263524571095040 x	@katebilo it was an awesome weather week in Disney.. so I guess I won't switch to Sheena..you should have let me carry your bags, lol..
335927089_271700223015915522 x	@csnwashington Thanksgiving Day 1974..twelve years old..mom's turkey.. Clint Longley to Drew Pearson for winning TD with 28 secs left...
335927089_271136056760471552 x	@DCC_Judy one year you should do the calendar without all of the touch up.. just have the photos natural.. the girls would look better
335927089_269219513428500480 x	@NG_Baseball2012 the best comedians did not rely on vulgarity for laughs... watch the old Dean Martin Roasts..or Johnny Carson shows..
335927089_265686355496034305 x	@mikencueCSN What did Rolen's parents ever do except watch their kid play.. think you are wrong on that one..
335927089_254767066446446595 x	@Jerrold_Colton good things happen to good people...
335927089_252956534760435712 x	@mikencueCSN without Michael Barkann, Daily News Live does not have nearly the success ... I don't watch if you aren't the host...
335927089_243476037621669888 x	@EmmittSmith22 met you on the Texas Stadium field pregame MNF 2008.. disappointing .. not nearly as nice as I expected...
335927089_240921982839951360 x	@Nicole_Brewer I wouldn't wait that long to see Nicole Brewer, let alone Madonna, lol...
335927089_240926535694032897 x	@Nicole_Brewer I said that long.. didn't say I wouldn't wait a little while, lol
335927089_238608754319433729 x	@Nicole_Brewer I would be excited to interview Nicole Brewer ..but my heart belongs to Kate Bilo, lol...
335927089_238458651109638144 x	@ItsAmandaGrace good luck with your studio..
335927089_238394604628627457 x	@katebilo please keep Isaac away from Disney..or I start watching Sheena..thanks
335927089_221345023952830465 x	@Nicole_Brewer just keep smiling.. everyone will think you are winking at them...
335927089_217765014424125440 x	@katebilo if you change and get a big ego.. I am going to start watching  Sheena...
335927089_212371813106319362 x	@MolinariPG the doctor was Fred Arthur... it is Bathe's daughter.. she is on twitter..
335927089_209118175193858048 x	@BroadStBull last game 7 OT in the finals..1954
335927089_209115498665877504 x	@espnSteveLevy 1954, game 7 overtime..
335927089_208721283322609666 x	@GwenBegley nice to know.. I have a 17 game plan..sometimes no one wants to go.. hate seeing a ticket go to waste
335927089_208718854216613889 x	@KevinCooney to try and get the game in...
335927089_208386826145234944 x	@brianstartare Cowboys loss to 49ers in 81 Championship game.. worse than 80.. how can Dwight Clark out jump Everson Walls?...
335927089_208269676717936640 x	@LesBowen hopefully they are looking up at the Cowboys like that in the standings ..
335927089_207467577620971522 x	@Jerrold_Colton Zubrus scored the first Flyers goal in the history of the Corestates Center..
335927089_204768544603389953 x	@GwenBegley hahaha... I snuck that in there to see if you would notice..
335927089_203335978033741824 x	@KravchukIgor @Natalia_Phila since 87, record to reach final by eventual Cup winner is 14 games..87 and 88 Edm.. 93 Mont took 15
335927089_203347914414755841 x	@KravchukIgor @natalia_phila that is the amount it took to reach the final.. 88 EDM won the Cup in 18.. they swept Boston..
335927089_203336546701672448 x	@LAKings since 87 (first year of 4 rds of 7), record to reach final by eventual Cup winner is 14 games..87 and 88 Edm.. 93 Mont took 15
