1916122368_395911945812836353 x	The flyin' Hawaiian has us all cryin', wishin' we could be high fivin'
1916122368_386963660918509568 x	CB Bucknor behind the plate last night and Jerry Lane at Pitt. What did we do to deserve this?
1916122368_386952711188791296 x	For further comedy after the Eagles game, Dick Stockton is announcing the Pirates game.
1916122368_386704098785239040 x	Great old-fashioned pitcher's duel between Oakland and Detroit. It would be better if we knew where the strike zone was from pitch to pitch.
1916122368_386701231064100864 x	How does CB Bucknor get a postseason series? Gone are the days where quality was a factor.
1916122368_386141236634976257 x	@rrmeder I don't remember John Denny making the HOF.  Maybe I slept through the ceremony.
1916122368_386142400621871104 x	@rrmeder If so you're right. Don't know who else it would be .
1916122368_386145446088814592 x	@rrmeder Have we forgotten Steve Carlton?  He was there then.  I was thinking he had gone.
1916122368_385917384575684608 x	@rrmeder @magelb Who said prayers are never answered?
1916122368_385760537214459904 x	#DearCongress Government service is a commitment to attempt to lead the country responsibly. Could we see some small recognition of this?
1916122368_385502769073098752 x	@rrmeder Best tweet of the day!
1916122368_385418913036918784 x	Voting to fund the government doesn't mean you favor Obamacare. It does indicate that you have a sense of responsibility.
1916122368_385211237220753408 x	@rrmeder I like them If it's not my team who could lose a season on a fluke play
1916122368_385094079568437248 x	@The700Level Is this the same as saying now we'll think before we sign an old washed up player for too much money?
1916122368_384884948051951616 x	@katieg614 @rrmeder  sorry you got sick after you ate that great dinner
1916122368_384473137947353089 x	@MBarkannCSN post game live should have started about three hours earlier it would've been a better day
1916122368_384774502628204544 x	@rrmeder I miss the sled dogs and players from Montreal Expos. those were the good old days.
1916122368_384772785417240576 x	@ToddZolecki pitchers need to hear a different voice
1916122368_384467082001526784 x	@Eagles Giants look worse than the eagles there's still hope, however slim
1916122368_384465209798459392 x	@Eagles lot of work to do
