23457587_325147112826343424 x	RT @The_Good_Lord: Tomorrow will be a nonstop holy fuck session.
23457587_322019632649236480 x	RT @KCStar: AMC Theatres offers taxpayers free popcorn this weekend to wrap up filing season: http://t.co/r2gSxVVM6H
23457587_321766602733408256 x	I think I just got e-mail bombed from a past life... Before e-mail even existed.  #creepy #ghosts? http://t.co/n8DRakdhBq
23457587_320141768953839616 x	@WIPMorningShow lower ticket prices = fuller stadiums
23457587_319606485032259584 x	This has nothing to do with his speech issues.  Lazaro is just awful.  #idol
23457587_318802971062333440 x	@theterrirunnels On a disc or portable hard drive 4 you.  Sorry about my confusing last reply.
23457587_318802483407380481 x	@theterrirunnels if all else fails. Any local computer repair guy can take the hard drive out and put the files on 4 u.
23457587_318701560836280321 x	Happy Dr. Sheldon Cooper Day! ..... Bah-Zing-Ah!   ;)  #aprilfools
23457587_317525415826698243 x	@kristina_knight funniest commercials going right now.
23457587_317767523447754753 x	@kristina_knight this is the only other commercial that gets a laugh out of me currently: http://t.co/BhCL52Ys0f
23457587_317053582396497920 x	New app that takes a picture of your soul. This is what mine looks like.  #blackout #soul #ugh http://t.co/aHah5l0G5R
23457587_315813452327317504 x	Don't you wish you could be as excited about going to work, then having as much fun when you get there as SpongeBob does? #work
23457587_315116096686522369 x	Seaside didn't totally lose Clown-fest.  Just go there any Fri. or Sat. night between Memorial Day and Labor Day! #seasidenj
23457587_314898260697419776 x	Lazero is safe, and America has a terrible sense of humor sometimes. #AmericanIdolResults
23457587_314853732913385473 x	Has any 1 actually got a speeding ticket in the mail cause u were caught by a aircraft enforcing the speed limit? #stupidsigns
23457587_313375677577576450 x	I just realized I spent St. Patrick's Day like my Jewish friends spend Christmas Day.
23457587_311237577632018434 x	"Fishy Fishy" thank you McDonalds. I am going to sue u now. 4 mental abuse. #fishyfishy
23457587_311237317186707456 x	@theterrirunnels awesome right? See the one with Flair on there? Too funny #hoot
23457587_310913916710551553 x	I guess I could have played the part of the "well zombie". #thewalkingdead http://t.co/UjsVPxlQ8S
23457587_309492787039043584 x	There is zero chance a guy wins this season. ZERO. #idol
23457587_309490518331637760 x	Randy, I am pretty sure they are all "in it to win it".... All of them, all the way back to season 1. #idol
23457587_309135609384017920 x	Idol should not take the top 5 girls & 5 boys to Hollywood.  They should take the top 10 voices, regardless of sex.  #idol
23457587_309134511613038592 x	Sinfully good.  #popcorn #snacks http://t.co/DSqahcxrip
23457587_308553647023853569 x	How I miss simple things. #angrybeavers http://t.co/6bhKtrmynb
23457587_308269073689624577 x	An odd inserted ad in the latest Playboy mag. #odd #ads #playboy #oddads http://t.co/QnQf0PCdBr
23457587_307588648860278784 x	RT @SBJLizMullen: Safety Franchise Tag: $6.916; S Transition Tag: $6.002M. Tight End Franchise Tag is $6.066M. TE Transition Tag is $5.1 ...
23457587_307588413949882368 x	Not a bad couple scores this week. #njvoodoo #words #bigscores http://t.co/xh4VAIdL8J
23457587_307497329479528448 x	@WIPMorningShow Fonda is just angry at the non mention in the song. #wesawyourboobs
23457587_306424301626736640 x	RT @VisitNewOrleans: Do you use smart phone #travel apps? Use these 5 FREE apps on your next trip to #NewOrleans! http://t.co/VZU5m2Jdi1 ...
23457587_306238535864827904 x	IKEA has horse meat in their meatballs. Is that what makes Swedish meatballs so yummy??? #horsemeat
23457587_306190930967412736 x	Sometimes it's better to be lucky than good. #words #bragging #bigscore http://t.co/4lReAMmBw4
23457587_306123052238901249 x	@NikoletteNoel how did you feel about MacFarlane's hosting job? #justcurious
23457587_305856404793745408 x	MacFarlane is just the best.  #oscars
23457587_303922219304747008 x	RT @RGIII: Feel like I need to say this..Although my goal is to start Week 1, that doesn't mean I will compromise my career to do so.
23457587_302970712912691200 x	The new DIE HARD movie is so terrible it's good. #quickmoviereview
23457587_302241499175870465 x	I will not be watching Immortalized. I think a really good show: Mounted in AK should be brought back to tv.  @kristina_knight
23457587_302235521067933697 x	Trump Plaza in Atlantic City sold for only $20 million????? I wish I knew it was for sale. #cheap
23457587_301848237374066688 x	I have zero stress about tomrrow & spending no more money than I normally do any other day. One of the perks of the single life. #single
23457587_301702903029186560 x	Y can't a toilet bowl be non stick like a frying pan? Seems to make sense to me. #thingsthatshouldbe
23457587_301684190926221312 x	@WIPMorningShow st Elmo's fire.  #moviesongs
23457587_301027465332133888 x	@RoobCSN Wikipedia lists d.dixon as eagles qb.  Is that right? http://t.co/O9VfuKeV
23457587_300940515770236928 x	@Ike58Reese ya got a nice shout out on NFL network this morning. Thought ya like to know.
23457587_300979586504732675 x	@Ike58Reese think so.  (Ugh) I'm a terrible reporter today.
23457587_300979489373028352 x	@Ike58Reese the only other thing I can think of is if there is a Mike Reese in the NFL and I misheard the chat. But I don't
23457587_300977494079729665 x	@Ike58Reese sorry I couldn't be more specific.
23457587_300977388974641152 x	@Ike58Reese discussion was about bringing in smart free agents w/ good leadership, and then mentioned your name
23457587_300976958651654145 x	@Ike58Reese I was listening while getting ready for work so I'm not sure. It was around 7am. NFL AM show.
23457587_299726819115036672 x	@ArianaGrande noooooo.  And ugh.
23457587_299621882364297218 x	(Sigh) guess its time to break down and buy some new boots. #wornout #boots http://t.co/yyZZy9DL
23457587_298617387069104128 x	@kristina_knight u have to pay for parking at college? That's tough.
23457587_298280228944502784 x	@GarryCobb and I'm sort of okay with that.
23457587_298279998744297472 x	@ThePaigeWyatt I know it's not the same, but, I'm sure you have plenty of fans to help keep the loneliness away. #chinup
23457587_298279441757515777 x	RT @AKinkhabwala: Jacoby Jones was first of special teamers to head out to Dome before practice Wednesday to get used to lights. #payingoff
23457587_298240637977911296 x	@LizGillies proper*
23457587_298240454468702211 x	@sbaickerCSN there shouldn't be.
23457587_298240378576965633 x	@LizGillies and it would look piper on you.
23457587_298240242635403265 x	And 90% of the male population flip channels looking for the puppy bowl. #worsthalftimeever
23457587_298169955243933696 x	RT @fatguysshow: our last show up now: http://t.co/nB8pB4s9 #football #SuperBowl2013
23457587_297374932550176768 x	RT @AsburyParkPress: Bamboo Bar set to reopen on Saturday http://t.co/QmQJeJgL #NJ #Seaside #nightclub http://t.co/AOQy9rm2
23457587_296939938732187648 x	@WIPMorningShow R. Lewis doin dumb squirrel dance & flyin camera falls on him like Acme anvil do W.E. coyote
23457587_296938371895394304 x	@WIPMorningShow  R.Lewis does stupid squirrel dance and the flyin camera falls on him like the acme anvil do 2 W. E. Coyote.
23457587_296811206428213249 x	GET THE FU@K OUT OF HERE.... speech impediment guy is just awesome!!!!! #AmericanIdol
23457587_296592299973046273 x	Thank you for your growing support in Facebook! #theaudienceisgrowing  #appreciative #thankyou http://t.co/BovWgEPf
23457587_294948859472408577 x	@NikoletteNoel haven't seen a post from u in a few days. Hope all is well. Have a grand weekend.
23457587_294607635863457793 x	Don't be jealous of my melty clock.  #coolclock http://t.co/PE1PXKwb
23457587_294183502910480385 x	Well, you ate it... Now get off your ass.  #notworththe miseryfor2minutesofpleasure. http://t.co/2NuG115R
23457587_293060986494148608 x	Ever have one of those days where you just want to throw out all you own and start over from zero? #ugh
23457587_292808997977878528 x	@RoobCSN the Raiders do understand the idea is to win games, right?
23457587_292693855738949633 x	@PhilliesMike Thanks for the follow! Have a great day. #newfollower
23457587_292693801661784064 x	@royal_kansas11 Thanks for the follow! Have a great day. #newfollower
23457587_292693651228868608 x	@ComedyScott Thanks for the follow! Have a great day. #newfollower
23457587_291543389218942976 x	@WIPMorningShow I wouldn't sign with a team that forces me to a slumber party with nerds. #DoYourJob
23457587_291287105051693057 x	DO YOUR JOB!!!!! #Eagles #EaglesNation
23457587_289475868139601920 x	But it is! #jedi http://t.co/XEo327aN
23457587_288803584823410689 x	@NikoletteNoel (dislike the new) pardon my stupid phone's auto fill in my last reply.
23457587_288803199115206657 x	@NikoletteNoel if you were a fan of the original... You will super dislike the be Texas Chain....
23457587_288690396165443584 x	@Ike58Reese Reid. 10 years in Kansas City at a minimum.
23457587_288683795325022208 x	Yes, everything should taste like bacon.  #tasty #bacon #sunflowerseeds http://t.co/WpOyVsLY
23457587_287044937558679552 x	Rare 1 point safety just now in Oregon/K state game.  #FiestaBowl
23457587_286527814604316673 x	@RoobCSN would you think Manti Te'o would have a Ray Lewis type of career?
23457587_286528753260183552 x	@RoobCSN I was thinking in the team leader type of role..
23457587_286322651323060225 x	@itStewieGriffin and Instagram is your Viewmaster.
23457587_286287636878987265 x	RT @SBJLizMullen: CAA Football agents Jimmy Sexton, Ben Dogra & Tom Condon will rep USC QB Matt Barkley for the 2013 NFL Draft, Dogr ...
23457587_286236743655645186 x	@NikoletteNoel I'm a little late in my New Years salutations. Wishing u much success in 2013.  #HappyNewYear
23457587_285606434903834624 x	Tony Romo is as allergic to the playoffs as I am to penicillin.  #howboutthemcowboys
23457587_285556557196963841 x	@sethjoyner I can stomach Washington. But feel like Dallas wins.
23457587_285468806409756672 x	Where I can buy a box a pink slips that I can fill out and take to the NovaCare complex Monday morning? #Eagles #EaglesNation
23457587_284443049696829442 x	@DanWarp Best advice of the week! #buygold
23457587_284267714288168960 x	@kristina_knight ugh.  That must be especially tough with all the holiday foods around huh?
23457587_283361626189619200 x	@EGCrystal hahahha.  Merry Christmas young lady.
23457587_283289349783695361 x	@NikoletteNoel a Merry Christmas to you and yours too. :)
23457587_283288729261600768 x	@babyTWIGS2 I have had the same issues. They figure, they got enough sleep... Sooo you must have too.  Evan if u had none. :(
23457587_283256623290515457 x	@GenevieveH10 always thought Ted would have made a great Christmas time move than when it came out. #hilarious
23457587_282954520714158080 x	@RoobCSN the babies born stat was terrific. #beststatever
23457587_282954373250818049 x	RT @RoobCSN: There were 27,038,876 babies born in the world between Eagles interceptions.
23457587_282948510154883072 x	Stuffing & Cheese wrapped in bacon. #food #myphoto #refinedrecipe http://t.co/BbaVvw54
23457587_282654732596695040 x	@kristina_knight ughhhhh.  Hope you feel better soon.
23457587_282646371046137856 x	I just know there are more than one of you creepy fuks, that are thinking to yourself right now, "I so need http://t.co/NTKxHYGZ
23457587_282158860704292864 x	Stupid Mayans... Now, I have to go Christmas shopping. Damn it. #EndOfWorld
23457587_282143343276855296 x	Someone is going to be pretty upset they dropped their bag o' bud in the parking lot. #weed #baddayforyou #n http://t.co/Ik1lwdh8
23457587_280864544811790336 x	If guns are made illegal... I want to be able to carry a sword legally. #guncontrol
23457587_278313498340102144 x	@Ike58Reese  "Former LSU safety Chad Jones works out with Philadelphia Eagles http://t.co/dQ9qDil9?
23457587_277851003053809664 x	Avant with a sick catch! #Eagles
23457587_277849448720252929 x	@pdomo "Now loosening up in the bullpen, Demetress Bell." Say it ain't so. #addeddepression
23457587_277845142268940289 x	@BrianDawkins ugh I was just tweeting the same #brycebrown
23457587_277844783165239298 x	STOP running wide!!!! #EaglesNation #Eagles #EaglesTalk
23457587_277473034317754368 x	View from the press box @ Nepture vs Hamilton North #highschoolfootball #media #neptunehighschool  #hamilton http://t.co/eH3mL8gc
23457587_277469929035411456 x	Central group 3 championships. Hamilton North vs Neptune #highschoolfootball  #media #neptunehighschool #nep http://t.co/3TpGBqI7
23457587_277464253760434176 x	Florence Flashes win central jersey qp 1 title. #highschoolfootball
23457587_277221125392580608 x	@EGCrystal no way.. Always date someone that can see you. ;)
23457587_276661292297748480 x	RT @AsburyParkPress: #12-12-12 concert with @BonJovi, @Springsteen to air free in some #NJ shore movie theaters: http://t.co/Jj4xBu8g|
23457587_276112288077987842 x	RT @Saints: Brees is 4-0 vs the Giants with 11 TDs, 0 INTs & 122.1 QB rtg. In past 2 meetings: 8 TDs, 0 INTs & 143.8 rtg #NOvsNYG
23457587_275971188801560576 x	@WIPMorningShow book title: "A Long Road to Nowhere." #AndyReidsNovel
