1400233291_392103441230995456 x	@JessicaVarsity cute zombie
1400233291_378663106005970944 x	RT @lNVENTlONS: Everyone should have this in their home. RT if you agree! http://t.co/pNojX8qhcy
1400233291_378646829535330304 x	@katiefirstlady yeah you should
1400233291_378359242694328320 x	"@sexi_mexi1388: Boyshorts+no bra= relax time ;) http://t.co/NYRWT1hqA1" looking good!
1400233291_377983962947547136 x	#WCW @amberyoung86
1400233291_377966035506581504 x	DAMN shame http://t.co/1na42o9WDu
1400233291_377962562224402432 x	#WCW http://t.co/Q0cz4sRzmR
1400233291_377272408266510336 x	Arsenio Hall still got it
1400233291_376931019045482496 x	RT @foreverjiggly: #RETWEET THIS! FOLLOW ME AND EVERYONE WHO RETWEETS FOR 99+ FOLLOWERS FAST #InstantFollowBack #Follow2BeFollowed  #Smallz?
1400233291_376928982979321856 x	@IsntSheG0RGE0US looking sexy.
1400233291_376757700178509824 x	"All Day" is a beast. DAMN
1400233291_376756943601549312 x	@PurpleThin looking good
1400233291_376710294506311681 x	"@PlaymateJamie: Im a cowboy fan all the way. Im predicting that they making it to the Super Bowl this year #Cowboys" DAMN right
1400233291_375616598826291201 x	"@sexualflowers: rt fr a follow back http://t.co/KNKGFy8Mbf"
1400233291_375466062609125376 x	RT @oishap: Press RT if you like! http://t.co/kJoIqBflHO
1400233291_375461719768059904 x	@IllestRealistxo hey you look good
1400233291_375465517588709376 x	@IllestRealistxo can I get a follow
1400233291_374539623395233792 x	Birdemic how not to make a film
1400233291_374329821838737408 x	"@FunnyPicsDepot: Retweet if you want this... http://t.co/rSsLe7STWH"
1400233291_374035865192124416 x	"@foreverjiggly: ALRIGHT IM DONE BUT #RETWEET THIS FOR A FOLLOWBACK"
1400233291_373655361817178112 x	Fool once shame on me. Fool me twice and they will never find your body.
1400233291_372514744730923008 x	Some mother fuckers always gotta try to skate uphill
1400233291_371718555697704960 x	"@Astriddawl: If you are sitting on top of the world, remember it turns over every 24 hours."
1400233291_371656718314266624 x	"@UnrevealedFacts: Retweet if you want to be part of our social experiment! http://t.co/bO7phwvJyl"
1400233291_371559069296771072 x	@amberyoung86 great body
1400233291_371493196963930112 x	RT @oishap: Press RT if you like! http://t.co/JTwRh7PPea
1400233291_371480338704244736 x	I need a drink
1400233291_370569005524082688 x	Sorry Honey It's Thursday
1400233291_369887278690480128 x	Need new contacts #bbm pin:24F31907 add up
1400233291_369878831651647488 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME & @itsXL  EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST!  #Follow2BeFollowed #Peaches?
1400233291_369677145440018432 x	"@oishap: Press RT if you like! http://t.co/KNj4pP5IzK" very cute
1400233291_369295477017411584 x	RT @starzz2929: I bet y'all won't retweet it http://t.co/DQGEiiqvFA
1400233291_369290582008406016 x	"@_CollegeHumor_: Turning my give-a-fuck-o' meter down. ? ? ? ? ? ? ?"
1400233291_369096479282970625 x	About to go Super Saijin 3
1400233291_368961416545308674 x	@ADRUNKWHITEGIRL you're sexy
1400233291_368954425559093248 x	"@oishap: Press RT if you like! http://t.co/O6NyKgRx6z"
1400233291_368610326536663040 x	@Jami_Rae looking good
1400233291_367850010236317696 x	"@LensBeauty: #realgirls #fitbeauty #fitbody #sexyasfuck #hardbody #sexyabs #sexybabe #hotasfuck http://t.co/jp9UPBUcL6" perfect body!
1400233291_367351546855428097 x	"@lssued: hate someone? http://t.co/uZrlUTfls1" I like that
1400233291_366042417989816320 x	@_RaeWalker thanks for the follow
1400233291_364072572092030977 x	"@sarahpinkypink: The?bigGER *The *?Dream........ The ?Harder *The ?Grind......"
1400233291_363679306557308930 x	@CAmour_ good morning to you
1400233291_363679136104988672 x	@thatkateegirl good morning
1400233291_363674202362380288 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed ?
1400233291_362440119447339008 x	RT @RealAva_Group: #sharepict from My #bbm #REALAVA | Name's Thataa | Give Me 100 #RETWEET First if U really want her PIN | http://t.co/Tp2?
1400233291_362434356784009216 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed ?
1400233291_361567193248436224 x	Time and money : 2 things that are never extra
1400233291_360989933722284032 x	@Fuck_Finn thank you for follow
1400233291_360245908979449857 x	@TwiiterRich   I say Yes
1400233291_359499476458668032 x	RT @RealJaun: Suicide Hotline: 1-800-273-8255  A simple retweet might save someone's life <3
1400233291_359323385869766656 x	"@LAthomas_: I hate when I wake up early and I still have to rush because something happens"
1400233291_356424421742886912 x	RT @GhettoChiIdren: George Zimmerman and Casey Anthony both found not guilty http://t.co/QuNIpwyMEf
1400233291_356268205779599361 x	People who are orphans are twice as likely not to have parents
1400233291_355883225387773953 x	RT @katiefirstlady: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed?
1400233291_353198432397193216 x	What the fuck! http://t.co/plNxcUnAq8
1400233291_353143899482624001 x	Everyday is the dawn of a new error
1400233291_352976778261839872 x	The Roots, John Mayer, Jill Scott. Ne-Yo and Kevin Hart as the host hell of a free concert and fireworks Love Philly
1400233291_352401619490582528 x	@Caramille_ you look good
1400233291_352391211039997954 x	RT @imthatasianboy: Who else takes the 'L'' and ''R'' on their headphones very seriously
1400233291_352253337317543937 x	RT @SUPPERGlRL: #RETWEET THIS! FOLLOW ME (@katiefirstlady ) & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST!!! #TeamFollowBack
1400233291_352250428752277504 x	RT @katiefirstlady: #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RTS THIS FOR 50+ FOLLOWERS FAST! #JamiRaeFollowTrain #Follow2BeFollowed #?
1400233291_352249229336518657 x	@AmandaBynes your beautiful the way you are
1400233291_351444688357699584 x	RT @perform: When you're at an airport, add "?.jpg" at the end of any URL to bypass the expensive WiFi and access the Internet for free.
1400233291_351289065489969152 x	Barbarella real cheesy even for the 60s
1400233291_351242567578427393 x	Children of a Lesser God. Forgot how good that movie was
1400233291_351233266059186176 x	I can't write str8
1400233291_351205779400962049 x	RT @0rientalBitch: Watch out for me tonight! ? http://t.co/orUNRXbjAu
1400233291_350999729754214400 x	@yourloveskarlet alotta times sense isn't all that common
1400233291_350819989164527617 x	RT @o_0prettyflaws: #90sBabyFollowTrain    1.Retweet This ?   2. I'll Follow You?   3. You Follow Back?   Gain 50+ followers ?  #TeamFollow?
1400233291_350818313179365377 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowe?
1400233291_349900544447479811 x	@MissChristineK Happy Birthday
1400233291_349580986931097600 x	@Cum_n_mybooty yes its better
1400233291_349579230226546688 x	"@Cum_n_mybooty: RT IF YOU GOT A BLACKBERRY"
1400233291_349388644445990913 x	RT @ChampagneLove_: RETWEET if you still support him ------> http://t.co/caH7796DVF
1400233291_349352660123660289 x	Fall down 7 times get back up 8
1400233291_348821491397304320 x	@LeshaIAm. Nice tat
1400233291_348277300346884097 x	RT @AyoitsDeandre: I Want A Marriage Not Just a Wedding? I Want A Family Not Just A Baby? I Want A Home Not Just A House? I Want A Future N?
1400233291_348034914672848897 x	Have a great morning
1400233291_347691436000546816 x	RT @StayChiIl: Don't stop retweeting this! http://t.co/N2ZJzKWw
1400233291_347559678437380096 x	@ChampagneLove_ you are not the only one
1400233291_347205538653802496 x	The best 2 words in sports : Game 7
1400233291_347203187167592448 x	RT @HolaBonitaaa: #RETWEET THIS! FOLLOW ME ( @HTSvixenss ) & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Tayl?
1400233291_346831427645620224 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME (@YoungSwagTNS ) & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack  ?
1400233291_346828193740771329 x	You used to look good from a far but now your far from looking good
1400233291_346457168490418176 x	Heat have no fire. Spurs put it out
1400233291_346272700483899392 x	Is it in you? http://t.co/7tYrzSxc8a
1400233291_346235763597402113 x	Its the devil and he always wants to dance
1400233291_346126496378798080 x	WTF ? Weed is legal in 2 states. Having sex with a horse is legal in 23 states. Good job America"
1400233291_346124114882342913 x	Dr. J IS a legend
1400233291_346114848431689729 x	Misunderstand don't have to be explain
1400233291_345763520123650050 x	@__LishaB you have a sexy look
1400233291_345759821489913856 x	@katiecumsquick both AGI are dead sexy
1400233291_345740399379378176 x	She  Can't Understand Normal Thinking
1400233291_345739274542514177 x	RT @katiecumsquick: 1. Follow @iCudGivATityFuk @TeamDangerCity @Dangercity @FGSxo  2. #RETWEET Her #TityFollowTrain  3 Gain 100+ followers ?
1400233291_345739049572630529 x	RT @iCudGivATtyFuk: #RETWEET &FOLLOW @TheRealKmoon ME & EVERYONE ELSE THAT RTS THIS FOR 500+ FOLLOWERS FAST #TeamFollowBack #Follow2BeFollo?
1400233291_345621236338028545 x	Being broke is childish; I'm trying to be an old man
1400233291_345582467564056576 x	I don't wanna choke you. I just wanna give your throat a hug
1400233291_345545938938499074 x	RT @katiecumsquick: *LADIES SECRET TO A HAPPY MAN*  Step 1 feed him  Step 2 F*ck him Step 3 leave him alone Step 4 enjoy your happy man #re?
1400233291_345386391779291136 x	RT @katiecumsquick: RETWEET?GAIN ?????????? #TeamFollowBack #TeamDCE #tityfollowtrain #jojofollowtrain  #Retweet FOLLOW @katiecumsquick @Da?
1400233291_345385763262840832 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME (@DorianParks640 )  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBac?
1400233291_345380626335154177 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowe?
1400233291_345367931812732928 x	Let's go Heat
1400233291_345268119826202624 x	RT @0rientalBitch: RT for a follow back. (must be following me)
1400233291_345268023864729600 x	@0rientalBitch do you honey. And keep looking good doing it
1400233291_345246042826084352 x	When its time it is time
1400233291_345239183209672704 x	@AmandaBynes one of the funniest and hottest around.  Keep doing you
1400233291_345170274032959488 x	@Pierceparawhore you have a great look
1400233291_345042870748729344 x	@katiecumsquick nice looking dish
1400233291_345044487833268224 x	@katiecumsquick so do I. I do it for a living
1400233291_345046697786892288 x	@katiecumsquick I do what I can
1400233291_345045262131138560 x	Watching the Elephant Man
1400233291_345042249882669057 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed ?
1400233291_345021997635477505 x	RT @iCudGivATityFuk: I'm giving you followers.... All you need to do IS RETWEET MY LAST TWEET & Follow to be followed #TityFollowTrain
1400233291_344658104685834241 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME (@FUCKYOUXAVIER ) & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack ?
1400233291_344655976735064064 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed ?
1400233291_344653593804161024 x	RT @iCudGivATityFuk: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowe?
1400233291_344315013386862594 x	RT @sohansja: #RETWEET THIS! FOLLOW ME  & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed #Tity?
1400233291_344311695252008961 x	#TITYFOLLOWTRAIN
1400233291_344307497756155904 x	This space for rent
1400233291_344156506658336768 x	Kill them all; let God sort them out
1400233291_343821290295156736 x	Trying to stay bullshit proof and sucker free
1400233291_343760731331784705 x	@0rientalBitch you are the sexiest MF on this thing
1400233291_343747539675262976 x	@iCudGivATityFuk you look pretty damn good
1400233291_342473685036306432 x	@kaeelemenowpi great job on the body
1400233291_341520275327823872 x	pin:282B261F #bbm add up find out who I am
1400233291_340460208088313857 x	@0rientalBitch the sexiest thing on the planet
1400233291_339439492178001920 x	The water is gone and the land is dry, so why do you still wear your pants so high.
1400233291_339066767710248960 x	Miss you
1400233291_338667360330342400 x	#bbm need new friends add me pin:282B261F
1400233291_338664166279770112 x	Need new friends please add me pin:282B261F
1400233291_337808059323805696 x	Bobobo-bo Bo-bobo
1400233291_337073295868436480 x	RT @0rientalBitch: Stop paying for followers and hop on the @iCudGivATityFuk train! Follow her and RT this to get followers!
1400233291_336183123899457538 x	Wow Flash dance is on
1400233291_336125356601917440 x	RT @AmandaBella0911: RT @2Kavitha: If u like RT this pic  http://t.co/7b4nL67FvD
1400233291_334136112123609090 x	Add me pin:282B261F #BBM
