110221799_376445359641223168 x	@enosarris or per se
110221799_243740066646732801 x	@MatthewBerryTMR  I think I love DMartin more than you. I took him over JCharles in the 3rd rd of a 12 team ppr. My friends think I'm crazy.
110221799_230028762929045504 x	@CSNPhilly @The700Level It makes total sense.  Phils need offense.  Mike Olt would look good at the hot corner.
110221799_230028093622976512 x	@JimmyChairman so true jim
110221799_147067165235884032 x	Check my write up on http://t.co/OCM0tbDD about the benefits of # organic hair color Sharing from http://t.co/CRAAKWeI http://t.co/XIHLvOiV
110221799_94442560654807041 x	@NeilCarty You will probably be the coolest person there.  Not a compliment. ;)
110221799_87274693538754560 x	I'm at lake burger in fort worth with my kin. And by lake, I mean an over-crowded man made swimming hole. I think that sums up life for me.
110221799_87240640416595968 x	Texas forever
110221799_85473224955138048 x	In LA this week shooting a spot for Total Beauty. The weather is so nice in southern cal.
110221799_83994933731667968 x	Flyers trade carter and Richards. I like it.
110221799_74139839842365440 x	Watch me tonight and all all weekend on e! news. They are running my piece on redheads. Tonight on e! at 7:00 and 11:30.
110221799_71707961134817280 x	Just wrapped up shooting the Blake lively/rihanna red hair piece for e! news live. It will air next week. I will keep you posted.
110221799_71316116990992384 x	I found my models! Thanks everybody for your help.
110221799_71283176969998336 x	Looking for a girl who is willing to go from blond to strawberry blond, a la Blake Lively.  Its for a spot on E! News Live.  11am Tomorrow.
110221799_45944094626816000 x	RT @SI_PeterKing: Just watched handheld replay of Kemba Walker's sick gamewinner at MSG here in Wash pressroom on @judybattista's laptop ...
110221799_43037624193138688 x	Charlie sheen!!!!  Sorry, I just want to tweet his name.
110221799_42651688280129536 x	Check out my quote in this article.  How to Choose a Pixie Cut - Life & Beauty Weekly http://t.co/5EtSHKF via @AddThis
110221799_42651069905502208 x	RT @LifeAndBeauty: Dying to try a pixie cut a la Emma Watson? Follow these tips to get  your very own version in no time! http://ow.ly/4 ...
110221799_8275750603984896 x	Awesome Kanye rant at the bowery Thursday night.  Report: Kanye Raps, Sings, Rants at NYC Gig (via @pitchforkmedia) http://t.co/aItGXOS
110221799_20425544843 x	I feel like stephanski http://j-tv.me/9BxzjY  #petergw
110221799_20425400354 x	I feel like i'm going to be in the 8 spot http://j-tv.me/9BxzjY  #petergw
110221799_20425270734 x	Hi Raquel http://j-tv.me/9BxzjY  #petergw
110221799_20425227012 x	???? http://j-tv.me/9BxzjY  #petergw
110221799_20425204450 x	Am I Jeff http://j-tv.me/9BxzjY  #petergw
110221799_20425151839 x	I can hear and see yall http://j-tv.me/9BxzjY  #petergw
110221799_20425137181 x	I feel left out.  I want to be on speaker http://j-tv.me/9BxzjY  #petergw
110221799_20425087649 x	Maybe I'll take Stacey Andrews instead http://j-tv.me/9BxzjY  #petergw
110221799_20424975788 x	I'm taking PacMan #1 overall http://j-tv.me/9BxzjY  #petergw
110221799_20424894005 x	Is Frenchman in the house? http://j-tv.me/9BxzjY  #petergw
110221799_20424865295 x	Can you guys see my tweets? http://j-tv.me/9BxzjY  #petergw
110221799_20424844172 x	Hi Justin http://j-tv.me/9BxzjY  #petergw
110221799_18464707064 x	@sarareistadlong use
110221799_14306437701 x	@petergw11 Love it.  They should throw in Sammy too.
110221799_14250310742 x	I like Evan Turner. But you HAVE to take John Wall #1.  ANything else is malpractice.
110221799_14248707465 x	Its ironic that Sixers are sending J Holliday to the lottery as their good luck charm.  If he gets "lucky", he'll lose his job to John Wall
110221799_14250079062 x	@petergw11 I agree.  Orlando is a lock tonight.  They're favored by 7.5.  I just think tonight will be the only game they win.
110221799_13857661542 x	After what I saw last night, I'd rather have Wade.  Eff LeBron.
110221799_13329446532 x	@petergw11 i'll guarantee one of those voters is employed by the la times
110221799_12648157896 x	I can't wait for the Eagles to draft Eric Berry so the Philadelphia fans can mispronounce his name for the next 10 yrs by calling him Bury
110221799_12584004542 x	I wouldn't trade a 3rd round pick for Ben.
110221799_11614206059 x	Bye 5.
