290105256_389255577232482304 x	It's a ?kinda weekend
290105256_391522195765460992 x	@keecher9 can we meet half way??? #GoArmy
290105256_391521653760749568 x	@NotTheFakeChad you kiss Tina with that mouth!!
290105256_391227446663847937 x	RT @WolfpackAlan: Me: Hey sexy Girl: Uh.. hi Me: There's gonna be 7 planets. Girl: Why?  Me: Cause I'ma destroy Uranus girrrrrrrl.
290105256_391024841190821888 x	@cass_whole I will not be hitting you up when I come to IUP
290105256_391025525227278336 x	@cass_whole you know why!!!
290105256_391025262550601728 x	RT @FourestGump: The times of struggle will make you stronger.
290105256_390447572470743041 x	RT @FoxNews: 'Grown men began to weep' when injured #Army Ranger, believed to be unconscious, salutes at medal ceremony http://t.co/gomugSQ?
290105256_390278425761812480 x	RT @FourestGump: I love you Jenny
290105256_390252021041070080 x	RT @FOX29philly: Wounded Soldier Photo Goes Viral: Some are calling it the "salute heard around the world" after a photo of a w... http://t?
290105256_390168603091558400 x	RT @Eagles: #Eagles @MikeVick: We need to win the next football game ... this rivalry is a big one for us.
290105256_389726941194240000 x	RT @DunkinPhilly: Eagles Win.You Win! Free Med. Coffee coupon on DD App TODAY in Philly Area! http://t.co/hp41PR7Krl http://t.co/J5tlFB4VTy
290105256_389531277625655296 x	RT @ESPNStatsInfo: .@DenverBroncos and @Eagles join 2007 Patriots and 1983 Chargers as only teams in NFL history with 400 yards in each of ?
290105256_389187809040687104 x	Wc Homecoming is complete @Ashleyy_Niicole kiss me #inlove
290105256_389098530771857408 x	@godioflo we miss you
290105256_389089245165797377 x	RT @NotTheFakeChad: Day drinking is Americas past time ???
290105256_388842925842771968 x	@NotTheFakeChad: I'm a 4-0 football coach...take picture w/ me instead of the kid who was on the voice
290105256_388758362277818369 x	I would love to my nephew Bryce... Sleep all day and gets someone to wipe his ass
290105256_388727527545769984 x	@DanaChristineC I love you
290105256_388724059095453696 x	#dirtyimagine #selfie #needhelp? http://t.co/jJmvmTTr0n
290105256_388725604130254849 x	@Coach_Conaway @DanaChristineC
290105256_388659985716371456 x	RT @blakeshelton: I believe you can tell a lot about a person by watching they way they drive. Which makes me an idiot....
290105256_388636715373834240 x	@Ashleyy_Niicole dear love, are we hanging this weekend from secret admirer
290105256_388638595730661376 x	@Ashleyy_Niicole score
290105256_388409877195788288 x	@Joe_Erhet I have a solution.... Don't go!!! Save so much time and worry!! #dropoutknowledge
290105256_388122816476090369 x	@cass_whole are more excited then you where for the county fair #townie
290105256_388124331328700416 x	@cass_whole you know townie always get to me #fetish
290105256_388125738333126656 x	@cass_whole if you kiss when I come up then yes?
290105256_388127557973204992 x	@cass_whole I'll be there before you know it
290105256_388087446455742464 x	@Joe_Erhet did you know they talked about global warming on the pilot show for fresh prince... Didn't know we had that problem back then
290105256_387941722715865088 x	@Ashleyy_Niicole I can make it easier!!
290105256_387985939953618945 x	I can't hide this anymore.... I'm in love with @Ashleyy_Niicole #marryme
290105256_387986846577614848 x	@shoreshorty14 @Ashleyy_Niicole No... Just with all my love
290105256_387986706240385025 x	RT @shoreshorty14: @Coach_Conaway @Ashleyy_Niicole did you get her with your great pick up lines?
290105256_387982845865918464 x	??????????
290105256_387785761820794880 x	You what I like most about twitter???? No relationship statues
290105256_387780946734616576 x	@JanelleStawasz damn I always got that award #thanks
290105256_387604258860044288 x	@Heardthiswasfun @tesssyymo21 gotta show your respect
290105256_387218222019534848 x	Thanks @Eagles for winning so I could get my free coffee from @DunkinPhilly #ifitsfree #itsforme http://t.co/triC9c0zEI
290105256_387038001265913856 x	RT @LifeAsRednecks: Sunday is made for:  1. Church  2. Football  3. Relaxing  #Merica
290105256_386946075300753408 x	RT @number1lunchbox: Merrill asks and Merrill gets
290105256_386307931643588608 x	We are on the bush pounder power play @ataggart09
290105256_386238108804874240 x	Who wants to somf?
290105256_386004469093502976 x	@Hire_Drama I would give my left nut or maybe my right to be at IUP this week but my dad was born 50 years ago coming this weekend  #bigdeal
290105256_386003672213499904 x	@Hire_Drama the last thing I wanna be doing right now is working... The first thing I wanna be doing is driving to IUP
290105256_385561746960031744 x	RT @NHLFlyers: B. Schenn with the goal off a beauty of a set up from Lecavalier.
290105256_385400442253242368 x	RT @Sixers: #TogetherWeBuild http://t.co/Kk5AklcU2v
290105256_385226770628501504 x	Slingshot....Engaged
290105256_385087914025451520 x	@Strib56 when in Rome
290105256_385075515717320704 x	Girl: hey... You look very familiar?    Me: I gave you the nope on tinder #maybenexttime
290105256_385079628786069504 x	@honestE87 sadly not... Dads 50th
290105256_385075897327681536 x	PROTECTED
290105256_385079330134839297 x	@Heardthiswasfun thanks for the help
290105256_383185238404632576 x	RT @WolfpackAlan: my neck   my back   go get me   a snack
290105256_383051320116387840 x	@Joe_Erhet you join tke
290105256_383053811092566016 x	@Joe_Erhet urban myth of some crazy honkies that ruin jack and dale life
290105256_382904171005218816 x	@jackieeejose ?
290105256_382859210566164480 x	That's all I gotta say about that
290105256_382689769425494016 x	RT @FourestGump: Stupid is as stupid does.
290105256_382322897404325889 x	?@D1FootballFan: D1:North Penn shuts out CB East for 1st win #PIAA #football @GameTimePA_SE  http://t.co/tskxAxwAcp? @NotTheFakeChad
290105256_382177141049528321 x	Einhorn is Finkle... Finkle is Einhorn
290105256_381822393611980800 x	RT @Laughbook: This is how my week goes: Mooooonnnnnddaaaaaaaaay Tueeeesssdaaaaaaayyyyy Weeedddnnnesssdayyyyy Thursssssdaaaaaaaayyyyy Frida?
290105256_381764583683522560 x	@DanaChristineC right on!!!
290105256_381751508930691072 x	What...where...when...why #reallifeproblems #notagain
290105256_381499832223150081 x	@shearer_david @estoll30 WE CAN DO THAT!! #gt #badass
290105256_381259861902000128 x	@megkel315 @murpheezlaw count me in
290105256_381149194037526528 x	RT @Sjon412: WEEEEKKKKEEENNNNDDD
290105256_381125548678053888 x	@NotTheFakeChad who the hell are you?
290105256_381126605017735168 x	@NotTheFakeChad your a cracker w/ rents who have ???
290105256_381127808065761280 x	@NotTheFakeChad happy hour?
290105256_381128561643778049 x	@NotTheFakeChad let's have a post game interview about the game
290105256_381125502930792448 x	RT @NotTheFakeChad: @Coach_Conaway your poor
290105256_381118086352732160 x	@estoll30 @Strib56 can I get in in this?
290105256_380661196816658432 x	@Hire_Drama a cracker gotta work bro but ill be listen and @Joe_Erhet oct 5th and 6th is my dad 50th so this cracker can't go ?
290105256_380657647978307584 x	Congrats to @donovanjmcnabb but let's kick Andy's a*% tonight #FlyEaglesFly
290105256_380517074441089024 x	RT @MikeVick: Man we need this win..... Let's get it Philly. #BLEEDGREEN
290105256_380507443102773248 x	@Joe_Erhet when's homecoming? #hopefullynextweekend
290105256_380506396955271168 x	RT @LifeAsRednecks: RT if you can't wait to drink a beer with your son one day
290105256_380302280433885184 x	RT @Laughbook: When I have children, I'm gonna make them watch the movie 2012.. And tell them I survived that like a boss.
290105256_380302203057364992 x	RT @ayanna_alexis: Hey hey guess what day it is?
290105256_379984929226248192 x	RT @LifeAsRednecks: America runs on country boys and girls, cold beer, trucks, hunting , fishing and country music ????????
290105256_379333702989664256 x	Hey...we still have all of our timeouts!!!! #SDvsPHI #FlyEaglesFly
290105256_379326838730133504 x	@Hire_Drama finally!!!!!
290105256_379326465026060288 x	@Hire_Drama I'm pretty sure it's around 30
290105256_379310504457801728 x	@NotTheFakeChad @thekidmcmanus...would of hit that
290105256_379089068384342017 x	Tom Cruise Aka Joe Godio https://t.co/sG0fjN9yFj
290105256_378527819883876352 x	RT @MensHumor: It's Friday. Brain, you're out. Liver and wallet, you're in.
290105256_378526654454583296 x	@chelseastover thanks for the invite
290105256_378527001189294080 x	@chelseastover ill buy the rubbers
290105256_378474828589965312 x	Friday... Say what!!!!
290105256_378323116747145216 x	RT @LifeAsRednecks: Speak English or get out
290105256_378152823072256000 x	RT @Laughbook: I really need a day between Saturday and Sunday.
290105256_377979109936496640 x	I can go for a psl @tesssyymo21... How about you?
290105256_377785436128935936 x	RT @MisterCBooz: Remember Those We Lost... Remember Those Who Showed Courage.. Remember Us Who Were Blessed To Still Be... God Bless! http:?
290105256_377676594573508609 x	????????????????????> every other bitch as country
290105256_377676024395595776 x	@kevingalgs @mjrokino do the frat thing?
290105256_377609223552892928 x	@Hire_Drama we gotta make it back when we are 40
290105256_377521891495669760 x	RT @Laughbook: Showers are amazing. They make you feel nice and clean, make you sound like a professional singer, and help you make all of ?
290105256_377243157765058561 x	RT @MensHumor: How Chip Kelly answers those who doubted his offense. (Holy Shit! Must See) http://t.co/dfDo9d3zg0
290105256_376735262904426497 x	RT @FourestGump: Life goes on.
290105256_376230213493207040 x	Drunk @nicoletispageti: cow tail, chocolate milk watching kenan an kel #DrunkHistory #imhome
290105256_376215485475749888 x	@christonemcdyre bud light!!!
290105256_376215401161846784 x	RT @DickieV: Yes tomorrow at this time IRISH r  2-0  -find a way to leave the Big House with 24- 21 W over Wolverines! @CoachBrianKelly  @D?
290105256_376193973792305152 x	Pumpkin spice latte is amazing #whathaveibeenmissing
290105256_375441867544203264 x	RT @LifeAsRednecks: A girl in cowboy boots >>>
290105256_375007536489197568 x	RT @MychalKendricks: What Brotherly Love Truly Means. http://t.co/16BYR1AqTv #FlyEaglesFly
290105256_374567653677211648 x	RT @Eagles: #FlyEaglesFly
290105256_373399870314672128 x	RT @MrRugsBunny: Dad: "And now we pray" in regards to getting this plane to ND on time ? http://t.co/fMq1jP7l9n
290105256_373331098748862464 x	?@NotTheFakeChad: @keecher9 should I transfer to Hawaii university??
290105256_373268695445159936 x	RT @MensHumor: Sitting down to take a piss because you don't trust the fart on deck.
290105256_373259413345558528 x	RT @espn: There's football on tonight. There's football on tomorrow. There's football on the day after that.  Get used to it.
290105256_373096386973417472 x	One strap or 2 strap it #reallifeproblems
290105256_373097625907904512 x	@abracaGABraa that was a close one #yourTheBest
290105256_373036251328552960 x	Back on my grind #Back2school #take2
290105256_373072446150434816 x	@ayanna_alexis mc3
290105256_373075214357508096 x	@ayanna_alexis I Usually Party #bestpartyschool #missit
290105256_372668444124405760 x	RT @MensHumor: Next on the agenda...Sleep.
290105256_372668276524191744 x	RT @UrbanEngIish: "I don't trust banks" = I can't get a bank account in my name.
290105256_372020737961623552 x	RT @NHLFlyers: RETWEET and help us wish Wayne Simmonds (@Simmonds17) a happy birthday! http://t.co/i5vII3mFHT
290105256_370170542479147008 x	RT @ochocinco: Dear God I humbly bow my head & ask that u continue to bless & look over all my followers especially those going through a r?
290105256_369847126681202688 x	RT @Laughbook: Two days is not enough time for a weekend.
290105256_369842974303465472 x	RT @Eagles: Head Coach Chip Kelly: Michael Vick is the starting quarterback for the #Eagles. http://t.co/Bfm4XDPQoa
290105256_369435261668564992 x	Today's Monday opinion by @Heardthiswasfun "no eggs on Mondays" #hopefullyididntmessup #finally
290105256_369345777606221826 x	?@UrbanEngIish: "Back to school" = Welcome to hell once again.?
290105256_369265796511305728 x	@Heardthiswasfun my parents said I have delete tweeter #adiosamigo
290105256_369258014177374208 x	I hate tweeter @Heardthiswasfun #CantHandleit #toomuch
290105256_369251528844267520 x	RT @Phillies: The first of many winning post-game interviews to come. Congratulations, Ryne Sandberg! http://t.co/mho0pjJiei
290105256_369084662507118592 x	RT @Laughbook: Do you ever just wake up and go ?nope? and roll over and go back to sleep.
290105256_368972401780207616 x	RT @FourestGump: Love is sweet when it's new, but even sweeter when it's true.
290105256_368898394686648320 x	@Joe_Erhet remember when my rents went buck wild at Iup #IUsuallyParty
290105256_368786358958968832 x	@Joe_Erhet what an ugly.....blanket
290105256_368785903314944001 x	RT @NotTheFakeChad: The south really hates Obama. Every over pass has honk to impeach Obama and everyone cheers when you honk
290105256_368461253846765568 x	RT @Espngreeny: Thrilled Ryne Sandberg finally gets his chance. Great player, classy person. I'm rooting for him big time. #Phillies #Cubs
290105256_368460319179673600 x	@Heardthiswasfun see what happens when you go to Pittsburg... Phillies fire Charlie
290105256_368461146720071680 x	@Heardthiswasfun ????
290105256_368460140204531712 x	RT @Heardthiswasfun: What will the phillies do without their heart #teamcharliemanuel
290105256_368455680019427328 x	?@ScottmanBill: Hahaha this California little league team is so bro?.... I wish I had flow like that
290105256_368455509453856769 x	RT @johnclarknbc10: Charlie Manuel only manager/coach to bring championship to Philly over last 29 years. Class guy http://t.co/AXoGGiSnJk
290105256_368455330638094336 x	RT @TonyBrunoShow: Call me a softy, but I didn't have the same feelings at the Andy Reid or Doug Collins exits this year.Charlie will alway?
290105256_368455153583931392 x	?@Laughbook: Sarcasm is the best answer to a stupid question.? @Heardthiswasfun
290105256_367993250772422656 x	?@Heardthiswasfun: Jelly and butter on regular bread just isn't as good #notimefortoast? #captinObvious
290105256_367995935936479232 x	@Heardthiswasfun #suckattweeting
290105256_367997044839157760 x	@Heardthiswasfun not cool
290105256_366872387263791105 x	RT @Laughbook: "Retweet if.????????????????????????????????????you thought something was on your screen.  "
290105256_366593048664211458 x	RT @espn: There's a reason they call him "His Airness." Michael Jordan, at age 50, can still dunk (via @MJFlightSchool) -> http://t.co/zuUZ?
290105256_366565293365014528 x	RT @36westbrook: Me and my young boy http://t.co/mX7k1Fv9BL
290105256_366370203250077696 x	Your the fucking man @blakeshelton
290105256_366564999340101633 x	?@AshleyDillinger: @Coach_Conaway you're*? thanks!
290105256_366217109438607362 x	Case close!!! @tumaszm peed on my couch...#bedwetter #sellout
290105256_366216620076576770 x	@tumaszm @DanaChristineC @asup179 three... When you drink your pee doesn't smell like your normal pee
290105256_366216596995309569 x	@tumaszm @DanaChristineC @asup179 two... You took your pants off to dry
290105256_366216582025842688 x	@tumaszm @DanaChristineC @asup179 wanna talk about evidence!!! One... Huge wet spot
290105256_366207070489415680 x	@asup179 @tumaszm couch wet and it wasn't at the ends of the couch... Directly half way... Right where your junk would be
290105256_366194131153846272 x	@tumaszm pee the couch #lightweight
290105256_366205697014243329 x	@tumaszm the couch was wet
290105256_366097314185625600 x	Tom being Tom https://t.co/EbMYkkTkKv
290105256_366096781408337920 x	Part 2 https://t.co/gQ315CDqBC
290105256_366095562296143872 x	Irish only!!!! https://t.co/G6Azr8slHo
290105256_365614051872620547 x	Fun is slide w/ Bryce https://t.co/Gv96wvpYp6
290105256_365184443960393728 x	Bryce is going to find spongebob!!! https://t.co/UAMWjuYpdl
290105256_365184430937079808 x	Soo good soo good https://t.co/kmFBOKMvKf
290105256_363117978646089729 x	http://t.co/5CVbZ6Hd1U
290105256_362958116235010048 x	RT @WIPWingBowl: If Brad Wing makes the @Eagles, he's thinking about competing in Wing Bowl 22! | http://t.co/BkitOP8Hzh
290105256_362956077349871618 x	@patwhite9126 young play first Ashe at 3rd
290105256_362957158704349185 x	@patwhite9126 outfield till brown gets back but they should trade young and they might still hopefully!!
290105256_362952003900542977 x	?@Sevens: It's official! http://t.co/sDx2kz1qGk?hahahahahahahahahahahahahahahahahahahahahahs
290105256_362949856522153984 x	RT @UrbanEngIish: "It's not even her birthday, but I wanna lick the icing off." = I eat ass with no shame.
290105256_362232503110606848 x	@leahtorri maybe but a few weeks ago I was listen 2 94.1 n he sometimes talks on the show n said he didn't have a tweeter n there a fake 1's
290105256_362231515733692416 x	?@abracaGABraa: If someone wanted to set the exton mall on fire or blow it up, I wouldn't object to it ???...ur a terrorist!!!??????????????
290105256_362231048559525888 x	@leahtorri I think that's a fake one
290105256_361833493078097923 x	RT @LifeAsRednecks: RT if you drive a truck!
290105256_361134075764948993 x	@honestE87 I would too if I lived in Pittsburgh
290105256_361150398708453376 x	@honestE87 got sand in your vagina?? I heard taking a shower helps with that
290105256_360908053484285952 x	@TonyBrunoShow buying now???
290105256_360830973174235136 x	RT @TonyBrunoShow: #TrainingCamp2013  Eagles Johnson > NY's Weiner    #Eagles
290105256_360819582216318976 x	@TonyBrunoShow how's Lane Johnson looking?
290105256_360817562604404737 x	Your mama sure cares about your education #forrestgump #bestmovie
