40263343_397746711990665217 x	@maryaa_k Let us know what you get :)
40263343_398147795749986304 x	#BlenderBottle Daily Giveaway all month long on facebook: @blenderbottle lovers rejoice! http://t.co/iJI3GacziS #win http://t.co/mkx9UgOXp5
40263343_398166428148174848 x	@yomydj @BlenderBottle Our apologies this contest is only open to US residents.
40263343_398158067420106752 x	@zomaria Yum! Enjoy your workout :)
40263343_398155225078329344 x	@JenkinsChase a Gostak. Here is a link to the product: http://t.co/c6louznsJy
40263343_398142399026692096 x	@mombloggersclub congratulations on hitting 20,000 - we are happy to help!
40263343_398141970369249280 x	RT @mombloggersclub: We're starting our 20,000 member celebration with a fantastic giveaway from @VitaminShoppe!! http://t.co/FsE8gBJpQO #2?
40263343_398141287331016704 x	@KiaraLaChae_ What do you need to get?
40263343_398141149552312321 x	@Neldo23 Nice! What are you getting?
40263343_398132702022737920 x	#Biotin by Solgar is used to support  skin, nails and hair. Learn what else it can do & try some for yourself at http://t.co/xMmjuOQ8dT
40263343_398132307837845504 x	RT @project_mayem: @VitaminShoppe loving the new #bodytech logo design looks awesome
40263343_398131745741996032 x	@project_mayem Thank you! :) We are glad you like it.
40263343_398117614549237760 x	New #VSwinitwednesday unlocked: Enter for a chance to win a recovery pack! #training #fitness http://t.co/05JOq3CgKZ http://t.co/0yX5ZY06Ps
40263343_398107888469954560 x	@freethinkr226 Nice! Welcome back :)
40263343_398107760828882945 x	@SinisterMr Nice! What did you get?
40263343_398107705396977664 x	@daniellleweiss Enjoy :)
40263343_398107504292659200 x	@damightymescan Nice! Enjoy :)
40263343_398105830526304256 x	@Mr_Frantasticc Have to re-up on the essentials!
40263343_398105095008976897 x	@juicykakar Let us know what you get :)
40263343_398104095099457537 x	@RemyK_10 Good luck! Let us know how it goes :) #teamvitaminshoppe
40263343_398094936920559616 x	GIVEAWAY: RT & enter for a chance to win a @AENutrition prize pack worth over $150! http://t.co/OYqDwFsLgn http://t.co/inB3ZNPNlv
40263343_397891096954802177 x	Tomorrow morning we will launch a new #VSwinitwednesday on our Facebook page. Stay tuned?
40263343_397875992846684160 x	Working out never takes more than it gives back. #MotivationNation #Workout #Fitness #iamatrueathlete
40263343_397815621876195328 x	Looking for an AM/PM Power #Cleanse? Well we?ve got you covered!  http://t.co/CHgAMovBHq http://t.co/HM0MAHY5O7
40263343_397800499279568896 x	Head to #Instagram & enter our #vsfallfitness challenge by uploading a photo that matches each day?s theme. http://t.co/AbBu02CXTQ
40263343_397785405334245376 x	#tweetandtell: Which goes first, the protein or the liquid?
40263343_397783439425810432 x	@Json_Raw Please give our team a call and they'd be happy to help with your order inquiry (866)-293-3367
40263343_397770312089341954 x	Did you know @solarayvitamins #triphala extract is made from 3 fruits? See what this supplement can do for you at http://t.co/lHeTC1gKxx!
40263343_397769261344903168 x	Even super heroes support #Movember @MetaNutrition and #metabolicman are joining us ? #vsmovember #NoShaveNovember http://t.co/thBVpAI0lw
40263343_397744383371792385 x	@allexLpoole :) What did you get?
40263343_397751217633234944 x	@allexLpoole Enjoy!
40263343_397744724557443073 x	@Dina_Modlin Thanks for stopping by! What did you pick up?
40263343_397751152558616576 x	@Dina_Modlin Enjoy :)
40263343_397747476054409216 x	@bethhhhhh369 That's awesome! What did you order?
40263343_397747392399040513 x	@MissADS1981 Great way to start the day :)
40263343_397747030837460992 x	@WMilem :) What did you get?
40263343_397746952877928448 x	@Kendralyn101 What did you get? Thank you for stopping in :)
40263343_397746523058241536 x	@Aztecv23 This makes us happy! :)
40263343_397746129406001153 x	@sab1t Love it! What are some of your favorite products?
40263343_397745750782001152 x	@D_GotSpeed What do you need to get?
40263343_397745550726275072 x	@TheDanielGerth That's awesome! Thanks for being a loyal customer :)
40263343_397745414113624064 x	@gmckelvie Awesome! What did you get?
40263343_397745338137997312 x	@MexicanaCrazi1 What do you need to pick up?
40263343_397745270316077056 x	@Steph_Lorraine_ What's your favorite flavor?
40263343_397745082881015809 x	@Shane_Kemp Always fun to talk about supplements :)
40263343_397744999338893312 x	@TheLostKaws Love it! Get those points :)
40263343_397744812008673280 x	@MeritGodbey Nice! What did you get in store?
40263343_397744620891029504 x	@iTzJonBurton Nice! Enjoy your purchase :)
40263343_397744254178820096 x	@lessthanmike Thanks for stopping in. What did you pick up?
40263343_397744123987247104 x	@Tylerice Wow! What are some of your favorite products to get? Thank you for being a loyal customer :)
40263343_397743651679666176 x	@cbaird99 Yum! We hope you enjoy :)
40263343_397740093563478016 x	Want to win a @AENutrition prize pack? RT & enter for your chance. http://t.co/ywFlygWulT |http://t.co/OYqDwFsLgn
40263343_397725025920626688 x	#ElectionDay: Cast a vote for your favorite brand in our Ballot of the Brands! http://t.co/mOJF2wkDiy #vote http://t.co/XNdK6wN8Ft
40263343_397685638281310208 x	RT @KatAnn5: Took my first trip to @VitaminShoppe today, have to say I'm in love! the people there are so knowledgeable unlike other places?
40263343_397528701975691264 x	The gym: Where fat is burned and pride is earned. #MotivationNation #Gym #Workout #Strength #iamatrueathlete
40263343_397528573705465856 x	Getting our sweat on during tonight's workout with some @SweetSweatUSA http://t.co/zyDTQWbfue
40263343_397478794132344832 x	Get ready to cast your #vote tomorrow in our "Ballot of the Brands" 2013 Election, stay tuned to see if your favorite brand made the list!
40263343_397453231670169600 x	If you're looking to build muscle, but are conscientious about what goes into your body try True Athlete #Whey: http://t.co/3f0XBQ2fIK
40263343_397437410960625664 x	RT if you love @blenderbottles - enter today for your chance to win one! #BlenderBottle Daily Giveaway http://t.co/51wRJbfGkK #contest
40263343_397407920838963202 x	We?ve got a wide selection of #Probiotics for you to choose from, shop now at: http://t.co/br1ddAbH71
40263343_397377718213672960 x	CONTEST: RT & enter for a chance to win a @AENutrition prize pack worth over $150! http://t.co/OYqDwFsLgn http://t.co/42VaEu5rKH
40263343_397372060898697216 x	#DOW! Web #deal! Buy one @emergenC  get one 50% off! Shop now by visiting: http://t.co/gXNUehTFd6 http://t.co/cPJZ2mBGKV
40263343_397367251026079744 x	Starting our Monday morning off with a #vitamix smoothie. Delicious @vitamix https://t.co/YGRV00jnq7
40263343_397354031376375810 x	@Al_Neri thank you for your DM. Could please provide your email so we can have someone contact you directly. Thank you!
40263343_397188437222359040 x	RT @JRYbarra22: Thank @VitaminShoppe and Finaflex for the awesome supplements:)!!!!!! http://t.co/rMuBw4nQ5t
40263343_397160206347407360 x	@Al_Neri can you provide us a bit more details. Which store was this in? Feel free to send us a DM or email to socialmedia@vitaminshoppe.com
40263343_397149114980253696 x	Thank you to all our new & loyal followers for helping us pass 95,000! Next stop 100,000! Help spread the word #thankyou #vitagrinning
40263343_397147835743080448 x	RT @ILE_6: Just returned from vacation excited to open my prize! Thank you very much to @VitaminShoppe You guys are great! http://t.co/cFhf?
40263343_397128935169073153 x	RT @KaliRed504Diva: I just finished INTRODUCING my #MoM to my FAVORITE store! We got EVERYTHING we need to get #FIT & stay #HEALTHY @Vitami?
40263343_397105796276027392 x	RT if you agree #qotd #quotes #motivation http://t.co/ihP3QNtOvb
40263343_397060621952622592 x	Don't forget to enter our #VSFanPackFriday for a chance to win an @RSPNutrition prize pack! http://t.co/0lihxG8pM6 http://t.co/AUyGf1BcxM
40263343_397045544251817984 x	#ShoutoutSunday: My current fitness goal is _____. #motivaiton #newmonth http://t.co/q5qokkxp85
40263343_397045533107580928 x	Creatine can help improve strength, power and performance. http://t.co/baoZjaM7PI Try BodyTech #Creatine today! http://t.co/h3MFRDfHZU
40263343_396713344247529473 x	Any @emergenc fans out there? Available now at: http://t.co/04TZOj1qxr http://t.co/61XAWC6RPh
40263343_396668066379366400 x	Are you an @ISOPURECOMPANY fan? Check out our full Isopure offering at: http://t.co/YPIbZLPcEZ http://t.co/vvU5mrLghm
40263343_396652947679223809 x	What makes you a True Athlete? Enter our #iamatrueathlete Sweepstakes for a chance to win a $150 prize pack. http://t.co/gE1VPFw6TN
40263343_396607669131550720 x	#TweetandTell- #PeanutButter + _______ = perfection! Fill in the blank &let us know your favorite #PB combos! http://t.co/dKA6AQWICN
40263343_396071655564640256 x	What a great Halloween pumpkin carving wouldn't you agree? #fanphoto #halloween http://t.co/Rv7TYUrVAt
40263343_396448342957629440 x	@BoaGirlSKJ we love it!!!
40263343_396448184358424576 x	RT @BlenderBottle: We've teamed up with @VitaminShoppe for another great #giveaway! Click here: http://t.co/cESsG4YxaN  to enter for your c?
40263343_396448054783799296 x	RT @MusclePerf: The November issue, featuring @Morris_Chestnut and his trainer @Obi_Obadike, is available at @VitaminShoppe stores today!
40263343_396411341009076224 x	Small changes can make a big difference.  #MotivationNation #Power #Strength #iamatrueathlete
40263343_396381137133895680 x	It?s #VSFanPackFriday: RT & enter for a chance to win an @RSPNutrition prize pack! http://t.co/0lihxG8pM6 http://t.co/F8iIArSCPq
40263343_396362541842305024 x	Celebrate #movember with us & keep track of our #mustache progress with our facebook album: http://t.co/tKBWmdIohm #noshavenovember
40263343_396350951537541120 x	#Vitamin #D3 is buy one get one all month long! Shop now by visiting: http://t.co/Aw5tm0ls1V #bogo #sale http://t.co/pA9vcMlYHZ
40263343_396335844682104832 x	Enter for a chance to #win in our @BlenderBottle a Day November #giveaway http://t.co/iJI3GacziS #blenderbottle http://t.co/8B8zfabhzC
40263343_396327185466011648 x	@mjsep77 Haha. It's all good!
40263343_396310057895604224 x	@AyeMattyBoy Nice! What did you get?
40263343_396305683270107136 x	Control your appetite and manage your weight with #Garcinia extract. #VSgarcinia  available at: http://t.co/5JUwW0mcsY
40263343_396290581707894784 x	Join our November Instagram Photo a Day Challenge! Tag #vsfallfitness for a chance to win: http://t.co/AbBu02CXTQ http://t.co/wlsdys2XAN
40263343_396277806293737472 x	@manolo_jiujitsu @BlenderBottle please try again it is working for us on mobile and desktop. seems you may have authorization issue with FB
40263343_396286737132974080 x	@manolo_jiujitsu @BlenderBottle Awesome! Good luck :)
40263343_396281324384038912 x	@TheLostKaws What do you need to get?
40263343_396283911371636736 x	@TheLostKaws Enjoy your products :)
40263343_396282205292748800 x	@Mister_Loving Nice! Let us know what you get :)
40263343_396281519666647040 x	@Pabulouss Love it! Keep getting those points :)
40263343_396281227160088576 x	@The_Rainman_27 Nice! What did you pick up?
40263343_396281040647782401 x	@AriEgotistical Let us know what you get :)
40263343_396280717983756289 x	@manolo_jiujitsu @BlenderBottle may be issue with your authorization settings. API error shows, please check or DM us and we can help more.
40263343_396270009892085760 x	I just entered the @VitaminShoppe @BlenderBottle Daily Giveaway - enter for your chance to win now http://t.co/51wRJbfGkK
40263343_396278094392074242 x	@Wallshark84 @BlenderBottle good luck!
40263343_396276104694353920 x	Join the #vsfallfitness photo a day Instagram challenge. Day 1: meal prep. #Contest #potd #photochallenge #... https://t.co/n70IsXz19D
40263343_396275461778440192 x	Join us this @Movember as we grow our #mustache's! Share your #stache by using #VSMovember! #Movember #Day1 http://t.co/WxJKiORLBz
40263343_396258303791333376 x	Check out all of this months #deals by visiting our new #sales & promotions page: http://t.co/k7xSsCy7L8 #savings #coupons
40263343_396245288832483328 x	Web #Deal! Triple Strength #Glucosamine #Chondroitin is #BOGO free until tomorrow! http://t.co/gnEAckGner http://t.co/BWvpdYxpta
40263343_396048961800503296 x	Stop waiting for things to happen, go out and make them happen! #MotivationNation #Commitment #Fitness #GymTime #iamatrueathlete
40263343_396033888604422144 x	Congrats @REDDEATHPRIDE & @stephk83! You are the winners in our @_isatori giveaway. DM us your shipping info.
40263343_396019698569334784 x	@TrainP3 Makes us smile too! :)
40263343_396016376839938048 x	@Gsanabria0625 Nice! What are you getting?
40263343_395988560878534656 x	Too much #Halloween candy? We?ve got you covered w/ a huge selection of #probiotics: http://t.co/br1ddAbH71
40263343_395965439580192768 x	Enjoy our Office Space skit. Happy Halloween! #Halloween #OfficeSpace http://t.co/IdGYbpKnqP
40263343_395961398444187648 x	RT @FerrariMarcy: @VitaminShoppe http://t.co/kMBfwIAkqx
