398459734_351883330049945601 x	@rvacanti I know. I'm like OMG. Sooooo annoying!!
398459734_312232066391617536 x	@RandyJMiller Lindy Ruff?  Your kidding me right?
398459734_312037216660643840 x	@DNFlyers can you tell hartnell that if he is going to take a penalty at least make it a good hit not a DB slash
398459734_312018679430787072 x	@RandyJMiller when does the captain get blamed for lack of leadership?  We all know this would not be going on if Pronger was there
398459734_312017212305186817 x	@BroadStBull any line coots is on is terrible
398459734_312009719189483520 x	@BroadStBull Lavy is the least of my worries. Coach & goalie are always easy targets for the media and fans
398459734_311995638051135488 x	@RandyJMiller I want to see Lavy stand up and either punch Briere or Coots square in the face
398459734_311991190641852416 x	@RandyJMiller are you watching the game?  And sober?
398459734_311959090010157057 x	@BroadStBull @tpanotchcsn they probably wanted someone who could provide information in a grammatically correct way. That would exclude TP
398459734_311559879917703169 x	@BroadStBull is center briere's natural position?  When he had over 30 points in their cup run, wasn't he center?
398459734_311170286944919552 x	@RealGlenMacnow you are crazy to want to get rid of Laviolette. Who would you rather? Ruff?  Now live in Buffalo and Ruff is just awful
398459734_311124980924555264 x	@ESPN_Colin god, even as a little kid you look like a huge tool
398459734_311103321698103297 x	@WIPMorningShow was so nice to listen to the show last week.  Now that Angelo is back, tough to listen
398459734_310508461467242496 x	@RealGlenMacnow I miss gargano
398459734_310508157917077504 x	@BroadStHockey have you watched the jackets games?  Not many shots come wide open 5 feet from the net. They are playing this cool thing..D
398459734_310497490665345024 x	@howardeskin get your nasty beard out of you eyes and type English
398459734_310497128021635072 x	@BroadStBull that's hilarious coming from a player who you don't even notice on the ice?
398459734_310485021486096384 x	@BroadStBull and the d leaves people wide open in front of the net...guess they are screwed
398459734_310476612686716930 x	@BroadStBull coach is not the problem.  Why bruins forwards get back hard  on d and our lazy ass forwards take casual strides to get back?
398459734_310466272020279296 x	@RandyJMiller why no blame on timmonen ever?  He takes at least one bad penalty a game cause he is the slowest guy on the ice
398459734_310082568630452224 x	@BroadStBull any reason Briere is still on the second line?  Also, why is he not playing center? Isn't that his natural position?
398459734_309866727519436801 x	@ctherien6 as much as I hate to say it, it has been tough to watch Briere and timmonen this year
398459734_309834261240889344 x	@BroadStBull can't believe I am saying this, but I think I actually hate Neal more than Crosby
398459734_309696468149735425 x	@blakeshelton are you pooping in your new profile picture?
398459734_309411522180960256 x	@nufced Al, you have the most common sense of anyone who does what you do. Always enjoy listening to you
398459734_309340211094110208 x	@AnthonySan37 wow thanks for the useless information that most people reported yesterday
398459734_309404568284975105 x	@AnthonySan37 you reported it after it was already reported. You must be spending too much time with tpannach Your info is right, unlike his
398459734_309347742348611584 x	@realDonaldTrump  losers like Mac miller will come and go but The Donald will go down in history
398459734_309335900884713472 x	@tpanotchCSN wrong again Timmy. How does Eskin (who watches 0 flyers) get it right on the injury and you (who is there every second) can't?
398459734_309136569091096576 x	@RealGlenMacnow better question....When did our defense forget how to make a f-in line change?
398459734_309134963821912066 x	@tpanotchCSN blaming Bryzgalov for the d not knowing how to make proper line changes?  Your an idiot
398459734_309025099326033920 x	@davegisaac when Mez is done being "sick" will he be back in?
398459734_307586826061897728 x	@tpanotchCSN I wish you could be put on waivers and picked up by Vancouver
398459734_302958633732423681 x	@BroadStBull G has been tough to watch this year. No emotion or intensity. If Bryzgalov was playing like G is you guys would be all over him
398459734_302105500290523137 x	@SportsRadioWIP @mikeandike94wip Vick will never get it. Excuse after excuse. Can't even stand listening to him
398459734_291684408212213760 x	@howardeskin stop with the chopper. Creepy
398459734_266368929180557312 x	@realDonaldTrump by far you are the best follow on twitter.  I told my wife to follow you and she won't stop talking about you now!
398459734_266038983484657665 x	@BroadStBull do you know what the unemployment rate is in PA?
398459734_265825785934397440 x	@rainnwilson @theonion that is hilarious!  Wonder if all the families who have lost loved ones fighting for the right to vote are laughing
398459734_265644716656300033 x	@hardball_chris you would say vote with your soul because if people voted with their brain and common sense your hero would be out #loser
398459734_265611672490745856 x	@IamStevenT you didn't build it
398459734_264608357074223104 x	@TheRealBuscemi Reservoir Dogs on, great then and great every Sunday night on Boardwalk Empire.
398459734_264538766511849474 x	@TeamRomney Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/v5fOtZMb
398459734_264538561502666752 x	@DennisDMZ Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/wJEAKDRQ
398459734_264538487854886912 x	@GOP Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/tNbvdkDT
398459734_264538395219484672 x	@MittRomney Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/Kj8cDhIE
398459734_264538294241591296 x	@PaulRyanVP Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/D1IHc3ln
398459734_264538149785579520 x	@michellemalkin Our family is ready to vote Romney! Clear eyes full hearts. America can't lose
398459734_264538083712696321 x	@realDonaldTrump Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/OdQsm9Bt
398459734_264537893069008896 x	@DickMorrisTweet Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/9xEuhiS0
398459734_264537695521476608 x	@KarlRove Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/TGaw2hvW
398459734_264537487538548737 x	@glennbeck Our family is ready to vote Romney! Clear eyes full hearts. America can't lose http://t.co/NZ5QtJVG
398459734_264537074928087040 x	@seanhannity Our family is ready to vote Romney! Clear eyes full hearts. America can't lose. http://t.co/xzePrUKP
398459734_261232079038189568 x	@DickMorrisTweet you were the only one to call a Romney landslide. Do you still think this is the case? Based on the #'s you may be right
398459734_260781792481665025 x	@hardball_chris do you realize every time you open your mouth it is another vote for Romney?
398459734_260572329149607937 x	@KarlRove does Obama realize HE has been President for the past 4 years? He talks like he is the challenger.    Failure
398459734_260572280684421122 x	@seanhannity does Obama realize HE has been President for the past 4 years? He talks like he is the challenger.    Failure
398459734_260572250040844288 x	@michellemalkin does Obama realize HE has been President for the past 4 years? He talks like he is the challenger.    Failure
398459734_260572199562403841 x	@hughhewitt does Obama realize HE has been President for the past 4 years? He talks like he is the challenger.    Failure
398459734_260572159183831040 x	@DickMorrisTweet does Obama realize HE has been President for the past 4 years? He talks like he is the challenger.    Failure
398459734_258708547238518784 x	@hardball_chris he's actually had 4 years. He is a failure
398459734_258002678834139136 x	@FrankLuntz don't know if we needed a focus group to determine that hockey fans want a hockey season
398459734_256738959395266560 x	@marklevinshow Biden = drunk, angry grandfather that no one wants to visit
398459734_256638265652817920 x	@seanhannity Biden= drunk, angry grandfather who no one wants to visit
398459734_256617297731547136 x	@rvacanti love you
398459734_256606187850702850 x	@KarlRove can't wait for that smirk to be wiped off his face come November 6th. The man is an embarrassment to this country.
398459734_256605673993936896 x	@BroadStBull I guess being obnoxious and childish wins a debate?  The man is an embarrassment to the country
398459734_254263772405972992 x	@seanhannity after the debate the other night I hope obamacare covers butt whoopins
398459734_254243412428066816 x	@sbaickerCSN simple point of how the gov wastes OUR money. We can all agree 3-4 hundred million yearly could be spent more effectively
398459734_254245013788164096 x	@sbaickerCSN just a simple point of ridiculous things OUR money is spent on. One of many.Sad that gov is so full of waste 400 mil is small %
398459734_253705102467158016 x	@grahamelliot what's more important than jobs, economy and the deficit?...Filet mignon?
398459734_253624764072095745 x	@hardball_chris serious question?  Do you ever get tired of hearing the garbage that comes out of your mouth? You are a joke #noratings
398459734_251337880176320512 x	@Jeremy_Roenick could not agree more! People need to step back, do some research of their own and use common sense prior to voting.
398459734_244571740183867392 x	@tpanotchCSN I don't think I said its ok but you will trust a rolling stones article? Check out some of obamas past videos- do some research
398459734_244544156045832192 x	@tpanotchCSN basing you decision to vote on a rolling stones article.  Jesus Christ. Just keep giving news on labor talks
398459734_224158731921932288 x	@zacbrownband My wife& I are celebrating our 1st wedding anniversary front row tonight! Look out for us! End seats all the way to your left
398459734_200266508344107008 x	@BroadStBull what are your thoughts on the flyers signing vorachek? Will it happen? Definitely one to keep
