16062603_395598821046362112 x	@HendersonPres Congrats on your investiture.
16062603_80063692674301952 x	just walked 3.4 mi in 52 mins on 6/12/11 at 4:50 PM #cardiotrainer
16062603_79680127042191360 x	Just finished 2030: The Real Story of What Happens to America by Albert Brooks on Kindle for Android
16062603_79611341593251841 x	just walked 5.0 mi in 1 hour 17 mins on 6/11/11 at 11:49 AM #cardiotrainer
16062603_78862062780026881 x	just walked 5.3 mi in 1 hour 11 mins on 6/9/11 at 10:03 AM #cardiotrainer
16062603_78132247911350272 x	just walked 4.2 mi in 56 mins on 6/7/11 at 10:15 AM #cardiotrainer
16062603_77593539915153411 x	I just signed up for the @TrakQR closed beta. You should too!
16062603_77411074609131521 x	just walked 3.6 mi in 54 mins on 6/5/11 at 10:32 AM #cardiotrainer
16062603_77084375942053888 x	Stories in the Forest at 3pm today features ASU Rugby coach Matt Huckaby, #turtlecreekmall #stbernards
16062603_77035631003435008 x	just walked 4.1 mi in 1 hour 4 mins on 6/4/11 at 9:26 AM #cardiotrainer
16062603_75911266190893056 x	RT @VZWBrenda: #Verizon customers in #Joplin can stop in at our mobile location in the gym at Missouri Southern to charge devices & acce ...
16062603_75262745452351488 x	just walked 6.0 mi in 1 hour 31 mins on 5/30/11 at 11:38 AM #cardiotrainer
16062603_74652370516189184 x	Relive the excitement of New Orleans #ric2011 Rotary International Convention http://ow.ly/55hSw ^SH
16062603_74585664716414976 x	Another good reason to buy the extra soft stuff http://ow.ly/i/cbT9
16062603_74529891680399362 x	just walked 4.5 mi in 1 hour 9 mins on 5/28/11 at 11:28 AM #cardiotrainer
16062603_73748300163072000 x	Best breakfast anytime in #nola #cafedumonde http://ow.ly/i/c51Q
16062603_73747122993901568 x	Best Breakfast Menu on planet #cafedumonde #ric2011 http://ow.ly/i/c510 #fb
16062603_73475385102315521 x	Eclub workshop at RI Convention #ric2011 http://ow.ly/i/c35O
16062603_73389717856587777 x	Bruce Aylward directs WHO's polio eradication pgm - Rotary is key partner to success. http://t.co/asKltrI
16062603_73377266163392512 x	Jack Dorsey's Square Wants to Eliminate Cash, but So Do Visa, Mastercard, AT&T and Google http://t.co/RWtg9Vp via @adage
16062603_73154209331150848 x	Polio is 99% eradicated. Why stop now? We never have before!  #ric2011 @rotary
16062603_73147976595423232 x	RT @RC_Kluaynamthai: Polio eradication has become project of top priority to Bill&Melinda Gates foundation #NOLA. #ric2011
16062603_73138586706386944 x	@rotary In 2010, only 42 polio cases in India. #ric2011 #endpolionow
16062603_73128478693785601 x	@Rotary: Top giving large club to Rotary Foundation #endpolionow is Fayetteville, Ark. club  $608 per member. #ric2011
16062603_73121030901735425 x	@rotary #ric2011 great NOLA music continues http://ow.ly/i/c0ns
16062603_73120273792118784 x	@rotary #ric2011 Irving Mayfield playing for RI convention great music playin'
16062603_73119740603809793 x	RT @kanemackay: Ed Futa pitching Rotary items for sale...Wait there's more. Special pricing for Convention Attendees. #ric2011
16062603_73113048554016768 x	Preservation Hall Jazz Band performing before Rotary Conv.  session with Bill Gates, Jr. #ric2011 http://ow.ly/i/c0je
16062603_72796729304551424 x	Bay St. Louis MS, Community Hall Food Fest at #ric2011 http://ow.ly/i/bY5q
16062603_72829329238786048 x	@chrisharrell you are correct, an amazing statement about the amazing things a clear vision and lots of hard work can accomplish.
16062603_72789268644364288 x	Lacy Lusk, Marilyn Hummelstein and Lindsey Rogers getting ready for Bay St. Louis Food Fest at #ric2011 http://ow.ly/i/bY2B
16062603_72376897283162112 x	#ric2011 Flag of USA presented last in honor of host country RI Convention http://ow.ly/i/bVgo
16062603_72375618322440192 x	#ric2011 RI Convention Opening Flag Ceremony as 200 countries with Rotary clubs are presented. http://ow.ly/i/bVfV
16062603_72349360792416256 x	#ric2011 Rotary International Convention Opening Plenary session stage is set. http://ow.ly/i/bV5S
16062603_71964814590750720 x	just walked 2.7 mi in 39 mins on 5/21/11 at 9:54 AM #cardiotrainer
16062603_69484709385736193 x	just walked 3.4 mi in 52 mins on 5/14/11 at 1:35 PM #cardiotrainer
16062603_68757013873696768 x	just walked 3.3 mi in 45 mins on 5/12/11 at 1:31 PM #cardiotrainer
16062603_68407366101647360 x	just walked 3.0 mi in 42 mins on 5/11/11 at 2:26 PM #cardiotrainer
16062603_66869946835144704 x	@dacdb platform neutral apps? http://t.co/NTR8UHy
16062603_63424182658150400 x	Rotary's End Polio Now Campaign lights up Liberty Bank in Jonesboro, Arkansas http://ow.ly/i/aR6e ^SH
16062603_63423451230248960 x	Rotarians from Central and NE Arkansas gather this weekend at ASU for annual conference http://ow.ly/4IA6l ^SH
16062603_63410617767313408 x	We have a problem!  Be part of the solution on April 30 http://ow.ly/4IyYY
16062603_63368424734195712 x	PolitiFact | Donald Trump says Kuwait never paid U.S. back for ousting Saddam Hussein #pantsonfire http://t.co/CaENmio via @politifact
16062603_61184687657324544 x	just walked 3.6 mi in 50 mins on 4/21/11 at 3:57 PM #cardiotrainer
16062603_60050904900042752 x	just walked 3.7 mi in 52 mins on 4/18/11 at 12:49 PM #cardiotrainer
16062603_59716073473310720 x	RT @StBernardsHlth: Cancer panel discussion happening NOW! #HMGEXPO http://ow.ly/i/avqm
16062603_59341133909725184 x	RT @StBernardsHlth: Diabetes Health Panel is coming up next! Ask questions & get your answers!! Only at #HMGEXPO
16062603_56200377028182016 x	#shutdowncongressinstead
16062603_56196763345891328 x	Keep the government running - shut down congress.
16062603_56009718275129345 x	@ryanvaughan @malinda_b what's the hash tag for the Jonesboro Business Expo?
16062603_56014553250664448 x	@kasuradio #jboroexpo  Thanks!
16062603_55695705125298176 x	#2 Question - how do I integrate and manage social media with other marketing activities/plans #StateofSM  ^SH
16062603_55694911898525696 x	#1 Question marketers have about social media? How do I measure effectiveness? #StateofSM ^SH
16062603_53848435345997825 x	RT @rotary6150: Recreational use of prescription drugs is killing our children.  Arkansas is No. 1 in abuse of prescription pain... http ...
16062603_48182558269255680 x	Rotary Foundation of Rotary International establishes Japan & Pacific Islands Disaster Fund  http://ow.ly/4g7sr ^SH
16062603_46557412794179584 x	ShelterBox responding to Japanese earthquake and tsunami http://ow.ly/4d2xJ ^SH
16062603_44970146049167361 x	RT @ryanvaughan: Steam engines will be in Region 8 sometime between 5/29-6/9 RT @UnionPacific: UP's Little Rock Express Steam Excursion  ...
16062603_44939214298681347 x	RT for a chance to win a @BlackRapid RS-Sport!! #DTWUrbex" Follow @sl33stak comment on his Kickstarter project @ "http://kck.st/hNoxjM"
16062603_44938800262156288 x	Follow @sl33stak comment on his Kickstarter project @ "http://kck.st/hNoxjM"
16062603_40599282994126848 x	Sarah Palin Has Secret ?Lou Sarah? Facebook Account To Praise Other Sarah Palin Facebook Account http://bit.ly/icZtZx
16062603_39505578468458496 x	Check out Republicans let poor folks down at http://bit.ly/fWkNgs
16062603_36446030174101504 x	Day 2 of the Arkansas Sportshow started at 9 am, we're here until 9 tonight! #arsportshow http://ow.ly/3VcO7 ^SH
16062603_36194406625181696 x	#arsportshow Chairman Naz Kazi takes the first ticket at the opening of the 2011 Arkansas Sportshow http://ow.ly/i/84JV
16062603_36178195958992896 x	Arkansas Sportshow opens in 20 minutes #arsportshow http://ow.ly/3UXrE ^SH
16062603_36065257474498560 x	Arkansas Sportshow on Facebook #arsportshow http://ow.ly/3UC7T ^SH
16062603_36055083946872832 x	The cure for cabin fever! - Arkansas Sportshow opens at 4pm today! #arsportshow http://ow.ly/3UAr2 ^SH
16062603_35915986477514752 x	Eddie Salter Seminars - Fri, Sat. and Sun. at the #arsportshow this weekend at the Convo Ctr. http://ow.ly/3Up8d
16062603_35714906187632641 x	House Republicans Battle Turmoil in Their Ranks #sawthiscoming - http://nyti.ms/fm4PIN
16062603_27485768079384577 x	RT @UnionPacific: After participants voted over 178,000 times in the final round of the UP Great Excursion Adventure, the winning route: ...
16062603_25585452291457024 x	Vote for your favorite route @unionpacific 's Great Excursion Adventure! You route the steam: http://x.up.com/65611
16062603_9679690801356801 x	Today's program, ABC's of Surviving School Violence by H. Steve Leslie. http://plixi.com/p/60149638
16062603_5313175490658304 x	Exceptional service and followup from Kimberly at #verizon  wireless.
16062603_29437609334 x	I Remember, Do You? http://ow.ly/32W0a
16062603_27653403797 x	Nancy Pelosi Fires Back - CBS Sunday Morning - CBS News http://t.co/f3q7fTe via @cbsnews
16062603_27372654986 x	RT @AG_D_McDaniel: Join the AG, AARP and others Monday in Little Rock for workshops to protect senior citizens against fraud. Call (877) ...
16062603_26879530902 x	I just installed the new Twidroyd for Twitter on my Android phone - it's free - and the new LivePreview of embedded links is amazing.
16062603_26594975163 x	PolitiFact | NRCC blasts Arkansas Democratic candidate Chad Causey for having been a "bureaucrat" http://t.co/PKh7PJr via @politifact
16062603_26503407443 x	RT @IreneKoehler: Today's lesson: The amt of time spent on slides is inversely proportional to the likelihood that tech works so you can ...
16062603_26464870875 x	RT @blanche4senate: Letter to the Editor: "I truly believe that we already have a senator who cares and will not give up." http://giv.to ...
16062603_25890984827 x	RT @Region8News: Go Pink for the Cure Fri, Oct 1  http://bit.ly/9hm6a3  Upload a group picture on kait8.com  Oct 1, & you could win lunc ...
