713489633_395737656786952192 x	@KacieFOX29 Sexy kitty ;)
713489633_394330233153019905 x	@xo_yasmin Thigh highs are better ;)
713489633_394329037918982144 x	@TheOfficialTATE Blown call!!!
713489633_394314501518262272 x	Completely bs blown call in the #WorldSeries, the runner falls over the 3rd baseman and is tagged out at home. Never touched home plate!!!
713489633_394288077172408320 x	Love it, 2-2 #RedSox vs. Cardinals :)
713489633_394130190781399040 x	It is finally here #ElClasico, FC Barcelona vs. Real Madrid...Visca Barcelona!!!
713489633_393558011488514049 x	@TheOfficialTATE Game 2 is over!!!
713489633_393557840201531392 x	@TheRealDGunnCSN Just call him #MrClutchOctober
713489633_393557539151171584 x	#MrClutchOctober #BigPapi does it again...2-1 #RedSox
713489633_393432735702061056 x	@KacieFOX29 I love when I'm right...told you Jamie Dornan would get the role of Christian Grey #50ShadesofGrey
713489633_393337405841100801 x	3 more wins to go in the #WorldSeries, it is a great morning in #RedSoxNation
713489633_393337013103230976 x	@cara_steel @_Studio66TV_ Boots better be thigh high!!!
713489633_393062599891623936 x	@thecaysian Why should anyone treat a woman like shit, smh.
713489633_392973621486190592 x	@EllieGonsalves @Playboy Awesome she's only like one of the most bad ass models ever...attitude, sex, and those Bardot like features.
713489633_392972393616265216 x	@cara_steel @CapsLocker80 A sexy brunette in red heels, skirt, and lace top always have it going on. Would love to spoil you.
713489633_392657453315547136 x	@KacieFOX29 @JonMarks975 @SeanBrace975 @FOX29philly Barkley and I bet he plays better than Foles!!!
713489633_392657192505311232 x	@KacieFOX29 No one cares, the two biggest whores around who have zero class between them.
713489633_392385255711449088 x	@xo_yasmin What's got you depressed? I highly doubt you know what real depression is like...
713489633_392656368416870400 x	@xo_yasmin Not having a phone does not equal not having a life.
713489633_392319412902301696 x	@fabiaguilafc Some very interesting ties, no doubt.
713489633_392396846339215360 x	@fabiaguilafc Probably!!!
713489633_392385635421790208 x	@BroadStBull @FlyersNation Better go on a 4 or 5 game winning streak.
713489633_392385445386272768 x	@fabiaguilafc I'm just glad one of those two ego maniacs, CR7 or Zlatan won't be there.
713489633_392384949263015936 x	@Real_ESPNLeBrun WTF, it is Shittsburgh for crying out loud not Canada.
713489633_392384635663310848 x	@Drekakes @howardeskin Foles sucks
713489633_392383581227876352 x	@leahmrc @sKatePronger ROFL
713489633_392317191141720064 x	@howardeskin @FOX29philly He's not that good, Barkley has a better skillset...if Vick and Foles are both injured, give him a chance.
713489633_392242873808470016 x	@cara_steel How's it going little Ms. Sunshine...have a great day from across the Pond. Who is your favorite football club?
713489633_392241578385113088 x	@howardeskin Foles stunk it up so bad in the 1st half Chip should have put Barkley in to start the second. Still bad situation for Matt.
713489633_392240342701191169 x	@sKatePronger He is a loser anyway...what did he have 1 good month of a season #GoRedSox
713489633_392239622048464896 x	@thecaysian The remake is way better than the original with Arnold!!!
713489633_392102669026086912 x	@Hockey_tracker @FlyersNation That's crazy, trade'em Matt Read or Sean Couturier in a heart beat.
713489633_392084863995883520 x	@SportsTalkThurs Thx for the follow, opinion for #SNF Broncos vs. Colts?
713489633_392102220738887680 x	@SportsTalkThurs My thoughts exactly, the Colts don't have enough defense to hold them and keep it close.
713489633_392084076926369792 x	@jamiemclennan29 Can I get that Pronger jersey...he's always been one of my favorite players.
713489633_392083483830784000 x	#SundayNightFootball I already feel sorry for the Colts, gonna get smoked by the #RockyMountainExpress...#GoBroncos!!!
713489633_392052665376841728 x	@KacieFOX29 @kmattio My celebration would be to kindly flip the ball to the ref because I'd be planning to score another #alwayskeepitclassy
713489633_392037647956598784 x	@MattBarkley I just saw your interview with @TheRealDGunnCSN, was pure class. Keep your head high, you will be successful. Fight On!!!
713489633_392020149509042176 x	@MikeMiss975 First called back and the second a nice play by Lee. What football experience you have, you couldn't play QB in Pop Warner.
713489633_392027584659480576 x	@MikeMiss975 Was put into a very tough situation for 1st time action. Foles sucked all day, period. At least Barkley got the ball out quick.
713489633_392036355016237056 x	@MikeMiss975 Barkley's completion rate 55%, Foles 37%. Use your PSU education and don't be a USC hater.
713489633_392032766927597569 x	@EllieGonsalves Las Vegas just got 1000x classier, @EllieGonsalves you are a beautiful woman inside and out.
713489633_392017721195769856 x	@KacieFOX29 A truly beautiful woman and football go hand in hand, tres chic.
713489633_392017189408350209 x	Now that the Eagles are losing and this game is over according to the scoreboard and clock, now we can see @MattBarkley do his thing!!!
713489633_392015932069269505 x	Ball game over, @Eagles just lost with 9 minutes to go...17-3.
713489633_392015370636517376 x	@MikeMiss975 @charlieprince76 Only want a QB if it is Marriotta, Aaron Murray, Taj Boyd, or Johnny Manziel.
713489633_392014335704571904 x	@MikeMiss975 Got Romoed!!!
713489633_392013884745588736 x	@MikeMiss975 Foles should have been taken out at halftime, put @MattBarkley in!!!
713489633_392013408570462208 x	@Eagles why is Foles still in this game...take his ass out!!!
713489633_391970997492256769 x	NFL Sunday football #EaglesbeatDallas, prediction 34-24.
713489633_391784549275148288 x	http://t.co/3x91qHIJB0
713489633_391780370381021184 x	http://t.co/zEc1t5k6b5
713489633_391778197672841216 x	http://t.co/W2vMFkIBes
713489633_391777713360736256 x	#RedSox #Destiny #AmericanLeagueChamps #TheTeamThatWillNotDie
713489633_391773409287614464 x	@Mike_Menden Those Tigers are a bunch of cubs, who have never won anything...#silenceisgolden #WorldSeriesBound
713489633_391770878029357056 x	@PSTGoGetitGreen @MikeMiss975 MikeMiss sucks at sports so bad he has to be a radio show jock. I'd school his ass, what does he know.
713489633_391770090758479872 x	@MikeMiss975 Don't be a hater Mike, he left the sad ass excuse for a baseball team to join a real team...#WorldSeries bound #RedSoxNation.
713489633_391642860430561280 x	@runningindian23 #JCrew has killer wool ties this season!!!
713489633_391769392213950464 x	@runningindian23 The green wool one with purple and white stripe is killer.
713489633_391769070640824321 x	@RedSox @ShaneVictorino #WorldSeries bound via the #Flyin'Hawaiian...love it from Philly, miss you here.
713489633_391768422721552384 x	@TheOfficialTATE Damn right, I want our 3rd title in 9 seasons!!!
713489633_391768230530142210 x	Detroit Tigers go the hell back to your shit hole city, #RedSox are going to the #WorldSeries!!!
713489633_391657606882004992 x	This is real #Gucci swag :) http://t.co/CAtyp03mYt
713489633_391662306633203712 x	@fabiaguilafc I might get it ;)
713489633_391628734874517504 x	Just finished having a great meal, time to shop #NeimanMarcus #Bloomis #Burberry #Gucci #KingofPrussia #GQlife
713489633_391627044066717696 x	@hotwhitegirlpro @KacieFOX29 @BrodyJenner So true...a successful woman who is going places and a guy with zero going on.
713489633_391620506702872576 x	@BelleMcDonnell @KacieFOX29 What to glue Cowboys fan's mouths shut!!!
713489633_391615211947712512 x	Just checked into Maggiano's at King of Prussia, then time to do it big shopping #lovingmylife #livingwell
713489633_391606096601055233 x	@KacieFOX29 Diner, my bad.
713489633_391606021996953600 x	@KacieFOX29 An awesome dinner, like Nifty Fifties :)
713489633_391605365915516928 x	@thecaysian Every day...truly loving someone is all about compromise and sacrifice, if you are not willing to do that you don't deserve love
713489633_391604945272995840 x	@runningindian23 Thx for the add, gonna do it big today, watch #fashionandtasteneverstop
713489633_391053519119478784 x	@KacieFOX29 Look at this douchebag @Morrison721, could that be any more ignorant to say to a woman like @KacieFOX29
713489633_391233133724856320 x	@ericalpace @Morrison721 @KacieFOX29 Hahaha, it is called respect a woman even if it is just Twitter...#alwaysagentleman
713489633_391295823512088576 x	@ericalpace @Morrison721 @KacieFOX29 Read what he said "I'll buy you a beer and feed you my sausage."
713489633_391294457657966592 x	@FlyersNation @KacieFOX29 I'd agree with that, look how tall and lean his. Now let's hope he gets back on the ice asap #Flyersneedhelpbad
713489633_391292532367556608 x	@Mike_Menden If a woman isn't worth buying flowers everyday she's not the one...
713489633_391264279170928640 x	@fabiaguilafc Tomorrow
713489633_391232455019339776 x	@cara_steel I knew it, had to be purple...
713489633_391182627514114048 x	@cara_steel Pink for breast cancer awareness or purple for anti-bullying.
713489633_391164322157977600 x	@KacieFOX29 There are 3 types of people in the world: those who make things happen, those who watch, and those who wonder #makeadifference
713489633_391156558329311233 x	8 necessary hours of work #feelingmotivated and ready for the weekend back in #Philadelphia :)
713489633_391155304085594112 x	RT @KacieFOX29: Shirt from last night's game is from @Aphillyated!! http://t.co/kHeluvAeXo http://t.co/vE03Rnk5Lz
713489633_391155195985821696 x	@KacieFOX29 @Aphillyated I want, #Philadelphiapride :)
713489633_391142138593148928 x	@cara_steel What else is new in England, there is always rain and foggy...besides you Ms. Sunshine ;)
713489633_391049871761088512 x	#RedSox #Winning #Willnotbedenied
713489633_391048088808603649 x	@RedSox It's Koji time, I want 1-2-3 and back to Fenway we go :)
713489633_391041798422134784 x	@fabiaguilafc Sox need to close this game out...4-3 going into the bottom of the 8th.
713489633_391018849069711361 x	@YahooSportsNHL Oh no hope Nik Jr is ok.
713489633_391017193712152576 x	@Mike_Menden How about those Tigers???
713489633_391015872326029312 x	@Jeremy_Roenick @laubergedelmar JR what's the Flyers problems...
713489633_391014913457782784 x	@NHLFlyers IDK how much more of this losing I can take from the #Flyers #frustrating
713489633_391013270028832769 x	@MikeVick The #NBA stinks, idk how anyone can watch that crap that was an #80sbaby. We grew up watching all the greatest players ever.
713489633_391009133220339712 x	So stoked the Red Sox are up 4-0...everything is going to plan for their 3rd WS title in 9 seasons :)
713489633_391002956772167680 x	@RedSox @MikeNapoli25 Sox win tonight series ends in Game 6!!!
713489633_391002391539363840 x	@MikeFOX29 @KacieFOX29 @FOX29philly @SheinelleFox29 Deion Sanders and Michael Irvin no doubt!!!
713489633_390948334674128896 x	@EJHradek_NHL EJ what's your opinion on tonight's Flyers vs. Penguins game?
713489633_390948023804887040 x	@SandraDMarie @BrodyJenner @Roxxynightclub @KacieFOX29 No one cares about that douche
713489633_390947572950786048 x	@SheenaParveen Shoma kheiley khooshgeli :)
713489633_390911255248396288 x	@KacieFOX29 @CaponeD2001 And why do you think you need it???
713489633_390823835127537664 x	@KacieFOX29 @iansomerhalder The favorite according to sources is actor/model Jamie Dornan.
713489633_390804404682903552 x	@fabiaguilafc Everything in the WC depends on the draw.
713489633_390804176022040576 x	@SheenaParveen @jackielondon @jimrosenfield Big deal about the government shutdown, I a real government job and have been working w/pay.
713489633_390620823071244288 x	@StevePulcinella @KacieFOX29 I couldn't have said it better myself!!!
713489633_390620308165906433 x	@KacieFOX29 @mitchell_ness Get rid of that Cowboys gear please!!!
713489633_390421258435047424 x	@KacieFOX29 I don't believe it!!!
713489633_390293504012091393 x	@TSNBobMcKenzie @NHLPlayerSafety This idiot needs to be barred from the NHL, period.
713489633_390288916852793344 x	@NHLFlyers Am I the only Flyers fan who thinks we should just tank this season and get the #1 pick, too bad not draft year of Connor McDavid
713489633_390211803453857792 x	@KacieFOX29 That's amazing, our troops deserve nothing but the best when they come home however the idiots in Congress don't believe so.
713489633_390139355152801792 x	@NHLFlyers I want to see goals!!!!
713489633_390139217587998722 x	@KacieFOX29 @FOX29philly @KarenFox29 @SueSerioFox29 @ChrisFox29 Total goof swag!!!
713489633_389526811237187584 x	Finally joined Twitter, now let's see how much fun this can be :)
713489633_389528800452960256 x	@fabiaguilafc Thanks bruder...
713489633_389549050422644736 x	@fabiaguilafc You watching #SundayNightFootball or the #ALCS
713489633_389964963563192320 x	@fabiaguilafc Nah don't watch, zombies aren't my cup of tea...
713489633_389894133873397760 x	@TSNBobMcKenzie Milt Schmidt, a living legend :)
713489633_389893724719046656 x	@KacieFOX29 Don't tell me you are a Blieber, lol
713489633_389773098758987776 x	@RedSox @davidortiz Papi should officially be known as Mr. Clutch October :)
713489633_389767033262710786 x	@cara_steel @ProteinWorld What the bloody hell are Bingo Wings?
713489633_389766827708284928 x	@SheenaParveen Salam Sheena, hale shoma khube...happy Monday and Columbus Day :)
713489633_389751334687485952 x	@onlysarahshahi You do the same, can't wait for #PersonOfInterest this week!!!
713489633_389750702542946304 x	@DeseanJackson10 "Action" Jackson, that's my nickname for you, was in full effect vs. the Bucs.  Brandon Carr doesn't know what's coming!!!
713489633_389746055828746240 x	@Mike_Menden Going out to get hockey equipment today...how about those Red Sox kid!!!
713489633_389739609296760833 x	@fabiaguilafc How was The Walking Dead?
713489633_389738831274319872 x	@TSNBobMcKenzie @odognine2 Toews is this generation's perfect combination of Sakic and Yzerman.
713489633_389738529448009728 x	@TSNBobMcKenzie @odognine2 Carter is the an empty 30-40 goal scorer in the NHL. Never scorers when it matters most.
713489633_389736740157927424 x	@28CGiroux What curve do you use on your APX2 stick? Would like to get something like yours to enhance my game.
713489633_389725773336039424 x	@MikeVick @Eagles Can't wait to see you guys light Dallas up on Sunday!!!
713489633_389713697314459648 x	@KacieFOX29 It is such a beautiful day when the Eagles win, Red Sox win, and you can watch Ms. McDonnell do the Philly traffic #whata:)
713489633_389594255490297856 x	@RedSox New ball game, now let's win this game!!!
713489633_389592628582678528 x	#RedSox #BigPapi #GrandSlam
713489633_389566505849225216 x	@jenna_sheeran #Bama and #UGA own the SEC.
713489633_389565285692624896 x	@onlysarahshahi Salam Sarah joon hope you are doing well as always...huge fan of yours, you are a total doll :)
713489633_389546748005613568 x	#FearTheBeard #RedSoxNation http://t.co/4yd33b3hdU
713489633_389536826543046656 x	@MikeMiss975 Do we have a QB controversy,  topic #1 for tomorrow's show...
713489633_389536014869757952 x	@KacieFOX29 How you like the Birds win today? What a game with the Saints vs. Pats!!!
713489633_389532275018596352 x	@Jeremy_Roenick Been a huge fan of yours since your Blackhawks days...signed copies of your book still available?
713489633_389530461917425664 x	@drewbrees What a throw Drew for the TD, who Dat!!!
