1004836855_395259513529327616 x	Most of my pieces on Chip Kelly have been positive and other such Egregious.bullshit.
1004836855_389133375711477760 x	RT @SheridanScribe: @Jeff_McLame Well, that's a question for Lily, isn't it?
1004836855_389086356527259650 x	@cjamesPhilly @terilyns68 @ProFootballTalk You guys have no idea. Joe Banner is one of the most respect, honest, and handsome people in NFL.
1004836855_389077267499851776 x	@JimmyKempski Just like your articles you steal from me
1004836855_389077130060918786 x	@pdomo Not giving her enough of the good stuff?
1004836855_389071712295198720 x	@SheridanScribe  Source was unsure why you son is a werewolf if you are a frankenstein and your wife is a vampire?
1004836855_389071612865032192 x	@SheridanScribe NFL Source confirming this report.
1004836855_389068236429344768 x	@JordanRaanan @RiehlyAwesome 23-21 Bucs, unless I decide to change it, which I might, but I might not.
1004836855_388756933592625152 x	@Brad_Gagnon @LesBowen @Cmackrn I never got anything except aroused when me and Joe Banner used to wrestle in the steam room?
1004836855_388756705984512000 x	@LesBowen Source close to the situation says Howie Roseman got him some mellow thighed chick that put his groin out of place.
1004836855_388756236444786688 x	@howardeskin @MikeVick League Source confirming that Howard Eskin would indeed be shocked. Also added awed.
1004836855_388755637850492928 x	@Cmackrn @LesBowen Next week on Celebrity Boxing, Les Bowen vs Streptococcus
1004836855_388755221498720256 x	@Cmackrn @LesBowen I know I do. MRSA stands for Mindless Repetitive Stupid Ass, doesn't it?
1004836855_388753785427726336 x	Source close to situation tells me that Michael Vick is black, while Nick Foles is white. #NFL #Eagles
1004836855_388721467841462274 x	Joe Banner once gave me a Staph infection, by that I mean his staph infected my anus. #truestory
1004836855_388685091947311104 x	Go Bucs, maybe someone will read my nonsense if the Eagles lose
1004836855_388506815459119104 x	BREAKING NEWS: From Trusted Source, Oakland A's advance to the ALCS.
1004836855_388505389781626880 x	@JordanRaanan Joe Banner did, per close to the situation NFL Source
1004836855_388504527625666563 x	@JimmyKempski NFL Source confims to me that Giants are 0-6 #HeardItHereFirst
1004836855_388503854569881601 x	@davespadaro @ZIMM07 Not what Trusted NFL Source told me.
1004836855_388503465321697280 x	@davespadaro @ZIMM07 When you stabbed reporter and Chico Marx doppelganger Mark Eckel in his back
1004836855_388489473488453632 x	@JasonLaCanfora @JiggsPorklerind @IUtnL The Giants need to beg the Browns to allow them to give up Joe Banner
1004836855_388396710818369536 x	NFL Source confirms Joe Banner wanted to draft Earl Thomas, but was overruled by Howie and Andy, who drafted bust @brandongraham55 #Sorry
1004836855_388396108117852160 x	Hey, I just beat Joe Banner in words with friends by playing @SheilKapadia #TripleWordScore
1004836855_388395175392722944 x	@SheridanScribe is good people, even though he stole the ESPN gig from me, and looks like Herman Munster
1004836855_388356112161845249 x	@JesusZoidberg @ZBerm Another guy unfairly run out of town, per NCAA source
1004836855_388321063412588547 x	@Rowie_Hoseman @Jeff_McLane Coming from the worst GM in sports, a bean counting pencil pusher. #BannerPower
1004836855_388324995572592641 x	@Rowie_Hoseman @Jeff_McLane The rankings come from a NFL LEAGUE SOURCE #Boom
1004836855_388320020570177536 x	@JimmyKempski Who wants to ask questions of a nobody like you? Where'd you go to writing school at?
1004836855_388318038870597632 x	Getting the hatchet nice and sharp today
1004836855_388317976996233216 x	Chip Kelly loves racists, that's why he plays Riley Cooper
1004836855_388317478582898688 x	@phillysport @JimmyKempski Live, from his Mom's Baseball, It's Jimmy Kempski.
1004836855_388316140809629696 x	@ByDavidMurphy I blame the bloggers
1004836855_388315287033896961 x	@ByDavidMurphy The guys who write the headlines at http://t.co/VK1jnPWDBR suck balls. They also write incorrect and inflammatory headlines
1004836855_388314273086046208 x	NFL source is telling me that the button on @inkstainedretch khakis flew off and hit Stan Hochman in the eye.
1004836855_388142212891963392 x	NFL League source confirming that the Cardinals did indeed beat the Pirates
1004836855_388140328974168064 x	@phillysport @LesBowen Is it a dick in a box, because that's what he got me. It was the best Arbor Day Ever
1004836855_388137634687496192 x	@donovanjmcnabb Remember when you were traded to the Rams for a 2nd pick and OJ. #GoodTimes
1004836855_388135740149743616 x	If we all hold hands and pray hard enough, @ZBerm will finally become a real boy.
1004836855_388135531130793984 x	Q and A with Chip Kelly #AmericanHorrorStory
1004836855_388134623051788288 x	RT @Jeff_McLane: Everyone is entitled to an opinion, but not everyone can report. Opinion is easy, reporting difficult. We need more report?
1004836855_388133342102556672 x	Look how I stole this idea from @igglesblog and @JimmyKempski and made it better http://t.co/K9cI0AvT2V
1004836855_388124680432803841 x	@bountybowl @igglesblog Or you can see my better improved piece not copied from this tomorrow
1004836855_387996576305528833 x	@AmyDomowitch @ESPNCleveland Best organization in sports,don't let anyone tell u any different
1004836855_387962709636952064 x	@Rowie_Hoseman @Jeff_McLane Stop being jealous because Jeff has a better relationship with Mr. Banner than you do.
1004836855_387996369702506496 x	@Rowie_Hoseman @Jeff_McLane Joe Banner only speaks the truth, salt of the earth
1004836855_387974897315479552 x	@KevinCooney @TonyViagra Welcome to the club
1004836855_387969216717914112 x	@phillysport @LesBowen Because Chip is shifty. That's why the Browns broke off negotiations with him.
1004836855_387966727713071104 x	If Chip Kelly doesn't give more forthcoming answers, I'm going to punch him in his stupid face #Eagles
1004836855_387954945267212288 x	I miss Andy Reid
1004836855_387780673181741056 x	@JasonLaCanfora They need to save that shit for Howie Roseman's house
1004836855_387780546215940096 x	@EricMillerJr He's a good guy, Joe told me so.
1004836855_387674677620903936 x	@DMurph_BrownsPR @Browns Heath Evans is the salt of the earth. Good people, helluv a source
1004836855_387667362146570240 x	NFL Source confirming that Trenton Robinson has been released. #Eagles
1004836855_387605237399162881 x	@MVFive Damn right. Look how Philly treated Reid, Banner, and now Vick.
1004836855_387601717614739456 x	@MVFive @Made_Man_X Real Niggas: MV5, Joe Banner, Tupac
1004836855_387598842436153344 x	@Brian_Solomon @bountybowl @smartfootball Chip Kelly doesn't know what's he doing. A reason Cleveland passed on him.
1004836855_387594861378957312 x	@davespadaro My NFL source confirms that the Front Office is in disarray. Care to comment?
1004836855_387594553110192129 x	RT @Jeff_McLane: @Jeff_McLame I'm just happy u think I'm more fun to satirize than bobby hoying
1004836855_387419769818738688 x	@Jeff_McLane Hell of a source as well
1004836855_387594395874103296 x	@Jeff_McLane We live, we grow, we learn
1004836855_387410238900412416 x	Look at the people you thought were the problem, Reid-winning, Banner - winning, Marty - winning.
1004836855_387409524195201024 x	RT @Jeff_McLane: @Jeff_McLame @JesusZoidberg I truly have arrived.
1004836855_387407170599284736 x	@Jeff_McLane @JesusZoidberg Damn Right!!
1004836855_387260128317018112 x	@RoobCSN @GeoffMosherCSN NFL Source confirms this. Also says that Shark's Seafood & Deli on Lee Rd has the best brisket in town.
1004836855_387259245340524544 x	@SpikeEskin Confirming Spike Eskin's report that this is indeed old news.
1004836855_387258525132398592 x	Waiting for Joe Banner #SingleBecause
1004836855_387258419427561472 x	Joe Banner #ManCrushMonday
1004836855_387257821198176256 x	If the Flyers were run more like the Browns, they'd have multiple Cups
1004836855_387257416741449729 x	@Jeff_McLane They need to be more like the @Browns
1004836855_387256156214669312 x	Glad to see @PhillyInquirer made the right decision at the Inquirer. Not enough real journalists there
1004836855_387255406570921984 x	NFL source confirming @PHSportsGoddess report that Tampa is winless and coming off a bye.
1004836855_387254626342297600 x	NFL Source is confirming @AdamSchefter report that water is wet. #BreakingNews
1004836855_387252623490830337 x	@Rowie_Hoseman @rm973 They need to be more like the Browns
1004836855_387230426164498433 x	@Browns Not me, I got a view of Joe Banner's behind
1004836855_387200993152098304 x	@JasonLaCanfora Time for Joe Banner to shine
1004836855_387200630059585536 x	Me and @ZBerm at the company Halloween Party http://t.co/MSwBWyXkWA
1004836855_387199549892083712 x	McLame, this is Joe Banner. I'm leaving football. #ThingsYouNeverWantToHear
1004836855_387198457221361664 x	I'll have some more stuff later after Chip Kelly makes me look like a tool at his presser. #NotBitter
1004836855_387198118782971904 x	Shout out to real journalists like @ZBerm @SheridanScribe @inkstainedretch . Keep up the good fight!
1004836855_387197010215849984 x	Eagles still suck period. Read more here http://t.co/FwIP0PTQKn
1004836855_387196711463952384 x	Eagles defense still stinks. Read more here http://t.co/VjHyHmZfzW
1004836855_387196213679779840 x	The good thing about Zach Berman is that he fits in your pocket.
1004836855_387194234354167808 x	@phillysport @JimmyKempski I hate this new kind of journalism. Now stay tuned later for my 10 accolades from yesterday's win.
1004836855_387195808082186240 x	@JimmyKempski Well, because I'm generous, I'll give you my first accolade: Browns and Chiefs have better record than the Eagles.
1004836855_387059857435529217 x	@JasonLaCanfora I'm confirming these reports.
1004836855_387055138516385793 x	@Hedge76 @JoyceEvansFox29 @FOX29philly Wrong
1004836855_387052630381297665 x	@EliotShorrParks Joe Banner would be, I think that's safe to say. People really rather not work with Howie.
1004836855_387046640571281409 x	Eagles still have a worse record than the Browns. #JustSaying
1004836855_296452908990484480 x	@Bighugh53 What does that mean?
1004836855_296404225091575808 x	@Bighugh53 @BeerMeABeer @notkerouac I want to hang out Hugh. You were a great representative of the Philadelphia Eagles.
1004836855_281891290621296641 x	@ctrabs8729 Keep up with the good work, man!
1004836855_281884192885854209 x	@trenni @FanSince09 Can't believe you're giving this bottom feeder national exposure. Shame on you.
1004836855_281886329959235585 x	@trenni He's a bottomfeeder who get's his jollies by knocking great men like Couch Paterno and Cole Hamels
1004836855_278893818420551681 x	PROTECTED
1004836855_281442084626526208 x	@DiDDy915 @dbaldino Stop being a low quality person
1004836855_281517622238003200 x	@DiDDy915 @dbaldino Alot of them deserve it. People like @fansince09, @JesusZoidberg, @CrossingBroad, all bad people
1004836855_281821429958340608 x	@DiDDy915 @JesusZoidberg @dbaldino @FanSince09 @CrossingBroad Leno.
1004836855_281820218358132736 x	@phillyent You'd think he be used to death threats and classless fans from playing in Philly for all those years.
1004836855_281819303567822848 x	@ScottPetrak Yeah, he'll have his AARP card with him
1004836855_281629404436766720 x	@howardeskin @SportsRadioWIP Let's set up an interview. I'll give you my opinion of Foles, Philly fans, ect
1004836855_281794392862367744 x	@widenerlax4 Keep trying to kiss Howard Eskin's bearded ass. Maybe he'll use you as a source
1004836855_281793990687326208 x	@Ben_Jones88 People keep disrespecting couch Paterno. It's a same. Similar to how they kicked dirt on Woody Hayes's grave
1004836855_280878701640552448 x	@kylejbrewer I'd take my brother Tom over anyone playing tonight
1004836855_281616939770589184 x	@SixersCEOAdam And he's full of crap. Philly fans are the biggest fruntrunners in the world.
1004836855_281597529873866752 x	@GeniusMeathead @IgglesNest I'm as real as it gets. Don't let fakers and pretend fans bother you.
1004836855_281578858921218048 x	Couldn't imagine my teammates like Dawk, Douglas, Watters, ect talking on twitter like champs when 4-10
1004836855_281477093773168641 x	@Jerichomarch I wouldn't let Dana Bible coach a turd being flushed down a toilet bowl!
1004836855_281476886180278272 x	Don't think that a bible can be harmful, check out my career.
1004836855_281476754768551936 x	@AlbertBreer You're playing against the Eagles; who would feel weak in the knees?
1004836855_281209433596493824 x	I want to wish @steveaustinBSR the very happiest of birthdays, and wish no more women feel the back of his hand.
1004836855_281206252506333184 x	If you take the time to tweet me, I will try to get back to you; but don't be an asshole
1004836855_281205891297079297 x	@JeffDarlington The Real Jesus
1004836855_281191045910376449 x	@CrossingBroad @JasonBabin93 Jason Babin is a good and decent human being. More nerds jealous of athletes it seems.
1004836855_281205777073594368 x	@CrossingBroad Who are you again?
1004836855_281190562852380672 x	Glad to see a World Series MVP isn't good enough for the Philadelphia Fans. Hamels should have went to LA
1004836855_281205656097288194 x	@willfagan16 Check out guys like @FanSince09 and his buddy Dennis Ditch
1004836855_281205526438756352 x	@JesusZoidberg Keep my name out of your tweets; you disgraceful human being
1004836855_281191266534965248 x	@JasonBabin93 Big fans of yours dude, keep up the good wok
1004836855_281143262394335232 x	@AlbertBreer Entitled, probably nothing. The fact that the Jets enticed him to come to NY over Jacksonville and won't play him. something
1004836855_281141614964006912 x	@AlbertBreer @OverTheMonster Except they believed that probably 10 weeks ago, still went with Sanchez
1004836855_281129715195068416 x	#FreeTebow
1004836855_281095738593787904 x	@AdamSchein I'm available
1004836855_280868196297347074 x	I'd start Ric Flair over Mark Sanchez, and he'd probably steal my wife
1004836855_281095609275015168 x	@BaconSports It's true.
1004836855_280886285709762562 x	I can't take this anymore. An NFL team trying to get to the playoffs, keeps the worst QB I have ever seen in.
1004836855_280884643065126912 x	@nfl If someone votes for someone from this game for the Pro Bowl they should have their hands cut off
1004836855_280769137427484675 x	@BobShinnRT_R @meechone @poster_nutbag @FanSince09 I don't swing that way, fella
1004836855_280883797963182080 x	@lawlornfl @RoobCSN Foley is light years better then these guys. I'd take Ray Lucas over Sanchez
1004836855_280882164084645888 x	Boy this game is dreadful. I'd rather hear the Michigan fight song on repeat then watch this slop
1004836855_280866920985665536 x	Hell, right now I'd start @MVFive over Mark Sanchez, and I say that knowing Marcus would steal my TV.
1004836855_280878342922719233 x	How is Justin Zwick not working yet these guys for the Jets are. Amazing
1004836855_280875662003294208 x	@nickrock23 Joey everyday
1004836855_280868348202459136 x	Seriously, a QB watching Mark Sanchez is like a doctor watching Helen Keller perform open heart surgery
1004836855_280864974702784512 x	Right now, I'd take myself off the street over Mark Sanchez
1004836855_280864105072558080 x	@EvanMathis69 @EASPORTS @mattyice504 Haven't played Madden since they rated me a 58 in 2003, worse than Chad Hutchinson!
1004836855_280822169821396993 x	And that's not a knock on Ponder, just the large double standard many people have.
1004836855_280821716878503936 x	If Christian Ponder was black, they'd be calling him a bust by now. #DoubleStandard
1004836855_280772031224610817 x	@notkerouac @DennisDeitch Who is Dennis Ditch?
1004836855_280821617846800385 x	@malyanakian @notkerouac @DennisDeitch @FanSince09 @meechone @poster_nutbag You didn't check with me, liarman
1004836855_280778347611582464 x	@fansince09 and his ilk not only mock legends, but now have moved onto mocking Jesus!
1004836855_280778146414985220 x	But Jesus said, Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven. Matthew 19:14
1004836855_280777988570767361 x	But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you. Matthew 6:33
1004836855_280777776800337920 x	Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me.  John 14:6
1004836855_280776066753236992 x	@JesusZoidberg Show some respect for the Lord and Savior. Worse than @fansince09 mocking Paterno. Scumbags
1004836855_280777510294278144 x	@JesusZoidberg @FanSince09 You have Jesus Christ, the man who died for our sins, as a fishman. It's a mockery!
1004836855_280775890466656256 x	I see what people warned me about; alot of nutcases. SMDH
1004836855_280775699458048000 x	@JesusZoidberg Look at this guy, mocking Jesus Christ by making him some lobster man. You're mocking GOD, and you want to talk.
1004836855_280774472506699777 x	@DennisDeitch @notkerouac Is Dennis Ditch verified?
1004836855_280773781969055744 x	@Kgeich67 @FanSince09 I used to call him Kamala, and he used to call me Kim Chee
1004836855_280772066515501056 x	@meechone Gruden
1004836855_280769700932243456 x	PROTECTED
1004836855_280770043225178112 x	@FanSince09 @BobShinnRT_R @meechone @poster_nutbag You talk bad about good people like Paterno.
1004836855_280770701722537984 x	@FanSince09 @BobShinnRT_R @meechone @poster_nutbag What do you know about couching? Bet you still live with your momsy
1004836855_280771318146809856 x	@FanSince09 @BobShinnRT_R @meechone @poster_nutbag You spend your time taking down people better than you.
1004836855_280770580788170752 x	@notkerouac @FanSince09 I'm in the HOF already, the Ohio State HOF
1004836855_280770505781440512 x	@malyanakian I think Andy needs to go spend time with his family
1004836855_280769827113664512 x	@Greg_Shields Rather not say, but he was very different in private then public
1004836855_280769604396146688 x	@FanSince09 @BobShinnRT_R @meechone @poster_nutbag Donovan is a decent guy, likes to mope though. Hated Philly
1004836855_280769077063086080 x	@Greg_Shields Love Philadelphia
1004836855_280767661967831042 x	Some of my least favorite people when I played: Tim Couch, Ricky Watters, Rodney Pette's wife
1004836855_280768505098412033 x	@DanParzych When her husband was benched she actually went into to Jon Gruden's office and complained
1004836855_280768098477420544 x	@BobShinnRT_R @meechone @poster_nutbag @FanSince09 Just a not nice dude.
1004836855_280767476109819904 x	@BobShinnRT_R @meechone @poster_nutbag @FanSince09 Tim Couch was a jerk. Not good people
1004836855_280766502859309056 x	@BobShinnRT_R @meechone @poster_nutbag @FanSince09 No favorites. Least favorite was the one to Jesse Armstead pick 6
1004836855_280766283274928131 x	@BobShinnRT_R @FanSince09 How is knocking him playing respects. Guy was a great couch, a better man
1004836855_280766101804175361 x	I thought twitter would be this neat exchange of ideas, not this misogynistic attitude of people.
1004836855_280764742841298944 x	@poster_nutbag @meechone @FanSince09 @Slate I don't even know what slate is
1004836855_280765792050622465 x	@meechone @poster_nutbag @FanSince09 @Slate 7, proves nothing though.
1004836855_280765416090005505 x	Thanks to my followers for pointing out this "fan" @fansince09. It's sad that people like him exist and ruin it for everybody else
