149744553_265658838080966656 x	Lets go eagles!!! #notdoneyet
149744553_304397762286477312 x	RT @TH2NSTATSGUY: Can every game just be a #Penguins vs #Flyers game....honestly.
149744553_304341573355859969 x	@mcoluch10  mother of god i wish i saw that
149744553_302257229598437378 x	http://t.co/tZhsOjaf  This video is extremely accurate #bynum
149744553_301514114172329984 x	McGinn just raped that bull on live tv
149744553_300729131295993857 x	Sbs-silo we meet again
149744553_300473305993977859 x	What a good game #5ot
149744553_298607848802369536 x	I'm getting real tired of my websites not working #lmsd
149744553_298279607034068992 x	Great football game and that's all I could really ask for #CongratsRay #congratsRavens
149744553_298277363765104642 x	So are the eagles technically champs since they beat the ravens?
149744553_298264510031069184 x	@mcoluch10 "randy pausch last lecture"  37:30 to be exact
149744553_298264359942123520 x	RT @Lord_Voldemort7: So a team called the 'Ravens' is playing a team whose colours are gold and scarlet? JK Rowling should sue.
149744553_296119593360039937 x	@mcoluch10  Even when the Heat go to the white house Chris Bosh has to troll. #trollforlife http://t.co/uWtZov39
149744553_295745984653307905 x	@BleacherReport @bustedcoverage @mcoluch10  #el
149744553_295746656731803649 x	@mcoluch10 i didnt realize he could hack things that heavy. be on the lookout from now on
149744553_294188583684804608 x	@mcoluch10 sounds like the work of a former co worker
149744553_265664080604434432 x	pretty sweet play. to bad we cant execute anything
149744553_294251000510963712 x	@mcoluch10 ??? problem solved ???
149744553_294114114345775104 x	Tyler Cassidy is a genius
149744553_292459688514158592 x	@Jrue_Holiday11 is mad clutch #allstar
149744553_291565598943637505 x	@mcoluch10 #TalkLikeYourBestFriend I got llamas and commas #freesossa
149744553_291363476151099392 x	Swaggy P ??
149744553_290839845062995969 x	Truth http://t.co/0Ingvszv
149744553_290567117865091072 x	That was a dumb call
149744553_290275664077144064 x	Probably game of the year
149744553_290262427340251136 x	RT @johnclarknbc10: Was that Kurt Coleman and Nnamdi Asomugha
149744553_288500498565300226 x	wut http://t.co/ZH1w0bXC
149744553_288469551346225152 x	Katherine Webb tho
149744553_288365370803355649 x	?
149744553_287971437816471553 x	RT @Ravens: Ray Lewis will walk out of the tunnel for the last time at M&T Bank Stadium. RT if you're pumped for that moment!
149744553_286690889236115458 x	smh http://t.co/hl3YlFt5
149744553_286681542753923074 x	RT @mcoluch10: @SixersCEOAdam Been a sixers fan my whole life. Love what ownership has done, and I believe we have a bright future! #tickets
149744553_286462559127744512 x	@mcoluch10 damn that will get him off shaqtin a fool
149744553_285769239334383616 x	RT @_Happy_Gilmore: Kanye West reacts to hearing Kim Kardashian is pregnant. http://t.co/8rf8nwHj
149744553_285462243380961282 x	@mcoluch10 http://t.co/5K2mzY3e
149744553_280848375484657664 x	@mcoluch10 http://t.co/cWztCqzZ
149744553_280115105126023168 x	@ThugPickles @cravemythoughts seems legit
149744553_279778867164622848 x	@mcoluch10 @flyerselliot28 yea ?lie?s
149744553_279436014991339521 x	yeah now i remember why the eagles are 4-9
149744553_279040742272417792 x	RT @mohinthelawn: #SomethingIGetAlot "You go to high school?????!?!?!?"
149744553_279030541385342976 x	the truth http://t.co/HUDqyE9c
149744553_278308751826624512 x	RT @RealGM: Andrew Bynum Speaks To Media, Expects To Miss No More Than One More Month -- http://t.co/B6BzZLQ3
149744553_278230019866771457 x	@mcoluch10 do you even lift bro?
149744553_278232540777689090 x	@mcoluch10 doodle jump?
149744553_277887454659375104 x	The Brasher Era
149744553_277851102043582464 x	RT @mcoluch10: Avant got the catch of the year right there!!!
149744553_277291271335342080 x	typical   http://t.co/dHsroivD
149744553_276748857096945664 x	@ThisKidAlex 8 homers 17 3bs my prediction if he's every day starter
149744553_276525757235343360 x	Thank you power for going out for no reason
149744553_276529763483537409 x	@mcoluch10 ?
149744553_275331207326208003 x	The week tebow is inactive the jets bench Sanchez. u mad tebow?
149744553_274633972619833346 x	@flyerselliot28 haha tomorrow is your revenge #maybe
149744553_274635392672735232 x	@flyerselliot28 oh crap I didn't even realize that. Luckily I have played Xbox enough to not get confused with the buttons
149744553_274641119231483906 x	@flyerselliot28 still got a few good plays out of it
149744553_273821172473405440 x	RT @yaboybillnye: LISTEN UP: IF I WIN, Anyone who retweets this #powerball will receive a portion! http://t.co/ggrcT1GB
149744553_273257772458598400 x	RT @NOTSportsCenter: Halftime: #Thunder 64, #Bobcats 24. It took 12 and a half games, but the Bobcats are finally BACK baby!
149744553_273252291035951104 x	Bryce Brown playin with heart
149744553_273246390661029888 x	The Todd Bowles era has been very successful so far
149744553_272049015460339712 x	RT @mcoluch10: 2000 tweet is a s/o to @ThisKidAlex and @TheGLATman for being my bros through everything
149744553_271786497819172864 x	Lets get it!! #jets
149744553_270696006826487808 x	@mcoluch10 ... u mad bro?
149744553_270226510227591170 x	when does Celek not tip a ball up right to the defender?
149744553_268803248268406784 x	@mcoluch10 lol. In sure the marlins will trade the jays Stanton for John buck. #marlinsgmisEL
149744553_267771121108144130 x	Demetrius Bell> King Dunlap?
149744553_265658447176036352 x	you kidding me?i go downstairs for one second and i miss a touchdown. whatever ill take it
149744553_265638530708037633 x	RT @RobLoweSports: Retweet if your Grandma could get a sack against the Eagles O-line @NFLRT
149744553_265606707344973825 x	@mcoluch10 @thiskidalex double double
149744553_265196782466781184 x	@mcoluch10 your a bully
149744553_264692451959242752 x	I'm not feelin these #sats
149744553_264199033294290944 x	RT @mcoluch10: #ShaqtinAfool
149744553_264197867059695616 x	#ShaqtinAfool
149744553_264097145328640001 x	and the countdown continues #harriton
149744553_263831589874708480 x	@mcoluch10 good thing they cancelled school early today instead of late at night
149744553_263812050264928256 x	Hawes>Lebron
149744553_263778128642596864 x	lets go sixers!
149744553_263406395020431360 x	Aliens http://t.co/QBdmFCAd http://t.co/fZmbTI1M
