66506289_393552158140145664 x	Flyers win. Finally. Barely.
66506289_349275333041733635 x	@WilmingtoNCoast 52 years
66506289_348111696654643200 x	@Paula_Deen I don't care about this stuff. As long as you continue to make deli sous food, you're aces in my book.
66506289_346734455462965248 x	#severe storm approaching Wilmington http://t.co/YFK1OqGYPk
66506289_346734297216061441 x	@6abcadamjoseph @6abc approaching Wilmington. http://t.co/g1RFVSMVKG
66506289_346386989215539200 x	@MReader24 look like chef pants I had
66506289_346328833831604224 x	@phillykelly http://t.co/gXf2wruvuL
66506289_345730248442265600 x	Waterspout tonight just off Rehoboth Beach De http://t.co/zXPVBVteS1
66506289_345314136823062529 x	Bus vs Jeep. No winner 5 injured http://t.co/cIHiWlIgJn
66506289_345007405853208576 x	@Jim_Gardner Jason Leffler
66506289_344982646457253889 x	If these storms fire on the Delmarva I'm goons have take a half day tomorrow and chase
66506289_344980289572978688 x	A little music and dancing at the Italian festival http://t.co/92P6i83Nh6
66506289_344963254998667264 x	Italian Festival again http://t.co/VuG8TZVYJu
66506289_344644151033331712 x	#phillies have the WORST bullpen EVER
66506289_344610235723427840 x	Italian Festival at St. Anthony's. http://t.co/kLczg5nGtf
66506289_344226767566929920 x	RT @DelawareDOT: UPDT: Weath: NCC - THE NEIGHBORHOOD OF ROBSCOTT MANOR IN NEWARK IS CURRENTLY CLO... http://t.co/PqozDb20lK
66506289_344222571643936771 x	RT @breakingstorm: Storm damages several homes in Newark and Glasgow, Delaware - @delawareonline http://t.co/b9HZgXYGeN
66506289_344219602609385473 x	Tornado warned storm in New Castle County, DE about 4:50 pm. #svrwx #tornado http://t.co/u3dXAZD6Uk
66506289_344218823060234241 x	Tornado warned storm in New Castle County about 4:50 pm. http://t.co/NxzYh65B3Y
66506289_341727989521842176 x	RT @FlyersNation: #Penguins are losing and Dom Brown homered again, all is right in the world.
66506289_341717134801522688 x	This gas the makings of a Flyers-Pens game
66506289_341257821658161154 x	RT @stormpics: Can we get #twistex to trend for the loss of 3 great men and storm chasers, Carl Young, Paul and Tim Samaras?  Retweet and h?
66506289_340910400155553792 x	Ha ha.  Meteorologists. Hi 88. It's 93.
66506289_340884370149761024 x	High today 88. Current temp 91. Meteorologists are smart and funny.
66506289_339925125665280000 x	I predict Detroit or Chicago will win tonight
66506289_339164993197064192 x	Hockey is on in a bit. Woohoo
66506289_339146757181165568 x	Ellena Delle donne is awesome
66506289_339145419449843712 x	@phillykelly you haven't had enough. You can still type.
66506289_339131864574996481 x	Memorial Day BBQ http://t.co/oTIfyJMDx4
66506289_339067712020037632 x	@Emeril not grilling. BBQ ing. Ribs have been on since 7 am!
66506289_338025832192811008 x	52 degrees at 4 pm on May 24. WTF?
66506289_337723959632080896 x	Rangers are done. Who'll be their next coach ???
66506289_336648106928140288 x	Detroit owning Chicago right now
66506289_335878659858632704 x	@Real_ESPNLeBrun when are they going to state fining officials over obviously blown calls and missing the obvious penalty?
66506289_335784743792701440 x	Time to fire the grill for #cheeseburgerinparadise!
66506289_335576503813287936 x	@tanya_tucker good evening Tanya. Happy Friday!
66506289_335183809295298560 x	RT @DidFlyersWin: RT this and tweet #NHL14Simmonds to help @Simmonds17 beat John Tavares in the #NHL14CoverVote
66506289_335096915626717185 x	#NHL14Simmonds!
66506289_334390199364775936 x	@BigJoeBastardi yeah. But if you come here illegally and just stay, it ok. Here have some welfare and free social services too.
66506289_334111689182171137 x	Wow Leafs
66506289_333033919714840576 x	Rain and thunder moving in
66506289_332997164546527232 x	Happy #nationalshrimpday http://t.co/lkNLb1JHqM
66506289_332646485424496642 x	Another shooting in wilmington
66506289_332577058435760129 x	RT @BroadStHockey: Wayne Simmonds is beating Evgeni Malkin in NHL 14 cover voting. Make sure that continues. #NHL14Simmonds http://t.co/e1y?
66506289_332576799236177920 x	RT @FlyersNation: Wayne Simmonds has taken the lead against Evgeni Malkin in the 2014 NHL Cover Vote! Retweet this and keep tweeting #NHL14?
66506289_332329593832882179 x	Power back in little Italy
66506289_332289187783000066 x	Lots of lightning
66506289_332285519998373888 x	Lightning. Thunderstorm here
66506289_332248344783118336 x	@amybruni just like a potato. Can dice it, steam, add a little butter, salt and pepper.   You can also mash it like a potato.
66506289_331545515097481216 x	@phillykelly bring out the dancing lobsters
66506289_331033489539489793 x	@ClimateRealists @BigJoeBastardi it's global warming dontcha know
66506289_330053709054738432 x	@phillykelly good plan. But if going to watch the Phils your gonna need more than one beer
66506289_330124237631283201 x	@phillykelly ok. Maybe your right...
66506289_329744138167779329 x	63 degrees in sept=jacket and jeans.  63 in May =t shirt and shorts. The power of our body's to adapt
66506289_329369443077586945 x	Shame the Flyers aren't in it...but 1 hour to playoff hockey. Woo hop!!!
66506289_329282044079247360 x	RT @JimmieJohnson: The 48th retweet wins my race weekend hat from Richmond. 1 retweet per and no repeat winners. #JJSwag
66506289_328683962073509888 x	Life would be better if more things were warped in bacon.
66506289_328612139482902528 x	@amyfadoolCSN of course. The last half dozen games proves what a good coach he is. #FullContact
66506289_328322039469461504 x	Steve freakin Mason!!!
66506289_328319687102431232 x	Flyers. Voracek. Tastykakes
66506289_328302736468750336 x	Flyers really being out played
66506289_327891571590713344 x	@LesBowen that one BIG dude!
66506289_326853622669381637 x	@tpanotchCSN it was WilmingtonDE
66506289_326752970043695104 x	RT @JimmieJohnson: The 48th retweet wins my raceday hat from KC. 1 retweet per and no repeat winners. #JJSwag
66506289_325402547072405505 x	We have lightning
66506289_325046020788609025 x	There's the Flyers we know and love
66506289_324495971931258880 x	School bus vs car s union st by elsmere McDonald's
66506289_324326942692229120 x	Now this is the Flyers team we expected all season
66506289_324243044650074115 x	RT @mvcargo: It's #NationalStressAwareness Day. RT if flip-flops and a cold drink would help. http://t.co/dQq5BlmiLw
66506289_323179378257305600 x	And that's probably my fault #Flyers
66506289_323179162925936641 x	Really liking the job Steve Mason is doing #Flyers
66506289_322176172882526208 x	Hearing things blowing around and breaking outside #weather
66506289_22107454218 x	hump day!
66506289_14651628964 x	LET&#39;S GO FLYERS
66506289_10092821759 x	just finished cleanig the kitchen...tomorrow the back yard..in the mean time...relaxiing
66506289_9441343486 x	Relaxing watching the race
66506289_6830066699 x	getting ready to go plow snow for my son&#39;s landscape co.
66506289_6643046179 x	fighting a sore throat
66506289_6415599341 x	finished cleaning up after dinner.  just tired
66506289_6246791620 x	just working on a proposal...
66506289_6217003805 x	a rainy Monday - someone should write a song....
66506289_6097857840 x	7 1/2 hours in the kitchen.  My feet hurt, my back hurts, and i"m tired.  Happy Thanksgiving!
66506289_5904870817 x	ahhhhh...the weekend
66506289_4888215329 x	Writing Proposals, making appointments, And here comes the rain... ... http://lnk.ms/20rjk
66506289_4810336916 x	Monday - working writing proposals ... http://lnk.ms/1ny1p
66506289_4681009724 x	Hockey hang-over. Way to go FLyers. It was great to be there on opening night for one of the most fun game ever! ... http://lnk.ms/1RSJ0
66506289_4613399312 x	time to relax - wash, whouse work and dinner are done! ... http://lnk.ms/2hYhM
66506289_4564013591 x	still trying to get rid of this cold, but i&#39;m home relaxing - waiting for the flyers game to start - woohoo its ... http://lnk.ms/2YN0d
66506289_4525576039 x	on the road, working. actually starting to feel better. may get rid of this cold yet ... http://lnk.ms/12h9k
66506289_3780074098 x	birthday shopping for my father, then heading to his house for a BBQ
66506289_3476731945 x	doing stuff around the house...trying to take it easy
66506289_3388645306 x	working on writing renewal quotes for a fairly large portfolio...been on it all day and I'm sure it will spill into tomorrow.
66506289_3371277942 x	must be monday...too damn quiet outside...where's the entertainment?
