65137552_296039279765909505 x	Blimp sighting at dusk in New Orleans: http://t.co/3vYbxRAT
65137552_389691737729695744 x	How the Eagles got a boost from the Bucs' 90-yard drive:  http://t.co/AQMB795A5B
65137552_389445859567337472 x	Give Foles credit for getting it off. Completion woulda been better
65137552_389437368685436928 x	Nick Foles OWNS this stadium...
65137552_379329654982598656 x	Vick has been better in second half, not as good as Rivers, but better.
65137552_154289478587002880 x	Lurie: ridiculously unacceptable to blow five fourth quarter leads
65137552_154288459761201152 x	Lurie: staff is up to Andy.
65137552_154287966305517569 x	Ok, we're 12 mins in and we know Jeff is disappointed...
65137552_154286717413765121 x	Lurie: being too caught up in final month success fool's gold.
65137552_154285646184325120 x	Lurie: Incredibly dissapointing
65137552_394540579238846464 x	At this point, the Eagles' defense has to know the offense isn't scoring.
65137552_386928325949534208 x	Whichever way this replay ruling goes, I still say the NFL has made catching a football ridiculously complicated. Feet down, ball in hands..
65137552_339171460453117952 x	And now, like the rest of the Phillies' TV audience, I start to ponder what might be available On Demand.
65137552_395260488935673856 x	Freddie Mitchell would just like to thank his orange jumpsuit...
65137552_356256088313692160 x	You're not gonna have to worry about them anymore, now that you're blocked RT @MartyFunkhawser: @LesBowen dude enough with the liberal RT's
65137552_389474239180312577 x	Chip's all like, "Eight minutes to get a field goal? Y'all watch this..."
65137552_384464755005853696 x	Chip on offensive probs: right now, self inflicted
65137552_361520176740577280 x	We're about 30 mins from the first Linc practice and I'd say maybe a fifth of those 65,000 folks who got tix are inside. Weather a factor?
65137552_302966862474510338 x	Brayden Schenn is gonna get a lot better than this, right?
65137552_265677461327585280 x	Can't do my job. Pro Football Writers need to look at this
65137552_258408472033517568 x	If this guy loses his fizz, do they have a righty named Pepsi to bring in?
65137552_394559102841794560 x	Chip: when you're not moving ball, everything adds up
65137552_394557798820114432 x	Chip: I think we've had some instability at the quarterback position, and I haven't called good games
65137552_394513094279307264 x	No pass rush pressure on that Giants drive.
65137552_394535785191309312 x	Well, that was atrocious, and the Eagles remain scoreless despite mounting two drives on their last 2 possessions.
65137552_392993533004873728 x	Vick doesn't want to say he's back, but he is:  http://t.co/Vn2aifXEyw
65137552_384418985178959872 x	Killer drop in that situation. Just killer
65137552_384452852543782914 x	It wouldn't be an Eagles loss if Alex Henery didn't miss a field goal.
65137552_384429649930903552 x	Eagles front getting no push
65137552_380890093868683264 x	This is becoming a pattern. Every Eagles long gain.
65137552_380146078441811968 x	So Halladay, who got people out tonight, is not a viable big league pitcher anymore, but somehow, Papelbon is?
65137552_377220026819805184 x	You know when it isn't a false start? When the defender is all the way across the line of scrimmage.
65137552_377211297600765953 x	Wrong call, but highlights Vick's problem with batted passes. He tries to throw through people
65137552_368061614496690176 x	The fat, slow runner's lament: if Advil could truly hide us from Achilles tendinitis, what a wonderful world this would be.
65137552_366081175862784000 x	if you're still up and want to read something that will put you to sleep, here's my story. Promo code K22W: http://t.co/IKIOWWiRA0
65137552_352552482431451136 x	I have a radical Ryan Howard suggestion: 1. Get knee scoped. 2. Heal. 3. Come back when you don't have to limp around and swing onehanded.
65137552_352083400267542529 x	This will make bullpen talented, turn back clock on Howard RT @JordanRaanan: Phillies have one last-gasp move to salvage season ?fire Manuel
65137552_380868710430298113 x	Can Donovan still fit into that jersey? Say, now? Just wondering...
65137552_377435685005037568 x	@Angry_Amishman Again, I don't really understand why that was a bad question, but I did not ask it.
65137552_377447068442570752 x	Well, there u go don't get your info from morons RT @Angry_Amishman: @LesBowen Sorry, Crossing Broad had you asking the question.
65137552_306146881904455680 x	Eagles have released Mike Patterson, source close to situation confirms.
65137552_133955878524157952 x	AR: we'll get this thing right.
65137552_133733481464348673 x	No pass rush, DRC awful in coverage.
65137552_116928484202393601 x	Vick throwing to Harold Carmichael. Harold looks great.
65137552_380858480464105472 x	A trick play that didn't work! Making Andy feel right at home...
65137552_394557583761346561 x	Chip: I'm concerned (about Vick)
65137552_387219833714409472 x	If you need to fire a coach three games into an NHL season, then you really needed to fire him last spring and you botched it.
65137552_384457644200583168 x	This is kinda like the Eagles are replaying 2012 but they downsized the coach.
65137552_379323574625894400 x	Wow. Every. Single. Call. That was well within 5 yards of line.
65137552_379325308920287233 x	@Rob_Thrash Within 5 yards, you can do everything short of stabbing the guy.
65137552_379325961809846272 x	@Rob_Thrash Trying watching NFL games sometime.
65137552_379321564983881728 x	And, with 5:08 left in the third, the Chargers just punted for the first time.
65137552_379294584284512256 x	In the NFL we all grew up watching, that was a touchdown catch. It's just silly that it isn't now. What's the point? He caught the ball.
65137552_399638025480568832 x	Upon further review, Pack had 5th-ranked rush defense. Second-ranked run OFFENSE. So sue me.
65137552_394940575226798080 x	Except, this is Howie's show!
65137552_392999252894699520 x	Angelo RT @WIPMorningShow: What ONE person do you blame the MOST for the current state of all Philly sports right now?
65137552_392035625937154048 x	Hey guys! Driving back from a funeral in NC. About to check my feed. Hope no one posted any SPOILERS about the Eagles' game...
65137552_374643409065357314 x	Eagles tweak LB corps, puzzle beat writer:  http://t.co/zvVTUQbH26
65137552_397794053066338304 x	Foles: the 24 hours (after the game) is over. Now we move on.
65137552_394814877833113600 x	Two people looked less than ready for primetime yesterday for the Eagles. Matt Barkley and his coach:  http://t.co/NnBPYylmbl
65137552_394533652043804672 x	Have I mentioned that the Eagles put Matt Barkley in a terrible position? That he needed every rep last week to be close to ready to play?
65137552_394522311174283264 x	I'm going to say the Eagles should have spent the week getting Matt Barkley ready to play and letting Vick heal.
65137552_377227443511115776 x	What the hell happened there? How'd he get so open? Wish I could see...
65137552_345023718793302016 x	And in newsrooms in Boston and Chicago, earnest discussions of how long they can hold the presses continue.
65137552_368145189279248384 x	I swear to God, Eagles backs & receivers are doing a 3-man weave basketball drill up and down the field. Welcoming Brett Brown to Philly?
65137552_331971819533922304 x	Young is playing an awful 3b tonight. That ball last inning should have been knocked down. This last one was ridiculous
65137552_331982804567093249 x	@JPCSR30 Ouch. Did u alert him to this?
65137552_311823558227660800 x	Read em in order RT @phillysport: Eagles' free agent signings from @LesBowen (http://t.co/8IPmDVXutZ), @Jeff_McLane (http://t.co/iAmCWGGPto)
65137552_290269923832381441 x	Good lord Flacco, what was that?
65137552_208254181700665344 x	#Eagles' starting offensive linemen strike a pose for FOX, with analyst Brian Baldinger.  http://t.co/YRXhHFWD
65137552_397142158894837760 x	I dunno but I think Ray Emery is ready to come in for the Raiders, Nick better watch out..
65137552_397137683534712832 x	The Raiders' d backs seem to be tripping over an imaginary Will Middlebrooks, over and over again.
65137552_397106944600993793 x	The seats here in Oakland are dark green. That seems very accommodating, but I'm guessing it has to do with the A's...
65137552_371738339659218945 x	I hate it when cut news leaks out through players and agents. What's the big deal? You told the guy you were cutting him. Announce it.
65137552_399607600196513793 x	And that'll kill the FG. Gotta throw it away there
65137552_366239999747829762 x	Brent Celek flubbed a field goal snap after Jon Dorenbos suffered a concussion: http://t.co/JWUL884Dnm
65137552_384674264558731265 x	We knew this was a horrible defense at end of 2012. Who have they drafted/signed to make it better? Yes, Connor Barwin's OK. Then there's...
65137552_387264412933193728 x	Chip somehow didnt ask grade of hammy strain, he says. Very hard to believe.
65137552_384673948455014400 x	Stupid 2 judge Chip Kelly on 4 games. Not stupid 2 question whether Eagles really addressed any of their key personnel issues last offseason
65137552_384452624822464512 x	Kicking a field goal here is beyond pathetic
65137552_332522020980011010 x	But they don't need free publicity from media access RT @phillysport: #Eagles single-game tix on sale @ 10. hearing they aren't sold out yet
65137552_291556419528978432 x	Note to Gus: there won't be any news copters following u in Jax. No Lurie mansion. Best u can hope for is lunch at Hooters.
65137552_291212729988026368 x	My understanding is that the "Gus Bus" lands in Philly around 2:30 pm.
65137552_389443432462049280 x	Wow. Gonna sit on that big 7-3 first-quarter lead, huh? Geez. Either you have a QB or you don't. If u do, u throw on 3rd and 16
65137552_293179168332578816 x	I understand what the rules are. I also understand it's insane to pretend to care about concussions and allow that hit, leading w/helmet.
65137552_394534941070872576 x	Vick sitting all alone in stocking cap on bench
65137552_399622523022606336 x	Foles 6 for 12 for 115. Holding ball too long. There was a Cooper drop and a bad missed facemask that stalled drives. Still not good enough
65137552_380871592621793280 x	This is Vick on a short week. No idea
65137552_380870721288667136 x	Hey, why not just heave it downfield, on first down with 2:26 left...
65137552_394938305386909696 x	Howie trying to calm the masses on radio show. Work cut out for him. Current caller suggests trading "everybody" for draft picks...
65137552_395241497261387776 x	Nick at the podium: http://t.co/TP0TJ0tnbp
65137552_395240720984190976 x	Foles: i am ready to play
65137552_129706099564744706 x	Chris Pronger seems to have become the Peyton Manning of Philadelphia hockey.
65137552_394547173183864832 x	After that DeSean noneffort on ball that went out at 3, Johnson has been the returner both punts, despite desperate need for yards, points
65137552_384474248770629632 x	It's a beautiful evening here in Denver. Do y'all really need two stories from me about this? I mean, u watched it, right?
65137552_373233552147492864 x	Injured Jet up and walking now. I think this injury is much Madu about nothing.
65137552_395562670562496512 x	Chip: Vick MRI shows injury in same spot. Won't play this week. Nick did really well yesterday, will be starting QB this week
65137552_244867127557902336 x	Andy wanted one last possession because he doesn't think Vick has been hit enough so far
65137552_395358111902728192 x	@BobCooney76 Randall??? You couldn't possibly rank him ahead of Bednarik or VanBuren.
65137552_395359788257013760 x	@KyleNeubeck @BobCooney76 I never saw him play, but VanBuren dominated the NFL, keyed bAck to back championships. Didnt see Randall do that.
65137552_394548804373848064 x	I don't have the tweet, but somebody out there thinks it's unfair to call this a Chip failure??? What did he do all week?
65137552_395167297771667456 x	Eagles hoping to see Foles cleared for practice:  http://t.co/SmdPGTa3fz
65137552_394653735794012160 x	Eagles fans, tired of stewing over losing to team that didnt score a TD? Ponder how long Iggles'll play w/Matt Barkley backed up by GJ Kinne
65137552_389798648714129409 x	Chip evades question of whether Vick is definitely QB if he's healthy, since he isn't
65137552_380861529861550080 x	Snap hit Herremans...
65137552_379340611478102016 x	Worst game ever for a safety or just the worst game of Nate Allen's career? Discuss.
65137552_327891216215719936 x	Lane Johnson dwarfs podium: http://t.co/wNvap5rU9m
