1921317602_398986726560911360 x	1 #WTC "spire test." Think it's working! #USA #NYC http://t.co/r1wLKkn1nq
1921317602_393475793625444352 x	#Miami-Dade officer spent $100 on groceries for a mom caught shoplifting. Now she tells #Shep -- the woman got a job. http://t.co/TDmW74AdjA
1921317602_393101177706926080 x	RT @Marthur5: @MichaelNewsDeck @FoxNews  I am in front of the TV before 3 waiting for Shep every day ! He's the Best ! I am in the UK .That?
1921317602_393098697631756288 x	#Shep live today from #Fenway for #WorldSeries Game 1. Turn on @Foxnews now!
1921317602_392403555635580928 x	Disabled? RT @FoxNewsInsider: Boy Scout leader who destroyed ancient rock formation faces questions over injury claim http://t.co/iSZoFidvAw
1921317602_392402379485634560 x	Meanwhile, a new study shows that 1 in 6 young adults is out of school... with no job, either. #economy #unemployment http://t.co/WGn70O6gGr
1921317602_392392380520730624 x	#Shep breaking news: Massive commuter mess as Amtrak service suspended between #NYC/#Philadelphia. Turn on @Foxnews now
1921317602_390672387433181184 x	Because today wasn't strange enough already? RT @ChadPergram: No one knows why Hse stenographer climbed the dais & started yelling
1921317602_390608529062494208 x	RT @JaredHalpern: I feel like I'm running that last two-tenths of a mile to finish the marathon. #governmentshutdown
1921317602_390255717254320128 x	We're tweeting when we can! I'm behind the scenes myself "@Teefd: Are you one of the guys on the set? Will you be tweeting?"
1921317602_388765176897347584 x	RT @FoxNewsInsider: Shepard Smith laughs off Stephen Colbert's 'News Veranda'  http://t.co/XNnWUW4vMD @ShepNewsTeam
1921317602_388763485351342080 x	Chris Wallace: #debtceiling/#shutdown anger could be "nothing" compared to what happens if the markets tank next wk.  http://t.co/PyMaz0BbBu
1921317602_388761340866600960 x	So much for keeping yourself hidden from #Facebook searches. The policy switch, and the state of our #privacy online. http://t.co/MsIb7oeSAs
1921317602_388756904295415808 x	#Shep just reported on air: 24-year-old US citizen arrested in CA, charged with attempting to provide support to #alqaeda #Terror
1921317602_388410162785943552 x	RT @foxnewspoll: ICYMI by 62-27% vtrs say debt limit should only be raised after major cuts in govt spending #foxnewspoll http://t.co/ct9iK?
1921317602_388409316958416897 x	#ScottCarpenter's famous farewell when a fellow astronaut made history: "Godspeed, John Glenn." Carpenter would later orbit Earth 3 times
1921317602_388407098876231680 x	And @DanaPerino tells #Shep, it all started to go downhill back in 2006.  http://t.co/aBGcWJ2Svs
1921317602_388405820695670784 x	Meanwhile, Rep John Delaney (D) says #Washington has hit a wall because there's no "fact-based discussion" going on. #debtceiling #shutdown
1921317602_388404638526865408 x	Last hour on Shepard Smith Reporting: Rep Tom Cole told #Shep GOP lawmakers were "united" in pushing for talks to end #debtceiling stalemate
