19692448_318558279783563264 x	Crying watching #MobWives. #rockbottom
19692448_264005484166672385 x	Thanks to Dr. Ted Eisenberg's extremely catchy radio spot. I'll be singing about about cosmetic surgery all day. Happens every time.
19692448_263649457873235969 x	RT @SliceComm: Slice clients weather the storm! http://t.co/l3omhFw2
19692448_263647970178777088 x	709. Deadlines are important. Meet them. #lifeslittleinstructionbook
19692448_255839805202640896 x	RT @ChariotSolution: The City's Chief Data Officer, .@mheadd, will be presenting at The Science of Big Data, 10/30. http://t.co/GtyVokiQ
19692448_255811716007477249 x	707. Don't be a person who says, "Ready, fire, aim." Don't be a person who says, "Ready, aim, aim, aim." #lifeslittleinstructionbook
19692448_255810866019176449 x	RT @StreamCompanies: #Facebook: It's not just about the likes. It has become a valuable marketing research tool. {Blog post} http://t.co ...
19692448_253961208749772800 x	703. Watch your attitude. It's the first thing people notice about you. #lifeslittleinstructionbook
19692448_253581480490569728 x	RT @adage: Study: Obama, Romney Wage Most Negative Race in Recent History http://t.co/AswXB1u8
19692448_253580457386590209 x	RT @PRNewser: Marketers/#PR pros: Don't judge the success of #Facebook campaigns by click through rates. http://t.co/GabBLhdY
19692448_253309644943024128 x	701. Win without boasting. Lose without excuses. #lifeslittleinstructionbook
19692448_253267399254622209 x	RT @PRNewswire: Balancing Substance with Attention: Creating Content That Attracts & Appeals | Beyond PR http://t.co/eZVuz0kL ^bss
19692448_252975846627893248 x	Thank You!?@FelixNater: @EileenCCampos @buzomcrime @justcoachit @BrianLoschiavo Thanks for your interest in my work. You inspire my effort.?
19692448_252973126579810304 x	?@BBCBusiness: JPMorgan sued over mortgage bonds http://t.co/QZteJSDk? @sonjatmorgan
19692448_252972018604056577 x	4 "young women" beat up mentally handicapped women for fun & put the video on YouTube. Parents are saying not guilty. It all makes sense now
19692448_251910614442725376 x	697. When you say, "I love you," mean it. When you say, "I'm sorry," look the person in the eye. #lifeslittleinstructionbook
19692448_251468841706725376 x	RT @SliceComm: What's not working in #socialmedia? Not mapping business goals to he overall strategy! #simplysaid and very true!
