351202419_306282146853699584 x	@ryansellman1927 #mooch
351202419_324253929342922752 x	Rooftop chilling #tampa #connormoment http://t.co/MY4Pwm8Td2
351202419_323812000524288000 x	Professor is out of his mind
351202419_322508678357987328 x	Intramural floor hockey tonight #mightydrunks
351202419_320658851617718273 x	Just witnessed my first Segway accident
351202419_319181204295397376 x	Got a grilled chicken sandwich for a meal #beatingthesystem
351202419_319137245422551040 x	@NBurt11 haha what
351202419_319138785424183296 x	@NBurt11 haha oh yeah i do remember that now
351202419_319130790787166208 x	?@ChirpHard: "how old are you?" "i'm a 93."  #ItsAHockeyThing? @NBurt11 so true haha
351202419_319132348094484481 x	@NBurt11 yeah haha me too
351202419_317735388351447040 x	RT @donovanjmcnabb: Tony Romo 6 yr 55 million dollar extension. Wow really, with one playoff win. You got to be kidding me
351202419_317275526077227008 x	Hoping the pens get bounced in the first round #fuckem
351202419_316668893668184065 x	These crew teams need to leave #notarealsport
351202419_316624820940963841 x	?@GivUrHeadAShake: Are you pregnant ref? Cause you just missed 3 periods #giveyourheadashake? @NBurt11
351202419_314821004943826944 x	100% on my hour and 15 minute presentation #hyfr
351202419_312264421999271936 x	New nhl alignment #notafan http://t.co/UX6XFWE6y4
351202419_310524241873358849 x	This cashier at bravo might be the dumbest girl I have ever talked to #getyourshittogether
351202419_310086544507670528 x	RT @NBurt11: #BestThingsToWakeUpTo an ice cold beer on st pattys day!
351202419_309812555591852032 x	Are these people really clapping that the plane landed #whatdidyouexpect #rookies
351202419_309771072524410880 x	Dude next to me in the terminal smells like weed #oldhead #stillblazing
351202419_308620001743626240 x	This is the worst class I've taken yet #popquiz #everyclass
351202419_308301036039307264 x	cant do schoolwork on sunday cause hockey is always on
351202419_307547736432062466 x	Einstens bagels people still can't spell #dru #close #horseshoes&grenades http://t.co/czMt4ScN6i
351202419_307228403998801920 x	@elzabelz_ my mom is most likely to blame #sorry #heardthatbefore
351202419_306941860599980032 x	The man is meant to be a flyer
351202419_306458465830838274 x	theyve finally done it. the window is bolted shut #sad #notforlong
351202419_306187760274919424 x	@NBurt11 this is real stupid and short but i find it to be hilarious #NO! http://t.co/0ForDVLa4P
351202419_305117115860541440 x	@Bar_Down_Beauty @ccmhockey @easton_hockey neither it's all about @BauerHockey
351202419_304984915118788609 x	Class outside today #florida #perfectweather
351202419_304430622825394176 x	RT @Buccigross: Tom Vokoun. Disaster.
351202419_304416135372222464 x	They just called Crosby and malkin crack addicts
351202419_304380545427709952 x	Pierre asks the best questions #saidnobodyever
351202419_303551758091833344 x	@NBurt11 bro it was 30 degrees in tampa yesterday
351202419_303557319151734784 x	@PBandFluffin_It @nburt11damn the locals must've been freaking out
351202419_303196183608844288 x	RT @PBandFluffin_It: #hockeydayinamerica
351202419_302331439658201088 x	Insomnia #shit
351202419_301376826008281088 x	@NBurt11 that music is so gay it gave me hearing aids #1direction #hahah
351202419_301091082702299136 x	RT @True_Beautys: Whenever I'm bored I just YouTube "Datsyuk" #setforlife
351202419_300118160613445632 x	Scored on a clapper from the redline #goaliesucked #SpartansPuck
351202419_299987540222554112 x	Long bus ride to Georgia #utpuck
351202419_299684088325996545 x	Movies only cost $7 in the south and the seats are amazing #lifeisgood http://t.co/7rbeqzfa
351202419_297586175877718016 x	First college hat trick #hyfr #utpuck
351202419_297069013144571906 x	RT @HockeyThing: Happy birthday to the man with the most notches in the league, Tyler Seguin. http://t.co/WwtGgDSD
351202419_295966175177891840 x	No I don't wanna join your frat #youdontevenhavehouses
351202419_295680362678476801 x	Why did we bring back leighton #goat
351202419_295697719866040321 x	@NBurt11 hahah the guy blows the cup and we bring him back
351202419_295698443240865792 x	@NBurt11 he's still better than leighton haha #motherrussia
351202419_295704992189399041 x	@NBurt11 haha the man is insane #mr.universe
351202419_295676837164638209 x	All of tampa hates Wayne Simmonds hahahah #bullies
351202419_294857198427860996 x	Beautiful celly #Yakupoving http://t.co/XG0zR7Ez
351202419_294225902882148352 x	And he pulled like $300 out hahah
351202419_294225771575275520 x	This guy just asked me where to put the card in the ATM #confused
351202419_293914434269749248 x	These refs love calling penalties #whistlehappy #letthemplay
351202419_293901014631845889 x	What a hit #herewego
351202419_293897555945857025 x	Other than the pk and power play the flyers are playing great
351202419_293877600160473088 x	First day of class and I already have a 4 page paper due Thursday
351202419_293883096145743873 x	@NBurt11 #suicidewatch hahha
351202419_293878581656956928 x	@trevorcalleja #Not this woman is insane.
351202419_292299779923394561 x	Flight to Tampa
351202419_291592553793474561 x	RT @SportsCenter: BREAKING - Sources: Oregon coach Chip Kelly will be the new coach of the Philadelphia Eagles (via @mortreport)
351202419_291360157378703360 x	Just bought flyers tickets in tampa #nhl #unlocked
351202419_290725165439012864 x	RT @NBurt11: My new Roomate snores like a champ #competition
351202419_289485270464724992 x	RT @Buccigross: If you like hockey fights,,you'll love this exchange of mitts. Frazer McLaren vs. Joel Rechlicz http://t.co/g29TmjFT via ...
351202419_288120879957831680 x	RT @ESPNStatsInfo: Kent State is playing in its first bowl game since the 1972 Tangerine Bowl (lost to Tampa) #KSUvsARKST on @ESPN
351202419_286877580764778497 x	Down goes Canada #WJC2013 #USA
351202419_286681823814221824 x	Let your kid moon people. Give him a real childhood #moonshiners
351202419_286650921268695040 x	What kind of shit is this? #saucepolicy http://t.co/vizygIC7
351202419_285785332132245506 x	RT @Bschenn_10: Adk phantoms jerseys for today's game haha #happynewyear http://t.co/ADoiRvTI
351202419_283413837439459328 x	RT @NBurt11: Absolutely perfect @PBandFluffin_It @dhuns5 @WVU_MountainMan @Conn_2 @ADellig2 @_coach_1 http://t.co/bsqfGyJV
351202419_282285747829088256 x	FX is playing 2012 until midnight haha
351202419_281467441337470976 x	It blows my mind how someone who can't divide can get a doctorate
