345385566_390298011634761728 x	@danieltosh do clowns fart helium.?
345385566_272833481019641856 x	Aweesomeee! I got $176.19 so far just taking surveys. http://t.co/1d3C0GlM
345385566_272401502390321153 x	Sweeeet! I earned $164.47 this week just filling out surveys. http://t.co/VX87Qyal
345385566_272056014084395008 x	Aweesomeee! I got $106.96 so far just filling out a couple of surveys. http://t.co/w33xjMLO
345385566_271346480831414272 x	This rocks! I got $175.30 this week so far filling out some surveys. http://t.co/GBIWJ0yw
345385566_270949359280091136 x	I love this! I made $161.90 this week just filling out surveys. http://t.co/dyj6MgpT
345385566_270570653965488129 x	Sweeeet! I got $161.30 this week just filling out some surveys. http://t.co/ex9agjqW
345385566_270212923102724097 x	This rocks! I made $161.92 so far doing surveys. http://t.co/YwyM5OhK
345385566_269904251969470464 x	I love this! I made $197.14 this week so far doing surveys. http://t.co/06j3FuG7
345385566_258533936400048128 x	RT @JasonBabin93: CNNpoll- 58-40% Romney better on the economy 49-46% on healthcare, 51- 44% on taxes, & 59-36% on deficit. #WhatMatters
345385566_203916487726084096 x	@MTekirian jealous
345385566_201499465453027329 x	@TeamLou23 handle the ball and don't continuously throw up bricks. DISCIPLINE
345385566_201498622469218305 x	Thanks for the lose Lou. You blew it. #loublewit
345385566_196264077167820800 x	@yeahbrauns does that happen to your phone too?
345385566_196271799498063873 x	@yeahbrauns well that's awkward haha. Make it stop brauns! Also what are you doing Sunday
345385566_199215653138341889 x	@yeahbrauns dammit brauns that shit that hacked you got me now. How the hell do I get rid of it
345385566_199222549186478082 x	@yeahbrauns good call
345385566_196262660076085248 x	@yeahbrauns well that is embarrassing. Thanks for the heads up braunsy
345385566_191656780344987648 x	RT @SportsCenter: "Will beats skill. And the will of the Philadelphia Flyers is beating the skill of the Pittsburgh Penguins," -Barry Me ...
345385566_190758162620612608 x	@Buster_ESPN Its too early in the season to point out silly stats like this, Buster.
345385566_190396786777669632 x	RT @EvanMathis69: That's exactly what my fortune cookie said at PF Chang's last night. ?@RealWizKhalifa: Nigga Chill Out And Get Money?
345385566_189050455597383680 x	RT @NotBillWalton: Prince Fielder just picked up his 1,000th career hit. This happened just a day after he put down his 1,000th career B ...
345385566_185683779384389633 x	RT @ryanhoward: Happy Friday everyone. If you ain't working you ain't trying. It's the weekend baby. Finish strong today
345385566_180469648112877570 x	RT @NotBillWalton: Blazers waived former #1 pick Greg Oden. Oden waived back, but he injured his wrist in the process.
345385566_179757104297545728 x	RT @NotBillWalton: David Stern is doing a great job showing the NBA isn't rigged. Buy Dwight Howard's Nets jersey now: http://t.co/BRBtPR6t
345385566_178516993480196096 x	RT @BonnieBernstein: Peyton Manning stays overnight in Denver. This has to be the most high-profile Bronco chase since OJ Simpson.
345385566_172862483248332800 x	RT @NotChuckBarkley: The biggest prawlem for dem Knicks aint they point gawd, its THEY DEFENSE!  Dem boys couldnt defend a peanut from a ...
345385566_171780522912137216 x	RT @CSNPhilly: Sixers president Rod Thorn asked the NBA league office to review Andre Iguodala's controversial foul on Kevin Love: http: ...
345385566_171698313731641344 x	@EvanMathis69 big ups for the ama the other day. Excited to see what the birds put together for 2012
345385566_171418324092190721 x	@yeahbrauns  unbelievably.. Robbed of another win
345385566_168069333627576321 x	@yeahbrauns  Im jealous. Im hoping they can defend CP3. elite pg's have been burning us.
345385566_167424746487681024 x	@SixersCEOAdam @sixers this offiating
345385566_167425646249787392 x	@yeahbrauns this chick is terrible #terribleNBArefs
345385566_167424934925189120 x	@SixersCEOAdam @sixers this officiating crew is a joke...
345385566_166711261374066690 x	RT @espn: Take notice, the @Sixers are for real. The Illadelph just beat the Lakers for the first time since 2009: http://t.co/tiX2585Z
345385566_166268469967466497 x	@ochocinco Goodluck tonight, I have a feeling you'll be the difference maker
345385566_166268028344995841 x	Best part of today will be gorging myself with wings. #SB46
345385566_166229194873896961 x	@Evan3Longoria 21-20 gmen
345385566_165626430821122048 x	@MikeVick @carmeloanthony he never left
345385566_165622033563131904 x	@WindhorstESPN get off lebrons dick
345385566_165615385431908352 x	RT @NotBillWalton: Forbes just named Miami the most miserable city in America. Cleveland won that dishonor 2 years ago. Coincidence? I t ...
345385566_164167439939145729 x	@Sixers are so nasty...
345385566_159791749487804416 x	@LOUccaBega  you should hit the shop rite further down ridge right past wawa. Its chalk full of the best society has to offer
345385566_157635250082680832 x	@yeahbrauns Errytime
345385566_157625782288654337 x	@yeahbrauns yes, they do
345385566_157635098500538368 x	@yeahbrauns and I sing it outloud
345385566_157288424741679104 x	Come  on @sixers , dont let it slip away
345385566_156920215966466048 x	@MTekirian @tropicalelysium @hessshaun good stuff, thankfully one of my habits could be beneficial
345385566_133923874927673344 x	@MTekirian  confirmed! Damn you auto correct
345385566_133923581951352832 x	@MTekirian  confined
345385566_125254769781653504 x	@TropicalElysium  do it
345385566_124617442411560960 x	@DannyKap1  great question...they are terrible. Its time to # firereid . That giants game chapped my ass
345385566_124193447493120001 x	@MTekirian  jealous, ann and I are only up to s2 episode 2. Tuco is a monster
345385566_123779476634087424 x	@MTekirian  Its always sunny in Philadelphia markus
