1330176252_364557460742213633 x	#Popcorn Hoes
1330176252_387359746879012864 x	Think of it like this The Scarecrow didn't have a Brain. But he eased his ass down that Yellow Brick Road didn't He?
1330176252_387354922108219392 x	RT @reallilscrappy: This sat it's goin diznyee in Elpaso Texas #clubNV http://t.co/TgIyraXwyz
1330176252_386880826954100737 x	@WeIlKeptSecrets I'M CALLING TODAY :)
1330176252_385925148009697281 x	@TYTYDAVIS1 @DfyeAnt @tooka_nigga @str8sexappeal @I_Am_LeftEye @ItsTheRealJay @IamCoryGeorge @AyeeFrankeeTJ It's,Good,To Be,Off,Wrk
1330176252_386212036696219648 x	@DfyeAnt Hey Wats Up
1330176252_386231538595028993 x	@DfyeAnt I'm blessed to see another Day
1330176252_385958914442805248 x	RT @ItsEasySolution: Keep looking up.. http://t.co/fAAyV7RgRV
1330176252_385925608502345728 x	I don't wana be anything other than what I been Tryna be Lately.
1330176252_385475251531837440 x	@MostSecretFacts That's Epic
1330176252_385229536289234944 x	@FollowUrHearts @MarilynMonroeID REAL SHIT TRUE WORDS
1330176252_385205639909081088 x	@MostSecretFacts Well I know,What,IIIIIIII'M EATING.
1330176252_385205150047948800 x	@domopop21 @NoLife92 Amen
1330176252_385204880551317504 x	@HippiePosts Who Nicki Minaj Lol
1330176252_385204554427400192 x	RT @Iifepost: When I was a kid, the only fake friends I had were invisible ones.
1330176252_385204444037521409 x	RT @TedOfficialPage: Me + ? = BITCH I CANT HEAR YOU
1330176252_385190204505464833 x	@IamSheree Amen
1330176252_385189735393546240 x	@FreddyAmazin Lol Most,Likely Porn,Lmao
1330176252_385188538100101120 x	@DfyeAnt Lol What Does That mean?
1330176252_385189184144564224 x	@DfyeAnt Oh Well forgive me I'm High as a Giraffe Ass.
1330176252_384728874199699456 x	@DfyeAnt I been good juz a Lil Tired been working alot how bout you?
1330176252_385179528466685953 x	@DfyeAnt How's The,Weather down there?
1330176252_385180099806380032 x	@DfyeAnt Maybe for the Holidays You Hosting?
1330176252_385180591827582976 x	@DfyeAnt Lol Only If You Cooking
1330176252_385181892112179200 x	@DfyeAnt Lol I'm gonna Hold to That.
1330176252_385183859244933120 x	@DfyeAnt I see You a Cancer as well  No Wonder we Vibe'n Lol
1330176252_385187023243341824 x	@DfyeAnt ALL DAY LONG
1330176252_385184007219994625 x	@OfficialKingDre True Words
1330176252_385180423677935617 x	@kendrick__Iamar I Think There's A Drink For That,Lol
1330176252_385180229561380864 x	@SoDamnBoyss Amen
1330176252_385179822575468544 x	RT @DaddyCreaammm: Another day another dolla ?
1330176252_385179774403895296 x	@DaddyCreaammm So Much Money To,Make So Little Time Lol
1330176252_385177187332005888 x	RT @BryNtMusic: Taking my dog on the train with me for the first time. . . Worst mistake ever. Every chick is running up trying to give me ?
1330176252_385177153014226944 x	@BryNtMusic LOL IT'S A BOX SOCIAL LOL
1330176252_385176978191433728 x	@BryNtMusic Amen Right Out The WoodWork Lol
1330176252_384719715135811585 x	I just found all my 334 non followers thanks to http://t.co/1Yy0zMXGa0 #androidapp
1330176252_384719215761969152 x	@NeNeLeakes SHAKE DEM HATERS OFF MS. LEAKES
1330176252_384609094692114432 x	RT @FactsNotes: Get a free Redbox movie: type in "dvdonme" when it asks for a promo code! At Walgreens, type in "dvdatwag" for a second one.
1330176252_384493309093113857 x	RT @_iSpeakComedy: #HoodRatsBeLike http://t.co/TpBorp807u
1330176252_384163897919295488 x	RT @ItsBrooksMusic: Support & LIKE the official Facebook Page. -> https://t.co/GMRS7wEODa #RETWEET
1330176252_384163139006111744 x	RT @SassyGirI: how to kiss a boy:  - grab his waist - slip your hand in his pocket - steal his wallet - dont even kiss him - just run
1330176252_384161851979739136 x	@GoogleSecretz SO MCDONALDS IS IRISH???
1330176252_384160603054424065 x	RT @TedOfficialPage: When you pee on the side of the bowl of the toilet instead of the water to make less noise at night.
1330176252_383050012696911872 x	@FactsNotes @mysteriousfact IT WORKED!!!!!!!
1330176252_383049679614668800 x	@TiaraSoBoojie Southpark but I'm watching The,Challenge
1330176252_383047828576034816 x	@JDeezyMTV JDeezy I,hope you WIN IT BRO
1330176252_381157868713426944 x	@kmichelle THAT V.S.O.P IZ MY S.H.I.I.Z.Z.N.A.I.E.E #1
1330176252_379673430783954945 x	@WhatTheFFact Feed The Hungry
1330176252_379653306978553857 x	@Cuban_Michaels I </3 Cuban
1330176252_379653144013049856 x	@Cuban_Michaels </3
1330176252_378605421943996416 x	@StasiQuinn Stasi WADDUP PRETTY,GIRL
1330176252_378604873329037312 x	@JDeezyMTV @TyrieBMTV @OmahaOasis JDEEZY WADDUP!!!!!
1330176252_378211900846141440 x	@MarilynMonroeID Amen
1330176252_376582010963103744 x	@DavidRobert Love Yu Bro
1330176252_375441079224373248 x	RT @sassyfemaIe: rt If you are a stripper and proud
1330176252_373905510849736704 x	People REALLY SAY THE STUPIDEST THINGS LIKE HOW OLD ARE YOU
1330176252_373464182936453120 x	RT @MostSecretFacts: Using profanity relieves pain. Subconsciously, we prefer to swear after hurting ourselves because it provides pain rel?
1330176252_371713424960389120 x	@Rudeposts Spanish girl 16 & pregnant=Telemundo
1330176252_371712491610337281 x	RT @Rudeposts: I swear to drunk im not god....but seriously, stayin drugs, eat school, and dont do vegetables.  Ya hurd me
1330176252_371711754327166976 x	RT @Rudeposts: DO NOT RETWEET THIS...... Unless you are a sexy beasttt.
1330176252_371711300868403200 x	RT @Rudeposts: White people in the club be like ... http://t.co/qM5f3qm7Az
1330176252_371709745507213312 x	@TheFunnySayings @FactsAboutBoys Green Duh
1330176252_371709365331296256 x	@ltsKatyPerry Oh Is She??
1330176252_371707618030391296 x	@PaulaBGC @BGConOxygen U Suck
1330176252_371449900178735104 x	@TheRealNiaMoore Craigslist Is a DeathTrap Sold Me A Bad Car
1330176252_371449239684927488 x	@PaulaBGC Paula Love You
1330176252_371448853406285826 x	@MarilynMonroeID That's a Scary Fact
1330176252_371448404984864769 x	RT @KattPackAllDay: Alright yall Go get money, get high, get pussy, give pussy & focus on your star player! & Stay away from bitchniggaitis?
1330176252_371446823174418432 x	@FactsAboutBoys because you can lead a horse to water Playa But you can't make her think..
1330176252_371446456915222528 x	I'll prove it to you Can't promise that I'll be good to ya
1330176252_371445939279388672 x	RT @UnrevealedFacts: The problem with the world is that the intelligent people are full of doubts while the stupid ones are full of confide?
1330176252_369311448742121472 x	@FactsAboutBoys Using My Sleepy Voice Right Now
1330176252_369150878894157825 x	@iRealMacMiller @ReaITyga Spare Change
1330176252_368779271747018755 x	@TherealTaraji @HawwahRoots @BeyonceJerkins Hey T-DOLLA
1330176252_368670732697354240 x	RT @weirdworldfactz: The boobs of women who smoke tends to sag very quickly because smoking destroys a protein called elastin, which gives ?
1330176252_368497990345838592 x	RT @gainifollowers: WANT 5,000 FOLLOWERS FAST?!!!    1. FOLLOW @RELATlONSHlP   2. RETWEET THIS    3. REFRESH YOUR TWITTER IN 10 MINUTES!
1330176252_368497938424541184 x	@RebelEWilson @ChildNoteBook @ohboyfeelings AMY HIIIIEEEE
1330176252_368494269490663424 x	@JDeezyMTV AND DATS WASSUP KEEP REPPIN WAVY GANG ALL DAY
1330176252_368441038588760066 x	@DavidRobert I will Dave Lol hmu
1330176252_368440956292317184 x	RT @JDeezyMTV: I'm in love with the Blurred Lines video tho WHOA!
1330176252_368440587420061696 x	@JDeezyMTV MINE 2 it goes oh so hard wavy gang
1330176252_368107572303101953 x	THAT'S WHY I DON'T SHOW FEELING  I'M A ICE COLD KING BITCH  I WOULDN'T GIVE 2SHITS IF IT WAS,FREE
1330176252_365991360173584384 x	@JDeezyMTV Texas Baby Triple Digits Lol
1330176252_365256306753417220 x	@JDeezyMTV It's,a disease JD lol
1330176252_365254588770689026 x	@hitmansteviej @HOLLYandherEGO Is Joseline Still on the bus??
1330176252_365254315935412226 x	RT @JDeezyMTV: If someone asks you a stupid question just simply reply back with #DumbQuestion
1330176252_365219246378196993 x	@SamFineBeauty @benitawheeler Byyeeeeeee lol
1330176252_365219113532006400 x	RT @Tip: Keep it pimpin and be eazy. #HustleGang
1330176252_365218653035184129 x	RT @woahminions: F.R.I.E.N.D.S: (F)ight for you. (R)espect you. (I)nvolve you. (E)ncourage you. (N)eed you. (D)eserve you. (S)ave you http:?
1330176252_365216951615758336 x	RT @WhennBoys: Loyalty is everything ???
1330176252_365216664767311872 x	@PaulaBGC @SheIsNancyD @TERESA_BORDEAUX BYE FELICIA
1330176252_365212241378811905 x	@AlyssaEdwards_1 Alyssa How's The Outback no pun intended Lol
1330176252_365207812013432832 x	@JDeezyMTV @InfinitRakz Black Gatsby Wats Gud
1330176252_365211621095772161 x	@JDeezyMTV @InfinitRakz Already
1330176252_365208365166628864 x	@106andpark @TheRealLailaAli Apologize?
1330176252_365207505581772800 x	@TheBaileyAgency What's A Vendor Cynthia and can i be one
1330176252_365206553147617281 x	@JDeezyMTV @QueenBirdness GOODNESS!!!! Lol
1330176252_365205203047301120 x	@PaulaBGC @RaquelBGC10 Who's Lucifer???
1330176252_365203566278877185 x	@I_AM_HOTROD Not At All we won't touch that.
1330176252_365191357964357632 x	RT @razb2k: @MissRavenSymone I just sent you a email.  is your cell still the same?
1330176252_365182931284672512 x	@NICKIMINAJ @Im_An_Immigrant im,just in it lol
1330176252_365182721959530499 x	@NICKIMINAJ @Im_An_Immigrant I GOT DAT INDIAN GERONIMO DICK THO
1330176252_365181777985286145 x	@Cuban_Michaels @TayrenW HAPPY BDAY CUBAN STILL DA SEXIEST I'VE SEEN BY FAR TUNTUP
1330176252_365069063266902016 x	@Tanisha_DaDiva Paula renamed herself so i stop following her like really and I Love You
1330176252_365068232723402753 x	WE LOVE YOU DETROIT GOODNIGHT!!!!
1330176252_364898036507361280 x	@PaulaBGC :)
1330176252_363764733368737793 x	@Alaska5000 @RoxxxyAndrews ThunderFuck I Love You
1330176252_363764413129437186 x	@Kandi @TAGSBoutique Hey Kandi How Are you
1330176252_363763984505110528 x	RT @INSPIRlNG: I wish I was a cat because the fatter you are the more people like you.
1330176252_363458968858791936 x	RT @iQuoteComedy: That awkward moment when someone is crying and you're trying your hardest not to laugh.
1330176252_363430232025333760 x	@Youtube_IAMCZTV @ExistWithLove Your Welcome:)
1330176252_362794347055427584 x	@ZaynnMiIak @iStylesCrews @ittswaag Done
1330176252_362705387763417091 x	RT @Awkward_Fun: I'm moody like Squidward.  Sometimes selfish like Mr. Crabs.  A bit dumb like Patrick.  But I'll be there for you like Spo?
1330176252_362655164487843840 x	@ArianaGrandlle_ @iQuoteComedy @awkwardposts Done
1330176252_362649558066532352 x	@ComedyTruth Yea
1330176252_362649077248311296 x	RT @ComedyTruth: today i learned that ?bae? stands for ?before anyone else? and here i was thinking it was just slang for baby or something
1330176252_362631320725233664 x	@ChadMichaels1 Chad HIIIEEE!!
1330176252_362646333775020032 x	@ChadMichaels1 I Love U Chad!!!!
1330176252_362632816460173313 x	RT @Nelly_Mo: #GETLIKEME video today ..!!!! @NICKIMINAJ @Pharrell #EPIC
1330176252_362632559722631168 x	@Nelly_Mo @NICKIMINAJ @Pharrell DAT IZ MY MUTHAFUCKIN SONG I.E
1330176252_362632164329799681 x	@NICKIMINAJ @_Super_Dope Bon voyage NICKI F. BABY BUNZ MINAJ
1330176252_362631739241267201 x	@QueenPaulaBGCX THA fuck is dat bitch problem???
1330176252_362379382368649216 x	@TheHeLLonHeeLs @LucciVee Hi Paula How are you
1330176252_362376590493097985 x	@thinkcomedy @SarcasmBoost Done
1330176252_362363015359762432 x	@TheHeLLonHeeLs @its_mikeeee victor twins say yu should've wore a better outfit
1330176252_362360544021323777 x	@TheHeLLonHeeLs sup Paula!!
1330176252_362032906283134977 x	@ThaRealMommaDee You ran outta air bitch You-ran-outta-Air
1330176252_362012047975780352 x	Nigga wat!? No Steebie
1330176252_362011570143903744 x	@TiaraSoBoojie Ever ooh it's back on!
1330176252_361988797170335745 x	@iQuoteComedy Oh Yeah!!!!!!!!!
1330176252_361988658733137921 x	RT @iQuoteComedy: If you can retweet this with your bottom lip then you're a good kisser.? ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! NO?
1330176252_361983906397945856 x	RT @CollegeHumorLol: Retweet if you joined Twitter thinking you'd never get addicted but did..
1330176252_361551407230365698 x	@yandysmith Awww Man i thought it was real
1330176252_361269181041213442 x	@WbtTwin It's a Disease
1330176252_361230101460959233 x	@JDeezyMTV My prayers are with you man
1330176252_361192224735764480 x	@Cuban_Michaels  @Lust_4_Carlito What's Gud Cuban
1330176252_361188361056174081 x	RT @ThatsSarcasm: people who have perfect bodies but eat junk food and don?t exercise is the reason I hate everyone
1330176252_361187342238756864 x	@QueenPaulaBGCX Dats Right
1330176252_361187233597886464 x	@JDeezyMTV Wish you were coming to Houston
1330176252_361018479794597889 x	@JDeezyMTV #WavyGang taken Ova This Century!!!
1330176252_360260147643289600 x	SEA WATER SALTYYY
1330176252_360258207526043649 x	@PaulaBGC ooh You Sexy @Paula
1330176252_360257494829895681 x	@TheFunnySayings my best friend
1330176252_360239191633829889 x	@JDeezyMTV I hope you Win Bro
1330176252_360235754082942976 x	@QueenPaulaBGCX  No Paula
1330176252_359760702916935683 x	RT @Awkward_Fun: lol = Drowning Man.   *lol* = Drowning Cheerleader.   RT if you get it.
1330176252_359759615690407938 x	RT @ComedyTruth: i love sleeping to avoid problems
1330176252_359477055622098944 x	@MsJoseline @ImaPettyBitch You keep Me Laughing Ms Hernandez
1330176252_359476597813809152 x	@TiaraSoBoojie Had me laugh all dat drama
1330176252_359476429030821888 x	"@TiaraSoBoojie: Lmaoooo this bitch just went to him for money lol at least she kept it real"I was, Rollin
1330176252_359475736173748226 x	Even though she smashed THA  Homies!!
1330176252_359475366647169024 x	@ocnnreport Sweet
1330176252_359473749260644352 x	Blue Skies Blue Skies   I see yu wit my Red Eyes
1330176252_359473187886604291 x	http://t.co/nWZpNVYWjk
