1460086987_392998867391610880 x	COLUMN: Was the #Eagles' recent loss just a hiccup or cause for concern? | http://t.co/GtOjkK6oJa
1460086987_395279553829953538 x	Look for Bennie Logan, Clifton Geathers and Damion Square to split time at nose tackle.
1460086987_395279313630539776 x	MT @RoobCSN NE responsible for $529,412 of Sopoaga's '13 base of $1m. Eagles paid Sopoaga $2.75m roster bonus and $470,588 in '13 base.
1460086987_395278830748712960 x	NEWS: Eagles trade DT Isaac Sopoaga to the Patriots. | http://t.co/IBd4AElBI3
1460086987_395275127421550593 x	BREAKING: The Eagles have traded DT Isaac Sopoaga and a 6th-round pick to the Patriots for a 5th-round pick.
1460086987_395274827650437120 x	RT @AdamSchefter: Sounds like New England close to trading for Eagles DT Isaac Sopoaga.
1460086987_395241935381618688 x	RT @LesBowen: Foles: i am ready to play
1460086987_395223488065073152 x	NEWS: While one Eagle came back to practice today, is another in danger of being traded? | http://t.co/aUYtyw8qap
1460086987_395219104950255616 x	RT @mattdestefano21: @cover32_PHI a condition 5th for Kenny Britt
1460086987_395209938395336704 x	With Foles being cleared to practice, expect him to be the starter on Sunday. Vick said yesterday that he doesn?t think he?ll be ready.
1460086987_395209750809296897 x	RT @Jeff_McLane: Pat Shurmur: Nick Foles will practice today.
1460086987_395207308528988161 x	ICYMI: @troyweller says the Eagles need to cut, re-sign and trade 3 guys this offseason. Find out who they are.  | http://t.co/2121uknZ1R
1460086987_395199547200122881 x	RT @EaglesRedZone: @cover32_PHI Brandon Graham plus a late pick for Jarius Byrd.
1460086987_395186326342881280 x	RT @bleedgreen0617: @cover32_PHI Not sure for what, but I'd get whatever I can for Bryce Brown, Brandon Graham.
1460086987_395184379053359106 x	The NFL trade deadline is today at 4 p.m. ET. If you were Howie Roseman, what (realistic) trade would you make?
1460086987_395173334331047938 x	COLUMN: Our @troyweller gives you the top 3 in-house moves the Eagles need to make this offseason. Do you agree? | http://t.co/2121uknZ1R
1460086987_395172898844860417 x	@penseur76 don?t expect it. They certainly could make some small moves, but nothing serious. But only they know for sure.
1460086987_394908030329831424 x	@BuckeyesCubs10 @mekkadonmusic as of now, we can confirm that this isn?t true.
1460086987_394893721721778176 x	ICYMI: @troyweller says the QB situation was completely mismanaged this past week. | http://t.co/ujiT7VGSDi
1460086987_394876705178796032 x	That?s it for Kelly?s press conference. Seemed upbeat and as always shied away from the QB questions.
1460086987_394876501176233984 x	CK: I think our offense can learn from our defense. They?ve stayed the course and get better on a weekly basis.
1460086987_394876351036923904 x	CK: Cox, Thornton and Geathers all played great yesterday.
1460086987_394876266777550848 x	CK: Thinks LeSean is leaving some yards on the field due to trying to do too much.
1460086987_394875918134435840 x	CK: I think LeSean is his own worst critic. Sometimes he?s trying to press too much.
1460086987_394875572762849280 x	CK: GJ Kinne can play special teams, receiver and defensive back. Brought him in because he?s such a good practice player.
1460086987_394875128858677249 x	CK: QB play needs to improve but the rest of the team around him needs to step up as well.
1460086987_394874714503405568 x	CK: last two weeks we haven?t done good job running the ball.
1460086987_394873822395895809 x	CK: If Nick and Mike are out, we might have to bring someone else in.
1460086987_394873709766275072 x	CK: Said they felt comfortable trying that onside kick, they just didn?t execute it.
1460086987_394873122618216448 x	CK: I don?t think Matt played poorly. There were some positives that you can get from his performance and build on.
1460086987_394872929290158080 x	CK: I believe we have the right guys in place to execute the plays.
1460086987_394872611944939520 x	CK: Mike didn?t seem like he would be ready this week for Oakland.
1460086987_394872345719873536 x	CK: QB situation doesn?t alter game planning.
1460086987_394872187179384833 x	CK: Vick had an MRI this morning.
1460086987_394871500999647232 x	Chip Kelly: Nick [Foles] was in this morning. Expect some news on him today.
1460086987_394870872302821376 x	Chip Kelly?s day after press conference coming up here in a couple minutes. We?ll be live tweeting it.
1460086987_394858753524129793 x	COLUMN: @troyweller says the QB situation was mismanaged and could have been handled differently during the week. | http://t.co/ujiT7VGSDi
1460086987_394810945882427392 x	COLUMN: The inconsistency for the Eagles at QB continued on Sunday, writes Zach Seibel. | http://t.co/62zsLE0j4B
1460086987_394578398640492545 x	@PeteDymeck we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398556585986 x	@mrphiladelphia we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398351081472 x	@adimike55 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398309126144 x	@TheReal_ChaShuf we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398288179201 x	@Jamie_Vargas we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398279766018 x	@mufrid215 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398279766016 x	@yo_kuz we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398279761920 x	@captains_orders we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398275579905 x	@dtolbert4 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398275571712 x	@Eagleman991 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398271401984 x	@Riches61 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398271397888 x	@DanUrda we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398271393794 x	@ZachZellers we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398271393793 x	@chris_briscoe we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398271389697 x	@COPSnROBers we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398267207681 x	@THE_ZachJames we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398267207680 x	@TheMikester87 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398267179009 x	@_ENMiranda we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398262996992 x	@Fresh_Prinz11 we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578398262984704 x	@datdudezing we used one of your tweets from today in our Eagles-Giants TweetCap. Check it out here: http://t.co/90fUBNykGk
1460086987_394578147162607616 x	TWEETCAP:  Check out 20 tweets that showcase fan reaction to today's 15-7 #Eagles loss against the #Giants. | http://t.co/90fUBNykGk
1460086987_394560192035033089 x	RECAP: Eagles home losing streak reaches 10 as they fall to Giants, 15-7. | http://t.co/zN8whjHadu
1460086987_394551248361230336 x	Missed PI there. Myers pushed off.
1460086987_394550479629193216 x	That was an awful onside kick attempt.
1460086987_394549789854945280 x	OH MY GOD WE SCORED
1460086987_394544044887396352 x	RT @ThatDanSmith: You didn't think this Eagles game could get sadder, but then they played Gangnam Style in the Linc.
1460086987_394542231056445440 x	The Eagles are averaging .43 points per quarter the past two games #math
1460086987_394540175465775105 x	Jackson needs to be cognizant of the marker. He has that if he dives forward. Unreal.
1460086987_394539059445370880 x	Connor Barwin played a very good defensive series there.
1460086987_394538243040878592 x	3rd and 1 and Shady runs 10 yards east to get nowhere.
1460086987_394537382008987648 x	But of course not, because that would just make too much sense.
1460086987_394537316011622400 x	Big stop there. Have to think DeSean returns this punt.
1460086987_394535195560259584 x	You know, Chip, this run heavy style might have worked well two yards from the goal line, too!
1460086987_394528923863633920 x	Oh my god.
1460086987_394526344568004608 x	Slight difference now. Barkley down 12 with more than half the game left, not down 14 with a few drives left.
1460086987_394525330565640192 x	RT @Jeff_McLane: Looks like Michael Vick may be done. Matt Barkley has his helmet on and is throwing on the sideline.
1460086987_394521929127706624 x	Does anyone know exactly what constitutes an illegal snap?
1460086987_394520955529068544 x	Cary Williams shaken up on the play.
1460086987_394519075138715648 x	Barkley warming up on the sideline, per multiple reports.
1460086987_394518509385838592 x	Eagles need to have a short leash with Vick. If he?s hurt, put in Barkley. Proper time to evaluate him. Last week wasn?t.
1460086987_394517788410118144 x	Man this is brutal.
1460086987_394517283738890240 x	James Casey!
1460086987_394515373585752064 x	So much for that whole ?the defense is making strides? thing.
1460086987_394512895301521408 x	The Eagles? last four offensive possessions have resulted in a their QB throwing a pick (h/t @MikeSielski)
1460086987_394512283394535424 x	Eagles are giving Giants WRs way too much cushion.
1460086987_394511211334619136 x	Bad communication there. Celek ran one way, Vick threw the other.
1460086987_394510928231669760 x	Oh boy.
1460086987_394509845811838976 x	And we?re underway. #Eagles #Giants
1460086987_394496358003900416 x	ICYMI: Here?s a preview of today?s #Eagles vs. #Giants game. What?s the key matchup? | http://t.co/ALEEBTi3xt
1460086987_394495098139836416 x	30 MINUTES UNTIL KICKOFF: Check out who are staff thinks will prevail in this afternoon?s game. | http://t.co/4mE8xy61e8
1460086987_394433444341501952 x	PREVIEW: Can the Eagles finally break their home losing streak? | http://t.co/ALEEBTi3xt
1460086987_394177751717920768 x	PREDICTIONS: From yesterday, here?s who our staff has in Sunday?s game vs. New York. | http://t.co/4mE8xy61e8
1460086987_394142992648241152 x	ICYMI: From Thursday, do you agree with the 3 free agents @troyweller says Eagles should court in the offseason? | http://t.co/NlspmfX9NL
1460086987_393818129005948928 x	PREDICTIONS: Check out our staff?s picks, and some fan picks as well, for Sunday?s game vs. New York. | http://t.co/4mE8xy61e8
1460086987_393803247925751808 x	FANS: Tweet us your prediction of this weekend?s #Eagles game and we?ll feature you in our upcoming post!
1460086987_393802116927467520 x	NEWS: Vick is listed as probable for this weekend. See who else made the Eagles? injury report. | http://t.co/oCoctqpBt9
1460086987_393767648254631937 x	RT @klist94: @cover32_PHI I predict 28-17 Eagles and Shady will have a big game
1460086987_393722686423465984 x	FREE MONEY: Giants coming off a sizable win against MIN, but was that enough to make them road favorites in PHI? http://t.co/ntKebs8DPx
1460086987_393764238956564480 x	@su_dhillon the line might be shifting because Vick hasn?t been declared a full go. That?s a possibility at least.
1460086987_393767593451868160 x	@su_dhillon also, I think it?s meant as a question and the answer is in the post? So ?no, they didn?t do enough..?.
1460086987_393767354707877889 x	@su_dhillon got it. that tweet was sent from our HQ. Misleading, I agree
1460086987_393763086529597440 x	Alright Birds fans, who you got this weekend? Tweet us your score prediction and we'll feature you in our Fan Picks post!
1460086987_393725010222661633 x	COLUMN: @Josh_Reising offers his ideas on a few trades the Birds should consider before the deadline. Do you agree? | http://t.co/YjMwTVbl9Y
1460086987_393467512936882177 x	RT @rob_aden: @bleedgreen0617 @cover32_PHI @troyweller  Bryd is the only one I go after. Cary and Fletcher have improved during the season ?
1460086987_393453750997618688 x	RT @mattdestefano21: @cover32_PHI @troyweller do we really feel comfortable with another high-priced FA corner?
1460086987_393453724367990785 x	RT @bleedgreen0617: @cover32_PHI @troyweller I only agree with Byrd. But the team wants to develop the young talent they have.
1460086987_393435160370110464 x	What kind of superstitions do you guys have on game day? Tweet at us and we?ll feature you in our Fan Superstitions post!
1460086987_393364463950114818 x	COLUMN: @troyweller outlines the top 3 free agents the Eagles should target in 2014. Do you agree? | http://t.co/NlspmfX9NL
1460086987_393127383345397760 x	ICYMI: Parking lot attendant accused of stealing $225,000 from #Eagles guard Todd Herremans. | http://t.co/0OeeuhBdt1
1460086987_393102059030855680 x	NEWS: Parking lot attendant accused of stealing $225,000 from #Eagles guard Todd Herremans. | http://t.co/0OeeuhBdt1
1460086987_393083114395693056 x	@TheZompster he's working back from a knee injury. http://t.co/DH3pQcpqod
1460086987_393082979242627072 x	NEWS: Vick to test hamstring later in week, Fletcher healing from knee injury. | http://t.co/DH3pQcpqod
1460086987_392725612550316032 x	@scott4tweets @nfldraftscout You'd have to seriously consider Boyd & Manziel. Unless the Eagles go downhill, Mariota and Teddy likely gone
1460086987_392766402014097408 x	@scott4tweets @nfldraftscout It's doubtful. As long as he plays the way he is, he's a 1st rounder. But mid-1st, where PHI will be.
1460086987_392749077374324736 x	MT @NYPost_Schwartz: Giants have lost 8 straight road games.  Eagles have lost 9 straight home games. Sounds like fun Sunday at the Linc.
1460086987_392726269978083328 x	The photoshopped future of the Birds RT @HeelPapi_: get ready for this sight eagles fans #moneymanzielthesavior http://t.co/BnnOV1FnVu
1460086987_392725091089276929 x	ICYMI: @MikeMiss975 says the Eagles need to worry more about their future at QB than the playoffs right now. | http://t.co/iJo2u72TD1
1460086987_392706891396022272 x	MT @Jeff_McLane: Just spoke quickly to Vick. He said he could play at about 80 pct. He said he expects to play
1460086987_392704844277895168 x	NEWS: Despite speculation, Vick says he's still unsure of his status for Sunday's game against Giants. | http://t.co/pg0Q9JnivV
1460086987_392683027916013569 x	COLUMN: Playoffs? Let's be real. @MikeMiss975 says the #Eagles' plan now should be to target a franchise QB. | http://t.co/iJo2u72TD1
1460086987_392681053321584640 x	RT @johnclarknbc10: Michael Vick practicing, getting first team reps http://t.co/AqU5IhX6ux
1460086987_392675477980078080 x	ICYMI: COLUMN: Our @ThatDanSmith says that the Eagles' offense turned in a disappearing act on Sunday. | http://t.co/15Ky4DIzQQ
1460086987_392636472148234240 x	COLUMN: Our @ThatDanSmith says that the magical Chip Kelly offense turned in a disappearing   act on Sunday. | http://t.co/15Ky4DIzQQ
1460086987_392633119393599488 x	RT @RoobCSN: Eagles made the G.J. Kinne move official. Added to practice squad.
1460086987_392324657321242625 x	@johnbukenas we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392415144942116864 x	@johnbukenas that certainly a bright side today. Thanks for viewing the post, John!
1460086987_392391881939640320 x	MT @Jeff_McLane Roseman confirmed Jake Knott's injury had something to do w/ signing Emmanuel Acho. Scouting Giants had nothing to do w/ it.
1460086987_392389376098836480 x	MT @RoobCSN: I'm told Eagles planning to re-sign QB G.J. Kinne to the practice squad. Will be added to 53 pending VIck/Foles health
1460086987_392389198222594049 x	Per NFL policy, Acho had to sign with the Eagles today. A player can't sign with his current team's opponent 6 days prior to the game.
1460086987_392388711993716736 x	NEWS: Eagles re-sign LB Emmanuel Acho, who had an impressive preseason with the team. | http://t.co/NhORjV8ihP
1460086987_392387350531018754 x	@Jeff_McLane when was the deadline that the Eagles had to meet to sign Acho since they play the Giants this week?
1460086987_392386341431832576 x	@RoobCSN this was last day Acho could have been signed, right? Can't players not sign with that week's opponent less than 6 days b4 game?
1460086987_392379517597003776 x	#Eagles defense is one of only 3 teams in the NFL that have given up 21 points or less in each of the last three weeks (h/t @nissaneagles)
1460086987_392358080811249664 x	We'll be RTing and replying to your tweets, lets get some good conversation going. #c32chat
1460086987_392367971907026944 x	@replytoallen He has some pieces, but not all he'd like. It's not a total rebuild, but '14 draft is huge for him moving forward #c32chat
1460086987_392369672093302784 x	@replytoallen yes and no. That's hard to predict right now. I think you have to evaluate that later, but he needs to find staters this year
1460086987_392368006942052352 x	RT @replytoallen: @cover32_PHI Fair to accept that the Eagles are a 2-3 year project, similar to when a college needs to recruit "system" p?
1460086987_392367766537109504 x	@replytoallen Kind of. There's certainly an expectation where Chip needs to adapt with what he has, but also pieces he needs to get #c32chat
1460086987_392367433060589570 x	A recent survey shows that Michael Vick is the most disliked NFL player. | http://t.co/FPKSaT4hX7
1460086987_392358522630848512 x	@Flyeaglesfly51 but do you hold any weight on the fact that Barkley threw for more yards in 1Q yesterday than Foles? #c32chat
1460086987_392360631338143745 x	@Flyeaglesfly51 so you're saying you think Kelly absolutely needs a guy that can move? Then who would you look at in the draft? #c32chat
1460086987_392361394076516352 x	@Flyeaglesfly51 I think you can go WR in rounds 2-3 and still come away with a #2 guy. If Mariota's there, grab him #c32chat
1460086987_392362525297094656 x	@Flyeaglesfly51 but I think you can go that way in round 2-3. Jordan Matthews, Moncrief, Allen Robinson. All 6-3ish guys who grab passes
1460086987_392359592262242304 x	@Leaping_Leo do you think Barkley can be a long term option? #c32chat
1460086987_392359006213140480 x	@mew90 Aside from the 3 picks yesterday, Barkley looked good. Got ball out quick, hit guys in stride. But still learning #c32chat
1460086987_392358331710337024 x	@NJNuke valid point. He certainly could have done a lot for himself with a strong game yesterday but saying he's done isn't 100% fair
1460086987_392358151732731904 x	RT @NJNuke: #c32chat Seems just as silly to say Foles can't be the future based on yesterday as it would have been to say he IS the future ?
1460086987_392356623965888512 x	@eastcoastdog who do you suggest? Certainly a whole lot of opens, late and mid-round #c32chat
1460086987_392356471884627970 x	Who's got questions for us? Lets have a conversation. Use the hashtag #c32chat and we'll talk everything #Eagles
1460086987_392352267023577088 x	@Filet_o_Fesi @adam_kriebel6 to be fair, Peyton threw 11 picks in his first 4 NFL games.
1460086987_392351981345308672 x	NEWS: Kelly announced that Nick Foles does in fact have a concussion. | http://t.co/gFQHYV4Ttd
1460086987_392324657426079744 x	@50in07 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657363185664 x	@Mr_spacely_215 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657325432833 x	@sautter we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657321218048 x	@AliciaLimehous3 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657317044225 x	@corrado_19 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657317036037 x	@JayOhEeElEyeEe we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657317036033 x	@EagleyeSports we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657317027841 x	@thesamLjackson we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657308639233 x	@D4_Bl4ck_M4mb4 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657308639232 x	@BrandonAnders12 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657308635136 x	@Elect_Greatness we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657308631041 x	@iehunt3735 we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657308631040 x	@joslewis we used one of your tweets in our "morning after" TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324657304461315 x	@The_Age_Of_Karl we used one of your tweets in our TweetCap of yesterday's Eagles loss. Check it out here: http://t.co/lVjTyosYd8
1460086987_392324406740918274 x	TWEETCAP: Check out fan reaction to yesterday's loss in our "morning after" edition. Who needs the water cooler? | http://t.co/lVjTyosYd8
1460086987_392317294463832064 x	Oh boy ? Stephen A. Smith says Nick Foles is just another Kevin Kolb. Do you agree? | http://t.co/lpWDNqmxr0
1460086987_392307292864909312 x	For once, the Eagles lost because of their offense. | http://t.co/ZiLYyNMOrO
1460086987_392274074614788096 x	COLUMN: On a day when the offense was abysmal, it was the defense that gave the Eagles a shot. | http://t.co/ZiLYyNMOrO
1460086987_392126216951439361 x	@RoobCSN @TheZompster sans the picks, I thought he looked fine. Got it out quick, hit guys in stride. Like Roob said, tough spot.
1460086987_392081801562554368 x	@Maxa43 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/p3SEYqJlIv
1460086987_392081801469890560 x	@KeeepSwinging we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801432141824 x	@abmoyer7102 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801365032961 x	@Jerry_Healey we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801197285376 x	@twomes24 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801125969920 x	@ekt8750 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801125965824 x	@Gosset41 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801117577216 x	@Chrisain_Bolt we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801109204993 x	@ThePhilliesGirl we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801104986114 x	@THEKID_ we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801100804098 x	@su_dhillon we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801096597504 x	@AntLibby21 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801092427777 x	@Mr_Stats_94 we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801092427776 x	@Eric_Cusick_ we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_392081801092407296 x	@JPG_Digital we used one of your tweets from today in our Eagles-Cowboys TweetCap. Check it out here: http://t.co/EpU5bgQP3w
1460086987_393428155643342848 x	ICYMI: Do you agree with @troyweller?s list of the top 3 free agents the Eagles should target in the offseason? | http://t.co/NlspmfX9NL
