1869319062_387032887620415488 x	Ryback: The big bad scary heel...who wears a pink shirt #wwe #battleground
1869319062_393545110131994624 x	TNA Wrestling launches new 24/7 programming initiative: http://t.co/gj60j2iDDb #tnaimpactwrestling
1869319062_393456596753608704 x	RT @IMPACTWRESTLING: TNA Launches "Where Action Never Ends" Programming with Universal Studios Orlando:  http://t.co/eJavLYMQKp
1869319062_393419381671469056 x	RT @matt_mullin: On Tuesday, @UFC legend @ForrestGriffin will be in the @phillysport newsroom to host a live Q&A (and beat me up): http://t?
1869319062_393112716111773696 x	RT @ArenaFan: BREAKING: ArenaFan's Adam Markowitz to cover @ArenaFLChina All-Star games in Hawaii and China http://t.co/WlFohN0Z5y @AFLGuru?
1869319062_393112536637136896 x	Attn Haters of pro wrestling: Even ESPN watches. RT @SportsCenter: @JohnCena We wish the best of luck to both you and @VivaDelRio.
1869319062_393111051467644929 x	@matt_mullin We are all born with the civil right to do it.
1869319062_393100248802807808 x	.@ExtremeRising announces first batch of talent for December show in Philadelphia: http://t.co/RUJqbc26Bw
1869319062_393081050811076608 x	Watching My Little Pony. In the most gangsta way possible just so you know.
1869319062_393032940583911424 x	RT @ExtremeRising: First batch talent confirmed (part 3) for #EXTREMERISING 12/28 Arena Philly. #DEVONSTORM #PESADILLA #HIJODEREYMISTERO an?
1869319062_393032921470472192 x	RT @ExtremeRising: First batch talent confirmed (part 2) for #EXTREMERISING 12/28 Arena Philly. #SUPERCRAZY #DAMIEN666 #BESTIA666 @1FACADE ?
1869319062_388813986449203200 x	@APgelston No problem, man. You did a great job with the story.
1869319062_393032898926104576 x	RT @ExtremeRising: First batch talent confirmed (part 1) for #EXTREMERISING 12/28 Arena Philly. #STEVIERICHARDS @MichaelManna  #SABU @MATTH?
1869319062_393024781928235008 x	.@IAmJericho stars in new web series loosely based on himself: http://t.co/D7IxwPlF7c
1869319062_393018995248357376 x	WWE Smackdown spoilers from last night (http://t.co/JRi9sZo8WJ) and @jaybriscoe84 being cleared to wrestle (http://t.co/3LMRmDBIer)
1869319062_392685032571039744 x	Randy Savage vs. Shawn Michaels: The feud that never was http://t.co/1Wsd7sylzz #wwe
1869319062_392558744661278720 x	Randy Savage vs. Shawn Michaels: The feud that never was http://t.co/1Wsd7sylzz
1869319062_392540704158670848 x	WWE Raw results and observations: Did Big Show really pull a Steve Austin? Really? http://t.co/nkqYwJGX2y
1869319062_392125263724556288 x	RT @MikeChiari: Even the 2001 WCW version of Vince Russo thinks the #TNA #BoundForGlory main event was overbooked @RingRustRadio
1869319062_392125244091023361 x	RT @PWRshow: AJ Styles is the new TNA World Champion!
1869319062_392112568094834688 x	RT @PWRshow: Magnus defeats Sting via tapout at #BFG
1869319062_392111106316988416 x	RT @PWRshow: Ethan Carter picks up a win at #BFG
1869319062_392105592870797312 x	RT @PWRshow: Roode defeats Angle at #BFG
1869319062_392098863852441600 x	RT @PhoulBallz: I want to go to the @RobbieEImpact #BoundForGlory after party. Somebody get me on the list, bro!
1869319062_392093629906300928 x	RT @PWRshow: Kurt Angle declines the TNA Hall of Fame induction citing that his recent problems. #BFG
1869319062_392092158712246272 x	RT @PWRshow: The BroMans are the new TNA Tag Team Champions at #BFG
1869319062_392088537304010752 x	Other professional obligations prevent me from watching Bound For Glory, but from what I'm reading, I'm not missing much.
1869319062_392061096174968832 x	Possible update on WWE Network: http://t.co/J9bTSOROeP
1869319062_391363090198970368 x	Did the Cardinals and Dodgers just do that before Game 6 of the NLCS? That was weird yet hilarious.
1869319062_391353477458178048 x	#WWE reportedly still very interested in Goldberg return at WrestleMania: http://t.co/JKXQyH9KgI
1869319062_391232360567422976 x	ICYMI ---> My story analyzing how @facdaniels has enjoyed a long career in wrestling: http://t.co/dmcRulNwAO
1869319062_391178104225665024 x	RT @PompeyOnSixers: I love my hometown to death. But the Philly airport has a strange vibe. Even the Super Fine sisters are always  mean mu?
1869319062_391146855372828672 x	Here's my story on @facdaniels and his long career in wrestling: http://t.co/dmcRulNwAO
1869319062_391006103388958720 x	TNA Impact Wrestling cancels television taping in December: http://t.co/6s0JV5NYR7
1869319062_390884993943478273 x	Watch TNA's @JeremyBorash show off dance moves, win fan of the night at Nashville Predators game: http://t.co/Boyytpu1SF
1869319062_390761026502684672 x	Watch TNA's Jeremy Borash show off dance moves to win fan of the night at Nashville Predators game: http://t.co/IXJdVb45sY
1869319062_390543720660992000 x	@mjkpr @AustinAries The pleasure was all mine.
1869319062_390543646933909504 x	RT @mjkpr: Thx @VaughnMJohnson / http://t.co/QGHonWu3Wj 4the GR8 intervw w/ #TNA #ImpactWrestling superstar @AustinAries http://t.co/JTJ5O5?
1869319062_390542391528398848 x	RT @AustinAries: Yo @VaughnMJohnson, #GREAT job on the article! You make me sound almost likeable! "The Greatest Man That Ever Lived." http?
1869319062_390523110744928256 x	Just posted my story on @AustinAries and out talk about his long road to becoming "The Greatest Man That Ever Lived." http://t.co/0g2gCVVL3f
1869319062_390540521933787136 x	@AustinAries Appreciate the kind words. I call it like I see it, buddy. Enjoyed talking to you.
1869319062_390539413014327297 x	My story on @AustinAries on our talk about his long road to becoming "The Greatest Man That Ever Lived." http://t.co/ko3GMjgbb0
1869319062_390363330524622848 x	@SpikeEskin I had no idea Mick Foley signed a contract with the Eagles. His signing bonus was probably a brand new flannel.
1869319062_390135949058797568 x	@ExtremeRising announces its return to ECW Arena in Philly. Includes video of Stevie Richards outside ECW Arena: http://t.co/baD5FUfzNp
1869319062_390124463817097216 x	2K Games unveils 'The Streak' mode for WWE 2K14. Details of the intriguing mode here: http://t.co/59jRzliM6M
1869319062_390125644001996800 x	@petzrawr This one seems like its going to be way better than last year's. And that's saying something because WWE '13 was great.
1869319062_390126381000298496 x	@petzrawr Sweet.
1869319062_390127547281047553 x	@petzrawr It's a bad time GFs right now. GTA V, NBA 2K14, FIFA 14. They going through it right now.
1869319062_390009457737863168 x	Posted my WWE Raw results and observations. We have NEW tag team champs: http://t.co/ucCSRmCKTz
1869319062_389207322649579520 x	I have no idea why, but I really dig the Villanova football uniforms. Nice clean look.
1869319062_388843937198120960 x	RT @SpikeEskin: Kaitlyn looks like she weighs 250. Sheesh.
1869319062_388811456239525888 x	Hulk Hogan talks #WWE, #TNA and his desire to wrestle one more match: http://t.co/w1bcNR2m8I
1869319062_388725801169870848 x	WWE creative team member Michael Hayes reportedly suspended: http://t.co/abQHAIQaR5
1869319062_388749054618116096 x	@petzrawr unfortunately no. Gotta work the Eagles game Sunday.
1869319062_388740870356230144 x	Christian reportedly pulled from weekend WWE events, including event in Philly Sunday: http://t.co/tcwDUXUis5
1869319062_388695559235584001 x	ICYMI ---> Here's my story about @TheDamienSandow complete with quotes of the intellectual savior: http://t.co/ZDUQy5FDTw #wwe
1869319062_388608004326563840 x	Here's my story about @TheDamienSandow complete with quotes of the intellectual savior: http://t.co/ZDUQy5FDTw #wwe
1869319062_388449065660592128 x	@BriMcCardle Change is apart of my life my friend. It's not gone forever.
1869319062_388450881475477504 x	@BriMcCardle Oooohh, well...we don't want the site to break because of all the women flocking to see my debonair smile. Bad for business.
1869319062_388450117172617216 x	@Miz_Dom89 Alright. Don't ever say I never told you about punching people in the face. Works every time.
1869319062_388448721580478464 x	@Miz_Dom89 Punching someone in the face always cures my headaches, but that's just me.
1869319062_387998762586882048 x	2Chainz is on The Chew. Because that's what real killers do.
1869319062_387714102992191488 x	ICYMI ----> Here's my late review of Triple H: 'Thy Kingdom Come' http://t.co/wn4r5zyR7k  #wwe
1869319062_387664237285228544 x	Here's my late review of Triple H: 'Thy Kingdom Come' http://t.co/wn4r5zyR7k #wwe
1869319062_387030831224483840 x	WWE Battleground result: Bray Wyatt defeats Kofi Kingston. No real surprise there.
1869319062_387694101065641984 x	@MikeBerman26 Yeah it does. Good amount, too.
1869319062_387675136255471617 x	.@ringofhonor's SuperCard of Honor VIII tickets on sale this week: http://t.co/FVIQ80FCD3
1869319062_387674617810124800 x	WWE News: RVD taking time off (http://t.co/G1gf4gGzxn); AJ Lee suffers concussion (http://t.co/IXa14s9O4S)
1869319062_387473292011253760 x	RT @HeymanHustle: Here I am,bad ass advocate 2 the main eventers,and I feel like a little kid again hanging with @SammartinoBruno! @WWE htt?
1869319062_387465934794805248 x	WWE Raw results posted. It was a busy night in Pittsburgh: http://t.co/CqCUBirhCh
1869319062_387277248723951616 x	Finally got my hands on some recent WWE DVDs, including the Triple H, Goldberg & Money in the Bank anthology. Expect some reviews soon.
1869319062_387048112918757376 x	Wait? That's it? No one wins? Just... that's it? Wow. A very good match ruined by a lame ending. #wwe #battleground
1869319062_387051871157776384 x	@MikeBerman26 Having it lead to Hell in a Cell makes logical sense though. It's just everything leading up to it hasn't.
1869319062_387056114145435648 x	@MikeBerman26 They could. But I think the one-on-one rivalry ends at HIAC. That's the whole point of the match. To end feuds.
1869319062_387048610346438658 x	WWE Battleground result? Big Shows knocks everyone out. Still no WWE Champion. What a horrible finish to an overall solid show.
1869319062_387050980149182464 x	@petzrawr But if a non-winner furthers the story, I'm OK with it. I'm not really sure what this one does. People are pissed I know that much
1869319062_387055180568854528 x	@petzrawr not the fans either because they didn't get to see a winner on a pay-per-view. That's at least $55 down the toilet.
1869319062_387055004194205696 x	@petzrawr Yeah, but it does nothing for anyone else. Not Bryan or Orton because they got knocked out. Making them look inferior to Big Show
1869319062_387051724998852609 x	@MikeBerman26 Since the story has been so damn convoluted and confusing, people can't wait for it to end.
1869319062_387051606635593728 x	@MikeBerman26 They're having it lead to Hell in a Cell. If the story was better, it wouldn't feel dragged out.
1869319062_387051424950919168 x	Quick recap of WWE Battleground (http://t.co/6Hj2HaqaaP) Show wasn't as bad as I thought it would be. Finish ruined it though.
1869319062_387050744764846080 x	@petzrawr Doesn't necessarily work for me. I'm usually one for definitive finishes to close out PPVs
1869319062_387048360332361729 x	RT @MikeChiari: That finish was pretty senseless. Jack Tunney would have sorted this out properly #Battleground @RingRustRadio
1869319062_387047598558683136 x	Big Show's knocking everybody out haha #wwe #battleground
1869319062_387047281263783936 x	Why, Big Show? Why? #wwe #battleground
1869319062_387046626641993728 x	Orton and Bryan are putting on one hell of a match. Working hard out there. #wwe #battleground
1869319062_387043154957836289 x	@MikeBerman26 The hash tag #JoyceEvansTweets makes it all worth it though. Pure comedy.
1869319062_387043615387553792 x	@MikeBerman26 Yeah, she should just elaborate on what she meant by it and apologize if she offended anyone and it'll go away.
1869319062_387041108275912704 x	@MikeChiari Did you pull the plug up there in Buffalo?
1869319062_387041668471349248 x	@MikeChiari First Niagara needs to get more outlets then. So my man can charge his phone.
1869319062_387041963813257216 x	@MikeChiari No it isn't lol.
1869319062_387041801221054464 x	RT @TheWhizWit: Think the Eagles D still has a lot of holes? You need to see tonight's SW Philly shooting victims. Film at 11. #JoyceEvansT?
1869319062_387040345030025217 x	I think we're back at #wwe #battleground
1869319062_387039824433004546 x	RT @WWE: We are currently experiencing technical difficulties with our #WWEBattleground broadcast. Please stand by for further updates.
1869319062_387039615225307136 x	Uh oh. Technical difficulties at #wwe #battleground
1869319062_387037380038770688 x	WWE Battleground result: CM Punk defeats Ryback. Match was good, but not great.
1869319062_387029990971150336 x	Bad spot for Kofi, Bray Wyatt. Crowd was hot for the last match and now a little exhausted. #wwe #battleground
1869319062_387027190455349248 x	The Shield deserve credit for that match, too. They continue to deliver when called upon. #wwe #battleground
1869319062_387026490182758401 x	Glad I was wrong about that match. What a match. What a difference emotional investment makes to a match.
1869319062_387026255788265473 x	WWE Battleground result: Rhodes family defeats The Shield in a great match. Best of the night so far.
1869319062_387025966880399360 x	BIONIC ELBOW!
1869319062_387021547841388544 x	Look at Goldust rockin' the Darth Maul face paint. #wwe #battleground.
1869319062_387022695109373952 x	@petzrawr Agreed.
1869319062_387022487176740865 x	RT @PhoulBallz: Dusty Rhodes...for when your pro wrestling theme songs gotta have more cowbell! #BattleGround
1869319062_387022391374671872 x	Calling a Cody Rhodes heel turn here. Makes sense moving forward in my opinion.
1869319062_387020084121579520 x	WWE Battleground result: AJ Lee retains Divas Championship over Brie Bella.
1869319062_387017466523553793 x	WWE Battleground result: Curtis Axel retains IC title over R-Truth. Fairly entertaining match.
1869319062_387014218769104896 x	Antonio Cesaro is a beast. And highly under-utilized I might add.
1869319062_387012853187629057 x	The ring doesn't look like much of a battleground with pink ropes.
1869319062_387010800625258496 x	WWE Battleground result: Alberto Del Rio retains World title by forcing RVD to tap out. Good opening match to the show.
1869319062_387003149275238400 x	WWE Battleground results: Dolph Ziggler def. Damien Sandow in pre-show match.
1869319062_386996623743524864 x	Tony Romo just went from Dan Fouts back to normal, regular, interception-throwing Tony Romo.
1869319062_386996323867557888 x	RT @ScarletMcKfever: "People yelling at each other in the Phillies forums, get over it, the seasons over, losers"- @VaughnMJohnson
1869319062_386783466492133376 x	Here are my predictions for WWE Battleground tonight. Who do you think will win? http://t.co/ncjl3FP2nf
1869319062_386173971894263808 x	Former WWE wrestler Sean Waltman reaches out to Lamar Odom: http://t.co/hSGhtZbPjY
1869319062_386158840749625344 x	WWE acquirers two new talents; Joey Ryan, Eddie Edwards & Davey Richards were at same tryout. No word on them yet: http://t.co/wdjoLJyssO
1869319062_386052331852546048 x	I usually walk past a lot of homeless people at this time in Center City. Never have I walked past raccoon. That just happened.
1869319062_385969913635954688 x	Former WWE wrestler Sean Waltman reaches out to Lamar Odom: http://t.co/hSGhtZbPjY
1869319062_385964477419487233 x	ECW Arena re-opening pushed back to January: http://t.co/pr87S10am5
1869319062_385955085206835200 x	WWE acquirers two new talents; Joey Ryan, Eddie Edwards & Davey Richards were at same tryout. No word on them yet: http://t.co/wdjoLJyssO
1869319062_385951637417639936 x	"Is this Rally? Fels versus Furnace?" @ScarletMcKfever #stuffmaresays
1869319062_385516582514204672 x	RT @IAmJericho: HAPPY ANNIVERSARY TO ME! 23 yrs ago on Oct 2, 1990 I had my FIRST MATCH in Ponoka, AB vs @LanceStorm THX TO ALL OF U! http:?
1869319062_385515259563606017 x	RT @PompeyOnSixers: live chat (check) Shave beard (check) Long flight to Spain (about to be checked) http://t.co/v3ZNjFS8je
1869319062_385496336918802432 x	RT @WWEgames: Today @steveaustinBSR spoke to @ESPN about #WWE2K14 for a future episode of #E60! http://t.co/Bw29znatMG
1869319062_385489238562582528 x	Two blog posts: One is about Hulk Hogan (http://t.co/5tWO1L7J89) & the other is about the #TNA live event schedule (http://t.co/hDVK7RpLgr)
1869319062_385489732433498113 x	@SpikeEskin Thanks, buddy. Appreciate it. I do what I can do.
1869319062_385490150261661696 x	@SpikeEskin Maybe we can do some work together. I'm always open to collaborations.
1869319062_385491034118975488 x	@SpikeEskin Haha! Taking me back. I'm not so sure we'd want DMX around though. Heard he's running around butt naked nowadays.
1869319062_385142354773950464 x	Ken Anderson, #TNA negotiating new contract: http://t.co/YqPKuJjKUF
1869319062_385133440724500480 x	Pro Wrestling Syndicate announces the acquisition of #WWE superstar Cody Rhodes: http://t.co/PpZUs7a9UJ
1869319062_384946450506854400 x	#WWE #Raw results and observations: http://t.co/qBq3ZxiwIc
1869319062_384796057886281728 x	RT @PWTorch: Divas Title match added to Battleground - A.J. vs. Brie.
1869319062_384750167749980161 x	#WWE seems to be outsmarting itself with Daniel Bryan storyline: http://t.co/yNigYav1uH
1869319062_384744581876944896 x	Woke up at 1 pm and still hit the snooze button. Don't judge me. #nightshiftproblems
1869319062_384463551626113026 x	@jtannenwald The funny part is that you're 100 percent right haha.
1869319062_384104529618161665 x	RT @ScarletMcKfever: "Yeahhh, who gives a shit about those guys"- @VaughnMJohnson on your 2013 Philadelphia Phillies #shitVaughnsays
1869319062_383788184821190656 x	Daniel Bryan, Brie Bella engaged to be married: http://t.co/VGJk7dz5ld
1869319062_383780621480243201 x	#WWE teasing the return of The Undertaker? http://t.co/Pss8HbeXHD
1869319062_383765106212884480 x	Las Vegas back on the table as possible home for #TNA Impact: http://t.co/KhLHndpFWh
1869319062_383749553914007553 x	RT @ScarletMcKfever: "I'm cutting art of Earl Wolff's grandma..."- @VaughnMJohnson #shitVaughnsays
1869319062_383595700635701248 x	#TNA announces Kurt Angle to return at Bound For Glory: http://t.co/DDqvpKJmij
1869319062_383426096076574721 x	RT @ScarletMcKfever: Highlight of my days recently (other than night shift w/ @jerry_gaul or @VaughnMJohnson) has been binge watching White?
1869319062_383385038068264960 x	New blog post ---> #WWE has little interest in AJ Styles should contract with TNA expire: http://t.co/gsuDctSvFT
1869319062_383357586398912512 x	RT @BroadStBull: Braydon Coburn's wife. Nadine, delivered a son, Blair, today.  He is the couple's second child. #Flyers
1869319062_383356633625006082 x	RT @PompeyOnSixers: Report: Utah Jazz expected to sign former @Sixers guard Justin Holiday. http://t.co/1qa79ZaDA8
1869319062_383322333458337792 x	New blog post: #WWE's Kane (a noted libertarian) joined Ron Paul to talk politics http://t.co/j0owtAhvZ2
1869319062_382897405735075842 x	Ken Anderson, Mickie James officially removed from #TNA website: http://t.co/RBbk49s41l
1869319062_382876052822843392 x	Jim Ross talks retirement, UFC, the future and Johnny Manziel on the Steve Austin Show: http://t.co/zrB5NCUE0d
1869319062_382876889276112896 x	@petzrawr @phillysport Appreciate the love, my friend.
1869319062_382882325627146243 x	@petzrawr People also don't realize that the performers can really get hurt out there and how much they generally do.
1869319062_382882279267110913 x	Post from last night ? Steve Austin: Chances of in-ring return 'pretty damn slim' http://t.co/iJdevT8dum
1869319062_382881953944702976 x	@petzrawr I'm glad you're opening your mind up. People don't realize how much goes into just one match.
1869319062_382876901699624961 x	RT @petzrawr: Yo, @phillysport has a wrestling blog run by my dude @VaughnMJohnson. Check it out and give him a follow.
1869319062_382715541418295296 x	RT @phillysport: Former Eagle Hugh Douglas was arrested and charged with assault, according to a report: http://t.co/7ACZ65ZaSu
1869319062_382698952090345472 x	Damn, Hugh. More trouble? RT @Jeff_McLane: RT @ProFootballTalk: Hugh Douglas arrested after alleged fight at hotel http://t.co/02W0m2azoK
1869319062_382692329800220672 x	New blog post ? Steve Austin: Chances of in-ring return 'pretty damn slim' http://t.co/iJdevT8dum
1869319062_382535020272816128 x	New blog post: WWE 2K14 full roster revealed http://t.co/vLx1nPR859
1869319062_382526321357631488 x	My brand new blog about pro wrestling is up and running. A couple of posts up now, including my manifesto of sorts: http://t.co/YbQ04xkcy0
1869319062_382416090573193216 x	#WWE #Raw results and observations: http://t.co/vFotiK95U2
1869319062_381606519051001857 x	RT @phillysport: Congrats to Philly's @wilsonreis7 for winning his UFC debut via unanimous decision over Ivan Menjivar
1869319062_381452764121137152 x	RT @SpikeEskin: On the list of impossible things, I think we can all agree "keeping a T-shirt drawer neat and organized" is near the top.
