1959712706_390567030803668992 x	RT @3DPhillySports: @BGN_Radio Stopping Emmitt Smith twice on 4th and 1
1959712706_390566981940039680 x	RT @JoshuaMin13: @BGN_Radio Lito Sheppard Game-sealing Pick Six in Terrell Owens' first game back at the Linc.
1959712706_390566959961894912 x	RT @Randyljobst: @BGN_Radio 44-6 has to take the cake. Also, how about the fact that Juan Castillo nearly shut them out twice in 2011.
1959712706_390560771542765568 x	Gearing up for #DallasWeek on our first episode of #BGNRadio! What are some of your favorite memories? We will talk about them on the air.
1959712706_390335013516226560 x	RT @JayGlazer: Vikings are seriously considering starting Josh Freeman this weekend
1959712706_390182687224242176 x	RT @mike_e_kaye: Jets sign training camp legend Greg Salas off Eagles practice squad  http://t.co/FiV1h7Iu1H
1959712706_389865443470868481 x	RT @Deadspin: This Eagles fan is covered in unfortunate tattoos: http://t.co/6y2cbd7Yso
1959712706_389805372212772864 x	@eaglescentral @BrandonGowton @mike_e_kaye Thanks Bryn!
1959712706_389591901038718976 x	@Anthony_DiBona Correct, plus up on ITunes soonish
1959712706_389591749649510400 x	RT @Anthony_DiBona: I can?t wait for @BGN_Radio to start! It?ll make up for @JimmyKempski and @lawlornfl lacking with their podcast, lol!
1959712706_389582007589548032 x	@FlyEaglesNation We think so too!
1959712706_389580912490340352 x	Reaction to #EaglesvsBucs  The Great Foles Debate   Should The Eagles Make A Move At The Trade Deadline?  #StayTuned - Wednesday - #BGNRadio
