521820413_374539312760889344 x	Happy Labor Day!!
521820413_372765037787881473 x	RT @tmabucks: The new bridge that carries Richlieu Rd over the PA Turnpike in #BucksCounty will officially open to traffic by 7 a.m. Friday?
521820413_372757741305364480 x	RT @PaDriverBucNoHa: HEAVY TRAFFIC (Bensalem, #BucksCoTraffic ) BRISTOL PK avg speed 15 mph (http://t.co/FZjZ45HXXw) http://t.co/nzzfSBiFoj
521820413_372156415475220481 x	Fire Investigators have determined the garage fire on Hulmeville Rd 8/23 was an arson. If you have any information contact us or Bensalem PD
521820413_370718320795729920 x	RT @BensalemPolice: On Wednesday, August 22, 2013 at 2:45 pm Bensalem Police responded to Carter Rd to investigate the report of a... http:?
521820413_370717753990455296 x	RT @Newtown_Police: Heroes Kids' Golf Tournament http://t.co/konwgP0l5t
521820413_369901023332421632 x	Engine 222 and Montco Squad 10 on scene of a rollover accident with fire near milepost 346 wb pa turnpike, please use caution.
521820413_369897039926407169 x	Bensalem Fire Rescue is enroute to a reported vehicle accident with fire west bound lanes of the PA turnpike west of Bensalem interchange.
521820413_369176037378506752 x	RT @BHVFD14: The dangers of lightweight construction https://t.co/FxHsQ1DLO0
521820413_368418356732657664 x	RT @FOX29philly: Skyfox over I-95 NB south of Woodhaven Rd in Bensalem where traffic is still backed up for miles after earlier crash. http?
521820413_368362270759190529 x	RT @KacieFOX29: @FOX29PHILLY SB I-95 @ Woodhaven (#35)-1 lane gets by-Overturned vehicle, reported entrapment. One lane blocked NB http://t?
521820413_368361687931695104 x	Bensalem Fire Rescue and Philly FD on the scene of an accident I-95 in the area of Woodhaven Rd.  Please use caution in the area.
521820413_368360188765818880 x	RT @6abc: #BREAKING NEWS: Multiple injuries reported in I-95 crash in Bensalem, Bucks County http://t.co/DOcgb8HOwZ
521820413_368155530323578880 x	RT @6abcmike: Pls share to help fallen police officers @kierstentomson @phillyprisons @NewBritainTwpPD http://t.co/FH3SLci4mJ
521820413_368039399818526720 x	RT @AmyBuckman: 25th District officers line up to donate blood in honor of their wounded colleague, Ofcr. Davies. @6abc http://t.co/kJMEdQV?
521820413_367677000296566784 x	RT @BensalemPolice: Philly Officer Ed Davies took a turn for the worse. Please keep him, his family and fellow officers in your thoughts.
521820413_367349058148790272 x	Our thoughts and prayers are with the Philly PD.  25th district officer shot in the line of duty today.
521820413_367278529907806208 x	RT @Mattarmuses: Roads in Bucks county are jammed with traffic due to torrential rain. The turnpike is backed up for miles.
521820413_367278314316365824 x	RT @Mattarmuses: Avoid Street and Richlieu roads.  Deep water has caused major backup.
521820413_367087932483457024 x	Remembering Danny Mac!! @BensalemEMS http://t.co/cL8OQ1pVsN
521820413_366351401158311937 x	RT @ThomasTopley: Good bye to our loyal guardian. #smokedognottingham http://t.co/rHPgtrw3Rf
521820413_365995609209044992 x	@NFD65 Smokey will be missed! He was a great dog that saved countless life's with his fire prevention presentations! http://t.co/4DEipCNUZm
521820413_365165732796973058 x	Bensalem Fire Rescue & Bensalem EMS is enroute to a pedestrian struck on Galloway Rd near Parx Stables. Please use caution in the area.
521820413_363431586957516800 x	Take care of your tools that take care of you!! Members of BTFR conduct equipment maintenance this afternoon. http://t.co/u32usgyu6q
521820413_362956083804905472 x	Another great job done by fire investigators from Bensalem, Philly and the ATF. Teamwork at its finest!!  http://t.co/8kfZHbVBct
521820413_362763077541834752 x	Do you live in Bensalem Twp & need or know of a family in need of a smoke alarm? Contact Bensalem Fire Rescue for more information.
521820413_361300154034290689 x	RT @511PAPhilly: road construction:PA Turnpike Turnpike I-276 west West Exit 358 - US 13 right lane
521820413_361300115799019521 x	RT @TFC484: A candlelight visual is taking place at the TFC sub station on Bristol road for the two young men that passed away http://t.co/?
521820413_360586040974643200 x	RT @TFC484: As the recovery efforts come to a end tonight we wish to express our deepest sympathy to the family and friends of both familie?
521820413_360575224816742401 x	The second drowning victim was located in the Neshaminy Creek tonight, the first victim was located earlier this afternoon.
521820413_360573018105319425 x	RT @TFC484: BREAKING police confirm body of Perry Krewson has been found in the Neshaminy Creek near where his friend was found today"
521820413_360496928468901888 x	RT @6abc: #BREAKING - Body found in Neshaminy Creek ID'd as missing teen http://t.co/rHqwn9WGUB
521820413_360495960813613057 x	RT @BensalemPolice: We have confirmed that one of the two bodies of the teens have been recovered and has been removed from the... http://t?
521820413_360188287362678785 x	RT @ThomasTopley: Thank you to the many agencies that assisted with the search for missing persons at Neshaminy Falls. #teamwork
521820413_360175350380109824 x	Bensalem Fire Rescue along with other local fire departments, EMS & Police searched the Neshaminy Creek all day for 2 missing teens.
521820413_360174674459631616 x	RT @BensalemPolice: The two teens missing are Dan Tadrzynski, 18, and Perry Krewson, 18 of Bensalem. Please keep them in your thoughts as w?
521820413_359807799234011136 x	RT @BucksCountyGovt: Did you know? The Bucks County 9-1-1 system was launched on July 13, 1963 as a county-wide police radio network. #50th?
521820413_359506018528526338 x	The area the fire originated has been located but the exact cause is still undetermined at this time.  The investigation will continue.
521820413_359505880204582912 x	Fire Investigators from Bensalem Fire Rescue & ATF spent all day Friday and Monday sifting though the charred remains of the Nifty Fifties
521820413_359094782867419136 x	@Bensalem_Fire: Engine 222 & Engine 65 operating at box 65-06 Nifty Fifty's Street Rd Bensalem Twp #iaff #engine222 http://t.co/PeOESi2Ai7
521820413_359096344306139136 x	@PhillyNewsGuy photo from Friday.
521820413_359096867990155266 x	@PhillyNewsGuy no problem sorry for any confusion.
521820413_358986733125652480 x	RT @JoCiavaglia: Federal investigators join investigation that destroyed popular #Bensalem chain restaurant Friday http://t.co/8HG74YvFR8
521820413_349202042851561474 x	RT @911BUFF: BROOKLYN: FDNY FIRE TRUCK INTO A BUILDING WITH MULTIPLE FIREFIGHTERS INJURED AT HEWES ST & MARCY AVE. #911BUFF
521820413_358670870518439936 x	RT @weatherchannel: Meteorologist sits in a hot car for 30 minutes -- a must-see video in the midst of this heat wave: http://t.co/wgNEVqlP?
521820413_358286916380143617 x	http://t.co/oOv68lewOA
521820413_358303609609392130 x	@jdbfirenews about a min after arrival.
521820413_358564610674139137 x	@jdbfirenews we didn't know you were also a comedian LOL!!
521820413_358639407860948992 x	@jdbfirenews yeah we know you were only kidding!! It was a long hot day.
521820413_358398537563783169 x	Fire crews in Bensalem were extremely busy today with 2 working fires this afternoon.  #iaff4837 #bensalemfirerescue #engine222
521820413_358286715586220033 x	Crews battle a fire at the Nifty Fifties restaurant in Bensalem. http://t.co/CQlRLjdPkT
521820413_358246226795327488 x	Nifty Fifties fire Bensalem township. 7/19/13 http://t.co/VwtBgXHsk7
521820413_357465561397067777 x	Another hot one out there today, the crew is re-packing the 300' 1 3/4" and 2 1/2" #combatready #btfd #iaff http://t.co/0ryXYOorEI
521820413_357253760503910400 x	RT @BensalemPolice: Traffic advisory update. Traffic Advisory  UPDATED 07/16/13   1) Hulmeville Road-  The first construction phase on... h?
521820413_357253714299453444 x	RT @stephanieespo: #findashley 21 Yr old last seen 7/4 in #Warminster. Missing&endangered...could be out of state! Plz RT! @fox29philly htt?
521820413_356538129068462080 x	Very hot week upcoming, please remember to stay hydrated and pay special attention to the elderly, young and pets. http://t.co/LB1usjSJcL
521820413_356204025064067073 x	RT @katiefehlinger: Trained spotter report: .96" rain fell in 16 min in Bensalem, PA over last hour or so. Street/poor drainage flooding re?
521820413_355515883189309441 x	RT @BensalemPolice: Mechanicsville Road will be closed for through traffic between Hulmeville and Galloway Roads starting on Monday... http?
521820413_354771653567315970 x	During our tour today the crew of Engine 222 stopped by for some lemonade at our little buddy's stand!! http://t.co/lKezhd8sVU
521820413_354051972837543936 x	RT @PhillyFireNews: Early Photos of Two Alarm Apartment #Fire in Evesham, Burlco. http://t.co/MmADp1cXF2 #evesham #marlton http://t.co/0haY?
521820413_353877992671416320 x	RT @FOX29philly: 2-year-old boy critically injured in July 4 fire in Lancaster has died, bringing the death toll to 7, including six from o?
521820413_353715031877222400 x	RT @courierc: Body of woman found in Bensalem Friday night is woman, possibly in her mid 30's, county coroner Dr. Joseph Campbell said. Aut?
521820413_353714711042338816 x	RT @CBSNews: JUST IN: San Francisco's fire chief says all people have been accounted for after today's Asiana Airlines crash that killed two
521820413_353355582222258176 x	Members of Engine 222 at the Trenton Thunder game tonight. #trentonthunder #iaff #local4837 #firerescue http://t.co/dLC47Fx3H2
521820413_353272806504546304 x	RT @BucksDa: Bensalem Twp PD have arrested a suspect in a July 1 robbery at a Hulmeville gas station and a July 3 bank robbery.
521820413_352784452897878019 x	Bensalem Fire Rescue would like to wish everyone a safe & happy July 4th.  #4thofjuly #IAFF #engine222 #bensalem http://t.co/t9LG9O0JtL
521820413_352191756667858946 x	RT @johnclarknbc10: Prayers for Bucks County native, firefighter killed in Arizona wildfire. Was big Eagles, Brian Dawkins fan http://t.co/?
521820413_352168538573770752 x	RT @NBCPhiladelphia: Elite firefighter killed fighting Arizona wildfire was born in Bucks Co. He loved the @Eagles. Read more: http://t.co/?
521820413_352107980768018432 x	RT @FOX29philly: Train's Propane Car Catches Fire In Lancaster County: Emergency officials say a propane car has caught fire on... http://t?
521820413_352025867507077122 x	RT @AP: AP PHOTO: Firefighters embrace during a memorial service for 19 firefighters killed in Ariz. blaze: http://t.co/4B2k3WJiVZ -RJJ
521820413_352025743372460032 x	RT @ctherien6: When we all think we're having a bad day think of the 19 firefighters in AZ who lost their lives and the families who must d?
521820413_351873644810616832 x	RT @IAFFNewsDesk: The PFFA has set up a web site for the fallen Prescott #firefighters    http://t.co/UgMIulbQSh
521820413_351833504864145410 x	The tragedy in Arizona reminds us that our jobs as emergency responders is very dangerous. God bless the families and fellow firefighters!
521820413_351832637893124096 x	RT @BreakingNews: 19 firefighters who were killed in Arizona wildfire have been named - @AP http://t.co/ixLvtt6uuW
521820413_351379774041632769 x	RT @911BUFF: TEXAS: MAJOR EXPLOSION REPORTED AT A FIREWORKS WAREHOUSE IN BASTROP. EMERGENCY PERSONNEL RUSHING. #911BUFF
521820413_351377764009512964 x	RT @6abcadamjoseph: Watch out for flash flooding the next 48 hours at anytime. Tropical downpours popping everywhere.
521820413_351377625027051520 x	RT @FOX29philly: Breaking: DE Fire Marshal investigating last night?s fire in Townsend which killed one person and heavily damaged a home. ?
521820413_350985930024296448 x	RT @BensalemPatch: A new plaque has been dedicated to Bucks County veterans at the township building. http://t.co/4dxRiN0UwS
521820413_350798316742774784 x	RT @TFC484: July 4th brings large crowds...be mindful of, and report suspicious activity to 911 immediately!  @BensalemPD @BensalemPolice @?
521820413_350798026350137344 x	Reminder to keep fireworks to the professionals!! #july4 #fireworks #safety #iaff4837 #bensalemfirerescue http://t.co/61kIQTaFdZ
521820413_349717612009226242 x	RT @PhillyFireNews: #Breaking phila. 3400 N. 11th St heavy fire a dwelling. Reported ppl trapped.
521820413_349717033090424832 x	RT @FOX29philly: Severe Thunderstorm Warning in effect until 11p for Berks, Philadelphia, Montgomery, Chester, Lehigh and Bucks Counties.
521820413_349255881277448193 x	RT @BensalemPolice: NWS Reports: Severe Thunderstorm Watch issued June 24 at 2:45PM EDT until June 24 at 10:00PM EDT by NWS
521820413_349212314962112512 x	BTFR responded to a incident this morning involving an electrician that was burned from an arc-flash fire.
521820413_349210439424552961 x	Bensalem Fire Rescue reminds everyone when working on a electrical equipment use extreme caution and always secure the power  prior work.
521820413_348992747576901632 x	RT @CoconnellFox29: Developing: Sources say a group of Philadelphia firefighters won the $131 Powerball jackpot. More info soon.
521820413_348794284964712449 x	RT @FOX29philly: Firefighter optimistic they can save Colorado town. http://t.co/Ql85OdbB8C
521820413_348794238252756993 x	RT @cpsj: Cherry Hill Fire Department gets $137K grant http://t.co/tidcAnd9LN
521820413_348512844012191745 x	RT @FOX29philly: 2 rivers that converge in Calgary are starting to recede after floods devastated area and killed at least 3 people. http:/?
521820413_348296169774010368 x	The cell tower was taken down safely around 9:45 pm no injuries reported and roadways are open. #engine222 #btfr http://t.co/UwrV58eR04
521820413_348295348877398016 x	RT @6abc: UPDATE: Communication tower damaged by fire in Bensalem brought down safely - http://t.co/yziwoReAYP
521820413_348157781922164736 x	RT @FOX29philly: Bensalem Cell Tower Leaning After Fire, Area Evacuated: A cell phone tower that caught fire Friday morning in ... http://t?
521820413_348157627349475328 x	RT @BensalemPolice: Byberry Rd between Hulmeville and Knights will be closed until further notice.  Cell service and Electricity... http://?
