874192525_332202361516867584 x	#PHILLIES #RYANHOWARD sitting WOW
874192525_321568414890082304 x	@delcotimes told that there is an older black mustang driver red hair and goatee around Brookhaven area messing with kids what do u got?
874192525_321566195033731072 x	#Phillies #MLB man I think I would rather watch some young players than watch Nix strike out every time up & Young roll the ball to 2nd HELP
874192525_321411059577655296 x	#Phillies #MLB Roy Halladay is lost out there 64 pitches and only in the 3rd inning
874192525_321053207809892352 x	#WWE all bad guys winning so far means #Cena will be champ tonight
874192525_320923873904312320 x	#Eagles will trade the 4th pick to Miami for the 12th and 2nd round pick, they will get #StarLotulelei #ChanceWarmack  #EJManuel NICE DAY
874192525_320277658980212736 x	@BenRevere9 That was some catch Bigg B, we love you here, stay as cool as you are and this place will be home 4 a long long time
874192525_320277041498963968 x	#Phillies #MLB Dom Brown, Eric Kratz man say what, great stuff Kendrick just missed one
874192525_320266334783037443 x	#Phillies #MLB the Phils will be 8 and 4 after 12 games Bank It
874192525_320265768187088896 x	#Phillies #MLB The Bank is Open!!!!
874192525_319789688468668417 x	#CliffLee needs to stop the bleeding #Phillies need to hit with runners on base 8 hole is killing move #BenRevere down put #JROLL back to 1
874192525_319788702136160256 x	#MLB Doc's 1st inning was rough but he did have good stuff, tried to pinch way 2 much, just throw like you can waste pitch was to wasteful
874192525_319786606749970434 x	#MLB Mike Morse would look good in a #Phillies uniform
874192525_319074879553024000 x	#PHILLIES #MLB #Hamels had the speed on his fast ball what he did not have is 1st the beard not smart 2nd the stash what are you thinking
874192525_318106594330169344 x	@BlueJays @JoeyBats19 Joey will be AL MVP 49 HR 113 RBI's 310 Avg
874192525_318106108466180096 x	@JoeyBats19 @lamelaza_7 @Encadwin @Elboni_1 @jparencibia9 @es_esmil You Birds are barking love your team hope you win it all
874192525_318105749664456704 x	@treblaw @ESPNAndyKatz Obama couldn't pick his ass
874192525_318105520386998273 x	@thisisdspan He sucks worse than the Nationals will this year 3rd place at best no Morse not title
874192525_318105079280435200 x	#MLB #PHILLIES Im thinking the Phillies will play #Detroit in the World Series Sorry #Nationals #Dogers #Giants #Reds Detroit will win in 6
874192525_315109305642782720 x	@Mr_RobbyRubio I took 20 out of my pocket for the pool I could use it. If you are coming to Michaela & Kaits Party Sat at 6 bring it then TX
874192525_317290150566711297 x	@Mr_RobbyRubio Rob got your pool money TX do me a favor vote on the keepers in our baseball league
874192525_317288977977708544 x	#MLB #PHILLIES #RYANHOWARD over or under 95 RBI'S
874192525_317288675677458433 x	#MLB #PHILLIES #ColeHamels over or under 18 wins
874192525_317288207274360832 x	#MLB #PHILLIES Dom Brown over or under 25 home runs
874192525_315108889278439424 x	@Dpalumbo28 Bigg I took 20 out of my pocket for the pool I could use it ASAP if you can Thanks
874192525_315136029013209089 x	@Dpalumbo28  Im out at 4:45 Thanks Danny!!
874192525_315109927700004864 x	@JTrotter_54 just as tough as his dad
874192525_315080436311273472 x	@Reuters When did we become scared to strighten up places like Syria and Korea Obama scared say your scared
874192525_315079763502972930 x	@DRUDGE_REPORT Enough with these punks time to send a big message
874192525_315078568193449984 x	#NCAA Pac12 seems to be a little under rated #Oregon #Cal? Had 1 not both lesson is learned
874192525_314762103904956417 x	@edhenryTV @foxnewspolitics Don't bet on it!!
874192525_314761985118064640 x	@SN_Baseball #PHILLIES please
874192525_314761683354677250 x	@ESPN_FirstTake @Ravens Not a chance
874192525_314760154350514176 x	@kaitglock 21 you no
874192525_314744186710659072 x	@ryanlawrence21 I drank 2 cups and threw up hope I am not getting that bug
874192525_314388323395334145 x	#MLB #CBSSPORTS 13 hours and counting 1st pick Miggy, Braun or Trout can't make my mind up how about some help Twitter HtH 1st yr of keeper
874192525_314216047282626560 x	@kaitglock we are having Michaela's 12th and Kait's 21st this Sat night around 6:30 snacks ice cream and cake, hope you can make it
874192525_314210434544697344 x	@B_McGLOCK  we are having Michaela's 12 and Kait's 21st this Sat night around 6:30 snacks ice cream and cake, hope you can make it
874192525_314210172744630272 x	@Mr_RobbyRubio we are having Michaela's 12 and Kait's 21st this Sat night around 6:30 snacks ice cream and cake, hope you guys can make it
874192525_314040326350315520 x	@B_McGLOCK Louisville, Ohio St, Indiana, Georgetown. OHIO ST WINNING IT ALL OVER LOUISVILLE
874192525_314037229007802368 x	@Mr_RobbyRubio BIGG WE ARE UP TO 280 POOL IS 20 WIN TAKES ALL http://t.co/aIjZCLLV3w Our Group password is: 55 CONCORD RD
874192525_314034941124030464 x	@Dpalumbo28 BIGG WE ARE UP TO 280 POOL IS 20 WIN TAKES ALL http://t.co/aIjZCLLV3w Our Group password is: 55 CONCORD RD
874192525_313376349169516545 x	RT @ryanlawrence21: RT @_tommyjoseph_: If this tweet gets retweeted 350 times @Phillies #1 prospect and Philadelphia native Jesse Biddle ...
874192525_312916815942651904 x	@PhilHeron I remember when the Eagles left PMC was so bummed  now it is just a memory, we all got over it, hurt for a while but it is good
874192525_312915010055720960 x	@BenRevere9 Show the speed Big Ben
874192525_312914388946391040 x	@YahooSports @bigleaguestew They both have a hamster?
874192525_312913369143332864 x	@GarryCobb Happy birthday G
874192525_311834218013552642 x	@MikeAndMike no love for what the Eagles have done yesterday, I think they improved more than anyone filling many holes, you thoughts
874192525_311816552280371200 x	@TonyBrunoShow it's a new pitch called the slow ball
874192525_311815900477136897 x	@StevePalazzolo Good luck with that #AndyReid and that band of dopes we had it always looks good, and always turns to poop
874192525_311814467593859072 x	@nflnetwork I was jacked to land some big names but after researching the players the #Eagles did go with I am very excited Go CHIP - SPEED
874192525_311669525936488448 x	@EaglesDaily did you just get up?
874192525_311665458942189568 x	@Freakyjean95 Freakey you fell good now wait till you run out of that tunnel in Phily grab a cheese stake you will be staying we need you
874192525_311663481642418176 x	@PatrickChung25 Patrick you are going to love playing in Philly
874192525_311660839356751872 x	@DatDudeBP #MLB great play from his knees what a player
874192525_311660396287234049 x	@nflnetwork @jamescasey86 #Chung Big James Casey Oregon say yes, guys wait till you get here you will love it great to have you both
874192525_311572579854995458 x	@nflnetwork all this for James Casey #NFL #eagles
874192525_311568171566002176 x	@SpikeEskin another QB
874192525_311567808095977472 x	@nflnetwork my wife is doing a happy dance waiting to rebuild go Birds
874192525_311562451764264960 x	@Jeff_McLane Welcome D Revis to the nest
874192525_311562231961755648 x	RT @Jeff_McLane: Nnamdi Asomugha was released by the #Eagles.
874192525_311557630126604289 x	@PriscoCBS With you Pete
874192525_311557389352587264 x	@nflnetwork the #Eagles will have a safety, corner and an O lineman before the day is over combined with #DRevis we will be back
874192525_311556715030134785 x	@nflnetwork #Eagles #NFL My guess is that the Eagles will send #NickFoles and 2 two's to the Jets for #Revis than Draft #GENOSMITH
874192525_311553940330258433 x	#Eagles #NFL My guess is that the Eagles will send #NickFoles and 2 two's to the Jets for #Revis than Draft #GENOSMITH
874192525_311476863895756801 x	@SpikeEskin @phillyjim76 Gholston has come out of  3yr retirement to play with the Birds seeing they need a saftey will b a good run stoper
874192525_311444383331385344 x	@BenRevere9 not good in Philly either
874192525_311437211994300416 x	@WIPMorningShow It would be the hampster
874192525_311280942033559552 x	@davespadaro #NFL whats for lunch loving having money to spend and it is not mine!!
874192525_311280248685748225 x	@davespadaro #NFL Then I am having coffee and I read #OsiUmenyiora is now an #EAGLE spill the coffee look up Eric Winston RT is a #BIRD
874192525_311273536893353985 x	@JimmyRollins11 Go eat Bigg than bring us home another round turn on that inside fast ball when hitting LH, hit 3 hrs this round enjoy super
874192525_311271242277715969 x	@thehawk38 @davespadaro #Eagles cant wait till AM so I can read we loaded up Dashon Goldston with about 9.5 per yr for 5 gon 2 b a good day
874192525_311094963515572225 x	#NFL the #EAGLES are interested in #DannyAmendola he would be a great fit not scared to go across the middle runs well after the catch
874192525_311093936972263425 x	@JimmyRollins11 we are very proud of you Jimmy, 2nd round sweet, keep it "J Rolling" it all starts with you bigg!!!!
874192525_311092960399855616 x	#NFL #EAGLES if the Eagles can sign RT Eric Winston (not Winston Justice) the O line should be in great shape and we can focus on the D
874192525_309447188415647745 x	@howardeskin one bad 100 good we will take that
874192525_309423871919022081 x	@JonHeymanCBS Carlos Ruiz in a deal I hope
874192525_309395179956232193 x	@BenRevere9 easy Ben working them girls with the photo's
874192525_309304874930143232 x	#NFL #EAGLES Dion Jordan could be a one man wrecking squad if Shariff Floyd is gone
874192525_309304400722161664 x	#NFL #EAGLES I would rather see the Birds draft Shariff Floyd, Dion Jordan, or Jarvis Jones before Dee Milliner in that order
874192525_309301748986699776 x	@ryanlawrence21 Good because Babe Ruf is not cutting  it in left. I was hoping he could but he needs to go down and learn no time to wait
874192525_309278204722556928 x	#NFL #EAGLES #FoxMock Update #ShariffFloyd: defensive tackle, Florida 2 to the Jaguars, hope he drops to the Eagles at 4 he's a monster
874192525_309272073941958657 x	@Dpalumbo28 Danny I need your email to invite you to the league text 4848445924 or mikemclaughlin1957@comcast.net
874192525_309273051130908672 x	@PhilliesMike @Dpalumbo28 it wont let me just send the link cause you were not in last year
874192525_309272727699730432 x	@Robby_glock it wont let me invite you with out your email
874192525_309272486732763136 x	@Robby_glock Rob I need your email to invite you to the league text 4848445924 or mikemclaughlin1957@comcast.net
874192525_308925343916519425 x	#MLB if you had the 6th pick in your draft would you consider Matt Kemp or let him slide
874192525_308563386357141504 x	#MLB #PHILLIES if Dom Brown has got it thanks to real hitting instructors he could be our Upton signing sweet!!
874192525_308561903033131008 x	@Dpalumbo28 http://t.co/CvFJLRNNsF  MicsMagic password meat = 110 in - 800 1st 200 2nd 200 top point = extra 10 for plaque
874192525_308561393555218432 x	@Robby_glock http://t.co/CvFJLRNNsF  MicsMagic password meat = 110 in - 800 1st 200 2nd 200 top point = extra 10 for plaque
874192525_307534399342247936 x	#MLB #Phillies Carl Crawford already shut down shame the dude could play if he could stay in there
874192525_307011291892031488 x	@michellemalkin Michelle they are out of gimmicks they are really lost and have no idea what to do about anything he has ruined our country
874192525_307006155522183168 x	The #Eagles could drop to 12 let #Miami get #DeeMilliner CB and grab #LaneJohnson OT with 12 or #KennyVaccaro SS + a pick or 2
874192525_306749852300234752 x	@phillysport @magelb Go head JW we still need to find 2 or 3 hits back to back more ofton
874192525_306748200562352128 x	@BenRevere9 Do the same keep that enthusiasm Reverend
874192525_306745748677095425 x	#Phillies #MLB we have T Joseph down there raking. J Biddle, Cody Ash he will be the starting 3B for the Phills come Break Young back to AL
874192525_306746297510154240 x	@PhilliesMike #MLB #PHillies lets get young the 70's where fun not great pitching but like B_GLOCK says lot of hitting cant keep winning 2-1
874192525_306744625048203264 x	#Phillies #MLB the phillies should linger Chooch, Chase and Cliff out for a Mega deal, love watching the young guys D Brown might have it
874192525_306743275145003008 x	@TheCUTCH22 I like your thinking 22
