47012561_395276628667809792 x	@EASY_E87 @SheTroubleETP Now that's funny!
47012561_389074458696511489 x	RT @Wale: Dmv get da money! RT @Cappadonna: ?"@Wale: DMV... Its  @PUSHA_T turn! Lets get it!!!"
47012561_379713092898156544 x	@ahazelview hey sweetie!!!
47012561_289106630627434497 x	hello! What's up? Thanks for the luv
47012561_287964504006991872 x	@actorbrianwhite @rbeneteau funny- had that same convo Thursday night.WOW
47012561_287194128268271616 x	Good morning! Happy Friday, everyone!! :-)
47012561_287031569485533184 x	@glenna_boo lol- wow
47012561_287031463084449792 x	@NeNeLeakes @WendyWilliams love Ne Ne and Wendy!!! :-)
47012561_287029150924029952 x	@Mr_NspiratioN agreed! :-)
47012561_286661202011103233 x	@gitttank813 @ agreed. Why other don't get that is beyond me.
47012561_286660183541817344 x	currently suffering from post-holiday exhaustion- wow!
47012561_286531736215625728 x	@Gentlemenhood thanks for following
47012561_286528351496196096 x	check out my updated website!
47012561_286184878414905344 x	Happy New Year!!!!!!!
47012561_285939790644391936 x	@RSP_1865 @InsideCityHall   Hi pookie :-)
47012561_285929699660689409 x	counting down to the NEW YEAR!!! Cannot wait to see what 2013 has in store
47012561_285922573106167808 x	please check out my new business http://t.co/rDGablGU- visit my web site!
47012561_229314454280609793 x	OMG! Unreleased Video of Aurora Massacre! #aurora #batman http://t.co/aennVI3b
47012561_229233738062651392 x	Shocking! Unreleased video of The Dark Knight Rises Massacre! http://t.co/2kd2Mwas
47012561_228205622477332480 x	I just got back from L.A. they lost my luggage. :(
