267185728_226746934973579265 x	Beer Olympics #clamsquad #fucklondon
267185728_114145576429424640 x	@Herring_210 #starfishswag #fatboyswag
267185728_113385105040474112 x	RT @RealSkipBayless: Fitting that LeBron was in attendance last night to watch his Cowboys. His QB went LeBron in the fourth quarter.
267185728_113052981397684225 x	@Herring_210 I said aye cuzz get me some feed
267185728_113052798559592448 x	@Herring_210
267185728_105774088760471552 x	@Herring_210 Who seent it?! #notme
267185728_105458894033268737 x	RT @denmass: @DeionSanders now #HOP is this Jayz or his sister??  http://t.co/cPHOxVG
267185728_102875669071003649 x	RT @JasonBabin93: Today a NFL D Line coach told his guys don't worry about sacks..... Keep your heads up fellas #NotWash
267185728_99201169825599488 x	RT @MikeVick: People talk the talk, but can't walk the walk when necessary! We accept all challenges here in the city of Brotherly Love!!!!!
267185728_97726389091975168 x	@Herring_210 Bud Heavies in the afternoon tho? #daybooswag
267185728_95997212441575424 x	I'm calling at least 10 picks for @Thepresidentcb this year. 4 against Eli. Always gettin him lol
267185728_95165876097134592 x	RT @Herring_210: #ijustwannadohoodratthingswithmyfriends like sip on bud heavies while there's ass shakin to my right
267185728_95165652909821952 x	RT @Jamar51Chaney: What is all this Bret Farve to the Eagles stuff I am hearing...
267185728_90107267965394944 x	@Herring_210 Your boys about to go #HAM breh!  On that #wheelchairchampagneroomswag
267185728_82490561499639808 x	RT @Herring_210: @SThorpe04 that dude goin #HAM in his chair tonight... #ChampagneRoom tho??hahaha
267185728_76812459800932352 x	@MikeVick #salute
267185728_76717406252302336 x	@Herring_210 #hustlin bruh
267185728_69131224257531904 x	@JZD3 go ride Lebron's cock elsewhere. Fuck basketball #eagles all day!
267185728_57212663935139840 x	@JZD3 #ham
267185728_57204142808104960 x	@Bones_210 #hop
267185728_56156390670073856 x	@JZD3 meat pie bruhhhh
267185728_53163161922187264 x	@Bones_210 I gotta get used to this bruh... 50 sets
267185728_48374788569300992 x	@Bones_210Cuzzzzzzz
