42538051_397137054045601793 x	RT @CockyNickFoles: @Eagles Me and my agent agree it's time for me to get paid
42538051_397142274540589056 x	RT @CockyNickFoles: 7 TDS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
42538051_397142262733627393 x	RT @975TheFanatic: Nick Foles has just tied the Eagles and NFL record with 7 passing touchdowns in a single game. Yes...Nick Foles.
42538051_397142219410669568 x	1 more to break it. #eagles
42538051_397141704538869760 x	RT @RobTornoe: How's this @AdamMumma89? (I cheated... this @MVFive toon is from last season): http://t.co/kdZMCai37L
42538051_397141490029584384 x	RT @CockyNickFoles: #FolesMVP
42538051_397141386136666112 x	#Eagles http://t.co/jVEDKxE2IA
42538051_397141177927217153 x	Record or no record the starters should be yanked by the 4th. #eagles #foles
42538051_397140812645285888 x	RT @CKaepernick: @CockyNickFoles in God mode today.
42538051_397139737783586816 x	@SarahLogan7 It will be the first time something good has happened for the #eagles in a long time!
42538051_397140691010482176 x	@SarahLogan7 I tried to tell people that. He either had something wrong with him injury wise, or just completely off that game. It happens.
42538051_397139845690441728 x	RT @RobTornoe: Meanwhile, there's a @MarcusFoles twitter account. My faith in humanity has been restored. #Eagles
42538051_397138735802105856 x	Excuse me let me put this in the end zone. #eagles http://t.co/wKCN89JHGb
42538051_397138519891902464 x	Excuse me let me put this in the end zone! http://t.co/DgQeAAOseT
42538051_397137702434652160 x	RT @MckenrickTracey: Jackson and Foles!!! #Eagles #Foles
42538051_397137590476091393 x	@CockyNickFoles #Folesera
42538051_397137429498691584 x	6 TDs! #Eagles
42538051_397136570756911104 x	RT @SarahLogan7: "Shout out to my haters sorry that you couldn't phase me" http://t.co/adaUrYtaHx Nice screen grab. #eagles
42538051_397135371362140161 x	Finally getting McCoy in on the action.
42538051_397130715902799874 x	Thats why he was a first round draft pick.
42538051_397129612557582337 x	Got to get this defense adjusted at half. Need to flush Pryor to his right. #eagles
42538051_397127086894481408 x	RT @Eagles: #PHIvsOAK stat: #Eagles QB @NFoles8 joined Peyton Manning to become 2nd @nfl QB in 2013 to start the year with 10 TDs and 0 INT?
42538051_397126231298420736 x	Good play by Williams. Can't come up with the catch though. That's why he plays defense. #eagles
42538051_397125044029390849 x	Ertz spotting! #Eagles #Foles
42538051_397123115316420608 x	Poor tackling on that drive. #eagles
42538051_397122705109319680 x	Defense with a let down. #eagles
42538051_397112269672546304 x	@MckenrickTracey were you at the Browns game yesterday?
42538051_397113687422799873 x	@MckenrickTracey where were you at I was looking for you.
42538051_397114500140503040 x	@MckenrickTracey I was on the sideline in a blue Florida Gators hoodie.
42538051_397115164623142912 x	@MckenrickTracey i was looking for someone with a limp.
42538051_397116470523879424 x	@MckenrickTracey nope missed you I was looking for a limp.
42538051_397117001208176640 x	@MckenrickTracey I was going to but I didn't know if you would have received it.
42538051_397121209009471488 x	@MckenrickTracey no I was game planning.
42538051_397120914846142464 x	RT @CockyNickFoles: Easy W
42538051_397120861414891520 x	What's going on? #Foles using all of his weapons. #eagles
42538051_397120239764533248 x	RT @MckenrickTracey: Foles to Cooper=Beautiful!!! #Eagles
42538051_397120174585024512 x	WoW! #Eagles #Foles #Cooper
42538051_397119442519613440 x	C'mon DJax you have to let go there. Would have been a stiff arm if you did. #eagles
42538051_397117830975717376 x	RT @rm973: #Eagles QB Nick Foles is 9/10 for 117 yards, 2 TD, 0 INT but his rating is down to 155. #Foles
42538051_397117482353573889 x	RT @MckenrickTracey: TD! Way to go Foles!!
42538051_397117464301305856 x	RT @Jeff_McLane: Michael Vick must hate Riley Cooper.
42538051_397117438296588289 x	Its amazing how Cooper becomes a weapon when a real QB is throwing the football. #eagles
42538051_397116809725640704 x	@rm973 Chip tought Vick how to carry, but must have forgot about Brown.
42538051_397116309257080833 x	Finally these backs are hitting the holes! #Eagles
42538051_397112344750592000 x	RT @rm973: #Eagles QB Nick Foles 6/7 for 94 yards, 1 TD and a perfect 158.3 rating. That's his opening salvo against the #Raiders.
42538051_396727238789718017 x	Annnnnnd we still can't kick a field goal. #gators
42538051_396133044941094912 x	Zero Chicks #rejectedcandy @midnight
42538051_395723067361882112 x	Biggie Smalls, Biggie Smalls, Biggie Smalls!
42538051_395005164517879808 x	#Eagles missed on Irvin
42538051_395004987774087168 x	RT @howardeskin: I'm hearing #eagles QB Nick Foles will be back at practice on Tuesday. And I hear he's likely to start on Sunday against #?
42538051_394896776748339201 x	RT @XNicoleAnistonX: Vixens in Martinsburg WV November 7-9! Come out for one hell of a half-time show November 7th during the game! ??
42538051_394884653745987584 x	RT @midnight: Now THAT'S a scary pumpkin. http://t.co/zjAh2OqMGW
42538051_394583107388452864 x	@cover32_PHI thanks for the spotlight.
42538051_394560492590886912 x	@RealSkipBayless MEGATRON!!!!
42538051_394556531456626688 x	Vick had a worse rating than #foles
42538051_394553151992651776 x	Good try Barkley. #eagles At least you put up an effort unlike the rest of the offense.
42538051_394551130195107840 x	Worst LB in the league goes to Kendricks. #eagles
42538051_394550646059581440 x	I don't think you want to play Jump at the #eagles game.
42538051_394543600174104576 x	RT @BrianDawkins: Don't wanna ever get used to this.. Linc is like a library right now. U can hear everything ELI is saying.
42538051_394541588615286784 x	RT @rm973: The #Eagles haven't scored a touchdown at home since 9/19.
42538051_394541286315032576 x	Kendricks with a whiff tackle. #eagles
42538051_394540653436481536 x	to look like 2012. #eagles   (2/2)
42538051_394540641767936000 x	RT @JimmyKempski: DeSean probably had the first down, then cut to avoid contact. And now the Eagles are punting... again. Beginning (1/2)
42538051_394540499044155393 x	DJax is a moron as well. Should look for a deal before the deadline. #eagles
42538051_394540342844088320 x	DeSean should be traded at the deadline.
42538051_394540248174436352 x	RT @rm973: #Eagles WR DeSean Jackson doubles down on the stupidity. Had the first, stepped back behind the line.
42538051_394539267881730048 x	Safe to say this team has QUIT! #Eagles
42538051_394537303777239040 x	Nate Allen has been playing better ever since he talked to Bdawk before the KC game. #eagles
42538051_394536737487486976 x	RT @CockyNickFoles: Save to say I'm gonna start next week
42538051_394531311282827265 x	RT @rm973: #Eagles fans are tweeting at me for Favre and Tebow. Who wants to throw McNabb into that mix? The holy trinity of lightning rod ?
42538051_394531064674521088 x	I would like to point out that Andy gave Dallas Sean Lee. #eagles Look how good he is.
42538051_394530626390749184 x	Lets give Barkley the second half. If he only had the entire week to prepare. #eagles The truth is the #eagles need Foles!
42538051_394529627034890240 x	RT @rm973: If I'm Chip Kelly and I have 1st and G at the 2 with a rookie QB who threw 3 picks last week, I go: McCoy, McCoy, McCoy, McCoy. ?
42538051_394529154647203840 x	Rookie mistake. I've seen Vick do that a lot and he's a Vet. #eagles
42538051_394529031640850432 x	RT @rm973: Matt Barkley fumbles and the #Giants recover. Matt Barkley is now 4-for-4 on the year with drives ending in turnovers for the #E?
42538051_394528595118682112 x	Team comes to life with an actual QB! #eagles
42538051_394517729933553664 x	Moron! #Eagles
42538051_394520364241657856 x	@MckenrickTracey still like Vick. (2/2)
42538051_394522763484209153 x	@MckenrickTracey hopefully Foles can pass his tests next week.
42538051_394526808009605120 x	@MckenrickTracey yep. I my opinion Vick should never have been brought back after last year.
42538051_394528296043814912 x	@MckenrickTracey they wanted for that wild cat craze, but Andy got addicted.
42538051_394523918822039554 x	RT @GeoffMosherCSN: Eagles are trying to play hide-the-quarterback right now. Can't do that in the NFL. #EaglesTalk
42538051_394523240804016129 x	McCoy can run with #vick or #Foles, problem = McCoy. #eagles
42538051_394522473561333761 x	#Eagles defense is bending but not breaking yet. The offense needs to step up big time.
42538051_394522204119269376 x	@rm973 maybe the both suffered a concussion after running into each other.
42538051_394522030210842624 x	What the H is an illegal snap?
42538051_394521514353381376 x	RT @rm973: Cary Williams heads off the field under his own power. #Eagles can't afford to be without him. #Giants use a lot of 3WR.
42538051_394520581254938624 x	@rm973 any new news on how Foles is?
42538051_394520873006530560 x	@rm973 obviously Lol. Was wondering about progress.
42538051_394521209268092929 x	@rm973 Ok thanks man.
42538051_394520358986207232 x	@MckenrickTracey Vick was rushed back because Foles is dead. They should have prepared Barkley to start, but for some reason the (1/2)
42538051_394519871821971456 x	@rm973 looks like we might see him.
42538051_394516946534039552 x	@rm973 do you think Chip turns to Barkley sometime this game?
42538051_394518350170447872 x	@rm973 got to be a little better than what we are seeing.
42538051_394519373551267840 x	@rm973 rather see Barkley make these mistakes than Vick. (2/2)
42538051_394519370149687296 x	@rm973 yeah he's at least a rookie. Vick was rushed back. Personally I would rather see Foles but that's not going to happen. Would (1/2)
42538051_394515505647980544 x	Vick off to a terrible start and it has nothing to do with an injury. He practiced full speed all week. #eagles
42538051_394515047655165953 x	RT @5PistolP: I'd rather see Matt Barkley make these mistakes than Mike Vick. #Eagles #FlyEaglesFly
42538051_394514785175617536 x	Vick not ready. #eagles
42538051_394514546293215232 x	Vick should not be in there. Barkley should have been prepared for this week until #Foles came back. #eagles
42538051_394514305619857408 x	Absolutely garbage. #eagles
42538051_394512426101915648 x	RT @CockyNickFoles: Looks like I'm gonna start next week
42538051_394510892647591937 x	Yeah! Great throw "savior"! #Eagles
42538051_393932358627639296 x	I see where #strikeback gets its endings from! We need more!
42538051_393745551239692288 x	RT @Tim_McManus: Birds 24/7 podcast, "You're a Foles lover, McManus!" edition is posted for your listening pleasure. http://t.co/onEbbReQ9Q
42538051_393594938547793920 x	RT @midnight: "There's never been a more American image & I've seen a bald eagle eat a f**king burger backstage at a Springsteen concert." ?
42538051_392862399658983424 x	RT @nerdist: EAST COAST. @midnight starts in a few min on @ComedyCentral! Please watch it on purpose. #hashtag
42538051_392662131013074944 x	Mike Vick is going to announce he's coming back for Sunday's game. #eagles #shocker #sawitcoming #vick
42538051_392661216528982016 x	The "savior" is coming back for Sunday. #eagles We shall see............
42538051_392656971889143808 x	@Jeff_McLane what is the time frame for a player to pass league concussion protocols? Can it be done in a week?
42538051_392339809697808384 x	RT @Eagles: Coach Kelly: We as a group have to learn from Sunday and fix it. It starts tomorrow. #eagles #EaglesTalk
42538051_392337872956960768 x	#Eagles defense has been playing well as of late. Would be nice to see some sacks to go along with the turn overs. #EaglesTalk
42538051_392284173698088960 x	Hopefully yesterdays game showed that the #eagles need another quality receiver opposite of Jackson.
42538051_392052709832273920 x	Can judge Foles off of 2 and 1/2 games. If that was the case we would never had heard of Vick or McNabb. #eagles #foles #vick #mcnabb #truth
42538051_392081328755470336 x	@suburbsokrates a lot of nfl teams couldn't be SEC teams. #SECdominates
42538051_392056284780199936 x	@suburbsokrates the Redskins are 7-0 right? Stupid argument to make. Loss is a loss win is a win.
42538051_392052260349673472 x	RT @973espn: Did the #Eagles come up small?  Defense played well, kept them in the game Nick Foles simply did not play well enough for them?
42538051_392052056976281600 x	#EaglesQB Foles should get another start to see if he can bounce back from a terrible game. If not then Vick should take over.
42538051_392046933768167424 x	Bad game by Nick Foles today. #eagles #growingpains
42538051_392023741989134336 x	Who had the cowboy's defense? #eagles
42538051_392021227608760320 x	RT @CockyNickFoles: So do you guys miss me?
42538051_392021000013238272 x	That makes 2 picks
42538051_392020786317623296 x	Here comes the hate. #eagles
42538051_392019154624327680 x	Whelp, another game at home and what looks to be another loss. The streak continues. #eagles
42538051_392018513852125185 x	Well, I was happy to see Barkley but don't need to see him again. #eagles
42538051_392015627126599680 x	Boykin is garbage. How can you not cover Beasley. #eagles
42538051_392014738772996096 x	This must be that we give up defense #eagles
42538051_392014270848053248 x	Now we play horrible defense #eagles
42538051_392013730776903680 x	Here comes Barkley #eagles
42538051_392012647891472384 x	C'mon guys get the points before the quarter is over.
42538051_392012108793384960 x	You have to go for that. #eagles
42538051_392011591157571584 x	That ball may have skimmed the ground but it should not have been this close. #eagles
42538051_392010851085205504 x	This is unbelievable #eagles
42538051_392010502077169664 x	@rm973 looked like it could be a nasty sprain. Hopefully not the Achilles tendon
42538051_392010233008369664 x	Now we might have to use the 3 TEs we have on the roster. #eagles
42538051_392009745361797120 x	C'mon #foles #eagles
42538051_392009640541949952 x	RT @rm973: DeMeco Ryans w/ huge play. The #Eagles MUST turn that interception into 7 points with the short field. Biggest drive of the game?
42538051_392007607613157376 x	RT @GeoffMosherCSN: This is Foles' worst game since his first NFL start last year against the Redskins. He's just off.  #EaglesTalk
42538051_391395106856906753 x	Richmond's titties! #strikeback
42538051_390659106316779520 x	#southpark did comedy central not broadcast the new one?
42538051_390134439223001088 x	#EaglesTalk win loss record for teams is a stupid argument to make. Not our QBs fault for the other teams future record. #eagles #foles #new
42538051_389575584302784512 x	RT @rm973: In yards per attempt, it's: 1 - Peyton Manning 9.1, 2 - Michael Vick 9.0, 3 - Nick Foles 8.9. #eagles #nfl
42538051_389575514442440704 x	RT @rm973: #Eagles QB Nick Foles is 2nd in the #NFL in QB rating of 127.9 among those with 50+ passes. Peyton Manning first at 128.8.
42538051_389513179292004352 x	@rm973 who was that guy?
42538051_389484432207650817 x	@rm973 Vick apologists always come up with excuses. Point is Vick sucks as a QB. Always has and will continue.
42538051_389494439938646016 x	@OsoLiveRadio @rm973 throw out the past like I'm going to, why should Vick start?
42538051_389497349758005249 x	@OsoLiveRadio I think that was proven wrong today.
42538051_389501153358381056 x	@OsoLiveRadio @rm973 I can because he wasn't really doing anything against the Giants, who have a worse defense than the Bucs.
42538051_389502438497353730 x	@OsoLiveRadio @rm973 the giants had all the momentum. Your the second person to argue that.
42538051_389503947540795392 x	@OsoLiveRadio @rm973 everything. I guess it was Foles fault we surrendered the lead?
42538051_389505247003303936 x	@OsoLiveRadio @rm973 where was I holding him accountable for our sucky D?
42538051_389507134905659392 x	@OsoLiveRadio @rm973 you might want to go back and re-read what I posted because I didn't say anything about that. Giants having the (1/2)
42538051_389507801753866241 x	@OsoLiveRadio @rm973 ranked worse than the Bucs. I was using facts for my argument. No where did I (cont) http://t.co/CNMPx1Kpfq
42538051_389508852305375233 x	@OsoLiveRadio @rm973 the Bucs do have a better defense than the Giants bro. Are you avoiding facts/stats?
42538051_389510237298102274 x	@OsoLiveRadio @rm973 are we talking about defense or QBs now?
42538051_389511570642173953 x	@OsoLiveRadio @rm973 I bow down to your all mystic psychic powers and ability to be able to predict outcomes of games. Hail the almighty.
42538051_389508064388599809 x	@OsoLiveRadio @rm973 is it Foles fault we were playing a rookie QB. Are you trying to use that as an argument?
42538051_389507140534411264 x	@OsoLiveRadio momentum was not against our d. (2/2)
42538051_389498655771983872 x	@rm973 consideration to be even. (2/2)
42538051_389498645605007361 x	@rm973 @OsoLiveRadio no Vick hasn't brought out the maximum potential. I'm completely not even taking the Denver game into (1/2)
42538051_389489426751295488 x	@OsoLiveRadio what are you looking at that shows Vick is better? His 2-9 record over the last 2 years?
42538051_389484108143153152 x	@MckenrickTracey who won?
42538051_389483060557021186 x	@MckenrickTracey if you missed it Foles =MVP
42538051_389482609740611584 x	RT @rm973: I think Nick Foles gives the #Eagles the best chance to win next week vs. the #Cowboys and should start. Beyond that, depends ho?
42538051_389482574487490560 x	Vick apologists are always going to come up with excuses! #Eagles
