709382756_385627671486418944 x	@CourtCourtP1 <3's @RealCarrotFacts
709382756_392835914231083008 x	RT @tbhplzdont: rt if u have no friends
709382756_392765009358356480 x	Look at all these people out in public looking good and talking to each other and enjoying life and shit.. Disgusting
709382756_392294417307930624 x	RT @DisneyReality: "We can't change who we are, and the sooner you accept that, the better off your game and your life will be." - Clyde (W?
709382756_392293800808546304 x	RT @GreaterThn: Despicable Me > > > > > > > > > > > > > > > >
709382756_392289396763799553 x	RT @JustAGirIThing: Sometimes when I say "I'm OK" I want you look at me and say "Tell the truth"
709382756_392165588794998784 x	RT @BrettGerdes: One of those "can't sleep, too much on my mind" nights.
709382756_392137979566620673 x	RT @therealCORNDOGG: yeah there is some stuff I regret, but if I went back and did stuff I regretted not doing I would regret not doing the?
709382756_392137156862291968 x	"The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more." :o @KateFischer11
709382756_391986929689849856 x	RT @girlposts: relationships sound like a lot of work i just want someone i can kiss whenever i want to and will go away when i tell them to
709382756_391986505989619712 x	RT @MikeWazNot_: ?  ?  ??  ?  ?  ??  ?  ?  ? ?  ?  ?  ?  ?  ?  ?? ?  ?  ?  ?  ?  ?  ??  ?  ?  ??  Retweet this to fuck with people?s timeli?
709382756_391951273177927680 x	THIS IS FUCKING GORGEOUS http://t.co/LkROS8d8OK
709382756_391453073261858817 x	"@mindofaloner: sex, drugs and rock and roll? more like crying, nutella sandwiches and texting half your contacts list 'hi'"no sandwiches..
709382756_391236325120045056 x	Can I just go to sleep and like never wake up.. that'd be great.
709382756_390959774616940544 x	RT @mindofaloner: 'you would make a great boyfriend/girlfriend' coming from someone who wouldn't date you in the first place is hardly a se?
709382756_390959079394267136 x	RT @TipsForYouDaily: When women are talking to you about their problems, they're likely not looking for an answer and just want someone to ?
709382756_390708717765009408 x	Late night heart to heart.@elsiekjohnson<3<3<3#lifesaver#missher#diewithouther
709382756_390707922076172288 x	Heart to heart with @elsiekjohnson.<3<3<3#keepsmesane#stronglady#loveher#
709382756_390690798435856385 x	"@TheFactstores: Penguins have been known to become depressed and march away from their groups to die." ME SOON
709382756_390693254750294016 x	@J_Tyger8 Yupp. After the first snowfall, so it's more penguinish.
709382756_390698235930484736 x	@J_Tyger8 I'm just so stressed right now. Like I know it will get better eventually, but now is now and it's damn crappy.
709382756_390694385576206336 x	RT @MostSecretFacts: Too much stress literally causes the human brain to freeze and shut down temporarily. It usually goes unnoticed.
709382756_390493337834102786 x	I feel so helpless and pathetic right now
709382756_390353061329113088 x	RT @_YouRelate: how do people even fucking sleep with night lights my room needs to be as dark as my soul
709382756_390351479170531328 x	So I thought this person hated me. Fine whatever. They're acting like we're friends now.. Should I too?#confused#drama#fuckpeople#butreally
709382756_389967638689882112 x	You when just FUCK FUCK FUCK FUCK FUCK well yeah
709382756_389957579717103617 x	How many people actually genuinely like lip piercings
709382756_389959831458570240 x	@RoxxxxxySox both! I love mine too but I feel like people are just complimenting me because they're trying to cover up their real opinion
709382756_389964204100177920 x	@RoxxxxxySox THAT'S SO TRUE. I'm so glad I did it.
709382756_389960365406048256 x	?I just really, really, really, really, really, really, really, really, really, really, really, really, really like you.?@anderson_rache<3
709382756_389963786662080513 x	@anderson_rache yupp. I just plain like you.
709382756_389960056554663936 x	RT @EndersGameMovie: #EndersGame. November 1st. RETWEET if you?ll be there. http://t.co/C0oT21THS9
709382756_389834552367403008 x	Am I the only one that feels like they might die of trying to get everything they need to have done on time, done?#helpme
709382756_389610236471816192 x	RT @MostSecretFacts: ????????   ????????    ???Y O U???     ????????    ????????   ???A R E???  ???????? ????????  ???U G L Y??   ???????? ?
709382756_389609629157584896 x	RT @TheFunWorId: Why I didn't do my homework:  ?If you don?t have passion for something, you shouldn?t be doing it in the first place? -Lee?
709382756_389251447629443073 x	"I've been in love with love, and the idea of something binding us together, you know that love is strong enough."#lyrictweet#love<3<3<3
709382756_389230562931507200 x	RT @MostSecretFacts: 70% of people pretend to be okay simply because they don't want to annoy others with their problems.
709382756_389132016455012352 x	I go home to see my family and I only want pictures of my dog. #ohwell#sorrynotsorry#love http://t.co/gDqVvhlJ6o
709382756_389125697391697920 x	RT @TheFunWorId: skinny friend: omg I wish I was skinny smart friend: omg I only got a B+ not single friend: omg I hate my BF me: me: *crie?
709382756_389090184886632448 x	I keep biting my lip piercing and ow
709382756_388866523147689984 x	The kids upstairs are playing the "lets pound and stomp on the floor super loud cause fuck you" game........ ...... ....
709382756_388865151450877953 x	I can make a mess of a good thing
709382756_388718818421268480 x	RT @Laughbook: i am the most stressed out laziest person ever i don?t even know how i do it
709382756_388499156441919488 x	RT @TheseDamnQuote: rt if ur the ugly friend
709382756_388370304050806784 x	RT @mindofaloner: 'i want someone like you. fucked up, like me' 'fucked up heads are not good for loving people or being there when people ?
709382756_388140458280378368 x	@elsiekjohnson aaahh!!! And I'm not near a tv!!!
709382756_388144392210771968 x	@elsiekjohnson I bet I could find it for you somewhere!
709382756_388145219029712896 x	@elsiekjohnson I haven't even seen previews yet, I can only imagine though from last year!!#ecstatic
709382756_387631457960607744 x	"You can't find nothing at all if there's nothing there all along."#lovesongs#np#chill
709382756_387603267464593409 x	I love when a song I've always been fond of but wasn't exactly relatable at the time suddenly becomes my life story.
709382756_386170491125243904 x	NAP TIME #fuckyeah#weekend#nolife#lazyass#woohoo#nuffsaid
709382756_386018432539308032 x	RT @katdaddyjones: Those three words have two meanings
709382756_386018289849102336 x	RT @colbymoores: Minnesota Nice really means that everyone here is faking their friendliness. You've all been fooled, ya fools.
709382756_386017469724237824 x	?@UnrevealedFacts: Waking up too early in the morning can increase a person's risk of a heart attack & stroke.?@KateFischer11.........
709382756_385978935701278720 x	@KateFischer11 I CAN'T RIGHT NOW
709382756_385978872111435777 x	RT @KateFischer11: @Jaciee_Rose PHTEVEN.
709382756_385972525915578368 x	Becoming pro at procrastinating. @KateFischer11 #college#bennieprobs#ohmygod#help
709382756_385971238687870976 x	RT @KateFischer11: "They're not ugly, I just don't usually wear those kind of shirts... ever..." Oh the things roommates say. @Jaciee_Rose ?
709382756_385949703088513025 x	RT @MindBlowing: Admit it, at this very moment... you're waiting for something that may never happen.
709382756_385627326601379840 x	@colbymoores my coworkers friend is in London for study abroad and was walking down the street, saw him, asked for a pic, he ran
709382756_385016563956330497 x	Getting up at 5:30 and getting to go back to sleep.> @anderson_rache
709382756_385010426783600640 x	RT @lmaginations: i just want to    eat and    sleep and    cry and    be skinny and    look pretty and    wear yoga pants and    have a bo?
709382756_384781050531942402 x	@anderson_rache can I stay at your place tonight??
709382756_384811689335480321 x	@anderson_rache ahh! Okay!  How are you gonna be here at 5:30 then?
709382756_384231619206205440 x	?I'm a lazy texter. I read a text and I forget to even reply. If I text you 24/7 then you must be freaking special.?@Lukesteroni..
709382756_384231362741301248 x	RT @QuoteBeauties: I miss being a stranger. http://t.co/XpaHBScGTJ
709382756_384229389837164544 x	By far the best night I've had. Keep them coming pleease
709382756_384122095577231360 x	@colbymoores do you still have a cat?
709382756_384157137812729856 x	@colbymoores can I come say hi to it and see if it likes me and then babysit it and just chill with him/her
709382756_384135829972480000 x	RT @Sheldon_Jokes: *Looks into mirror* *Regrets it*
709382756_384135337703780353 x	RT @DylanMendel: Finish your beer there's sober kids in India
709382756_384121273808199681 x	RT @SoDamnTrue: *points at a boy* that one i want that one
709382756_384091352486526976 x	I want somebody to come watch The Hobbit with me. #LOTR#Hobbit#love#movies#desperateforabuddy
709382756_384005892355543040 x	Rainy movie days>
709382756_384003935343636480 x	?@DailyHeaIth: Your body is a reflection of what you are. If you want to look healthy you have to be healthy.? Well shitfuck.
709382756_383778136439005184 x	@JustBeingFranke @CourtCourtP1 @anderson_rache I'm not, but I'm pretty sure if those 2 are theres no way they'll see this. It makes me laugh
709382756_383442980574461952 x	Bennie 40: 25% Complete. #fml#bennieprobs#college
709382756_383301715195215872 x	?@girlposts: I want a job at Starbucks because I?m going to spell everyone?s name wrong so they can?t instagram their cups? @KateFischer11:)
709382756_383061695297368064 x	Guys I'm already in bed and its not even 10 yet.#collegeproblems#miracle#whoa
709382756_382578307801178112 x	RT @girlposts: i was always scared of teenagers when i was little because i felt like they always glared at me & looked tired and angry & n?
709382756_382362236523524096 x	@J_Tyger8 what's up dude? sorry if I'm not the person you want to talk to, but when I have shitty days, anyone would be helpful.
709382756_382363636183748608 x	@J_Tyger8 the work or the people?
709382756_382366553418653696 x	@J_Tyger8 well.. Anything you want help with?
709382756_382362650400661504 x	RT @sharayawave: relationship status: food
709382756_382362483056316417 x	RT @LifeProAdvices: Women with higher IQs have the hardest time finding a mate. Intelligent women would rather remain single than be with t?
709382756_382189671221981184 x	NAP TIME
709382756_382186006453051392 x	RT @BradyBolander: Minnesota ?? http://t.co/K2BZZeZY0i
709382756_381873839690350592 x	RT @emilyasea: @Jaciee_Rose I love you girl!! And I miss you terribly <3<3
709382756_381869736478265344 x	Our conversation was not even like 5 minutes, but it was just what I needed.<3<3<3@emilyasea
709382756_381633787987099648 x	RT @itsfuntimes: Everybody has a girlfriend and a boyfriend, and I'm over here like "I love food"
709382756_381276457412349952 x	At least my room mate loves me.#college#badday#love#hashtag#hope#sadness#lonely#aahhhh#hashonhash http://t.co/scuvTLZtzr
709382756_381144152794095617 x	I love working on Friday for 3 hours and then going to work for 7 more.... #fmlrightnow
709382756_380780696567967744 x	RT @AdorableWords: i have one or two passwords for everything if you figured them out you could probably take over my life
709382756_380780480716492801 x	RT @funeralfuck: When will people realize that they DONT need to be friends with everyone and they CAN live without conforming?
709382756_380780279071137792 x	RT @girlposts: i am so jealous of all the people who are comfortable with who they are physically and mentally
709382756_380780188402847745 x	RT @lnsaneTweets: wish girls could have sleep overs with boys without the whole they gonna fuck attitude
709382756_380779692401238016 x	RT @anderson_rache: @Jaciee_Rose why did we think it would be okay to stay up so late? #fallingasleep
709382756_380421416136355841 x	Whoa. Mr. Potter is just chilling in Gorecki.. #whataretheodds
709382756_380419471745089537 x	I'm not religious, but God grant me $$$$$
709382756_380418971406594048 x	Why am I so poor aaaahhhh
709382756_380416316546375680 x	@emilyasea JUST SAY I DOOOOOOOOO OOOOOOOO OOOOOO OOOOO!!! <3<3
709382756_380181609711820800 x	RT @weadoreguysthat: I wonder what goes through your mind when someone mentions my name to you.
709382756_379582083703660545 x	Holy fuck cold guys. #brrr#whyyyy#ohwell#warmsweaterforme
709382756_379263063293050880 x	Why do creepy people think its okay to come to caribou and be creepy?
709382756_379272020401197056 x	@dommywommymn they should go to Starbucks. Caribou is for happy people
709382756_379118184176971776 x	Yeah I know it's Saturday night but I'm a loser that's trying to sleep so stfu go home
709382756_378735578528763904 x	What does the fox say?
709382756_378720468640878592 x	RT @WorIdComedy: I don?t care if you: drink, smoke, have lots of sex, gay ugly fat, dont believe in god... Just be cool with me and I?ll be?
709382756_378636103428747265 x	RT @banditsmith: On a scale of 1-10 it's a 1,000,000 on how many dipshits are out driving right now
709382756_378606087357747200 x	I'm pretty sure that one short, nice text can easily flip your whole week around. #imabeliever##believeme#imsolucky#lovemypeeps @TimWehrs
709382756_378378351125078016 x	?@HeaIthyTips: The Lesson: If you can't accept yourself, then certainly no one else will.? <-THATSMEGUYSNOWAY
709382756_378377837293494272 x	RT @MicaelaHilary: #WhatsGoodCorona @CoronaHall WHO EVER'S ABOVE L22 IM ABOUT TO COME UP THERE AND TAKE WHATEVER YOUR SLAMMING ON THE GROUN?
709382756_378323314126499841 x	RT @NateWielkiewicz: Perfect weather ??
709382756_378268472771620865 x	I found someone who shares my love of Spaghettios. @KateFischer11 Rachel Trout http://t.co/M87g9q3Fx1
709382756_378121951060848641 x	Holy fuck I'm so tired I want to cry but that would take so much energy that I don't have
709382756_378042875239333888 x	I'm supposed to get up in 4 hours for work. But I'm still awake wtf is wrong with me
709382756_377998375842373632 x	I thought maybe I could cheer myself up by making myself some popcorn to munch while I did homework, but I burnt it. #thecherryontopofmyday
709382756_378009979011072000 x	@MicaelaHilary I'm in the basement!? You can smell that shit way up there?? I didn't start a fire or anything...
709382756_378011349076283392 x	@MicaelaHilary maybe you aught to teach a popcorn+microwave sesh for corona. I'll go
709382756_378003848096251904 x	FUCK I WISH CAFFEINE KEPT ME AWAKE BUT IT DOESN'T #WHYWHYWHYWHY
709382756_378000203212529665 x	@KateFischer11 yeah. Now I'm super sad and I need more munchies to smother my sadness.:(:(
709382756_378001594307989504 x	@KateFischer11 oh em gee. Girl it's okay! I will go without for the night! Maybe ill accomplish something by not munching! TNX THO:):)
709382756_377998408490827776 x	RT @MicaelaHilary: is it Friday yet?
709382756_377890812602101760 x	Too much homework to do I think I'll sleep instead
709382756_377640130275979264 x	SOMEBODY SHOWER ME AND FEED ME AND MASSAGE ME AND GIVE ME SLEEP
709382756_377279896969441280 x	I wasn't a big fan of @onedirection until @anderson_rache brought me to #ThisIsUs#holyshit#newlove#shocked#OneDirection#music#fangirling
709382756_377223727156453376 x	RT @anderson_rache: Going to #ThisIsUs with @Jaciee_Rose #SoExcited #1D #OneDirection
709382756_376944160755814400 x	I've been meaning to do homework for about 2 hours now.. #professionalprocrastinator
709382756_376785614021996544 x	Dear Time, quit going by so fast. Thanks.
