336728172_382641850764369921 x	Coatesville school board mtg underway amongst boos http://t.co/O6X9Uq1Ws4
336728172_382961259244552192 x	Philadelphia City Controller has issued a subpoena for inspection records for demolitions near Salvation Army crash http://t.co/H4C69w9QBJ
336728172_382961239812370434 x	Butkovitz says L and I is withholding documents or doesn't have them. http://t.co/51rQaIYg4F
336728172_382961186293047296 x	Butkovits says L and I has 10 days or he will go to court to get to bottom of demolition enforcement http://t.co/YYQ3LviT4a
336728172_382961164054847488 x	Butkovitz says its not the right moment to cut off paychecks for L and I officials http://t.co/JBJu0WgMHd
336728172_382961101538738177 x	Meeting has resumed but protestors staging a sit in outside http://t.co/6Chu5FMl91
336728172_382961071717228545 x	Butkovitz says he believes case is headed to court to get necessary documents. http://t.co/WSFXJPEZ6e
336728172_382961028989870080 x	Butkoviz says L and I has "bunkered in" and he's going to court if necessary to get it http://t.co/lsgNwPINMc
336728172_382949224507506688 x	Delaware implements new action plan for youth concussion monitoring: http://t.co/97icfJxsHj via @YouTube
336728172_382919482055749632 x	Commissioner lloyd ayers goes in hearing on firefighter layoffs http://t.co/DWJOGO0nAX
336728172_382694537983840256 x	Dr Eugenia Roberts says the teachers will remain strong http://t.co/aNIDX3kZqY
336728172_382675872483770368 x	Another Coatesville resident wants the school board to resign http://t.co/OxBBtCxBv8
336728172_382662513571008513 x	Ann Wertz says its time to fire superintendent for incompetance and immorality http://t.co/WIFve0V7wC
336728172_382662444394348544 x	James Jackson says school board needs to be relieved of control. http://t.co/GULWFR8Tgp
336728172_382657784119959552 x	Shannon Grow says she put her own money into funding school activities http://t.co/kBtwiGzS35
336728172_382654715953033216 x	Joan Flynn of Naacp education committee says they are offering help with Coatesville problem http://t.co/ZHY8ffLRfS
336728172_382653475919646720 x	SRO at coatesville schl board mtg http://t.co/uGZQZMIFg8
336728172_382652726116511745 x	Coleen Beckersoft asks entire school board to resign http://t.co/xsnCoI4AKL
336728172_382649749238587393 x	Acting School board Superindendant Angelo Romaniello says he's doing his best to heal the hurt if racial texts http://t.co/orLQ5hEGzv
336728172_382647002481164288 x	Pension decisions not made by school board says campbell http://t.co/zC2pAI81Bm
336728172_382646650805575680 x	Board of School Directors Neil Campbell says exhanges were withheld to protect students http://t.co/aI22kG9P9e
336728172_382635494279880705 x	A packed house for Coatesville school board mtg http://t.co/27xQd2lcu0
336728172_382630701234794496 x	Protest outside Coatesville school board meeting http://t.co/BT6H5ZvM65
336728172_382543379458187264 x	Sit in over  opinions and questions go between casino board and city officials
336728172_382528757870780416 x	Protestors stagong sit in at conventon ctr as meetomg continues http://t.co/uc2WTMxgMy
336728172_382527688511983616 x	Protestors have stopped casino hearing http://t.co/0rEmMaWDZg
336728172_382526856148185089 x	North Philly casino coukd spur development in the area says Greenberger http://t.co/Qp6GfWBxXY
336728172_382526487431090177 x	Greenberger says parking an issue with Market 8 casino along with proximity to jewelers row with gold selling options http://t.co/SZxoAbZYse
336728172_382526067665158145 x	Deputy Mayor Alan Greenberger says South Philly casinos not as good as others when it comes to generating revenue http://t.co/f34wLuBONf
336728172_382525192620085248 x	http://t.co/6bmczrIYf1
336728172_382525019316039680 x	Silent casino protestors moving from rear to front of hearing room
336728172_382522939494502400 x	Small group of anti casino protestors show up at  hearing on Philadelphia input to casinos http://t.co/seS4kBG09q
336728172_382521431965175808 x	Deputy Mayor Alan Greenberger talks casinos http://t.co/7P139hegvx
336728172_382520966644903937 x	Pa Gaming Control Board takes testimony on second Philly Casino http://t.co/dJWCM7KKkv
336728172_382520264212242432 x	Deputy Mayor Alan Greenberger talks casino pluses and minuses in Philadelphia before Gaming board http://t.co/YO9VEaz50O
336728172_382495857532088321 x	RT @GtownWOLane: Morning, Germantown and WOL. I'll be on @gtownradio with Ed Feldman starting at 9. Tune in; call in! 215-609-4301
336728172_382495792914644992 x	RT @zackseward: Story pages at http://t.co/VCYYsPHwWE just got a whole lot prettier. Fully responsive, too. http://t.co/qum9WRmjZ2
336728172_382237054555668480 x	forcesinmotion: http://t.co/qxuChZhOuq via @YouTube
336728172_382189291603886081 x	Puerto Rican Flag flying at Philadelphia City Hall http://t.co/rXoH6dweTe
336728172_381588186926825472 x	@byJenAMiller Silverball is a great place to visit.
336728172_381587759539826688 x	Pete Seeger at age 94 comes to Farm Aid 2013 sings "This Land is Your Land" with anti-fracking message.
336728172_381573278436843520 x	At the controls for Sirius-XM at Farm Aid 2013 http://t.co/HFpBVA6ttl
336728172_381530369687699456 x	@BrianPHickey @NBCPhiladelphia actually it's "Signed Epstein's Mother"
336728172_381533245453516800 x	@BrianPHickey @NBCPhiladelphia as Vinnie would say "What"
336728172_381530867593527297 x	or is that downwind?  All I can say is I smell something funny.
336728172_381530770772197378 x	Been at Farm Aid for more than five hours downwind of Willie's bus.....anyone have a brownie?
336728172_381473739591778304 x	Willie Nelson at Farm Aid  backstage http://t.co/0GYxrDGuhS
336728172_381184074867412992 x	In Saratoga Springs for Farm Aid 2013 http://t.co/vl4mKN8qV3
336728172_381122826981617664 x	First hand look at Go Ape course in Delaware: http://t.co/gTCKyWL9IG via @YouTube
336728172_380768079623774209 x	terror: http://t.co/5MBjAeKLmT via @YouTube
336728172_380388412697485313 x	Living wage supporters come to Philly city council for a hearing http://t.co/ep6oNHO6Nr
336728172_380027752537411584 x	Philadelphia Preparing for Puerto Rican Day Parade: http://t.co/bvC0WsbL9m via @YouTube
336728172_380013325330833408 x	Deputy Police Commissioner Kevin Bethel says  a fluid plan to help control crowds after Puerto Rican Day Parade http://t.co/aalGvn5WRP
336728172_380012706926833664 x	Dep Police Commissioner Kevin Bethel says more supervisors on the street to watch post parade activities http://t.co/Wio8M4eHju
336728172_380010992375046144 x	Ouncikwoman Maria Sanchez says we want to be proud happy and protecting safety of neighborhoods on Puerto Rican Day http://t.co/al0WscqjhQ
336728172_380010329603715072 x	Councilwoman Maria Q Sanchez says the parade will offer after events so things are done safety http://t.co/9cXGN5XAHY
336728172_380008403332255744 x	Dep Mayor Everitt Gillison and Councikwoman Maria Q Sanchez talk security for Puerto Rican parade http://t.co/k4pLg8rYUD
336728172_380007224111669248 x	Mayor Nutter urges energy audit discounted through PGW http://t.co/qcA7cgtjyh
336728172_379687646320414720 x	badlands: http://t.co/cZAWQ5T1qO via @YouTube
336728172_399851134711771136 x	At Delco Veterans Memorial for Veterans Day....lest we forget http://t.co/nfW3cKVMlZ
