596074570_377830769223548929 x	@The_Real_JSmit thanks man
596074570_385139587850309632 x	RT @datnigga_lehman: #LizardKingPottery
596074570_385073770224181248 x	@big_blythe @dano_connell @mellon_patrick I really don't care if u care if I like or not
596074570_377825431162200064 x	Studying for this test on my birthday is like trying to do homework drunk #real
596074570_385074159422033920 x	@dano_connell @big_blythe @mellon_patrick haha I think you are the first one to realize who #peternorth is
596074570_385074576457490432 x	@dano_connell @big_blythe @mellon_patrick good for us #umps two night run
596074570_383653215121969152 x	RT @JakeEvan39: Wish I had a ticket oak
596074570_383594286207729664 x	Shout out to @dano_connell Happy Birthday better be #litup ?
596074570_383607903737114624 x	@dano_connell sounds like a shitty time #nofun
596074570_383337782351241216 x	@OHerriBalls damn I feel like that was so long ago
596074570_383337691267747840 x	RT @OHerriBalls: @Pist2BePete corn on the cob results in corn on the #turd
596074570_382981373587247104 x	?Hey! Let's go! I don't care as long as you are there Hey! Let's go! Doesn't really matter when or where" #moe.
596074570_382517016369704961 x	Loving this fall weather in Morgantown
596074570_382334160071057408 x	RT @MichaelOlson165: poppy doe
596074570_381262621594619904 x	@BIG_CHODE #not hot
596074570_381263105852178432 x	@BIG_CHODE doubt it
596074570_381263569964523520 x	@BIG_CHODE damn that's rough now you know how #balga feels
596074570_381262466589925376 x	Billy Joel is the fucking man
596074570_381245035435802626 x	Five and below or what #balga @BIG_CHODE @MamasBuzzed
596074570_381249126044041216 x	@BIG_CHODE @MamasBuzzed damn must be the black eye
596074570_381247337303408640 x	@FuckinPocketBoy na man #watchout
596074570_381245815010119680 x	?Yea baby keep telling me how great I am"
596074570_381228530711134208 x	?Don't hang around cause twos a crowd On my cloud, baby"
596074570_381210602095800321 x	Dirty Tropical Sluts for the night #buzzed
596074570_381167070769336320 x	RT @Steeze_ON_deck: Best thrift store find of my life http://t.co/VKzqd36ufe
596074570_379292994471337984 x	RT @datnigga_lehman: Shitty when you have a dream about how nice a cig would be.
596074570_378753843682893824 x	@mattmajor10 naaaaa
596074570_378206873885106176 x	Happy birthday @ThatMeeshKray!
596074570_378206450801070080 x	@mattmajor10 oh no doubt #toasted
596074570_378184236211404801 x	@mattmajor10 you won't enjoy the fight
596074570_378165210365693952 x	@Zoe1o1Zoe too much
596074570_378168111167729664 x	@Zoe1o1Zoe nice Zoe real nice
596074570_377951943953756160 x	@HunnitDollaBILL outside in
596074570_377953017045471232 x	@HunnitDollaBILL I know haha
596074570_377951972365975552 x	RT @HunnitDollaBILL: Damn I wish I was at wvu still...
596074570_377920211053477888 x	@amahoneyy thanks anniee!!
596074570_377918467267379200 x	@mattmajor10 @Steeze_ON_deck only 1
596074570_377917324747345920 x	@mm_imMCLOVIN_it thanks
596074570_377915832795693057 x	@mattmajor10 @Steeze_ON_deck bitching #required
596074570_377904634863837186 x	@ThatMeeshKray thanks buttercup
596074570_377840307066650624 x	@AnthonyPecoraro @dana_lynch worth it
596074570_377839321161940993 x	Well thank god I missed my #888 tweet but either way we are #thegreatestdudes
596074570_377837668388077569 x	@dana_lynch @Slim8ty thanks my love
596074570_377831663134593024 x	RT @dano_connell: Happy Birthdy @Pist2BePete & @Steeze_ON_deck #2greatguys #overallwinners
596074570_377821577074982912 x	If any of you ladies still don't know what to get me #sendmenudes
596074570_377823343027978240 x	@Justintime4_808 thanks buddy hope to see u soon
596074570_377811159791181826 x	@shelbbelbb thanks Shelby!
596074570_377808074075308032 x	@Kellilongg @Steeze_ON_deck thanks Kelli
596074570_377806313646202882 x	@Steeze_ON_deck @amberrrmccarthy happy birthday too you to how
596074570_377789199958945792 x	@Aud_Money why thank you
596074570_377785572502548481 x	@MamasBuzzed thanks gay boy
596074570_377644439344533505 x	@BIG_CHODE naa
596074570_377643925244510208 x	@twittwatleanne thank ya
596074570_377493442987040769 x	@amberrrmccarthy @twittwatleanne everyone is #pissed that #lotus will be ripping up the factory come #newyears
596074570_377244757439037440 x	RT @fat_man_rocks: Roach paper art ? http://t.co/c1dOjX2v9e
596074570_377195083193667586 x	@Campaign_Jesup fucking pigs
596074570_377113068159139840 x	?Cause Pete is beautiful no matter what you say Cause words can't bring Pete down"
596074570_377075754196279296 x	@MichaelOlson165 wu-tang
596074570_376585580320411648 x	@mattmajor10 not pumped for the show and #umphs I'm Pittsburgh
596074570_376585059811463168 x	Lotus is rocking me to sleep #Colorado
596074570_376136831223738368 x	@TravisPoley nothing wrong with that
596074570_376124636481978368 x	?You're my blue sky, you're my sunny day.  Lord, you know it makes me high when you turn your love my way"
596074570_376041269208047616 x	?She's always a woman to Pete" #PeteyJoel
596074570_375664378928173056 x	@Wells_610 you need to stop bitching Jon
596074570_375367083204562944 x	RT @The_Real_JSmit: I love it when bitches lick lollipops and stare right at me ?  #quarterchubb
596074570_375338617893171200 x	@HunnitDollaBILL I've been slacking
596074570_375307258252779520 x	Billy Jean is not Pete's lover
596074570_374982041055809538 x	@datnigga_lehman gay profile pic
596074570_374949875554983937 x	@big_blythe got to give the people what they want #machinegunkitty
596074570_374016815703527425 x	@mattmajor10 terrible time
596074570_373474784799371266 x	It's a beautiful day in #Motown
596074570_373477164324515840 x	@Jared_Mertz oh but is!
596074570_373476181401956352 x	@ThatMeeshKray calm down #BigMeesh
596074570_373456403350175744 x	@BIG_CHODE #naaa
596074570_373441260196868096 x	Well this weekend has potential to be a shit show #gettinglitup
596074570_373442088756449281 x	@BIG_CHODE I do what I want I'm the fucking man
596074570_372808621496999936 x	@Slim8ty can't miss his 4 o'clock tee time for class #tigerwoodspgatour
596074570_372807860729958401 x	@PhantomRigatoni naaaaaa
596074570_372548016302854144 x	?Can you feel it Now that Spring has come That it's time to live in the scattered sun "
596074570_372546822591365120 x	@umphreysmcgee on Sunday #getpumped mm/
596074570_372456794783633408 x	@mellon_patrick oh I'll be #bitchin
596074570_372447124450836481 x	@datnigga_lehman @emiweener good luck finding it
596074570_372452776032227328 x	@emiweener I never found it!
596074570_372447391942582272 x	There won't be a kid watching anime on a portable DVD player in class
596074570_372398738565636096 x	@PhantomRigatoni partying peeps huh
596074570_371441372458283008 x	@mattmajor10 yea next Sunday #notpumped
596074570_371439871086178305 x	@mattmajor10 oh yea real good #imtoasted
596074570_371435855992197120 x	@mattmajor10 I'm getting lit up
596074570_371435609857875969 x	@mattmajor10 noooo
596074570_371059260093775872 x	@Jared_Mertz probably one of the best
596074570_370257724962902017 x	@BIG_CHODE mine as will start calling #bigpimpin
596074570_369824109082841088 x	@Jared_Mertz treating me well
596074570_369242871720706048 x	@datnigga_lehman very #small
596074570_367848196783239168 x	RT @Slim8ty: Morgantown has issued a flag flood warning that's how excited the ladies are for the arrival of @AnthonyPecoraro #pops
596074570_362628342656147456 x	Never thought I would come home to my dad watching Jerry Springer #jerry
596074570_362192339541831680 x	?Picture yourself in a boat on a river With tangerine trees and marmalade skies"
596074570_361973631896649728 x	So ready to go the fuck home #WVU
596074570_361954954413481984 x	@MamasBuzzed happy birthday brotha
596074570_360603822286053377 x	@umph_philly @mattmajor10 think that I'm kobe
596074570_360603706577797122 x	@mattmajor10 hell yea bitch
596074570_360065098993250304 x	@Zoe1o1Zoe sucks to suck #keepbitching #noonecares
596074570_359865417352753153 x	RT @Slim8ty: Ready to be back at school
596074570_359270674353127424 x	RT @fat_man_rocks: Maybe you collect  or maybe you pay Still got to work  that eight-hour day ???  #GratefulDead
596074570_357902458560856065 x	It is nice to sit in the air conditioning and watch #TheOpen
596074570_357458814301257730 x	Happy birthday you faggot @Slim8ty
596074570_356123669631729664 x	@beccalower_ oh yea
596074570_356072606165770242 x	@beccalower_ hell yea
596074570_354774050578501632 x	@jordannlewis93 probably the worst
596074570_353981901805064192 x	@Zoe1o1Zoe he is a wise man
596074570_353614936645181440 x	@aaamb3rr we know u weren't smoking the cigars but they are yours
596074570_353614290302939136 x	@aaamb3rr #nice
596074570_352470273221607427 x	@dano_connell on my grind
596074570_352469955943481344 x	@AnthonyPecoraro possibly homeboy depends on my dad
596074570_352467169742831616 x	RT @Jesupkulp: This world wouldn't be the same without Gatorade
596074570_352187283207753729 x	@TravisPoley enjoy it my man
596074570_351805486712111104 x	RT @PhantomRigatoni: I'd rather shit into my own mouth than go to that god awful looking "concert" known as XTU.
596074570_349258715842621443 x	RT @MamasBuzzed: Stefani is definitely the badder bitch but Fergie's a lil thicker
596074570_347031726553456641 x	@big_blythe @mattmajor10 complete devastation
596074570_346395365798449153 x	@Sam_Novitski probably didn't have that last year with a few headaches
596074570_346414674910273536 x	@Sam_Novitski I was sick too after senior week last year
596074570_346291038278778882 x	RT @BIG_CHODE: My dad taught me to say fuck the giants and never give up on your Philly sports teams. And money can buy eagles tickets whic?
596074570_345958552143286274 x	@Sam_Novitski you are bitching
596074570_345934086977761280 x	Anyone trying to golf today?
596074570_345217667227082753 x	@Monderewicz23 happy birthday bitch
596074570_345222380437782529 x	@Monderewicz23 when we partying
596074570_345226708686876673 x	@Monderewicz23 wish I could I got work tomorrow we need to find a party this weekend
596074570_345230075769286656 x	@Monderewicz23 we will figure something out
596074570_345174730782957568 x	@eshade_3 happy birthday
596074570_344143033702432768 x	@BIG_CHODE #imadick
596074570_343399885665615872 x	RT @Slim8ty: I hope the class of 2013's moms are all Milfs because if not this graduation is going to be boring
596074570_340493710863249409 x	@PhantomRigatoni you see and of the summer camp sets
596074570_340557226827726850 x	@PhantomRigatoni yea it was tight
596074570_335068543332782080 x	RT @BIG_CHODE: My answer to pretty much everything this summer http://t.co/tQ0l2RKjyT
596074570_334984711531282433 x	RT @GratefulQuotes: If mercy's in business, I wish it for you; More than just ashes when your dreams come true.  #GratefulDead
596074570_333284297609977856 x	@Zoe1o1Zoe when will you realize Robert Downey Jr is not the man for you
596074570_333971452560809984 x	@Zoe1o1Zoe why are you always so rude
596074570_333308352664842240 x	Finally home #thankgod I have to unpack
