811411056_395682470936727552 x	@ryanoginger @circasurvive no penguins....womp womp. Willie n Si gon be there tho!!
811411056_375052258557583361 x	@JasonDufner @JustinRose99 @WestwoodLee @IanJamesPoulter @RickieFowlerPGA @Keegan_Bradley think y'all can bug @TigerWoods to help me out?!?
811411056_375051726036144128 x	3. @TigerWoods @E_Wygant7 http://t.co/uQN9pCFElw
811411056_375051653097205760 x	2. @TigerWoods @E_Wygant7 http://t.co/QqF1D8vNi2
811411056_375051572403003392 x	1. @TigerWoods @E_Wygant7 http://t.co/gbOC0iUag4
811411056_374579437050032128 x	@JayPharoah new to me I'm still gon' hump ya leg ?? #iamaDOG PRICELESS!
811411056_373885629333258240 x	That was a TD for Willy and Marie last year...ok D #WVU
811411056_373884134625906689 x	Charles Sims...okkkkkk
811411056_373881194200702976 x	@Deej_Jacavone these FS1 cats really are an absolute fuckin shit sammich
811411056_373881952094650370 x	@Deej_Jacavone a niggarrrrgghhh!! #eyepatchsoldseperately
811411056_373880708437405697 x	That had pick6 written allllll over it!
811411056_372510098091823104 x	?@RestoredF: http://t.co/KjjcfxbxXP? absolutely amazing!!!
811411056_372015213853147136 x	@AnthonyGreen @circasurvive pool part house show when you guys get home?! Sounds tempting no???
811411056_372013496936169472 x	@AReelRocknRolla were gonna get @AnthonyGreen @circasurvive to do a pool show at Joe n Jeans just to get your ass home!!! #BESTnotWestCoast
811411056_371794644293521408 x	RT @RestoredF: http://t.co/g6M4J5gGZ5
811411056_371792088918024193 x	RT @followmarko: I mean, I hate Adam Scott.
811411056_370707637190799360 x	RT @jerrycferrara: To end #tbt great run Allen http://t.co/vDE7nhMGVF
811411056_370379551710658560 x	#ForBoston...25 songs later #skinhead then #BoysDocks w/ 60 heads on stage and the Philly Phanatic!! #Mann thanks @DropkickMurphys!!!!
811411056_369461374021156864 x	@AReelRocknRolla def need to check out #17Crimes new @AFI track!! Shit is amazing sir
811411056_368756855108952064 x	?@JonandSeanShow: What do you think Charlie had in that Wawa bag?? His dignity, pride, and a Hoagiefest Classic!!!
811411056_368497134745554944 x	Favorite time of year for craft!! @Weyerbacher Imperial Pumpkin #welcomeback http://t.co/ex4zzefOJc
811411056_368110174902685696 x	@AReelRocknRolla @dustinkensrue golden fuckin pipes on this man!!! http://t.co/yRp3b05WrH
811411056_367816948756652032 x	?@JasonDufner: The 2 newest additions to the Dufner household. I am a lucky man! http://t.co/qbK0cRsfgJ? cup fit for a Prince!!!
811411056_367742661827891201 x	@JoeyBottless @E_Wygant7 Automatically Systematic!! #thatstheholyspirit #idontspitIT
811411056_367675394343698433 x	@mor100 1. Go to Youtube. 2. Find a video. 3. Pause it. 4. Type 1980. 5. Press play. 6. Enjoy
811411056_367673106493472769 x	RT @RafaelQuesada: Trick of the day: 1. Go to Youtube  2. Find a #video  3. Pause it 4. Type 1980 5. Press play 6. You're welcome ;)
811411056_367043865905483776 x	@Graeme_McDowell you were hidin behind the jukebox #nigelgruff #cliffordfranklin
811411056_366891701186478080 x	@WestwoodLee dunno who pissed in your cereal sir but that was f'n EPIC! Let em have it!! #paybacksabitch
811411056_366694371497746433 x	Congrats @JasonDufner on your first major!! Fantastic lil butt grab! #classystuff #PGAChamp
811411056_366191542039347201 x	RT @IJPDesignUSA: RT and FOLLOW for a chance to win an autographed @PGAChampionship flag by @IanJamesPoulter #PGAChamp http://t.co/lCFdLo6f?
811411056_365986037887008768 x	@jerrycferrara ready for that dude Genoooooo to step in yet?? #Sanchize
811411056_365942073335099392 x	@Keegan_Bradley does your boy @JasonDufner everrrrr smile?? #whySOserious?! #PGAChamp
811411056_365865292586422272 x	@overdressd2kill think you'd get @BIrvin_WVU11 in that shark cage with ya?!
811411056_365864810937716737 x	RT @stoolpresidente: Just a casual boob grab at the PGA http://t.co/uWC3uqIVt5
811411056_365446616095793153 x	@AReelRocknRolla wasted with rhythm, angry at the melody; how did you stay so sweet? #blueskynoise #runhomejack
811411056_364880886468050944 x	RT @anthonyjeselnik: JonBenet Ramsey would have turned 23 years old today, if she hadn't been so pretty.
811411056_364437610740981761 x	RT @JaseDuckman: Si would never make it in Canada, eh? Nah, hey! Eh? Hey! Eh? It's HEY Jack!! #LanguageBarrier
811411056_364390766908420096 x	Where have you gone, Joe DiMaggio? Our nation turns its lonely eyes to you... #classic
811411056_364175771666874369 x	@Deej_Jacavone you shut the front door! Shark week is just tremendous _/__o/__
811411056_364173773643063297 x	@Graeme_McDowell look buddy blame me. you heard him...those were his last words. #notifyacountthegurglingsound
811411056_364173479706656768 x	RT @Graeme_McDowell: Love this movie!! #pillsaregood #legendary http://t.co/miCkRofXbk
811411056_364143265396051968 x	RT @EASPORTSGOLF: Retweet to congratulate @TigerWoods on his 8th win at @WGC_Bridgestone & 79th @PGATOUR victory! http://t.co/QpY0A8kQiD
811411056_363793216434221057 x	@jfriedland19 bet it makes you feel HUGE!! Oh wait...you meant your face huh? #chinscars #dickNfartjokes
811411056_363677843512754176 x	RT @circasurvive: @briandawkins heard your interview about Riley. I can see why all the men in the locker room always followed you as a lea?
811411056_361532837612109825 x	I feel like muh fuckin Cassius Clay right now!
811411056_361335649279815680 x	@E_Wygant7 @ChrisDran did this girl @Nmanatty really just order 3 slices of Mikes pizza...wow #glutton
811411056_361280700445499393 x	RT @phillyguy73: BREAKING:  Miguel Alfredo Gonzalez watches 1st inning, tries to defect back into Cuba. #PhilliesTalk
811411056_361278317262934016 x	@E_Wygant7 @jfriedland19 you heard him Wykowski...into the water
811411056_361255335903764480 x	?@AnthonyGreen: Headed to good ol doylestown soon. The beach was great but it's time...I need help.? Help with??
811411056_360779452168421377 x	RT @lIIusions: Mind Blowing illusion - Look at the center point and watch till the pink dots completely disappear! http://t.co/eO8cADXTsz
811411056_360160031267749888 x	Everybody needs a bosom for a pillow, everybody needs a bosom. Mines on the 45! #brimfulOFashaONthe45 #wow #throwback
811411056_359436847409545216 x	Shit I fuckin love days when you feel like you just bent work the f over and railed her! Cornhole game 1 @Nmanatty @ChrisDran #wrongholefool
811411056_359034000620675072 x	RT @Deadspin: WVU player commits robbery in team-issued sweatpants, gets arrested: http://t.co/cWNyNxZVLd
811411056_357315439044464641 x	Ain't nothin stronger in the world than a best man...until you get best men @E_Wygant7 @ChrisDran 7-19-14
811411056_357289401207894019 x	Cornbread! Ain't nothin wrong with that! @Deej_Jacavone can I get a RT?!? Lmao #deej #vitalinformation4youreverydaylife
811411056_356418720756801538 x	RT @kirkmeehan1: Right or wrong, this decision shows that racism, a door that swings many ways, is still rampant in America. We have a lot ?
811411056_356399656277778434 x	?@Lunatic43: @ArtieQuitter Go stab yourself. You are not funny? he most certainly is guy!
811411056_356399517047865346 x	RT @ArtieQuitter: Can someone please get ARod a hundred new hooded Sweatshirts and membership to a gym in Sanford, Florida?!?
811411056_356399307248766978 x	RT @ArtieQuitter: For ppl wondering what it would look like if Michael J. Fox gave Justin Beiber a shave. Look no further! http://t.co/U23a?
811411056_356231924903186432 x	#NotGuilty discussion...ready, set, GO
811411056_354572200688373760 x	Simply stunning...fried chicken anyone? http://t.co/ruaF9kRcxA
811411056_354386902385836032 x	@bubbawatson ever think of switching from the visor to a regular fitted??
811411056_354034114103476226 x	@Nmanatty 7-19-14 ????
811411056_352813588890656769 x	RT @AmazingUniforms: RT for Hernandezing  Fav for Tebowing http://t.co/3TCfioXblB
811411056_352811894647685121 x	RT @MensHumor: You call it road rage... http://t.co/sJFNWsAzOn
811411056_352031352075468801 x	Exhaustipated...when you're just too tired to give a shit
811411056_348801592587337728 x	@AReelRocknRolla MEIN FUHRER! I CAN WALK!!!! #arnieschwartz #strangelove
811411056_348799746183413760 x	RT @KevinHart4real: Where r his god damn friends.... #HeHadHisRoomKeyInHisHand #IshouldOfWokeHimUp? http://t.co/IYgXh6AcqG
811411056_348666234801373184 x	Engaged!! Thanks to grills tiki bar in port canaveral for giving me the perfect spot and let's just say a great story!!!
811411056_348654409988849664 x	@Deej_Jacavone @JohnMeethLoaf @JoeyBottless @theOOTer hope you fucks are ready! She said yes!!!!!' #engaged #motownreunion
811411056_346775583486771203 x	?@ArtieQuitter: http://t.co/NjHFU1RQEt? is that Ed's Bar & Swill?!? Hey did Dirt just say he used to fuck guys?
811411056_346418360143212544 x	Congrats to @JustinRose99 on becoming the first Englishman to win a major! #usopen #classiestdudearound
811411056_346416430675267584 x	RT @McIlroyRory: So happy for @JustinRose99! Couldn't happen to a better lad!
811411056_345886987221344256 x	Only 2 kids under par in this 113th edition is bananas! #USOpen #MerionBitesBack
811411056_345511098021195776 x	RT @PUSHA_T: STOP FUCKING AROUND!!!!!!! They said be all u can be!!!!!!!!
811411056_345308555064258560 x	RT @AmazingUniforms: RT if you like these three West Virginia jerseys #UniformPorn http://t.co/bCwMG84p1u
811411056_345184196869910529 x	?@IanJamesPoulter: Me & my mate Tiger chilling in the house whilst this storms comes thru. http://t.co/MiWvOWsgkV? think that's a leopard...
811411056_344988312072765440 x	?@WestwoodLee: That's more like it Chicago!? What a fuckin bomb that was! @Keegan_Bradley doing ok fella?? #playoffs?!
811411056_344618731470721024 x	?@CoachHuggs: My buddies 98 degrees performing at Consol in Pittsburgh tonight.  @NickSLachey http://t.co/yOOnyrRKEC? wait...what???
811411056_344420184074891264 x	@PrestonSteve933 @kathyromanowmmr I went to college with a girl who had a monthly appointment with her mom for anal bleaching #truestory
811411056_343783256828833792 x	?@BIrvin_WVU11: Watching this episode of snapped and it's taking place in Morgantown west v! CRAZY!? She worked at Ruby Memorial right??
811411056_343519420624273409 x	OHHHHH WHEN YA BEAT THE GEORGIA BULLDAWGSSSSS http://t.co/cOuLRwK9VW
811411056_343516435122884609 x	?@JohnMeethLoaf: Well it's 420 and I still have no idea what I did last night #fuckit? 420th time he's said this #giveORtake  #fuckit
811411056_343043335612669954 x	RT @mean_crow: "Someone's been sleeping in my bed!" said mommy bear. "Who hasn't" muttered daddy bear. "What?! You wanna do this now, in fr?
811411056_342455977762762752 x	Fully geekin to Doug Funnie and Skeeter Valentine right now. Yep Patty Mayo here too. @Deej_Jacavone @theOOTer know what I'm talkin bout
811411056_342438409215823872 x	@Deej_Jacavone I'm sorry boys...but could you help me with my pads please? BOSS SON. Long live the CAT http://t.co/rF0wlMXm7S
811411056_342437997960101888 x	?@Deej_Jacavone: Penguins have a way better shot with Julie "the cat" Gaffney in goal? you realize she was a fuckin boss right?!
811411056_341725332535115776 x	@cobragolf I #ENJOYgolf cuz I can play with the old lady or the boys #fanappreciation
811411056_341724433699979264 x	?@E_Wygant7: ?@cobragolf: We found this #tourtrusty in the office. #fanappreciation http://t.co/WLiJrYVbGX?@jm_durante  sick? gimme that!!!
811411056_341707096879947777 x	Well..in the words of porky pig. P-p-p-pa-p-p-pissoff Lou!
811411056_341229429160292352 x	?@Deej_Jacavone: Soooo anyone got a pool they will let me come chill at since my dad hasnt opened mine? yep better start drivin tho!!
811411056_341236774946877440 x	@Deej_Jacavone beers already on ice for ya.
811411056_340918594458222592 x	Never got this hot in Brooklyn! This is like Africa hot! Tarzan couldn't take this kinda hot!!
811411056_340886284149084161 x	?@SprtsHumor: Loser hits the showers http://t.co/xpVgfyZoHk? wow simply stunning
811411056_340841582712455168 x	@E_Wygant7 I taughtcha how to skate! I taughtcha how to score! I TAUGHTCHA HOW TO GO FOR THE W! http://t.co/yqESyeuHuJ
811411056_340839401775067136 x	@E_Wygant7 super fired up about The Mighty Ducks!! Fuckin priceless #district5 #hawks #what'dyouDO #MYJOB http://t.co/SsoPOfk8f7
811411056_340607856896253953 x	RT @BubbleButNation: Retweet or you're gay ???? http://t.co/JkIga1jDD2
811411056_339552756975140864 x	?@pattonoswalt: Hmmmmm... http://t.co/oSLgBk8je8? wow...Spence spent too long in that subway booth!!!
811411056_339157387443318784 x	RT @BestOfNike: Retweet if you are wearing Nike today.. #NikePorn
811411056_339157035813834752 x	RT @BestOfNike: If I get to 70k followers by the end of tonight, I will give away these!! RT and FOLLOW to enter. #NikePorn http://t.co/729?
811411056_339083441905737728 x	RT @BestOfNike: They die for us so that we can live a free life. Endless RT's. #HappyMemorialDay http://t.co/MuXuC5VREl
811411056_339069484209934337 x	RT @Bitch_L0ve: ??     ?? ??????   ???? ??     ?? ??           ??    ?? ??     ?? ?????? ?????? ??     ??          ?? ??     ?? ?????? ?????
811411056_338117950538141697 x	?@frankp122: @espn @penguins is that Fleury?? Sure isn't but does look eerily like Craig Anderson no!?
811411056_338116682675523585 x	RT @AmazingUniforms: Giving away these socks if I get to 5k followers tonight. Rt and follow for a chance to win http://t.co/vh4R7xnT7n
811411056_338102735809421312 x	RT @BestOfNike: RT and FOLLOW for a chance to win these NIike Elite socks in a future giveaway!! #NikePorn http://t.co/OJQ3XMh2aJ
811411056_337895621090488321 x	@Alkaline_Trio no Chainsaw AND Dans bass cuts out first song...FUCK IT "it's ALL GOOD!" Classic!!! Thanks guys!!!
811411056_337777602376896513 x	I wanna be a Warhol hangin on your wall
811411056_337543770943918080 x	Half day at work then @Alkaline_Trio tonight! Couldn't ask for a better Thursday right now. Mr Chainsaw! Please n thanks!!!
811411056_337532451784101888 x	@PrestonSteve933 @prestonelliot oh what's that espn sporty haircut place called?!? SportClips!!!!
811411056_337350246608809984 x	@Alkaline_Trio tomorrow's the day gentleman. Mr. Chainsaw in Philly at the electric factory! Please and thanks of course
811411056_337005277327028224 x	John Torterella is gonna have a gd bitch fit...can't wait!!! #THISguy  @Deej_Jacavone your expert opinion please
811411056_337002485493407744 x	@Alkaline_Trio two more days til Mr. Chainsaw in Philly...you gents know you wana change it up for us! Still scarred from my first trio show
811411056_336668716907511810 x	@TheNHLHumor can't even deny it http://t.co/1vkqsEDa5j
811411056_336667042524581888 x	@TheNHLHumor anyone chirping at Chicago's need only say one thing. "Ok wonder years" #bensavagestandin
811411056_336657053743460352 x	@Deej_Jacavone @theOOTer this one obviously. His fave... http://t.co/yPUrHwNcba
811411056_336655618079326211 x	RT @TheNHLHumor: Found a picture of Pierre McGuire: http://t.co/Jwthr8D2Q6
811411056_336654473567027202 x	?@stoolpresidente: Bruins vs. Wings for the Cup.  Book it.? Ill take action on that...you name it
811411056_336168439523725312 x	@Alkaline_Trio friendly reminder...Mr. Chainsaw next Thursday in Philly!! Please and thanks!
811411056_336156971025698816 x	@Deej_Jacavone @theOOTer if you were a little rascal...which one would you be??
811411056_336157529673457664 x	?@Deej_Jacavone: @theOOTer @jm_durante Froggy alllll day? #Iwhippedoutmylizard
811411056_336154560089436160 x	?@theOOTer: I KEEP IT 300 LIKE THE ROMANS.? Pretty sure that was the Spartans guy...
811411056_336156374859935745 x	@theOOTer lmfaooooo that history minor from DubV got the kid all gassed up! #SocialStudies #luhdathistoryshit
811411056_336155890715602945 x	RT @theOOTer: @jm_durante just some lyrics guy. Go back to sleep you historian. Doctor Durante to the main office. #SocialStudies
