494191692_371803912883699712 x	Can you beat me in @WordsWFriends? Prove it. Username: 'GVPSU'. #LetsPlay http://t.co/IJ7AL0hux0
494191692_260830167570726913 x	RT @philaphillies: RT to wish Hall of Famer #JimBunning a happy birthday! http://t.co/efy2SD7R
494191692_260830157001068544 x	@philaphillies
494191692_260217636464513024 x	RT @taradublinrocks: I'm speaking to a college class tmw about social media & the power of Twitter. Please RT so I can see how far t ...
494191692_256693318388428800 x	RT @BarackObama: RT if you?re on #TeamJoe: http://t.co/RxiQS5ns
494191692_256693008567791616 x	RT @BarackObama: RT if you're siding with the middle class?and #TeamJoe?after tonight's debate: http://t.co/47302Add
494191692_256692333230313472 x	RT @JoeBiden: RT if you?re on #TeamObamaBiden tonight: http://t.co/eQGDEu5d
494191692_256508107776200705 x	RT @BarackObama: If you're on #TeamObamaBiden, RT so your friends know the best place to watch tonight?s debate: http://t.co/GUdv9za0, h ...
494191692_255433188455874561 x	RT @PSUmomortega: @AdamBreneman87 can we please get this trending? RT Bill O'Brien for B1G Ten coach of the year! He has held this team  ...
494191692_255097897186627584 x	@FlyersNation if its true ive lost redpect fir him
494191692_255000487831666690 x	@MyPhilaEagles its time, bench him.
494191692_255000378591019008 x	RT @MyPhilaEagles: This fucking guy!!!!!
494191692_255000369774608385 x	@MyPhilaEagles
494191692_251266756981690368 x	RT @PhanPhorum: @rheahughes we are starting a new fan page where fans can come to talk to each other. Can we get a RT? #PhillySports
494191692_247177729483620352 x	@BroadStBull screw bettman i hope the fans don't go back to prove him wrong !!
494191692_247174488486199296 x	@uscfootball silas @ lane get what they deserve !!!!'nm
494191692_246050080975622144 x	@jodymacman jody mac doe a favor now need a Pirates loss
494191692_242837754315169792 x	@NHLPA @jannemakkonen1 to hell with bettman
494191692_236647132659064833 x	@philly_sports_ I still don't get what they see in Brown I never did
494191692_236636212415299584 x	@philly_sports_ brown is soooo bad
494191692_230436302024241152 x	@FlyersNation no way should flyers trade briere
494191692_228654668685901824 x	How would you feel if Silas Redd were to transfer to USC? He would be a traitor in my eyes  http://t.co/5HXpnPov
494191692_227208987957944321 x	@GarrettSickels I agree class action suit against NCAA??????
494191692_227206270506131457 x	@stephenasmith what happened has nothing up do with the playersNO NEED for death penalty
494191692_194899796169998336 x	http://t.co/CipFFJVx
494191692_176769636489113601 x	Hi kate
494191692_176769540426960896 x	@kvalansky hi honey
494191692_170220457176469505 x	@CValansky45 how do i find out kate's twitter name to send her a surprise tweet
494191692_170216873403756545 x	@CValansky45 thanks
494191692_170216554183663616 x	@CValansky45 because every body tweets nowa. Days
494191692_170185429683933184 x	@CValansky45 how does tweeting work
494191692_170215257837539330 x	@valansky @CValansky45 Oh about an hour or so ago....how u like me now !!!!! i'm movin' on up
