1613543155_400016571965669376 x	RT @Quilladelphia_: Muslim Girls?
1613543155_399767966285197312 x	RT @LovelyEshh: "@LiveSagittarius: You give kindness and respect to a #Sagittarius, they will return it."
1613543155_399767820625399808 x	RT @iBlockLilDicks: Love don't pay the bills
1613543155_399766881034186752 x	RT @__jarae: 12 : 11
1613543155_399766634400718848 x	RT @_KissmyAssshhhh: 12:11 @_yurstruli
1613543155_399766362295255040 x	12:11 for meeeeeee!
1613543155_399766081687928832 x	Smh nothing but a waste of time ..
1613543155_399765866574663680 x	RT @6775Curry: These 2 mufuckers always playing somebody mama on a movie ? http://t.co/fQvdc8CSUN
1613543155_399765298405838849 x	He called me on some bs ..
1613543155_399763470293282816 x	RT @_TheAnswer__: I need to get away from everything
1613543155_399763414228037632 x	RT @FunnyPicsDepot: Black people be like... http://t.co/9phc1KtpYe
1613543155_399763007544127488 x	RT @GhettoChiIdren: teacher: do you understand now?   me: yeah, totally   teacher: walks away    me: the fuck did she just say
1613543155_399762968956514304 x	RT @KingPeedie: So They Talking About Snow WTF I Gotta Get Some Boots ASAP
1613543155_399762871304740864 x	Lol I'm proud of myself
1613543155_399761683649802240 x	Bout to find something to eat
1613543155_399760206491435008 x	RT @_TheAnswer__: I hate girls that always loud?? stfu??
1613543155_399759705997713408 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed #?
1613543155_399759375922769921 x	RT @Liil_Krazii: No boyfriend November ?
1613543155_399758801055666176 x	Rhonda not doing her job !
1613543155_399757895908073472 x	I'm hungry & tired
1613543155_399757566093193216 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed #?
1613543155_399757337503621120 x	I just got real sleepy out of nowhere
1613543155_399756808849338368 x	RT @itsTylerStarr: #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST #TeamFollowBack #Follow2BeFollowed #T?
1613543155_399756414161137664 x	RT @kieeeee__: I need to get over it! but I can't
1613543155_399754395648147457 x	RT @613Greatest: I hate when people say "text me" when they have your number, you text me
1613543155_399754285744799745 x	RT @SpongeBob_IsGay: All these trues and you still a liar ? http://t.co/fzge8elDa9
1613543155_399753278625312768 x	RT @Cum_n_mybooty: #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST! #TeamFollowBack #Follow2BeFollowed #?
1613543155_399751515541237761 x	"@kieeeee__: he ain't never gonna find another girl like me ?????"
1613543155_399751410440364033 x	RT @kieeeee__: ?@_yurstruli: I miss you, but whatever.? ?
1613543155_399751290718142464 x	RT @HeCriesJayy_: they got a muslim thot page ?????????? ayo?
1613543155_399750387118256128 x	RT @ayoo__niyaa: "@real_suavetana: Yes I'm thinking about you right now?  ?.but are you doing the same"
1613543155_399750248018358273 x	I miss you, but whatever.
1613543155_399750154594430976 x	RT @Thurltmac_: Niggas Favorite Line When They Lying "What I Gotta Lie For ?"
1613543155_399750060834975745 x	RT @real_suavetana: I honestly enjoy time to myself way more than I probably should.
1613543155_399747474572591104 x	RT @Tiana_Linette: Dry ass phone?
1613543155_399747387154890752 x	RT @lilshoobie_: I really don't know about these niggas yo ?
1613543155_399747367026450433 x	RT @HeCriesJayy_: I need to wake up to this ?? SESLY http://t.co/jz3nxPGQr5
1613543155_399747250521260032 x	I want some candy
1613543155_399746792897511425 x	RT @a_dom_adozen: i go to the grave before i be a bitch nigga??
1613543155_399745706690224128 x	RT @Forever__300: EVERYBODY thots now?
1613543155_399745514641448960 x	RT @hoodrich_215: Would You Slapp Ya Teacher For $7,000,000 ??  Retweet = Yes Favorite = No
1613543155_399744420129406976 x	RT @Pip_BigBro: ? stay low key ??
1613543155_399743957816451074 x	RT @tbhletscuddle: #IfWeDate http://t.co/KcQpU4wlbk
1613543155_399743802060980224 x	RT @ToryyyTorri: Y'all girls taking this thot shit to heart???
1613543155_399743440759431168 x	RT @Lito_Holmes: Seeing the person you have feelings for flirt with somebody else <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<?
1613543155_399743274917044224 x	"@__lilk: ? she's a keeper ?? too bad you didn't keep her"
1613543155_399743122306899971 x	"@HeCriesJayy_: When your  chasing someone they always chasing another person ?.."
1613543155_399740934394376193 x	RT @Lito_Holmes: Killing Yourself Trying to Find a Man Who will Kill For You.... when you overlooking Your knight n protector every day
1613543155_399740608190767105 x	RT @GenuineGent_x: ? http://t.co/B46qVf7RWP
1613543155_399740263213461504 x	RT @Ayeezy__: I don't have niggas! Of course niggas hmu or favor my pictures but that's what niggas do. These ain't my niggas..?
1613543155_399740038818193408 x	10:27
1613543155_399739750241665024 x	RT @_TayMichelle: being a different race doesn't automatically mean ur foreign?
1613543155_399739337346002944 x	RT @AsshIeeeyy_: When you got a hickie you be like http://t.co/oHQUgnC2ZJ
1613543155_399739120315944960 x	Me & 2omf have the same birthday ...we poppin lol
1613543155_399738854728400896 x	RT @HeCriesJayy_: All day my phone been ass nobody text me ! ??????
1613543155_399738517963542528 x	RT @DamnSoTrue: Not all people in your life are meant to stay.
1613543155_399738250090119168 x	RT @hadiyahh__: my feelings for him are so up and down ???????
1613543155_399737778780393472 x	RT @_TayMichelle: ur not foreign if u were born in america like tf .. lol
1613543155_399737666247208962 x	RT @_vonn05: 12/11 #Sagittarius Best believe imma turn up ??????????????????????????????? http://t.co/c3AXAxaOfq
1613543155_399737624983646209 x	"@_vonn05: 12/11#Sagittarius Best believe ima turn up ??????????????????????????????? http://t.co/iCbkehQrG2"
1613543155_399737345995309056 x	RT @_____Chink: I'm CDFUUUU ??? http://t.co/LD1irpVpiN
1613543155_399737227405561859 x	RT @NICKITWIN: BUT WHY ???? http://t.co/Sy5VESjmDY
1613543155_399736906411294722 x	Smh she's clearly fraudin for twitter ...but that's cool to.
1613543155_399736210702073856 x	RT @_KissmyAssshhhh: @_yurstruli ?? lying
1613543155_399735539177238529 x	RT @CauseWeAreGirIs: I'm good at pretending I'm ok
1613543155_399734982945427456 x	Ashley just sent me 500 ...she's clearly feeling the kid lol
1613543155_399734617466753024 x	RT @Born_Underrated: Everybody got that "I'm not texting you first" mentality, that's why mfs phones be dry.
1613543155_399734427657306112 x	RT @almightylil: @_yurstruli sayless ?? lol
1613543155_399731652185714689 x	@almightylil that was funny?
1613543155_399733210457722880 x	@almightylil http://t.co/kKi6Oqx5P2
1613543155_399732239132409856 x	RT @almightylil: @_yurstruli u already fuccin snow!
1613543155_399732034706219008 x	RT @__ajeeeee: . Had to cut him off ? he a Lil pussy boy
1613543155_399730929960095745 x	RT @almightylil: @_yurstruli http://t.co/BKgv00KBTH
1613543155_399730704088457216 x	RT @LoveWomenRight: Mixed Signals <<<<<<<<<<<<<<<<<<< Keep That Shit Away From Me ?
1613543155_399730641861754880 x	RT @She_Winning: ` if You a Nigga Better act Like You Gotta Dick Cause ill treat You Like You PUSSY !
1613543155_399730283794022400 x	RT @lilshoobie_: ?????? yes slay spider man http://t.co/fopLRv6Qk9
1613543155_399730119054348288 x	RT @Islamhelps: I'm a Muslim, Islam is perfect but I am not. If I make a mistake, blame it on me, not on my religion.  Thank you.
1613543155_399729980114210816 x	RT @_nyeerah: I miss cuffing ???
1613543155_399729743114665984 x	"@almightylil: J/s... Sagittarius the shyt, fucc the rest " yasssssssss!
1613543155_399729429716279297 x	Did it again ...who gon check me? Lol
1613543155_399729340016914435 x	RT @marleighhrosee: ?@ZodiacAreUs: #Sagittarius often have hard time putting their feelings into words?
1613543155_399729086932582400 x	RT @almightylil: "@_yurstruli: @almightylil ctfu oop! .." ctfu outta love tho
1613543155_399728610602262528 x	Is he mad because he's not a Sagittarius orrrrrrrr ?
1613543155_399728348672176128 x	RT @almightylil: All oomf do is just retweet shyt about Sagittarius lol
1613543155_399728128831934464 x	RT @_muslimthug: Just cause somebody pretty , you can't call them a thot automatically!!
1613543155_399728010040860672 x	RT @JKillemmm_: Let's see ... http://t.co/Pfu6xGYnPy
1613543155_399725995722162176 x	RT @LiveSagittarius: #Sagittarius are the type to give a dollar away to the homeless person.
1613543155_399725877346328576 x	RT @CeddieScottie: - I don't allow anyone to touch my face...
1613543155_399722332182171648 x	My mom always throwing something !
1613543155_399722221372841984 x	RT @Islamhelps: They say Islam is terrorism, when the first thing we say when we meet each other is 'Assalamu Alaikum' (Peace be upon you).?
1613543155_399720927610830848 x	RT @215_Dell: If You Cuffed , And Feel Single?.... You Not Cuffed !??
1613543155_399719827536752640 x	RT @mixedbreed__7: I don't want nothing that belongs to someone else??
1613543155_399719571684220928 x	"@2sMo0vE: People always be like "you late" at least I took time to text yo ass back??"
1613543155_399718945415901184 x	I wanna paint my room
1613543155_399718856580554752 x	RT @__Sagittarius__: Need some advice? Ask a #Sagittarius.
1613543155_399718806156627970 x	RT @ZodiacFacts: A #Sagittarius would rather be alone than to be with someone that's not gonna appreciate them.
1613543155_399715980177190912 x	RT @LiveSagittarius: #Sagittarius will hardly be in a bad mood, but if they are in a bad mood, you better leave their sight!
1613543155_399714946214154240 x	RT @CrazyKenBarb: Oh No ?? RT @ImTheHypeMan: @IGGYAZALEA ??? http://t.co/rH4xWHTAs5
1613543155_399714311112634370 x	"@MKW___: Sagittarius Gang ???"
1613543155_399714026134847488 x	RT @_IvyNicole_: Tall boys are 100x more attractive???
1613543155_399713893657763840 x	RT @_011998: This thot thing was a good 2 hour run
1613543155_399708595220389888 x	RT @mccvrly_: she probably curved every darkskin nigga in her 3rd grade class ??? http://t.co/Abimxfyor2
1613543155_399707688437047296 x	RT @___Keyonnaaa: Glad I don't have NO worries about that "THOT" shit ?
1613543155_399707241240334336 x	RT @MyNameIsDari: Some of y'all are clearly confused on what a hoe is.
1613543155_399706852642283520 x	@_vonn05 fb
1613543155_399706139027595264 x	RT @YouBaddMf: " Talking " Means Y'all Basically Are Together Without The Title.
1613543155_399705971070877696 x	8:11
1613543155_399705190720614400 x	RT @LiveSagittarius: Always prepare yourself for a major "war" if you disrespect or cross the line with #Sagittarius.
1613543155_399704972352569344 x	8:07
1613543155_399704790244286464 x	RT @Sapphireeeee__: ' Who Not On A Thot Pagee ? #RT
1613543155_399704113426223104 x	RT @Araya_Hope____: Report Card Day = National Ass Whooping Day!
1613543155_399703991472623616 x	RT @Shayla_December: Why they put Kelsey on there
1613543155_399702225117020160 x	RT @praisemaj: Freire going to do a whole investigation to figure out who made that shit ?
1613543155_399702192036515840 x	RT @__princessbri: ?@_TheAnswer__: I'm only 15 stressin like a nigga with kids?
1613543155_399701487347314689 x	RT @____THEPRINCE: Single as fuck
1613543155_399701180034863104 x	Ctfu Kiyah dumb
1613543155_399699656311316480 x	Ctfu it's funny cus one of them really is a "thot"
