1554824522_395367427061874688 x	RT @__Athletes: Retweet if you're excited for the NBA Season!! ?
1554824522_389522655294259200 x	RT @Ravens: John Harbaugh explains 4th-down and passing coaching decisions in #Ravens loss | http://t.co/CunswmW2Xd
1554824522_389522620691255296 x	RT @PatriotsLife: Talib struggled with a hip injury at the end of last season. Same story here. #PatriotsTalk
1554824522_389522413027082240 x	RT @shawnemerriman: 2 hand touch #NFL
1554824522_389522252204867585 x	RT @Bigrank38: That was ALL SHOULDER!  #SaintsVsPats #BSCall
1554824522_389471158326026240 x	Cant wait to lace up these #Cams Wednesday http://t.co/6F6JERWS5Q
1554824522_389249246379397120 x	RT @MLBMeme: NO NO NO!!!!!
1554824522_389249222748667904 x	RT @BaseballQuotes1: Daniel Nava singles, and breaks up the Tigers combined no hitter.
1554824522_389249190242832384 x	RT @ABallPlayerLife: Me watching Postseason baseball http://t.co/6MYVitFmbw
1554824522_389238674464182272 x	RT @WorkIsntEasy: WHEN YOU WANT TO SUCCEED AS BAD AS YOU WANT TO BREATHE, THEN YOU'LL BE SUCCESSFUL.
1554824522_389238635482324993 x	RT @WorkIsntEasy: The road to success isn't straight. It's long, it's hard, it's complicated, but IT'S WORTH IT.
1554824522_389238587403030528 x	RT @WorkIsntEasy: Small town kid. BIG TIME DREAMS.
1554824522_389238399749873664 x	RT @WorkIsntEasy: Don't settle for average. Because average is just as close to the bottom, as it is to the top.
1554824522_389238358561796096 x	RT @WorkIsntEasy: Train like an underdog. Play like a champion.
1554824522_389238327217754112 x	RT @WorkIsntEasy: Play your heart out for what your jersey says on the front, and everyone will remember what it said on the back.
1554824522_389238285824196608 x	RT @WorkIsntEasy: Stay strong. Make them wonder how you're still smiling.
1554824522_389238253402206209 x	RT @WorkIsntEasy: When you're down to nothing, God is up to something.
1554824522_389238210418974720 x	RT @WorkIsntEasy: Tell me I'm not fast enough. Tell me I'm not strong enough. Tell me I'm not tall enough.  You're the motivation I need in?
1554824522_389238176864550912 x	RT @WorkIsntEasy: Dream the dream. Chase the dream. Catch the dream.
1554824522_389238151522557952 x	RT @WorkIsntEasy: One day I just want to say, "I made it."
1554824522_389237948455342080 x	RT @WorkIsntEasy: #Truth http://t.co/IAj9kzwidF
1554824522_389237883892400128 x	RT @WorkIsntEasy: Be the guy you want your son to be.
1554824522_389237852791664640 x	RT @WorkIsntEasy: If it doesn't challenge you, it won't change you.
1554824522_389237821883830272 x	RT @WorkIsntEasy: You never know how strong you are until being strong is the only choice you have.
1554824522_389237625082871809 x	RT @WorkIsntEasy: Work hard, stay positive, and surround yourself with good people.
1554824522_389237601036935168 x	RT @WorkIsntEasy: Dreams don't work unless you do.
1554824522_389237580551974912 x	RT @WorkIsntEasy: #PrayForPeterson
1554824522_389237556925452288 x	RT @WorkIsntEasy: I love when people don't believe in me. It makes me want to work that much harder just to prove them wrong.
1554824522_389237526000861184 x	RT @WorkIsntEasy: When your legs can't run anymore, run with your heart.
1554824522_389237476453539840 x	RT @WorkIsntEasy: This years schedule:  1) Me vs Me 2) Me vs Me 3) Me vs Me 4) Me vs Me 5) Me vs Me   The biggest opponent you will ever fa?
1554824522_389237441993146368 x	RT @WorkIsntEasy: I'm so blessed to be an athlete.
1554824522_389237410347106304 x	RT @WorkIsntEasy: They talk trash about you because they know you're a threat.
1554824522_389054327052308481 x	Turn up in Brunswick reppin 16 for my man @TheAllenHopkins
1554824522_388869323638706176 x	RT @DanasDaily: Don't know details-- but start praying! Coffee county football player airlifted off field! Law officials evacuated stands #?
1554824522_388869243846270976 x	RT @jtaylorhinson: Dang... Apparently a Coffee County Football player at the Brunswick High game is having to be taken out  by a helicopter?
1554824522_388868147258068992 x	RT @qbs_mom: Praying for Jalen Wilkerson of Coffee County was life flighted from the game tonight!!! #coffeecounty #hsfb #praying
1554824522_388690168053780480 x	Missing those days when @TheAllenHopkins and @Jay__Green played for us #blessthem #madeincamden
1554824522_388688516148121600 x	RT @ItsJustWizdom: Dying to know. Afraid to find out.
1554824522_388688419528146944 x	Going to Burrell Creek #fishin camden is blessed with fishin holes
1554824522_388686272421982208 x	It friday Wildcats , Killem Tifton kids #TurnUp
1554824522_388477771456188417 x	RT @ItsJustWizdom: Don't give another girl more attention than your girlfriend.
1554824522_388477512738942976 x	RT @_Luiisss: Lmaoo #gta5 Ooh kill em ! ? http://t.co/OYS2RIp5AQ
1554824522_388477437392457728 x	RT @ItzTerio: ? singel ? takin ? killin em
1554824522_388476108750221313 x	RT @BaIIplayer: Change ups that looks like fastballs are the reason I have trust issues.
1554824522_388474953886351360 x	Birthday finished great today! #blessed #13 #years #thankyoulord
1554824522_388474307145641984 x	RT @TheAllenHopkins: @camden16middle happy birthday bruh.. keep doing your thing
1554824522_388330056436940801 x	RT @HistorianRaps: "Free my niggas"             -Abraham Lincoln
