596074570_377830769223548929 x	he thanks man
596074570_373474784799371266 x	It's a beautiful day in #Motown
596074570_373477164324515840 x	he oh but is!
596074570_373476181401956352 x	he calm down #BigMeesh
596074570_373456403350175744 x	he #naaa
596074570_373441260196868096 x	Well this weekend has potential to be a bad show #gettinglitup
596074570_373442088756449281 x	he I do what I want I'm his fucking man
596074570_372808621496999936 x	he could not miss his application units clothes time for school #tigerwoodspgatour
596074570_372807860729958401 x	he yes
596074570_372548016302854144 x	you feel it Now that Spring has come That it is time to live in his scattered sun "
596074570_372546822591365120 x	he on Sunday #getpumped mm/
596074570_372456794783633408 x	he oh I'll be #bitchin
596074570_372447124450836481 x	he he good luck seeing it
596074570_372452776032227328 x	he I never found it!
596074570_372447391942582272 x	There will not be a person watching genre on a portable DVD player in school
596074570_372398738565636096 x	he partying ladies what
596074570_371441372458283008 x	he yes next Sunday #notpumped
596074570_371439871086178305 x	he oh yes real good #imtoasted
596074570_371435855992197120 x	he I'm getting lit up
596074570_371435609857875969 x	he yes
596074570_371059260093775872 x	he probably one of his rank
596074570_370257724962902017 x	he mine as will start calling #bigpimpin
596074570_369824109082841088 x	he treating me well
596074570_369242871720706048 x	he very #small
596074570_367848196783239168 x	RT he Morgantown has updated a flag flood warning that is how excited his ladies are for his arrival of he #pops
596074570_362628342656147456 x	Never thought I would come home to my family watching Jerry Springer #jerry
596074570_362192339541831680 x	myself in a road on a location With tangerine songs and marmalade skies"
596074570_361973631896649728 x	So ready to go his fuck home #WVU
596074570_361954954413481984 x	he happy birthday person
596074570_360603822286053377 x	he he think that I'm Kobe
596074570_360603706577797122 x	he hell yes female
596074570_360065098993250304 x	he sucks to suck #keepbitching #noonecares
596074570_359865417352753153 x	RT he Ready to be back at school
596074570_359270674353127424 x	RT he Maybe you share no or maybe you pay Still got to work no that eight-hour day  no #GratefulDead
596074570_357902458560856065 x	It is nice to sit in his radio conditioning and watch #TheOpen
596074570_357458814301257730 x	Happy birthday you female he
596074570_356123669631729664 x	he oh yes
596074570_356072606165770242 x	he hell yes
596074570_354774050578501632 x	he probably his rank
596074570_353981901805064192 x	he he is a wise man
596074570_353614936645181440 x	he we know you are not smoking his cigars but they are mine
596074570_353614290302939136 x	he #nice
596074570_352470273221607427 x	he on my dance
596074570_352469955943481344 x	he probably family emphasis on my family
596074570_352467169742831616 x	RT he This world will not be his best without Gatorade
596074570_352187283207753729 x	he enjoy it my man
596074570_351805486712111104 x	RT he I'd rather bad into my own body part than go to that god awesome looking "concert" taken as XTU.
596074570_349258715842621443 x	RT he Stefan is probably his badder female but Fergie's a little more
596074570_347031726553456641 x	he he complete devastation
596074570_346395365798449153 x	he probably did not have that last year with a few problems
596074570_346414674910273536 x	he I was drunk too after senior time last year
596074570_346291038278778882 x	RT he My family told me to admit fuck his giants and never give up on your Philly sports teams. And money can buy eagles tickets
596074570_345958552143286274 x	he you are talking
596074570_345934086977761280 x	Anyone trying to sports today?
596074570_345217667227082753 x	he happy birthday female
596074570_345222380437782529 x	he when we partying
596074570_345226708686876673 x	he wish I could I got work tomorrow we need to find a party this weekend
596074570_345230075769286656 x	he we will figure something out
596074570_345174730782957568 x	he happy birthday
596074570_344143033702432768 x	he #imadick
596074570_343399885665615872 x	RT he I hope his school of 2013's family are all Milks because if not this holiday is going to be strange
596074570_340493710863249409 x	he you see and of his summer genre calls
596074570_340557226827726850 x	he yes it was tight
596074570_335068543332782080 x	RT he My answer to pretty much everything this summer URL
596074570_334984711531282433 x	RT he If mercy's in business, I wish it for you; More than just bad event when your family come true. no #GratefulDead
596074570_333284297609977856 x	he when will you realize Robert Downey Jr is not his man for you
596074570_333971452560809984 x	he why are you always so bad
596074570_333308352664842240 x	Finally home #thankgod I have to eat
