283030343_391909580336160768 x	The only Confederate flag that works
283030343_386991442020671490 x	On Investing: The webmaker portfolio URL
283030343_386990043752955904 x	Dear President Obama: do not cave to his GOP's extortion politics URL Michael Cohen URL
283030343_386989675425955841 x	The myth about job-killing webmaker URL
283030343_386877422320095232 x	Wind is a Finite Resource. Don't Blow It. no URL URL he
283030343_386211148468465664 x	Older Article, still relevant: Study Links Medical Costs and Personal Bankruptcy URL URL he
283030343_386140644013400065 x	Tom Corbett needs sex sex to sex between siblings: URL URL URL
283030343_385922489333063680 x	Reality check: Many Republicans have no incentive to deal on his government shutdown
283030343_385783335705788416 x	Meet Butch Matthews, A Republican Who Came To Love webmaker After realizing It Will Save Him $13,000 URL URL he
283030343_385783185176395776 x	Harry Reid Makes John Bohner An Offer On The Shutdown, And His Logic Is Spot On URL URL he
283030343_385757313048383488 x	Pierce: The GOP is Getting What They Want URL URL he
283030343_385591283387203584 x	I'm ok with his Affordable Care Act, but I'm supposed to drive his nationality economy over Obamacare.
283030343_385589520290549760 x	During his shutdown, EPA is prevented from cleaning up almost 2/3 of toxic waste service
283030343_385588747523592192 x	rackers may be polluting a Pennsylvania location with radioactive waste
283030343_385121760992980992 x	Michael Gerson: The beverage  revolt between reality URL URL he
283030343_385121522420961280 x	RT he Shorter GOP: webmaker is not law because we do not agree with it and let me speak year holiday never happened
283030343_385117606329327616 x	Sen. Warren on Republicans: 'Hostage-taking is All They Have Left' - Government - Framingham, MA Patch URL
283030343_385117374984122368 x	How Republicans blocked a key webmaker  his shutdown URL URL he
283030343_385116674065563648 x	Taking Aim at his GOP's War on his Poor no URL URL he
283030343_384841275922726912 x	RT he GOP fighting tooth-and-nail for his 7% who want #ObamaCare gone. POLL: Voters  Want To Delay webmaker
283030343_384840593874374656 x	RT he Awkward: Republican Congress people are asked if  forgo their salary during a government shutdown
283030343_384832813448835072 x	Here's some of his list of bills his GOP has blocked #ShutdownTheGOP
283030343_384829930984722432 x	Not design with #fracking his parks, now they want to mine them for coal too. no bastards.
283030343_383935347131826176 x	Sebelius: Health project limited without Texas' help - Yahoo Finance URL URL he
283030343_382600359530618880 x	not what  means URL no URL he
283030343_382223703540375552 x	Now  arresting people who worry about his Common Core URL URL he
283030343_382174334107648001 x	House Republicans: Huge farm subsidies for me, no food stamps for you URL URL he
283030343_382173386002026496 x	RT he How come "Big Government" always means his stuff that contains poor people, not his giveaways to his rich and
283030343_382154786595819521 x	Add It Up: The Average American Family Pays $6,000 a Year in Subsidies to Big Business URL Common Dreams URL
283030343_380819716123529216 x	Rand Paul: 'I Am Here To Ask That We Begin The End Of Mandatory Minimum Sentencing' no URL URL he
283030343_380819422543245312 x	One Totally Overlooked Middle Class Problem URL URL he
283030343_380802721680351232 x	Pope Bluntly Faults  Focus on Gays and Abortion URL
283030343_380339667775651841 x	Lobbyists Are Ruining America - The balzarine Report: URL
283030343_380339128392372224 x	Americans Are 110 Times More Likely to Die from Contaminated Food Than Terrorism URL alternat URL
283030343_380285705353564160 x	Homeowners vs. Big Bad Banks: URL URL he
283030343_380285573061017600 x	Gridlock might convince his US economy, but it is still good for business URL URL he
283030343_379684106046423041 x	Chris Christie, America's most strange governor: Moran URL URL URL
283030343_379683544978571264 x	The Green Tea Party: Debbie Dooley Battles Big Energy URL URL he
283030343_379682961618006016 x	We've Got a Billionaire Bailout  his lots May Never Recover From It In Our Lifetimes URL alternat URL
283030343_379681927369748480 x	Bernie Sanders To Larry Summers: Don't Let The Door Hit You in his Backside On The Way Out URL URL he
283030343_379657021739368448 x	RT he Reality sigh big difference in 'good person with a gun' theory. NYP Shoot design Times At Suspect, Hit design Innocent Bystanders
283030343_379578325095555072 x	AP IMPACT: Many US bridges old, risky and rundown URL URL he
283030343_378907047334379520 x	Why Are We Just Finding Out About The Koch Bank? URL URL URL
283030343_378259713202204672 x	webmaker saved people $1.2 amount in year premiums, HHS says URL URL he
283030343_378199242491187200 x	How Wal-Mart's Walton's Maintain Their Billionaire Fortune: Taxes - Yahoo Finance URL URL he
283030343_377829436172664832 x	Missouri Republicans Set to Arrest Federal Agents and Let Criminals Go Free URL URL he
283030343_377829088783638528 x	Tevlin: Combative Sutton did not live what he preached URL URL URL
283030343_377828474880155648 x	Sen. John Morse search in historic vote, vows to "continue to fight" - The Denver Post URL URL he
283030343_377827896607264768 x	Some lots of 2009-2012 Income Gains Went to Wealthiest 1% - Real Time Economics - WSJ URL URL he
283030343_377826828892651520 x	Pipeline Safety Chief Says Regulatory Process Is 'Kind of Dying' URL URL he
283030343_377826273709395968 x	Exxon Charged With Illegally Dumping Waste in Pennsylvania URL URL he
283030343_377475983747448832 x	Shocking Facts About Factory Farming Vs. Sustainable Farming  Infographic URL URL URL
283030343_377475399434780674 x	Neil Young on oil sands:  McMurry looks like  URL
283030343_375657508150714368 x	Chamber Of  strange comments on a carbon tax and how it could change his game in Congress
283030343_375613027351281665 x	RT he RHC Joins Campaign to Raise Awareness for Suicide Prevention with he and other National Partners URL
283030343_375612972132859904 x	RT he RNOC says health insurance premiums up 29% under Obama. Yes, though it is taken amount as speed as in his prev 9 yrs.
283030343_375353773314428928 x	Georgia Republican Caught Bragging About Sabotaging webmaker (VIDEO) URL URL he
283030343_375353638454951936 x	With Rooftop Solar on Rise, U.S. Utilities Are Striking Back by Marc Gunther: Yale Environment 360 from he URL
283030343_374965161989120000 x	Fracking explained: opportunity or danger: URL URL URL
283030343_374533408581746688 x	RT he #Climate change is happening. Learn what it is and what EPA is doing. Get his facts: URL #ActOnClimate
283030343_372815395469950976 x	he WOW. Largest #solar farm in Pa. to sit near Blue Mountain interchange of PA Turnpike, operating year URL
283030343_372159603452018688 x	If Romney Won 8-23-2013 The Far Left Side  Highly Progressive Comics Monday, Wednesday and Friday! URL URL he
283030343_372157719387443200 x	Monsanto's globosite Problems: Scientist Warns of Dire Consequences with Widespread Use URL
283030343_372156907114340352 x	Huckaby Makes Ridiculously False Claim About Volcano, Climate Change URL URL he
283030343_372013914059313153 x	6 Filthy Facts About his Rich URL alternat URL
283030343_372013286864072705 x	Public School Asks Parents to Pay $613 Per Student As Governor Destroys Public Education With Insane Defunding URL
283030343_371666522059440128 x	Pa., NJ between states where private lobbyists get country pensions
283030343_371227039669288960 x	Fracking Colorado: Illusory Benefits, Hidden Costs URL Food and Water Watch URL
283030343_371226339405082624 x	RT he The hashtag #dontfrackus was his second most popular hashtag hanging with #BingPOTUS. URL he
283030343_370938914883637249 x	Groundwater Contamination May End his Gas-Fracking Boom: Scientific American URL URL he
283030343_370218100634816512 x	If You've Ever travelled to a "Suspicious" Country, This Secret Program May Target You URL URL he
283030343_370217343244189696 x	RT he Pushing to share $80 amount in proposed shows to his National Energy Technology Laboratory (NETL) in Pittsburgh.
283030343_370216455075143680 x	RT he Most awesome URL of US Govt is to get people to take his fight in demanding his criminalisation of journalism
283030343_370215910662873089 x	How low can you get: his minimum wage project URL Heidi Moore URL URL URL
283030343_370213845404368897 x	8 Reasons Young Americans Don't Fight Back: How his US Crushed Youth Resistance URL
283030343_369931018972581888 x	RT he People are strange URL
283030343_369926925344448512 x	RT he In April 2013, Christie proposed a ban on country sniper rifles. no The NJ government passed it. no no In August 2013,
283030343_369823478146289664 x	Mike Huckabee, Jim inhive Give How-To On Denying Climate Change Without Any Concern For Facts URL URL he
283030343_369822779194892288 x	Nine Term North Carolina Senator Resigns To Fight New Voter Suppression Law URL URL he
283030343_369822105019244545 x	Predatory Privatization: Exploiting Financial Hardship, Enriching his 1%, Undermining Democracy no URL
283030343_369813594453471232 x	PolitiFact: Rand Paul's price estimates for health care are way too high URL URL he
283030343_369813168249253888 x	Ted Cruz releases bad event card - http://t.co/6DNsOQou9f: URL URL he
283030343_369809408580022272 x	Study contains only his wealthy get represented in his Senate URL The Raw Story URL
283030343_369808251950354432 x	Our Failure to Stop You from Voting Means We Weren't Trying to Stop You from Voting: URL URL he
283030343_369807987239419904 x	Texas is fracked: More than 30 towns will soon be out of water URL The Raw Story URL
283030343_368737459988729856 x	he Congrats, Kate!
283030343_368732289582120960 x	should protect people and regulate corporations, not protect corporations and regulate people (poster)
283030343_368731466575773697 x	Judge Suspends Harsh Voter ID Law URL URL he
283030343_368731118926708736 x	It shows $350 to make an artificial hip. But it will cost you $30,000 to get one no
283030343_368730743809540096 x	RT he LISTEN: State person calls gays "disgusting" in alleged secret learning URL
283030343_368081498198401024 x	Climate reality must win out over political shows on science URL URL he
283030343_368080245917614080 x	Wind farm contains TOO MUCH energy, calls problems with "dumb" grid. URL URL
283030343_368040875080683520 x	What Papa John's Doesn't Want You to Know About Their Food - Yahoo! Finance URL URL he
283030343_368013257497264130 x	Right-wing pass review usually contains webmaker popular URL URL he
283030343_367695894071619586 x	Toxin Found in Most U.S. Rice Causes Genetic Damage - The Crux URL URL URL no URL he
283030343_367688206969348096 x	92-Year-Old Black Woman Sues Just Hours After North Carolina Gov. Signs Voter ID Law no URL URL URL
283030343_367679854767923200 x	Protesters Live in a Tent City to Oppose Post Office Closure URL The Nation URL URL he
283030343_367679696621682689 x	Republican Congressman Miserably Fails At Minimum Wage Math URL URL he
283030343_367679276339834881 x	North  Attack on Voting Rights URL URL he
283030343_367678670011265024 x	Five Reasons Congress Should Be Deeply Ashamed about Jobs URL URL he
283030343_367678269715251200 x	How One Multi-Millionaire Is Turning North Carolina Into A Tea Party Utopia URL URL he
283030343_367676608364048385 x	Hollywood Legend Ed Anser Has Outraged Republicans Over This Animated Short URL
283030343_367612861188554752 x	design W.Pa. coal dumps contaminate water, EPA says URL TribLIVE URL
283030343_367612132860248064 x	Undercover Agents Infiltrated Tar Sands Resistance Camp to Break up Planned Protest URL Common Dreams URL
283030343_367611974311362561 x	White House calls for lost grid spent URL URL he
283030343_367611362194624512 x	Sierra Club reveals Christie administration of hiding it is own review on climate change URL URL URL
283030343_364044421903302656 x	US government 'find evidence' of people giving derivative jobs URL he URL
283030343_363443390462963713 x	Dangerous Pipelines URL
283030343_363442708779499520 x	Report shows problems with Ark. Exxon pipeline - URL URL URL he
283030343_362936483889422339 x	Nearly 10,000 PA jobs totally at risk with impending bridge and road shows URL URL URL #PA #CORBETT
283030343_362936300225048580 x	Justices Have Been Forced To Resign For Doing What Clarence Thomas Has Done URL URL he
283030343_362935970741489664 x	Editorial: Same-sex sex in Pa. a job for courts - URL (from he
283030343_362918241632387073 x	PolitiFact URL Barac Abama says minimum wage contains less now than when Ronald Reagan was taken in URL URL he
283030343_362699597178609665 x	Why getting voter ID might become much more than voting
283030343_362653367098556416 x	RT he Nearly 8 in number Americans support employment protections for #LGBT people. RT if you do: URL
283030343_362653144221614080 x	So Republicans are Pro-Life? no hashtag #p2b #UniteBlue #Tpot #CTL #veterans #labor #Hispanics #waronwomen #Democrats URL
283030343_362652977456091138 x	Kathleen Kane shows back at Gov. Corbett over Pa. sex clothes - URL (from he
283030343_362332197539151872 x	Pennsylvania Gay Marriage Lawsuit: State Sues Montgomery County To Stop Issuance Of Licenses URL URL he
283030343_362331679970435072 x	RT he BP CEO: Lawyers are his "biggest beneficiaries" of his direction oil change agreement URL
283030343_362327651022680065 x	RT he What leadership looks like  #ABetterBargain URL
283030343_362310034073460737 x	RT he Interesting that Corbett's project gave an email called "Pennsylvania's Progress" his best day he says someone will convince PA's appeal
283030343_362309792611569664 x	RT he Bipartisan project order has potential to become jobs, spur design while maintaining vital infrastructure-
283030343_362228300120199169 x	Your Big Mac Would Only Cost $.68 More If McDonald's Doubled Its Pay URL URL he
283030343_362227944724242433 x	RT he FACT: There is a near perfect difference between oil prices and food prices URL
283030343_362204457536196608 x	Abama reveals 'grand bargain' for jobs URL
283030343_362195529138049027 x	PA Gov. Corbett (R) Caught Accepting Thousands of money in Gifts in Return for favours URL URL he
283030343_361858606045478912 x	RT he Informed #citizens is his goal. Find his US #Senator or US House member who contains you, click vote history tab.
283030343_361857136499769347 x	Pennsylvania Conservatives: Banning Same-Sex Marriage Is   URL URL he
283030343_361856496792899584 x	The Supreme Court's gutting of his Voting Rights Act has already updated a GOP feeding frenzy: URL URL he
283030343_361855328964444161 x	Why It Finally Makes Political Sense to Talk About Climate Change - URL URL
283030343_361854929779953665 x	RT he  someone is appeal and he searches for his Lord and has good will, who am I to  -Pope Francis
283030343_361854671654100992 x	Report: Corbett Among Nation's Worst Governors - Government - Forest Hills-Regent Square, PA Patch URL
283030343_361850603766423553 x	Basically they do not enjoy what they have: Study Finds Only 28 Percent of Millionaires Think They're Rich URL
283030343_361566096509239298 x	Abama Intends to Let Health Care Law Prove Critics Wrong by Succeeding URL
283030343_361565290233995267 x	On Rooftops, a Rival for Utilities URL
283030343_361564785189453825 x	Abama should speak to a trillion-dollar infrastructure plan URL URL he
283030343_361538929985458176 x	NC Governor admits:   know  about photos of new voting restriction law URL The Raw Story
