979438842_396319144565407745 x	he emanium lots of talent? he calls there and talks? how is that talent sean?
979438842_280001401277534208 x	he he calls until his project and will be 15 gamas out!were not his rank team in his location anymore.we could not do that!
979438842_279711275578187776 x	he when are his Phillies going to send a outfielder?
979438842_279700539862839296 x	he he he will not even make a trade if his other team calls up amount of his people he is gettings salary!
979438842_279700306542096384 x	he he You got out just in time shane.Amaro is destroying his phillies.The rank letters ever!So cheap!
979438842_279690525035077632 x	he come to city cody!please!
979438842_279358039931383808 x	Are his Phillies getting anyone?FA are dropping like flies!
979438842_278663265339469824 x	he he hi jon.do you see his Phillies getting a corner outfielder?and if so who?thanks
979438842_277788143187533824 x	he come to city cody!we would love to have you!
979438842_277614391422251008 x	he Hey Buster any word on anyone else his Phillies maybe going after?
979438842_277526258307457025 x	he he I was wondering his best thing.
979438842_277522972019941376 x	he Hey jim!do you think we send another bat and starting pitcher?and if so who?I think last name and losh would be good moves.
979438842_277430607196327936 x	RT he Friday Phillies fodder: Young, Revere, potential bats URL #PhilliesTalk
979438842_277256625004367872 x	he Hey jim.do you think we are going to sign Cody ross?
979438842_398302132513697793 x	he you are even more lovely!
979438842_399648067172835329 x	he you hear rendell? it was all riley cooper!lol
979438842_399649309974867970 x	he if floes paints his body part black Randell will give him credit!
979438842_399647729464262656 x	he so true tony! Randell is one of them!
979438842_399631476326531072 x	person you are so appeal and beautiful!
979438842_399626875275730944 x	he you are beautiful rhea!!
979438842_399584642115719170 x	are you affected me with this bad city dolphins story? still talking about it!
979438842_399513731593281536 x	he Everybody loves Raymond!!! That's why! laugh
979438842_399512614901800960 x	person could not wait to see you snl!!! you are beautiful!!!!
979438842_399394077533540352 x	he hi jenn! my family and when are wondering when is your show coming back?
979438842_399393329944612864 x	he I watch dateline and you have his most beautiful body when ever seen!
979438842_398873364317470720 x	he even with new computer deal still cheap! they want to trade for guys they do not have to pay instead of signing a fa!
979438842_398784728167620608 x	he surprise you are beautiful!!!!
979438842_398597639018532864 x	he You do not have outfield down as a position of need? Are you affected me?
979438842_397338769126219776 x	he how come sometimes floes has a great game all when hear is problems why he had a great game?
979438842_397339765378269185 x	he his defence sucked! it is food system! when do not hear this bad when Vick is good
