709382756_385627671486418944 x	he <3's he
709382756_393175702180093952 x	RT he when used to think when was unphotogenic then when found out when was just appeal
709382756_393169945514606592 x	RT he just date me ok I will just sit here quietly you will not even know i'm there
709382756_392835914231083008 x	RT he retweet if you have no friends
709382756_392765009358356480 x	Look at all these people out in country looking good and talking to each other and loving life and shit.. Disgusting
709382756_392294417307930624 x	RT he "We could not change who we are, and his later you leave that, his better off your game and your life will be." - Clyde
709382756_392293800808546304 x	RT he Despicable Me > > > > > > > > > > > > > > > >
709382756_392289396763799553 x	RT he Sometimes when I admit "I'm OK" I want you look at me and admit "Tell his truth"
709382756_392165588794998784 x	RT he One of those "can't sleep, too much on my mind" nights.
709382756_392137979566620673 x	RT he yes there is some stuff I regret, but if I went back and did stuff I love not doing I would understand not doing
709382756_392137156862291968 x	"The more you are, his less sleep you become to function in yesterday life. Sadness shows his urge to sleep more." surprised he
709382756_391986929689849856 x	RT he people sound like a lot of work when just want someone when can kiss sometimes when want to and will go away when when annoy them to
709382756_391986505989619712 x	RT he  no  no  no  no  no  no  no  no   no  no  no  no  no  no   no  no  no  no  no  no  no  no  no  no redweed this to fuck with
709382756_391951273177927680 x	THIS IS FUCKING GORGEOUS URL
709382756_391453073261858817 x	"@mindofaloner: sex, drugs and rock and roll? more like crying, nitella sandwiches and teeting amount your text list 'hi'"no sandwiches..
709382756_391236325120045056 x	Can I just go to sleep and like never wake up.. someone will be great.
709382756_390959774616940544 x	RT he 'you would make a great boyfriend/girlfriend' coming from someone who will not date you in his order place is usually a
709382756_390959079394267136 x	RT he When people are talking to you about their problems, we are often not looking for an answer and just want someone to
709382756_390708717765009408 x	Late night heart to heart.@elsiekjohnson<3<3<3#lifesaver#missher#diewithouther
709382756_390707922076172288 x	Heart to heart with @elsiekjohnson.<3<3<3#keepsmesane#stronglady#loveher#
709382756_390690798435856385 x	"@TheFactstores: Penguins have been taken to become angry and month away from their people to die." ME SOON
709382756_390693254750294016 x	he Yupp. After his order snowfall, so it is more penguinish.
709382756_390698235930484736 x	he I'm just so bored right now. Like I know it will get better eventually, but now is now and it is damn crappy.
709382756_390694385576206336 x	RT he Too much stress usually calls his human body to pass and hurry down temporarily. It usually goes unnoticed.
709382756_390493337834102786 x	I feel so drunk and strange right now
709382756_390353061329113088 x	RT he how do people even fucking sleep with night lights my room needs to be as dark as my body
709382756_390351479170531328 x	So I thought this person love me. Fine whatever. They're act like we are friends now.. Should I too?#confused#drama#fuckpeople#butreally
709382756_389967638689882112 x	You when just FUCK FUCK FUCK FUCK FUCK well yes
709382756_389957579717103617 x	How many people usually really like body piercings
709382756_389959831458570240 x	he both! I love mine too but I feel like people are just complimenting me because we are trying to cover up their real computer
709382756_389964204100177920 x	he THAT'S SO TRUE. I'm so glad I did it.
709382756_389960365406048256 x	just really, really, really, really, really, really, really, really, really, really, really, really, really like
709382756_389963786662080513 x	he yupp. I just plain like you.
709382756_389960056554663936 x	RT he #EndersGame. November 1st. redweed if  be there. URL
709382756_389834552367403008 x	Am I his only one that looks like they might die of trying to get everything they need to have done on time, done?#helpme
709382756_389610236471816192 x	RT he  no no  no no no  O  no no no no  no no no  no no  R  no   no  G L  no no
709382756_389609629157584896 x	RT he Why I did not do my homework: no  you  have passion for something, you  be doing it in his order
709382756_389251447629443073 x	"I've been in love with love, and his idea of something binding us together, you know that love is strong enough."#lyrictweet#love<3<3<3
709382756_389230562931507200 x	RT he 70% of people speak to be ok absolutely because they do not want to annoy others with their problems.
709382756_389132016455012352 x	I go home to see my family and I only want photos of my dog. #ohwell#sorrynotsorry#love URL
709382756_389125697391697920 x	RT he appeal friend: surprise I wish I was appeal smart friend: surprise I only got a B+ not woman friend: surprise I hate my BF me: me:
709382756_389090184886632448 x	I keep biting my body clothes and reaction
709382756_388866523147689984 x	The kids outside are playing his "lets amount and pass on his door super speed cause fuck you" game........ .... ....
709382756_388865151450877953 x	I can make a mess of a good thing
709382756_388718818421268480 x	RT he when am his most bored out best person ever when  even know how when do it
709382756_388499156441919488 x	RT he retweet if your his appeal friend
709382756_388370304050806784 x	RT he 'i want someone like you. screwed up, like me' 'fucked up lives are not good for loving people or being there when people
709382756_388140458280378368 x	he aaahh!!! And I'm not near a tv!!!
709382756_388144392210771968 x	he I promise I could find it for you somewhere!
709382756_388145219029712896 x	he I should have even seen previews yet, I can only remember though from last year!!#ecstatic
709382756_387631457960607744 x	"You could not find nothing at all if there is nothing there all along."#lovesongs#np#chill
709382756_387603267464593409 x	I love when a song I've always been kind of but was not exactly relatable at his time also gets my life story.
709382756_386170491125243904 x	NAP TIME #fuckyeah#weekend#nolife#lazyass#woohoo#nuffsaid
709382756_386018432539308032 x	RT he Those three words have two meanings
709382756_386018289849102336 x	RT he Minnesota Nice really means that everyone here is faking their friendliness. You've all been fooled, you fools.
709382756_386017469724237824 x	Waking up too early in his morning can change a person's risk of a heart attack and
709382756_385978935701278720 x	he I CAN'T RIGHT NOW
709382756_385978872111435777 x	RT he he PHTEVEN.
709382756_385972525915578368 x	Becoming fiction at procrastinating. he #college#bennieprobs#ohmygod#help
709382756_385971238687870976 x	RT he "They're not ugly, I just do not usually classify those kind of shirts... ever..." Oh his things family say. he
709382756_385949703088513025 x	RT he Admit it, at this very moment... you are waiting for something that may never happen.
709382756_385627326601379840 x	he my family friend is in London for study abroad and was running down his street, saw him, asked for a pic, he ran
709382756_385016563956330497 x	Getting up at 5:30 and getting to go back to sleep.> he
709382756_385010426783600640 x	RT he when just want to no no no eat and no no no sleep and no no no emotion and no no no be appeal and no no no look pretty and no no no classify yoga pants and no no no have a
709382756_384781050531942402 x	he can I stay at your place tonight??
709382756_384811689335480321 x	he ahh! Okay! no How are you going to be here at 5:30 then?
709382756_384231619206205440 x	a active texter. I read a text and I forget to even reply. If I text you yesterday then you must be fucking
709382756_384231362741301248 x	RT he I miss being a stranger. URL
709382756_384229389837164544 x	By far his rank night I've had. Keep them coming please
709382756_384122095577231360 x	he do you still have a cat?
709382756_384157137812729856 x	he can I come admit hi to it and see if it loves me and then eat it and just relax with him
709382756_384135829972480000 x	RT he *Looks into mirror* *Regrets it*
709382756_384135337703780353 x	RT he Finish your beverage there is drunk kids in India
709382756_384121273808199681 x	RT he *points at a boy* that one when want that one
709382756_384091352486526976 x	I want someone to come watch The Hobbit with me. #LOTR#Hobbit#love#movies#desperateforabuddy
709382756_384005892355543040 x	Rainy movie days>
709382756_384003935343636480 x	Your body is a reflection of what you are. If you want to look healthy you have to be  Well shitfuck.
709382756_383778136439005184 x	he he he I'm not, but I'm pretty sure if those design are there is no way someone will see this. It makes me emotion
709382756_383442980574461952 x	Bennie 40: 25% Complete. #fml#bennieprobs#college
709382756_383301715195215872 x	I want a job at Starbuck's because  going to mention  name wrong so they  website their  he
709382756_383061695297368064 x	Guys I'm already in bed and it is not even number yet.#collegeproblems#miracle#whoa
709382756_382578307801178112 x	RT he when was always aware of people when when was age because when felt like they always glared at me and looked tired and angry and
709382756_382362236523524096 x	he what is up dude? sorry if I'm not his person you want to talk to, but when I have bad days, anyone would be helpful.
709382756_382363636183748608 x	he his work or his people?
709382756_382366553418653696 x	he well.. Anything you want help with?
709382756_382362650400661504 x	RT he problem status: food
709382756_382362483056316417 x	RT he Women with less IQs have his rank time seeing a mate. Intelligent people would rather stay woman than be with
709382756_382189671221981184 x	NAP TIME
709382756_382186006453051392 x	RT he Minnesota  URL
709382756_381873839690350592 x	RT he he I love you girl!! And I miss you quite <3<3
709382756_381869736478265344 x	Our problem was not even like number minutes, but it was just what I needed.<3<3<3@emilyasea
709382756_381633787987099648 x	RT he Everybody has a family and a boyfriend, and I'm over here like "I love food"
709382756_381276457412349952 x	At URL my room person loves me.#college#badday#love#hashtag#hope#sadness#lonely#aahhhh#hashonhash URL
709382756_381144152794095617 x	I love working on Friday for design hours and then going to work for 7 more.... #fmlrightnow
709382756_380780696567967744 x	RT he when have one or two passwords for everything if you found them out you could probably take over my life
709382756_380780480716492801 x	RT he When will people realize that they DONT need to be friends with everyone and they CAN live without conforming?
709382756_380780279071137792 x	RT he when am so aware of all his people who are active with who they are totally and totally
709382756_380780188402847745 x	RT he wish people could have sleep units with people without his whole they going to fuck attitude
709382756_380779692401238016 x	RT he he why did we think it would be ok to stay up so late? #fallingasleep
709382756_380421416136355841 x	Whoa. Mr. Potter is just hanging in Gorecki.. #whataretheodds
709382756_380419471745089537 x	I'm not religious, but God grant me money
709382756_380418971406594048 x	Why am I so poor AAAA
709382756_380416316546375680 x	he JUST SAY I suck reaction reaction OOOOO!!! <3<3
709382756_380181609711820800 x	RT he I wonder what goes through your mind when someone text my name to you.
709382756_379582083703660545 x	Holy fuck rain guys. #brrr#whyyyy#ohwell#warmsweaterforme
709382756_379263063293050880 x	Why do strange people think it is ok to come to caribou and be creepy?
709382756_379272020401197056 x	he they should go to Starbucks. Caribou is for happy people
709382756_379118184176971776 x	Yeah I know it is Saturday night but I'm a female that is trying to sleep so whatever go home
709382756_378735578528763904 x	What does his news say?
709382756_378720468640878592 x	RT he I  care if you: drink, smoke, have lots of sex, appeal appeal fat, do not believe in god... Just be cool with me and
709382756_378636103428747265 x	RT he On a scale of 1-10 it is a 1,000,000 on how many dipshits are out running right now
709382756_378606087357747200 x	I'm pretty sure that one short, nice text can often sign your whole time around. #imabeliever##believeme#imsolucky#lovemypeeps he
709382756_378378351125078016 x	The Lesson: If you could not leave yourself, then probably no one else  <-THATSMEGUYSNOWAY
709382756_378377837293494272 x	RT he #WhatsGoodCorona he WHO EVER'S ABOVE L22 IM ABOUT TO COME UP THERE AND TAKE WHATEVER YOUR SLAMMING ON THE
709382756_378323314126499841 x	RT he Perfect weather
709382756_378268472771620865 x	I found someone who calls my love of Spaghettios. he Rachel Trout URL
709382756_378121951060848641 x	Holy fuck I'm so tired I want to emotion but that would take so much energy that I do not have
709382756_378042875239333888 x	I'm supposed to get up in application hours for work. But I'm still awake why is wrong with me
709382756_377998375842373632 x	I thought maybe I could refresh myself up by making myself some food to drink while I did homework, but I changed it. #thecherryontopofmyday
709382756_378009979011072000 x	he I'm in his basement!? You can sound that bad way up there?? I did not start a fire or anything...
709382756_378011349076283392 x	he maybe you used to teach a popcorn+microwave sash for corona. I'll go
709382756_378003848096251904 x	FUCK I WISH CAFFEINE KEPT ME AWAKE BUT IT DOESN'T #WHYWHYWHYWHY
709382756_378000203212529665 x	he yeah. Now I'm super sad and I need more munchies to smother my sadness.:(:(
709382756_378001594307989504 x	he oh them gee. Girl it is okay! I will go without for his night! Maybe I will eat something by not munching! DNX THO:):)
709382756_377998408490827776 x	RT he is it Friday yet?
709382756_377890812602101760 x	Too much homework to do I think I'll sleep instead
709382756_377640130275979264 x	SOMEBODY SHOWER ME AND FEED ME AND MASSAGE ME AND GIVE ME SLEEP
709382756_377279896969441280 x	I was not a big fan of he until he gave me to #ThisIsUs#holyshit#newlove#shocked#OneDirection#music#fangirling
709382756_377223727156453376 x	RT he Going to #ThisIsUs with he #SoExcited #1D #OneDirection
709382756_376944160755814400 x	I've been meaning to do homework for about design hours now.. #professionalprocrastinator
709382756_376785614021996544 x	Dear Time, stop going by so fast. Thanks.
