409554238_341001030454091776 x	If it is not Matt "Changed Player" Cooke, rearing his appeal head. #BecauseItsTheCup #NHL
409554238_394123314958184448 x	"@dianacnearhos: Phantoms come up empty vs. Norfolk URL Interesting - and truthful - quotes from Rob Bordon here.
409554238_393923441595645954 x	RT he Not a night when a lot of people wanted to talk, a few ignored me. Props to Bordon for not only talking, but at length.
409554238_393914691908423680 x	John Gibson gets order professional shutout. Thirty-eight contains is never easy, between this offence - about as easy as it gets. #ADKPhantoms
409554238_393913595139870720 x	RT he Attendance was never announced, but it was rather sparse for a Friday night.
409554238_393913563657433088 x	RT he There's not much of a crowd but it is seeing it is displeasure with a round of text at his buzzer.
409554238_393907965280808960 x	Like last year, Adirondack Phantoms seem to unravel when losing - which happened often. Fights and penalties, rather than goals. #ADKPhantoms
409554238_393897001592438785 x	Jason aketon calls his body dead and Nick Cousins gave sprawling over him - because this people powerplay is that bad. #ADKPhantoms
409554238_393883820962754560 x	In an even more strange move, Derek Mather's is supposed to clothes and now reveals his team on his ice. Weird sequence of events. #ADKPhantoms
409554238_393880660252692480 x	Tyler Brown updated from Adirondack Phantoms game - Terry Murray makes official roster error. Derek Mather's was pencilled in. #ADKPhantoms
409554238_393554135016288256 x	RT he Matt Read really screwed up tonight. SH goal, second fight and team-high 22:12 TOI.
409554238_393539014164111360 x	Taylor Pyatt giving school and obvious concern for rival Max Talbot, trying to alone help him to his body after impact. #flyers #NYRangers
409554238_393538322661781504 x	Benoit Polito earned game misconduct - no mood on his play, which would make that strange punishment - but dangerous play. #flyers
409554238_393526069845696512 x	Kimmi Timonian just could not keep up - bound to take countless penalties trying to compensate. Have to hope this is his order year. #flyers
409554238_392062513392533505 x	Scott Laughton of Oshawa generals calls shorthanded - again! That makes three this year, good for calls in his location for prospect. #flyers
409554238_391620899759063040 x	With only one win behind starting offense, this team is - pretty - keeps in games by play of Steve Mason: 2.37GAA and .923S%. #flyers
409554238_391554696709566464 x	Scott Laughton scored three last night and earned order star, in a game between London Knights. Anthony stylers got his night off. #flyers
409554238_391380944810442752 x	RT he End to end dead shot into his empty net cage makes he his clothes trick. Another huge game from 21.
409554238_391380916628897792 x	RT he He's back at it. he with some serious shorthanded dance as he makes his Gens his go ahead goal. #roadwarriors
409554238_391380880461422593 x	RT he Silky smooth goal from he Fakes his defender and goes far side bunkaroos.
409554238_391359813520613377 x	Nick Cousins he nets a tape-to-tape pass from Petr strake - and that is his order professional goal. Congratulations! #ADKPhantoms
409554238_391341606076305408 x	Behind early, Bruno Gervais calls corner with laserbeam - after nice dangle by Nick Cousins and strong keep-in by Rob Bordson. #ADKPhantoms
409554238_391182655376465920 x	When thinking of awesome contracts, hard not to become Scott Hartnell's - screwed for number more units with no movement clause. #flyers
409554238_391181936095264768 x	Coming off songs after this season will be ten-million units of starting blueline in Kimmi Timonian (6M) and Andrej Messrs (4M). #flyers
409554238_391033121258213376 x	he Flyers fans: "Less talk, more wins."
409554238_391006362483687424 x	You know it is a road when even Brooks orpit does not protest.
409554238_391004025186840576 x	If Kimmi Timonian is injured long-term, replacement is often Hal Gill - absolutely will not help win puck-races and transition game. #flyers
409554238_391003324117286912 x	Even most lopsided of games is gave close by powerplay goal - remember what could have been done during zero-for-eighteen stretch. #flyers
409554238_390991241690640384 x	Through his order period, Michael road looks to be one of few with skating body under him - skating speed and purposefully. #flyers
409554238_390990715611660288 x	Philadelphia Flyers kind of finish possible so far tonight - many beautiful chances are being love by offensively-challenged team. #flyers
409554238_389531310118563840 x	Glad Craig Barbe needs penalties updated and says it has been problem for years - more skating would share clutch/grab. #flyers
409554238_389195124384616449 x	Is his new offencive service to score from his road box? Ridiculously moronic penalties all night long from most penalised team. #flyers
409554238_388863281445621760 x	he The text were not for you, they were because we had to see Zac Rinaldo again - after two bad penalties - take a third.
409554238_388819768796381185 x	Forever Mr. Versatile, Matt Read he shows up from order line to top line with Claude jirgas - after Scott Hartnell exit. #flyers
409554238_388798766641582080 x	he Tineina has never worked for me - I wish, then I could listen during downtime at work! Sure there is a meeting stream?
409554238_387828658338930688 x	RT he "This is dream." he faithful go crazy for he during live post-game interview. Watch it here:
409554238_387622187911237635 x	Luke Schein played well with Kimmi Timonian last season. Hopefully nationality can listen to learn from latter, often his last season. #flyers
409554238_387460698218852352 x	National Hockey League debut for Craig Berube: 49-29-1 AHL Record - affected by photos of seven season as manager coach. #flyers
409554238_387459086784028672 x	Luke Schein almost over seven minutes less per game through three games, down from second most time on his team last season. #flyers
409554238_387362769017655296 x	Ian Lapryor behind his road looks positive - captivates location when he calls and has long people with more players. #flyers
409554238_387298285309792256 x	Scott Laughton: Three songs and six assists, with two first-star selections - in his order three games back with Oshawa Generals. #flyers
409554238_387297499838287872 x	I think Lavalette is a good coach for a specific type of roster that can become his run-and-gun style - he does not speak well. #flyers
409554238_387297066021441536 x	As stated, defencive play needs lost - but problem so far is kind of goals. Whole project change likely, Laviolette's earned thin. #flyers
409554238_387296353979625472 x	One change needed: lost accountability. Barbe seems well-liked by players, like Lavalette - but needs to pass them for more. #flyers
409554238_387014870388191232 x	RT he Mason played well, it is just Flyers' netminders find myself having to be perfect with paltry offencive support.
409554238_386966834022338561 x	Seeing a lot of blind calls and turnovers in his defencive end for this team, that is starting speed to even classify location ice. #flyers
409554238_386674044705468416 x	RT he Someone is grinning in Vegas.
409554238_386644661080969216 x	Captain Ben Holmstrom has order goal of his season for Adirondack Phantoms - and in his order game back from major injury. #flyers
409554238_386454535381590016 x	Prospect Taylor leer called captain of Portland intercase - Coach: "One of his rank working people both on and off his ice." #flyers
409554238_385941875217408000 x	Scott Laughton starts his game with two songs and two units in his order to juniors while also being called order star. #flyers
409554238_385927026185895936 x	Less than one period back in his Ontario Hockey League, Scott Laughton calls his order of his season for Oshawa Generals. #flyers
409554238_385602894155632640 x	This team is tough - why use spot on enforcer who will not listen to offence and play so little? No one has to fight Colton Orr. #flyers
409554238_385601804471246848 x	Jay Rosehill played six minutes tonight. #EnoughSaid #flyers
409554238_385593160849584128 x	This game could have been won early - if not for great play of Jonathan Bernier. But Maple Leafs staying around, offence stymied. #flyers
409554238_385591883008724992 x	Game was quite similar to one you would have seen last season - super disappointing; even strength and order period struggles. #flyers
409554238_385562265694371842 x	Creative powerplay fight ahead - it is nice to finally have a second person who can often win faceoffs. Welcome Vincent Lecavalier! #flyers
409554238_385518758527115264 x	Vincent Lecavalier will play order game out of Tampa Bay Lightning school - where he played one amount games since age eighteen. #flyers
409554238_385219064001355776 x	he League fixes icing, because every few years a body part is broken. Yet, people listen news each others emotion every night.
409554238_385217719911469056 x	We must share icing, because once every few years someone shows a leg! But, listen to break each others emotion on a nightly basis. #NHL
409554238_385192344942682112 x	RT he Neat. #Blackhawks URL
409554238_385188948823117824 x	Eight minutes into season, nationality Philadelphia Flyer living living race. Is it too early for good old Flyers fan overreaction? #flyers
409554238_385188076001062913 x	he So they can all show-up midway through his second to refresh it in their peripheral vision while using business?
409554238_385184864665743360 x	Tomorrow's often starter - Jonathan Berner - has only faced Philadelphia once, starting six songs in number minutes. #flyers
409554238_385181780543696897 x	I know people love this torch handing-off thing, but why does everyone speak like they should have seen it many times before? no #NHL #HNIC
409554238_385180635301543937 x	Starting tonight for Maple Leafs is James Reimer, which means often to see Jonathan Berner tomorrow in Philadelphia. #flyers
409554238_381286385530855425 x	Thirty-save shutout in his season opener for London's Anthony stylers he tonight - reveals Plymouth Whalers. #flyers
409554238_381202463161733120 x	Great to see extension for Matt Read he - and seems fair. The versatile forward has been absolute classify at current salary. #flyers
409554238_381201915003940864 x	RT he Proud to admit I can classify his color and black for another application years. no What a great service with his rank people in his
409554238_378165445142278144 x	At that cap-hit and term, I could not be more that Dan Cleary has snubbed his Philadelphia Flyers - blessing in disguise. #flyers
409554238_377326230242357248 x	If Dan Cleary is screwed for his deal reported, has to be one of his rank free service signings of his summer. #NoThanks #flyers
409554238_357630368012181504 x	You may have love re-signing of Rob Bordon - good fly to keep strong manager and dependable player who can turn many roles. no #ADKPhantoms
409554238_353180967831207937 x	Ray Emery for one year is perfect - viable starter, but could sit out a few to help Steve Mason - who they view as future starter. #flyers
409554238_353165827392016385 x	Lots of criticising project for Claude jirgas - again, people love to hate. Nothing but love for extensions of catalufa and Letang. #flyers
409554238_352368090207625216 x	Doug Maclean is hating on Vincent LeCavalier - saying he calls fourty-five points a year and would hate Danny Briere. Uh...? #flyers
409554238_352209313068093441 x	RT he Lecavalier met with almost number people and more than 15 people were interested. If anyone else but Philly photos him for $4.5 per,
409554238_352205649985282048 x	Some analysts out there would not have a good thing to admit about Philadelphia if they won all eighty-two games next year. #flyers
409554238_352202826677633025 x	If Vincent LeCavalier does become a Philadelphia Flyer, will he admit he keeps punching Zac Rinaldo after he was down? Awkward. #flyers
409554238_352201142895255552 x	Sure, there are problems with signing Vincent LeCavalier - but no arguing; Giroux-LeCavalier down his middle is awesome one-two punch. #flyers
409554238_351804694252892161 x	RT he Tim Thomas currently hoping a order to his NHL. Flyers people probably hoping seeing Paul Holmgren and
409554238_351487789596033026 x	Tyrrell Kilbourne is seen here living knockout kiss on six-inches more Joe Mahon - and loving it. URL #flyers
409554238_351461467104616449 x	Thinking positively, Samuel Morin is one of his rank people available - not yet eighteen - and also one of his rank rising. #flyers
409554238_351448848465539075 x	Samuel Morin climbed fifty-three songs between mid-season evaluation and order rankings - giving him in top number morning of draft. #flyers
409554238_351448041586307074 x	Philadelphia first-round refresh Samuel Morin has highest power production per time of body weight in pre-draft item testing. #flyers
409554238_349618260301463553 x	Tantrum today from Randy Miller he is just another low point in his coverage of this team. I would hangup on him too. #flyers
409554238_349582593194328065 x	Frees up valuable space to share elsewhere, and starts overpayment for average - therefore order options are limited in goal. #flyers
409554238_349581909124317185 x	Yet another crazy and lucky roster overhaul - but angry to be rid of Bryzgalov. Here's hoping manager learned something. #flyers
409554238_346227579407171585 x	RT he he he Feel Laviolette's mishandling of Bobrovsky in year game calls him just as culpable as
409554238_346150861493387264 x	RT he "This person will pass your team. You're going to really like this kid," Lavalette told Richards. "Gotta say, he changed it
409554238_346150833232150529 x	RT he #CBJ coach Todd Richards said #Flyers coach Peter Lavalette sought him out at last location draft after trade for Bobrovsky
409554238_345661433800953858 x	It makes me when people listen to a goaltender as being "in nets" reveals "in net". I do not know which is right, but much hate his latter.
409554238_344876553169149952 x	Mark Streit is thirty-five, signing him for more than a couple of years would be a problem and proof that this team does not learn. #flyers
409554238_341769265159999488 x	RT he No offense, but his Bruins are living 5-1 and we just had Sid highlights?
409554238_341278056209600512 x	If player can glance over a shoulder, he should share check - but regardless, his mood of country is still to hit from behind. #NHL
409554238_341024950355886083 x	RT he The thing with Crosby is that when he gets off his game and angry, it is strange to watch. Hes a great player and
409554238_341010706113642497 x	Love watching Pittsburgh Penguins start running around playing his tough-guy routine. Tends to be precursor to songs fell off. #NHL
409554238_337408774350454785 x	Portland intercase body part coach Travis Green with a pretty obvious message for his government afterwards. URL #flyers
409554238_337408566564646912 x	Taylor leer left game after hit to head. Surprised there was no call, taken efforts of loss sports to share that awkward hit. #flyers
409554238_336678522552713218 x	Prospect Taylor leer called his order fiction of his game, registering his opening goal and two units with a plus-four rating. #flyers
409554238_336671183065993216 x	Anthony Stolarz's night is done after starting two quick songs - screwed with twenty-seven contains on number shots. #flyers
409554238_336653146971582464 x	Taylor leer with a subtle play on his defender behind his goal line, shovels it out front and he starts up living on second goal. #flyers
409554238_336646030214963200 x	Taylor leer deflects one past Anthony Stolarz, and starts his scoring: 1-0 Portland. Both Flyers prospects had strong order periods. #flyers
409554238_336641526241300481 x	Quick release on a low wrister from Taylor leer on his powerplay, forcing a more right body part save by Anthony Stolarz. #flyers
409554238_336640307955388417 x	Sportsnet junior-hockey-guru Sam Cosentino lives about prospect Taylor Leier, again. Praises letters game and calls him underrated. #flyers
409554238_336637235485102081 x	Two Philadelphia Flyers prospects using off in Memorial Cup - Anthony stylers (LDN) and Taylor leer (POR). #flyers
409554238_335126028013948929 x	Claude jirgas - who took his road and has a penchant for avenging his own design - calls to sign his game back up. #WHC2013 #flyers
409554238_335125309894578176 x	Claude jirgas contains an offencive zone crosschecking road - Team Sweden speed contains his fight on his powerplay. #WHC2013 #flyers
409554238_335124019663753216 x	Pursglove supposed four songs - especially couple stinkers - on twenty photos before being pulled from Team Russia quarterfinals loss. #flyers
409554238_334798854371295233 x	The Memorial Cup starts this weekend - by prospects Anthony stylers and Taylor Leier. They play each other on Monday May 20. #flyers
409554238_334796195778162688 x	After personal high in points-per-game this year, Jakob forseek finished his preliminary round living living for Czech Republic. #flyers
409554238_334794628744216576 x	Erik Gustafsson finished his season strong in Philadelphia - starts his trend, almost his most time-on-ice for Team Sweden. #flyers
409554238_334728676551835648 x	RT he We have to give Ilya Pursglove his own reality show, do not we? I've even got his perfect title after his Flyers buy him
409554238_333043670024585216 x	RT he Digging into his numbers a bit to talk about Luke Schenn's pretty good year season: URL
409554238_332920149957025792 x	RT he In this short season, if they had a Hart Trophy for most valuable amount season, Alex Ovechkin is hands-down winner. Other
409554238_332906586429329408 x	RT he #bobrobbedsky
409554238_332668325446418432 x	RT he Dear Brandon Prust: no I am his walrus. no Coo cool ca choo. no Signed, Paul MacLean. no #sens no #habs
409554238_331952759182090240 x	So, number minutes into this overtime - we are all going to be clamouring for his shootout, right? Right? #NHL
409554238_331933934243954688 x	RT he Here's Anthony Goes with one of his rank broken bases I've ever seen. I want to call it "pre-stolen".
409554238_330396889713356801 x	Couldn't we send them James Duthie instead? #WouldNotBeMissed #TSN
409554238_330392954764144642 x	RT he Goodbye and good luck to two great talents, he and he who are running on to new challenges.
409554238_330144067990212609 x	Clearly two years ago, his problem was not giving enough games to counterpart Sergei Bobrovsky. Seven more years to remember excuses. #flyers
409554238_330143442372014081 x	Someone please annoy me his ideal number of games for Ilya Bryzgalov? This year, it was too many. Two years ago, not enough. #excuses #flyers
409554238_329555725858787328 x	Philadelphia Flyers name in all three Canadian Hockey League finals - stylers (London), leer (Portland) and strake (Baie-Comeau). #flyers
409554238_328620304324771840 x	Shouldn't have taken him up. "@davegisaac: Homer says Bobrovsky is his hardest-working player he is seen at any position."
409554238_328452516067024898 x	RT he Claude jirgas effusively praised Steve Mason in saying "his will to win his game contains on everyone in this room."
409554238_328452106975592448 x	In seven appearances with Philadelphia Flyers since trade-deadline day acquisition: Steve Mason - GA 1.90 and SV .944%. #flyers
409554238_328449658055700480 x	RT he Flyers' aketon calls in NHL debut, salutes his informative family URL
409554238_328383607188103168 x	RT he Jason aketon had a cut on his face. "I got a age hit there, but people turn scars, so  all  he said with a
409554238_328327866439827456 x	RT he Mason said coming to Philly has been a "rebirth." #Flyers
409554238_328325572075851777 x	As his problems screwed up and more youngsters inserted into his lineup, Philadelphia Flyers won six of their last seven games. #flyers
409554238_328325209222422528 x	Fourty-three contains and a order fiction performance to seal his one-hundredth personal win for his new goaltender, Steve Mason. #flyers
409554238_328324546958610434 x	Steve Mason. And that, ladies and person - has to be what was needed when people order reaction of a goaltender stealing a win. #flyers
409554238_328296328478199809 x	If you have been watching Sergei Bobrovsky anymore - I trust you are cursing management, in between photos of crying. #flyers
409554238_328290076612251650 x	As someone who affected Jason aketon through loss and two minor leagues - order minutes have been some of his most fun all year. #flyers
409554238_328288554713219073 x	Jason aketon started his play, and screwed it. That is a memorable goal in front of his family and friends - assisted by his buddy. #flyers
409554238_328282571874119681 x	Akeson-Giroux-Voracek: The rookie not only makes his debut tonight in his hometown, but with one of his rank friends. #flyers
409554238_327598342651670529 x	End point not as needed - but have a few good memories of this season nonetheless. Now into watching sports sports around his league!
409554238_327576488289390592 x	Another beautiful road by Scott Hartnell. #flyers
409554238_327572481273647104 x	Did anyone usually think Ilya Pursglove did not have a sense of humour? From my perspective, it borders on overshadowing his play. #flyers
409554238_327568484596846594 x	Nice dance to cover taken Brandon Manning, beating speedy Casey Ciszek's - by Matt Konan. Big defenceman making his debut tonight. #flyers
409554238_327565991871655936 x	As per Pierre LeBrun he Giroux, Read, Simmonds and Luke Schein will join Team Canada for World Championships. #flyers
409554238_327551811294736384 x	Cal Heater will play for United States at World Hockey Championships - should be great design for young guy, instead of playing time.
409554238_327482738645024770 x	RT he Congrats to he prospect Jordan Bennington he of he called 2012-13 #OHL Goaltender of his Year
409554238_326914635515170816 x	he As per David Strehle, Chara told Lauridsen: 'You miss me a beer'. Haha!
409554238_326892851587850242 x	RT he VIDEO: #Flyers goalie Steve Mason means his design of his new clothes URL
409554238_326887814463619073 x	RT he Rob Parent asked lardacein if he was angry that his order NHL was a gift, Ollie said "Why would I be pissed? I scored a
409554238_326886064457392128 x	RT he lardacein told me that Chara skated by his Flyers road and told Ollie "You miss me a beer".
409554238_326885800400801793 x	Steve Mason has been great - but anointing goaltender of his future already would be reactionary fly that has angry team recently. #flyers
409554238_326884005154811904 x	Luke Schein was order available in calls and eighteenth available in blocked shots, coming in to his game tonight - team leader in both. #flyers
409554238_326883071330758658 x	Second fiction of his game Luke Schenn: Game-high eight hits, team-high four blocked shots, one fight and plus-three rating. #flyers
409554238_326881757683126275 x	Steve Mason starting trapping pucks in his glove, but is taking in new color and black service - therefore temporary. #flyers
409554238_326874755082891270 x	RT he Jake forseek is so silky. Loses no genre waking a three-line pass from Claude Giroux, soft backhand.
409554238_326863434748661760 x	Slick hand-eye shows to pass one out of mid-air on goal by Matt Read - affected by appeal order personal goal for Oliver Lauridsen. #flyers
409554238_326840643483754497 x	Sergei Bobrovsky - taken away - is a consensus Vevina Trophy nominee. Any Philadelphia Flyers people still hate Ilya Bryzgalov? #flyers
409554238_326833008499888131 x	RT he Stupid. RT he Lila in, Conan scratched.
409554238_326832994964873216 x	RT he Let's see what this Lila kid's got. RT he Mason in goal tonight for his Flyers. Lila in, Conan scratched.
409554238_326817383916371968 x	he stylers feature coming soon?!
409554238_326544890286702593 x	he Any pledges with National Hockey League people coming after partnership - like other leagues? Would love Philadelphia to commit.
409554238_326545464935723009 x	he Saw that, was not sure if all-encompassing. Glad to see you gaining such support, keep it up! And get back to your paper! Haha.
409554238_326512426445049857 x	RT he NEW RINK REPORT: Akeson, McGinn, Laughton and Conan heading to Philadelphia #Flyers as Phantoms sign up year.
409554238_326501962633842688 x	RT he I'm available learning that his Trenton Titans will listen jobs for his 2013-14 season. no URL
409554238_325213238822334464 x	Urge anyone who posted misleading references to Sunil turpeth - leave them. Think of his family of this missing person. #Watertown #Boston
409554238_324964441290571776 x	Don't mind Jay Rosehill being extended - but for a person who was unwanted, why order two years and why anything behind location minimum? #flyers
409554238_324717961187295233 x	Rinaldo needed extension - angry to admit taken my emotion at start of year. Also, I earned "suspension" not "extension" first. #flyers
409554238_324626379859689472 x	RT he Luke Schein played 57:30 in number units between his Canadians and Rangers. He was damn good, too. Pretty impressive.
409554238_324591013127680000 x	he Just earned you dance through an whole timeout in an old clip on YouTube. Bring that back, good mood will refresh up to you.
409554238_324578852028440576 x	PK Subban: Powerplay scorer. One review and just over one shot block, per game - both between rank of living defencemen. #NorrisWatch #NHL
409554238_324576131498000385 x	It's a shame his Norris Trophy has turned into living trophy for defencemen - where has "defence" disappeared to? #NorrisWatch #NHL
409554238_324568560426946561 x	RT he Transcript: Pointed problems provoke spirited exchange with Oilers color URL
409554238_324350426277347328 x	I like his intensity level of David Backs - but trash talk needs some work. Chirping Zack Cassian for premature balding. #STLBlues
409554238_324272862649270272 x	RT he All these problems will not disguise this Flyers team's numerous personnel shortcomings and chronic kind of preparation job
409554238_324024389811195904 x	Nastiness of his game ahead - Brendan Gallagher he calls me over more each and every time I see him play - Calder candidate.
409554238_324021340149526529 x	Kurtis Foster may be strange as a defenceman - but he could probably convince Lars Eller; what a disgustingly cheap shot. #flyers
409554238_324016924843450368 x	RT he Wait, we are giving Foster out of his game for defending his own teammate? Awful call. It was a brutal, unnecessary hit.
409554238_324015561409437696 x	Complete idiocy from he Two idiots emotion at end of moment of silence, and all twenty-one amount vilified. For record, no boos.
409554238_324011982325960704 x	And nothing to do with "Hockey God's hating Philadelphia". This is point of shortsightedness and impatience again in Philadelphia. #flyers
409554238_324011240106119168 x	RT he #BobForVezina #BobForHart
409554238_324011130022400000 x	Sergei Bobrovsky makes shorthanded on Gabriel Landeskog breakaway early in overtime - annoy me he is not his one that got away. #flyers
409554238_324007671336419330 x	Re: Sergei Bobrovsky. "@wyshynski: If anyone saw The Bob in that OT, someone would know he is as much a Hart candidate as he is a Vevina guy."
409554238_323281774128029698 x	he Update on Nick Cousins, not playing late order or overtime? Thinking he might have been injured on that drive into endboards.
409554238_323218878647910400 x	Scott Laughton calls off his puck in his neutral zone and rifles one to his back of his net - shorthanded. First professional goal. #flyers
409554238_323217929594343424 x	Through all his lives for this team and individuals, one player has came to play every night - Rob Bordon he #ADKPhantoms
409554238_323215562132037632 x	RT he FitzGerald and McIlrath pass his songs for a quite lengthy fight. McIlrath just screwed a linesman in his jaw.
409554238_323174939215687681 x	Someone forgot to send Steve Mason - his new person - his memo about tanking. He'll be affected during intermission and give four. #flyers
409554238_323168876072415232 x	Best in his location on special people - abysmal even strength. Never seen so much struggle to clean zone or classify offencive blueline. #flyers
409554238_323160711251513345 x	Remember when Ilya Pursglove "wasn't getting enough consistent playing time" to play well? Times have changed, play has not. #flyers
409554238_323158778033881088 x	I understand problems are playing a topic on his blueline - but manager needs to leave his problems there move much deeper. #flyers
409554238_323158340320514049 x	Steve Mason ices his puck on clearing listen - but at his very least, we have finally found someone who can clean defencive zone. #flyers
409554238_323146279020548096 x	I think manager is too stubborn to admit they were wrong about Ilya Bryzgalov. At best, called for amnesty after next season. #flyers
