332377929_369252999157145600 x	Feeling sad today..
332377929_375631906374946816 x	swarming FROM THE TOP OF MY LUNGS HAPPY BIRTHDAY TO MY SON WHO TURN number TODAY MOMMY LOVES U!!!!
332377929_372973978014744576 x	1MONTH AND 7DAYS!!!!
332377929_372889617999355904 x	design hours to go!!!
332377929_372848746515951617 x	At work tired is bad could not wait to go home!!
332377929_372756940423962624 x	Got off work at 7 now staying in his bed no on this rain day when supposed to be in his house with my man but is it like that NO!!
332377929_372223179965882368 x	At work bored is s___!!!!!
332377929_371510441706815488 x	Up watching lifetime!!!
332377929_371187210072383488 x	Still up could not sleep watching what is love got to do with it lots on my mind...
332377929_370050507861401601 x	Up could not sleep feeling sad...
332377929_369841531857162240 x	TIRED!!!!
332377929_369383347132190721 x	Still up could not sleep!
332377929_368955955695730689 x	I get myself angry sometimes but not no more cause when do not give a m____ f____!!
332377929_364571412352081920 x	Bored!!!
332377929_362590971311038465 x	Missing him!!!
332377929_362051079585800192 x	Sitting here having a unit of beverage listening to Toni Braxton he was not man enough for me!!! GROOVING!!!
332377929_361726464514719744 x	Up thinking!!
332377929_361482790992224259 x	Still up tired is ____!!!!!
332377929_361343508294012928 x	Tell me why?
332377929_361125290774233088 x	Weak!!!
332377929_360977429814190081 x	I need a life!!
332377929_360977151790563330 x	Im tired but could not sleep
332377929_360784219577913345 x	Im on a mission!!!
332377929_360660122915176448 x	Up could not sleep!!
332377929_360556445147725824 x	To my him how could u?
332377929_360501391116091393 x	Hate him!!!
332377929_360399324485648384 x	I should have been to sleep yet we are tired and bored out but when be ard....
332377929_360255754676080640 x	Its cool!!!
332377929_360017978185625600 x	he when hear that
332377929_360017009917960193 x	I know you miss me!!
332377929_359810781094744067 x	He did it to me once again so bored out!
332377929_333777689020334080 x	Cause he is stupid!! URL
332377929_333371786307723264 x	Just posted a photo URL
332377929_332132335782879232 x	We have to be cause there are lots of DUMB ASS Nogas OUT HERE!! URL
332377929_332131835150737408 x	BottomLine!!! URL
332377929_331793569692147714 x	And when will not give a second look do not get me wrong when love my kids to death! URL
332377929_331666378497064960 x	Cant admit it any different! URL
332377929_331268024617291776 x	My Family Are My World!! URL
332377929_330822644083601408 x	My Guy And His Squad!! URL
332377929_330386793147031552 x	My Guy when Love Him But Can't Stand Him SomeTimes!! URL
332377929_330361057644273664 x	This is what they do all day long just came in from school (GameFreaks)!! URL
332377929_330360321413902346 x	My Daughter!! URL
332377929_330359963182563328 x	She want to be like his Queen Bee! URL
332377929_330359309978439682 x	Chillin!!! URL
332377929_328868849262931968 x	DUMB ASS SHIT!! URL
332377929_327511709919109120 x	So bored out like really!! URL
332377929_327450580073197568 x	So true people are so fucking stuipd! URL
332377929_327208589037035520 x	That's daughter!! URL
332377929_327189318290530304 x	I hate females!!! URL
332377929_327158377018974208 x	Markia!!! URL
332377929_327158134617559040 x	Just me!! URL
332377929_327111239484461056 x	Just like that! URL
332377929_326421698058522624 x	She always trying to be like her big brother!!(Mybabyboyandhis twin) URL
332377929_326420195289751553 x	Just came back from getting my girl from school!! URL
332377929_325384011851649024 x	Im no bored is bad when need a life!! URL
332377929_325356206086574082 x	Im bored!!! URL
332377929_325340974400274432 x	Lil Deeq!!! URL
332377929_325340231597436929 x	My Grown Man Samiir! URL
332377929_325336000962379778 x	PopPop!!! URL
332377929_325327335635173378 x	Just posted a photo URL
332377929_325311600523374592 x	My person URL
332377929_325241220299382784 x	I ask no problems cause when do not will not to hear lies! URL
332377929_325239155724529665 x	That's some real shit!! URL
332377929_325238965579939842 x	Something have to give!!! URL
332377929_325238333041172481 x	REALLY!!! URL
332377929_321841574130614272 x	REAL SHIT!!! URL
332377929_321676202303692800 x	That's where i'm on my way to WORK!!! Fuck you nothing ass BITCHES!!! URL
332377929_321437694376964097 x	malee Paige!! URL
332377929_321437333083783169 x	My love!!! URL
332377929_321437038400389120 x	Just posted a photo URL
332377929_321341408344670209 x	My baby!!! URL
332377929_320222855637921792 x	Just posted a photo URL
332377929_320167631539798016 x	A repost!!! URL
332377929_320132775418142720 x	Just posted a photo URL
332377929_320004124915662848 x	Don't nothing get pass me! URL
332377929_319771350124355586 x	dark_lovely727 thanks for all his love!! URL
332377929_319653647204098050 x	Just posted a photo URL
332377929_319294302641586177 x	So true! URL
332377929_319211678245998593 x	Just posted a photo URL
332377929_319201155081175040 x	Just posted a photo URL
332377929_319141552209403907 x	In his house bored is ____!!! URL
332377929_319140956651786241 x	This is how when feel too!!!! URL
332377929_319099801054638081 x	Im tired!!! URL
332377929_317763844544012288 x	Don't nobody got time for that!!! URL
332377929_317662960417910784 x	Just posted a photo URL
332377929_316784609058766848 x	Just posted a photo URL
332377929_316411849417568256 x	Like yesterday!!!! URL
332377929_316389593777852416 x	Just posted a photo URL
332377929_316389562668687360 x	I had it it is over my head!!!! URL
332377929_316376046159159298 x	Just posted a photo URL
332377929_316246209998241793 x	Duecs!!!!! URL
332377929_316217356366008320 x	Just posted a photo URL
332377929_315389618650509312 x	Just posted a photo URL
332377929_315333474095624192 x	Just posted a photo URL
332377929_315157201406787584 x	Cant admit nothing else!!! URL
332377929_312601208793731072 x	Just like that!!! URL
332377929_312589606010888192 x	Just posted a photo URL
332377929_312342454663798785 x	It's ok!!!! URL
332377929_311301065318490112 x	I stop being angry it is what it is!!! URL
332377929_311149246730625024 x	Just posted a photo URL
332377929_310982020861947904 x	That's it!!! URL
332377929_310057307700617217 x	There are bad of them but that one thing  URL
332377929_309496750425665537 x	Like when did something to them when been nothing but good to people and they giving me there ass to kiss! URL
332377929_309496175961194497 x	Like when did something to them when been nothing but good and they giving me there ass to kiss! URL
332377929_309325077848141824 x	Just posted a photo URL
332377929_302642044751474689 x	Just posted a photo URL
332377929_301667586242924544 x	Str8 like that and in his order!! URL
332377929_300138667039670272 x	So true!!! URL
332377929_300136029216722944 x	URL
332377929_300134637169156097 x	They won I'm done!! URL
332377929_298424041847545857 x	Just posted a photo URL
332377929_297011974720589825 x	I want to earn Pink Pack Perfect! playing Flow Free.vbbhhxbschhhhgfDFFVVCFDOVBBBB URL
332377929_295977786911383552 x	I'm not hanging with it no more URL
332377929_295773020579061760 x	He who sigh order always sigh last remember  URL
332377929_295109958104657920 x	Str8 like that and on that order!! URL
332377929_292317717602631682 x	URL
332377929_292088383075938306 x	She chillin!!! URL
332377929_289496619760635904 x	Ain't I? URL
332377929_289464225229844480 x	Ms.Peterson!!!! URL
332377929_288780207228338177 x	(Made with digram App) URL
332377929_288682841695461377 x	RT he Im So swathable !
332377929_288655509907701760 x	Just posted a photo URL
332377929_288642141813608448 x	Str8 like that!!! And in that order!!! URL
332377929_288351846379163648 x	He supposed to be sick! URL
332377929_286689350375313409 x	With everything.. URL
332377929_286686787399737346 x	I  very much!!!
332377929_286183026952638465 x	On his  my way to his work place.Happy New Year no Y'all URL
332377929_285462034441723904 x	On his  my way to his work place!!! URL
332377929_285153408107827200 x	I mad is  right got here and it is only  us!! URL
332377929_285152806527184896 x	At his  about to do these 16!!! URL
332377929_282312745754427395 x	My baby&Me current problem in his bed watching LMN!!!! URL
332377929_282312224012394496 x	My current problem on this Friday and on my birthday in his bed URL
332377929_282138055656230914 x	Screaming happy  birthday day to  I'm getting no old URL
332377929_281835504192847874 x	My baby!!! URL
332377929_281267374160752641 x	That's  them kids URL
332377929_281117378304167937 x	Thick is always  URL
332377929_279744955960926209 x	Should I keep of go back? URL
332377929_279744660728082433 x	URL
332377929_279684992886517761 x	My  URL
332377929_279684595790790656 x	She went down his drive got to his bottom and calls up got to  URL
332377929_279683920461717504 x	My person waiting for her big family to get out of school!!! She  URL
332377929_279321486811090945 x	One of my  his way to school!!! URL
332377929_279320469868515328 x	My little  URL
332377929_278648608050536449 x	My old man!!! URL
332377929_278648365703639040 x	He play all day!! URL
332377929_278648183909912576 x	Eating  URL
332377929_278647982532993024 x	He making a wish!! URL
332377929_278646873898758144 x	My girl  URL
332377929_278598504228716545 x	The birthday  URL
332377929_278522231271870464 x	Just posted a photo URL
332377929_278497293601210369 x	Screaming happy birthday to my family Poppo who turned  enjoy your day  URL
332377929_278202146409832448 x	URL
332377929_278140339162869761 x	Just posted a photo URL
332377929_278135903355019264 x	Just posted a photo URL
332377929_278000758354477056 x	Just how when feel!! URL
332377929_277228349112348672 x	Lil deek fletcher!!!! URL
332377929_277228054546354177 x	My rank girl samiir(TheKing)!!! URL
332377929_277227260984033281 x	Me yesterday getting my people review card at UICS!!!! A mess!!! URL
332377929_276402966074884096 x	Ima just stay out his way and be quiet!!!! URL
332377929_276402964804018176 x	Ima just stay out his way and be quiet!!!! URL
332377929_275460166680469504 x	My boo!!! URL
332377929_275459757828083715 x	My little person I  URL
332377929_274633617156763650 x	I'm a aware mom!!!! Go  URL
