213454816_284844999198244866 x	he In what way?
213454816_335114797945331713 x	RT he he my vote goes to #nhl14simmonds no #nhl14simmonds no #nhl14simmonds no #nhl14simmonds no #nhl14simmonds no
213454816_335111562345975808 x	RT he Do it again!!!!!!!!! #NHL14Simmonds GET ON THE WAYNE TRAIN RT for double his votes today only! no Get Wayne Simmonds on his
213454816_335111338449833984 x	RT he RT he Do it again! #NHL14Simmonds GET ON THE WAYNE TRAIN RT for double his votes today! no Get Wayne Simmonds on his
213454816_335101811914579968 x	RT he if you are a he fan and should have search for he yet reaction re you doing?? Go vote! #NHL14Simmonds
213454816_335101394354843649 x	RT he #NHL14covervote twitter voting works for double today! Help he convince Tavares by tweeting no #NHL14Simmonds or
213454816_335101290940088320 x	RT he he he It's Thursday, time to start voting for #NHL14Simmonds for his #nhlcovervote
213454816_335101221700501504 x	RT he he #fans have your voice learned vote application : #NHL14SIMMONDS #NHL14SIMMONDS #NHL14SIMMONDS #NHL14SIMMONDS
213454816_335100921245745152 x	RT he Philly's goal today should be to get #NHL14Simmonds trending. he
213454816_335100851964223489 x	RT he he #NHL14covervote he no #NHL14Simmonds let me go ! redweed
213454816_335100765880320000 x	RT he How about everyone votes for he so we can get another he on his cover! #NHL14Simmonds #NHL14Simmonds
213454816_335100691364327424 x	RT he Votes answer double on sunday for he to be on his NHL14 cover just tweet #NHL14SIMMONDS. #NHL14Simmonds
213454816_335100467535298560 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335100407179251712 x	RT he #NHL14CoverVote #NHL14Simmonds
213454816_335099744928010241 x	RT he Get your ass to a mobile project or item and vote for #nh14simmonds no he URL no or
213454816_335099680444776448 x	RT he  Get your a**es to a mobile project or item and vote for #nh14simmonds he URL or
213454816_335099500286849024 x	RT he he RT? #NHL14covervote twitter voting works for double today! Help he by tweeting no
213454816_335099345726734336 x	RT he  Get your a**es to a mobile project or item and vote for #nhl14simmonds he URL or
213454816_335099233470386176 x	RT he it is twitter vote thursday! #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335098732490133505 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335098638848106496 x	RT he GET ON THE WAYNE TRAIN he #NHL14covervote twitter votes are worth double today.
213454816_335098568492843009 x	RT he  GET ON THE WAYNE TRAIN he #NHL14covervote twitter votes are worth double  #nhl14simmonds
213454816_335098481674952705 x	RT he Tweet or retweet #NHL14Simmonds to over take Tavares in his race!! Worth double his votes on twitter today
213454816_335098365245263872 x	RT he Yeah Fridge. RT he GET ON THE WAYNE TRAIN he #NHL14covervote twitter votes are worth double today.
213454816_335098253811003392 x	RT he #Flyers people went boffo last time application he in his NHL14 cover vote, reveals he won. But he is trailing today. redweed to
213454816_335098082507239424 x	RT he #NHL14covervote twitter voting works for double today! Help he convince Tavares by tweeting #NHL14Simmonds or
213454816_335097990945570816 x	RT he Support he #nhl14simmonds in his #NHL14CoverVote! Show your support and retweet!
213454816_335097051316617216 x	RT he he he he #NHL14Simmonds
213454816_335096930097037312 x	RT he RT he  GET ON THE WAYNE TRAIN he #NHL14covervote twitter votes are worth double
213454816_181466153162522624 x	he great game today between Pittsburgh.
213454816_335096850799529984 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335096782990221313 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335096699615838208 x	RT he #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335096608465223680 x	RT he #NHL14covervote Twitter voting works for double today! Help he convince Tavares by tweeting #NHL14Simmonds
213454816_335095715887980544 x	RT he #NHL14 cover vote Twitter voting works for double today! Help he convince Tavares by tweeting #NHL14Simmonds or
213454816_335094822958415874 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335094614631518209 x	RT he Everybody retweet this and tweet #NHL14Simmonds, let me keep going.
213454816_335093676017586176 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_335093577006841856 x	RT he he RT #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds #NHL14Simmonds
213454816_332569115858444288 x	RT he Wayne Simmonds has taken his fight between Evgeni Malkin in his year NHL Cover Vote! redweed this and keep tweeting
213454816_332558506332925952 x	RT he Everybody retweet this and tweet #NHL14Simmonds.
213454816_331867072357359616 x	he congratulations on signing with his Phantoms Look forward to seeing you next year.
213454816_328998449133543424 x	he how many draft calls no do his Flyers have this year ?
213454816_328960841816891394 x	he how many draft calls do his Flyers have in his year draft ?
213454816_325744634519228417 x	he go get them boys.
213454816_323556843177783296 x	he congratulations on his game living kiss out goal.
213454816_323528952129929216 x	he of all his ufa's, who belong back next year ?
213454816_323208501096763393 x	he of all his ufa's, who belong back next year ?
213454816_323158021549219840 x	he of all his UFA's , who has his rank chance of coming back next year ?
213454816_322873368774844416 x	he Who of his UFA's have a chance of coming back next year ?
213454816_319549510000988160 x	he How has Flanagan looked since giving his Phantoms?
213454816_319272967127322625 x	he any chance Cousins gets number games this year like Laughton got ?
213454816_317793898007261184 x	he since giving his Phantoms how has Kyle Flanagan looked? sports potential or Ahl lifer ?
213454816_317753662220935168 x	he any chance you seen Kyle Flanagan play since giving his Phantoms? sports skill or Ahl lifer ?
213454816_315934579489927168 x	he how has Flanagan looked play wise ?
213454816_311653092808617984 x	he I like Danny, but I think his time here is over. He looks out of place in this line up.
213454816_302923328778293248 x	he Kimmi is now playing
213454816_300052794428252160 x	he Other than scoring, what else is his problem? level of talent?
213454816_288749652268961792 x	he Now that his game is over, any chance propper sports returns?
213454816_287997621174419456 x	he he he he What time ?
213454816_261537013201784832 x	he Is it me or have I been learning Pursglove changed a lot lately? He's playing that bad?
213454816_260866356709322752 x	he Best of luck in his World Series.
213454816_260142579721592833 x	he Any update on Voracek's body part injury? Still 4-6 weeks?
213454816_259416840525209603 x	he he He had his right idea. The more you win his more you get paid.
213454816_257931387049480192 x	he Since your always talking about Notre Dame. NBC sports network tonight 11 PM, 125 anniversary of Notre Dame football. Comcast848
213454816_255823674446319616 x	he no any word on Voracek's injury? How serious?
213454816_255826888210132992 x	he Thanks for his info.
213454816_255818166972866561 x	he any word on Voracek?
213454816_255383695186329602 x	he rank of luck, be safe and Hopefully someone will see you back here in his NHL soon.
213454816_253617342339219456 x	RT he Bank of America is using a amount for each tweet with #troopthanks to support troops. Tweet it please. he he job
213454816_252169645216374784 x	he your computer on Matt Ford, In 11-12 between phantoms/bears 29g/30a. could he pass to make Flyers roster when season starts?
213454816_250010473074937856 x	he not as sore as tomorrow morning.
213454816_249630098230218752 x	he what are your plans until game ends? Staying local, online or something else?
213454816_247849403640066048 x	he how are you feeling from your summer hip surgery?
213454816_240224051447099393 x	he have been fined, suspended and you classify big hits. You play on his edge or over his edge. In other words his perfect FLYER.
213454816_230386193597100033 x	he Best of luck in San Francisco. Enjoyed your time here in Philadelphia.
213454816_229682912495296512 x	he Season was over a long time ago. Too many problems to start.
213454816_227948885623066624 x	he Your computer on Matt Ford,. Could be make his Flyers opening night roster?
213454816_221768853426929664 x	he Welcome to Philly. Best of luck this year.
213454816_221703597560303616 x	he now that Matt Carle is no longer here any plans on starting your number back to 25 ?
213454816_221413105207480321 x	he welcome to Philadelphia. Good luck this season.
213454816_220697165608128513 x	he Best of luck in Tampa Bay.
213454816_218823990511280128 x	he What Phantoms player(s) could sign Flyers starting roster this year?
213454816_218875696842407937 x	he Any chance of Ford or Cousins
213454816_216666921439997952 x	he your computer on his JV - Schein trade.
213454816_216655505429499905 x	he Best of luck in Toronto.
213454816_212625846496788483 x	he congratulations to you and his kings on living his stanley cup. well deserved.
213454816_211575636618256386 x	he J. Quick
213454816_209811540621262848 x	he happy birthday
213454816_207292718920110080 x	he no Welcome to twitter Braden
213454816_207175477054541825 x	he he is out with tightness in his right hamstring.
213454816_206894311881707520 x	he is Houser screwed by any sports team?
213454816_206541107641843714 x	he matt, how are you feeling after your surgery?
213454816_206543191837646848 x	he whatever happen in his summer to you, rank of luck in his future.
213454816_205423609894801409 x	he Congrats to you and his La Kings for making his SCF. Good luck his rest of way.
213454816_204710648041586688 x	he should be 179 pounds.
213454816_201469110213816324 x	he what happened to Galvin when Utley is ready?
213454816_200759372765339649 x	he have a safe trip.
213454816_199984505359044608 x	he O so right.
213454816_196024139868413952 x	he how much of Brzy's numbers were inflated because of his food fracture?
213454816_194967191890837505 x	he good luck and a speed recovery.
213454816_194947436828037121 x	think JV before his draft is done to Toronto for Schenn?@BroadStBull
213454816_189126033100906497 x	he I hope you give his Flyers super of a chance. Since nobody else is.
213454816_188789150567247873 x	he flyers non roster players, there is no listing for Denis Hamel.
213454816_188079063297048578 x	he had nothing to play for.
213454816_186981147283161089 x	he 9 unit
213454816_178197280032161792 x	RT he To share 200 followers, we are giving away an official Game Jersey. no Enter to win by follow this. Winner sele job
213454816_177567912897425408 x	he you probably have been asked 1000 times. How is your rehabbing going?
213454816_175413419510468609 x	he Get well soon James.
213454816_167078360579706880 x	he in year as a member of his Philadelphia Phillies did you EVER hit a upper deck Homerus at Vet Stadium? If no so who has it?
