38890294_395602457008418816 x	Hey can anyone help me turn out this survey? Its for my family project. Thank You! URL
38890294_375678733497413632 x	Brilliant series #Sherlock, his item angle, his soundtrack, his clues, his plot. Genius!
38890294_374263792076861440 x	Watched #Serenity. Why oh why did they have to share #Firefly. And #Wash oh Wash.
38890294_374202354431967233 x	Just started watching #GameofThrones Damn! Why am I always late to his party? I miss out on so much.
38890294_373767077804638208 x	Rereading #HarryPotter. Now I love Harry, but I could not stop thinking about #TamoraPierce. I feel like I'm cheating on Harry.
38890294_373679508031021056 x	Been staying in his #waitingroom for his past #hour #waiting obviously.
38890294_373677143655723008 x	That feeling when your #favorite #song belong on and you just involuntarily #smile
38890294_373500419890499584 x	Watching #Sherlock again. Can't stop looking at it is #brilliance and could not stop giggling. Especially could not stop #giggling.
38890294_372436337087221760 x	You know why I am better at playing #videogames because I #read his #instructions and play his #tutorial. I do not know why you won't.
38890294_372435836777689088 x	Had a #MiniHeartattack when my #scooter skidded in his #mud on a desolate #road and did a complete 180 and then reaction into a #pothole
38890294_372411927378796544 x	#ChennaiExpress I love how #IndianMovies can justify living #women as #spoilsofbattle #Prehistoric #Barbaric #GenderInequality
38890294_372411871372279808 x	#ChennaiExpress It started out #Meh but in his second amount it just totally lost me. #IndianMovie #NoLogic #NoSense #Repetitive
38890294_372400968874606593 x	In a #Theater a #Fidgety #kid next to me and a Fidgety person behind me giving my seat. #Awesome #DreamComeTrue
38890294_369374908666503168 x	Interesting... The Man Who Thinks He Never Has to Eat Again Is Probably Going to Be a Billionaire Soon URL VICE URL
38890294_368313594490150912 x	#Secret #Confessions I like practising shows to problems that I'll be asked when I'm #Famous Is that #weird? Nope.
38890294_368313235608702976 x	I'm needed for #bigger and better things. What they are is a well keeps #secret even from me.
38890294_367621846386372609 x	The #brain is a beautiful object, it starts working his moment you get up and does not stop until you get into his #office #RobertFrost #Quote
38890294_366610899726893056 x	The finished product. #Homemade #Pizza for #Dinner. URL
38890294_366610369759821825 x	#Pizza in his making... URL
38890294_366281960005455872 x	So True, it is sad. When I see Indian text on animals rights URL URL he URL
38890294_366276469422432256 x	He he #Totoro #Howl #Sophie #Chihiro #NoFace Damn you #Miyazaki but oh THANK YOU SO MUCH
38890294_366263009380810753 x	#Watching #MyNeighborTotoro I could not watch #Miyazaki #films, because now I just have to go back and watch all his other works.
