352031362_385046214200139776 x	he Great lesson: "If you reply myself down, trust to be walked on!"
352031362_139177046340415488 x	he Great job!! no Rooting for you!!!
352031362_138301674874880000 x	he Ur good to answer my tweet! no You've come a long way and turned your life into something great! no All his rank to you and Amy!
352031362_137874469199937536 x	he Great order week! no Glad I can still listen from PA! The tips you gave his person with his Caveman was spot on! Way to go!
352031362_136278463312183296 x	he Do not be disappointed! no You did wonderfully! no I search many times! no You're a beautiful dancer even with a inappropriate ankle! no Love you!
352031362_136094497988816896 x	he no Listening from Philly! Got up at 5:45 unit to listen! (forgot about his time difference! why Great show!
352031362_129925373138964481 x	he Watched you on AMC from his beginning! no Your dancing problems are as good as your act skills! no Keep up his good work!
352031362_128652422380920832 x	he You did a great job tonight!! no You screwed your songs up! no Yay!
352031362_128646241922990080 x	he All I can admit is....WOW!
352031362_127378365354213376 x	he Is your holiday video on his internet yet? no Or, will it be? no We do not have cable anymore. no Would love to watch it!!!
352031362_127172226117152768 x	he That's why I classify my family safety goggles! no laugh
352031362_126494596535562240 x	Who was search off DWTS??? no I love it!! unhappy
352031362_126494428302016513 x	he You're doing a beautiful job with him! no Don't mention myself up! no We all make mistakes. You gave him you are human. no Love U
352031362_126432025111560193 x	he Ur a good dancer but you need to refresh your songs up off his floor!! no I could not believe we are not telling you that! Good luck!
352031362_126324867615293440 x	he Been there, done that! no Have them all out while you are young! no It's MUCH more on your recovery! no Believe me! Good Luck!
352031362_125982951166054401 x	he I'm not sure my text are getting through to people, but I hope things work out for you for his online show. no We love to watch you!
352031362_125936095778177024 x	he Just earned your show with John Edward. no Your family is beautiful outside and out! no John Edward is awesome and you are, too.
352031362_125353636036493312 x	he I'm sure someone will do just fine! no Don't get discouraged. I promise Karina does not mind at all. no You're a good guy!
352031362_124648968440381440 x	he Way to go! no Just earned Leno! You did great!! Can't wait to see Ellen!
352031362_124628056299147264 x	he Happy Birthday!
352031362_123579899058466817 x	he You did an EXCELLENT job tonight!! no Love to watch you both dance!
352031362_123396008125276161 x	he Looking forward to your next dance! You're doing a GREAT job! no Wonderful dancer!
352031362_121029001933361152 x	he Smile! no You're beautiful!
352031362_120936979440467968 x	he M&Ms are great! no Pretend your coughing and sign a couple in your mouth! The more health conscious family would admit raisins. laugh
352031362_117927832172236800 x	he You're tribute to AMC was very well done!
352031362_116329486001246208 x	he Yaaaaay!!!!
352031362_116304399646728195 x	he You know your eating is good when they eat his leftovers!
352031362_116235587404562432 x	he Beautiful job last night! no happy
352031362_111246190766596096 x	he Sorry! no For Touchpad, that is.
352031362_111243542550159360 x	he Would no you please annoy me where I can visit to be notified by email of his next release? no Thanks.
