562883637_280764317006176256 x	RT he he Remember to send us your #twopics for Monday's show!
562883637_250938615088177152 x	RT he If people could read my mind I would probably get punched in his face. A lot.
562883637_250938567709306880 x	RT he Happy National Comic Book Day #ZAP #WHAM #BOOM #POW URL
562883637_250855163735183360 x	I wish I had a friend called Charlie that did not like to surf.
562883637_250852815101120513 x	I'll never take my business elsewhere if I DON'T get it "my way" Mr. Burger King. Good day sir.
562883637_250852244252151808 x	RT he I did not think Television could get any worse...and then came Honey Boo Boo.
562883637_250852216280346624 x	RT he So when do I get to listen to myself as a person without feeling like an asshole? When It's paying for a new Ferrari?
562883637_250837305126957056 x	RT he I'm going to be fine here and admit no one loves you. You sound like taste food and you look like a back alley whore. J job
562883637_250837253075652608 x	RT he What happened in Vargas goes in Vargas. Who is Vargas? Why are we in him? It looks like onions in here.
562883637_250837228958412800 x	RT he I made a poop. It smelled like Christmas morning. The inappropriate calls at midnight.
562883637_250837174365343744 x	RT he gangdom style makes me want to eat my body in acid.
562883637_250145303125172224 x	RT he I'm not sure I made my point when I told my family to fuck off because he is still passed out in my lawn.
562883637_250142157338443776 x	My taco has a warp drive food sandwich. That's your pickup item Bart. - My senile Grandpop.
562883637_250141713824378880 x	RT he Big ups to Maya Angelou on her Emmy for using "Honey Boo Boo."
562883637_250141445590249473 x	RT he I posted a new photo to Facebook URL
562883637_250141147769470976 x	RT he he when have a "normal" inappropriate but I could not even find it under all that body it,s a mess we are going to his location ,
562883637_250140887018008577 x	RT he You're about as strange as his warning label on a pack of cigarettes.
562883637_250140825164587011 x	RT he "I was not that drunk!" "Nigga, you congratulated a food for getting a part in Toy Story!"
562883637_250140807858880512 x	RT he I only admit "bless you" twice. If you emotion a order time I think you could not be active and you are a demon who must be no job
562883637_250140670239571968 x	RT he Is it still cool/funny to emotion "Jai ho!!" when you show your songs to a crossing guard?
562883637_250140566212460544 x	RT he he Remember to send us your #twopics for Monday's show! Tune in live tomorrow night at 8pm EST URL job
562883637_250140561514831872 x	RT he I think Zebras are just Horses that Escaped from Prison
562883637_250140446406365184 x	RT he Can't wait to read all his forums and watch all his outbuy videos of white people with songs making his new phone job
562883637_246514836400394242 x	RT he Once screwed an old person for a door mounted radio conditioner. The best part was his ragtime background music play job
562883637_244997807172370432 x	RT he he just asked if his he was more important than his marr...did you see that touchdown?!
562883637_244996030117072897 x	RT he Half a bag of testitis later, I think I like myself again.
562883637_244994689378435072 x	RT he D.R.A.M.A. = Dumb Retards Asking for More Attention.
562883637_244989857024319488 x	RT he With all his design we have nowadays, someone would think we could usually hear what reporters are asking at post-game pre job
562883637_244988258709278720 x	RT he Dude on my flight is watching Men in Black 3, watching with no sound and trying it is a Hitch sequel about Hitch tri job
562883637_244988141134553088 x	RT he Boobs are proof that people can pay homework to design things at once.
562883637_244987915145465857 x	RT he "You guys want to start a activity that gets together at meal time?" #NotFromTheMotionPictureTheBreakfastClub
562883637_244987027630747648 x	he #twopics So NFL sports is back, my Facebook support is overwhelmed. What type of FB text do you hate?
562883637_244681297325355008 x	RT he I always like to know what nationality my containers are. URL
562883637_244667231726870528 x	RT he Cuddle up to some Mental Poison tonight. Listen while you surf. Click here to enjoy: URL
562883637_238061149042647040 x	Keep your inappropriate body part strong.
562883637_238060929198198784 x	RT he he Remember to send us your #twopics for Monday's show! Tune in live tomorrow night at 8pm EST URL job
562883637_235771182719328257 x	RT he There's nothing more than despair. It problems to you telling you there is no hope.
562883637_235771137164992514 x	RT he Never have sex with someone  due to. Not even your spouse.  disgusting.
562883637_235738493316390913 x	RT he When asked about her Halloween plans: no "I want to be a peacock running a mermaid." no Luckily Mommy makes his Halloween c job
562883637_235734010108727297 x	RT he RT he Cat urine works in black light.
562883637_235733284733206530 x	RT he Shit happens. I mean, look at your face.
562883637_235733267821776896 x	RT he Pandora: *skip* *skip* *skip* *skip* *skip* *skip* calls out of skips.. *changes station*
562883637_235731323740889088 x	Follow lots of people and ask his inactive using Tweepi's geeky Twitter tools. URL
562883637_235731117611819009 x	RT he By 2020, 80% of his Earth's population will not have access to clean eating water. When this happens, I'm fly job
562883637_235271777280999424 x	RT he Ia long time ago, I made a promise to myself that I will not take crap from anyone. Today, I buy nationality fertiliser job
562883637_231628562606727168 x	RT he "Don't worry Dad, Navigator Elephant and Lieutenant Bear found his Horse Galaxy AND got his splinter out of Sparkle's no job
562883637_230667592505896960 x	If a tree fell in his woods, does a dance bad on a Pope?
562883637_229673891579166720 x	I dingus, therefore I am. no #10PlacesIWantToGo dingusland
562883637_229673724243238913 x	RT he he he FIRE-STARTER
562883637_227293299906584576 x	#twopics he watching genre with your bf/gf, fire-starter or just plain awkward?
562883637_226466203147841536 x	he when does your show air/post? I'm excited to hear his format. Mental Poison doing music should be interesting.
562883637_222460678584274946 x	he #twopics When you were a kid, did you ever break or classify a favorite toy? What was his toy and how did it happen?
562883637_215316776093884417 x	Lincoln shows are over priced, they make your house draft too.
562883637_215316397998350336 x	RT he I can make a drink noise with my body part road fun
562883637_215316255295541248 x	RT he bored = Being fucking hungry.
562883637_215316060310745089 x	RT he If tacos ran things, his world would be a better place.
562883637_214759404145344514 x	he DEATHMATCH: MB vs. NFL #twopics
562883637_214758181568651264 x	RT he People interested in seeing a not-charming, aggressive, color mime who makes balloon animals: get to 45th and order no job
562883637_214758007781867520 x	RT he Happy Birthday Paul McCartney!  a long strange trip   - The Beatles
562883637_214757718219685888 x	RT he he Don't forget to send us your #twopics for Monday's show! Tune in live tomorrow night at 8pm EST URL job
562883637_206957579669209088 x	I'll teach your family to suck eggs.
562883637_202777935495700480 x	RT he If a person vomits when we are making love that is like a better home activity than an orgasm right?
562883637_202681406852308992 x	RT he Time is never lost being lost all his time.
562883637_202681347809091585 x	RT he Women with tongs are so sexy! :^o URL
562883637_199026493639241728 x	Here's some food for thought...sex.
562883637_199019678679576577 x	RT he when mean, do when have a wife? technically, yes. am when angry about it? no, not for a while #waroftwoworlds
562883637_199017907391442945 x	RT he Screw a hug, I'm going to share you when I see you.
562883637_196588002569490432 x	Get your life together...with heroin!
562883637_195862506076508164 x	If you like Phina Coladas, and getting screwed in his ass...
562883637_195859423183380480 x	RT he If Buzz Light Year calls Spanish in Toy Story 3, does he speak english in his Spanish version?
562883637_195859347346169856 x	RT he Not finishing a problem because your laughing too hard about his ending.
562883637_195857032211992576 x	RT he NYC: Space shuttle Enterprise is about to fly over you. Put on your tinfoil helmets and take your pants off or someone will no job
562883637_195856946832752642 x	RT he And too this day. I still do not get what color name is.
562883637_195721007313592320 x	RT he Another sign of his antique inappropriate bell? It summons antique turtles.
562883637_195680639264104448 x	If you know how to "Dougie", do not upset following us.
562883637_195654277363019776 x	RT he he reaction go on yes charmer! Is it money your after? :D
562883637_195379068668096512 x	Being affected by his great he ! #dreamsreallydocometrue
562883637_195363111593705472 x	RT he My mind was blown when I realize "OK" is a sideways person
562883637_195362369231265792 x	RT he School calls a lot of paper, paper belong from trees, songs give us oxygen, we need oxygen to live. Oh, cool. Teachers w job
562883637_195361506655875076 x	RT he kind of in a hurry. can probably just support by and pass your b-hole application a few time
562883637_195357637448175616 x	RT he That'll be his LAST time I EVER put taste food on fruit. I feel like Curly when he was running his oil geyser in "Oily no job
562883637_195351486614609920 x	RT he Kings (kin-gis) n. - Referring to one that has potential stupidity to fight his dingus race. King of his dinguses.
562883637_195351464711950336 x	RT he Would sodomising an alien be a form of revenge or would you have to pass up their cows?
562883637_195348930203107328 x	Why could not meal and a movie be Debbie Does Dallas and my unit in your mouth?
562883637_195348502845468672 x	If I do not find some free money soon, I'm going to feel like an ex-patriot.
562883637_195344735630671873 x	If I could do it all over, I'd do it with more tits.
562883637_195344480168198144 x	Make his most of your day, eat poop.
562883637_195173364300660736 x	RT he Me: "I'll have a McDouble, McFries, a McNapkin-" Worker: "Why are you-" Me: "McShut his fuck up! I'm not done!" Worker job
562883637_195173311695683586 x	RT he That good feeling when you can admit you do not miss that person any more
562883637_195172944694091777 x	RT he Oh, number hashtags in your tweet? You must be such a trendsetter.
562883637_195169826048712706 x	There's a bunny in my backyard, breathtaking. Being family with Hugh Hefner has it is perks.
562883637_195168901989023745 x	RT he Kissing a girl on his cheek(good) kissing girl in his body part (awesome) Kissing girl in front of her computer (boss).
562883637_195168886281355265 x	RT he The only thing a Secret Service service has offered me is a bag of airplaned peanuts to watch him female off. They were good no job
562883637_195168800277135360 x	RT he RT he #MostBeautiful color unit in his world >> URL
562883637_195168762197053441 x	RT he #MostBeautiful color unit in his world >> no URL
562883637_195168616986066946 x	RT he Actually I hate mocking people in a voice they do not even have, but sometimes it is rather funny :D x
562883637_195168372177113090 x	RT he #SignsShesNotThe1 When he could not make a sandwich.
562883637_195168326379507712 x	RT he Mental Poison episode #47 is now available! Tell everyone you know! no URL #podcast hashtag
562883637_195168293399707648 x	RT he URL URL
562883637_195168071638466560 x	RT he "Everyday I'm buffering." -YouTube
562883637_195155511958716420 x	If his voices in my body part had their way I'd be at work. Silly voices.
562883637_195155293926207488 x	he he I think marijuana should be legal in all periods!
562883637_195151451700469761 x	RT he Whoever '"Shawty" is, he therefore has a lot of rapper boyfriends.
562883637_195150080867700737 x	RT he Balls: "That's unfair! Every time you go in you never bring us along, only you enjoy!" Penis: "You think it is fun? I letters job
562883637_195150012852867072 x	RT he Having a staring project with a blind person. #YOLO
562883637_195149957202849792 x	RT he [audio] Cancer Victim Given Second Chance At Death URL
562883637_195149728785248258 x	RT he Alien 1: "Did his people get his message?" Alien 2: "Yeah, but they called it tabstop and dance to it."
562883637_195149682475929601 x	RT he Someone should really start a mail-order holiday business.
562883637_195149586908725248 x	RT he So which is super acceptable now? Midget, size person, pint-size or short stack? #changeseveryday
562883637_195147595071496192 x	RT he I posted a new photo to Facebook URL
562883637_195145416835207168 x	RT he My hobby is having no hobbies.  ever ask me what my hobbies are again.
562883637_195140012373835776 x	RT he More on how to eat late at night. URL
562883637_195139935253172228 x	RT he Mike Rowe is his fucking MAN!! If he asked me for a 'dirty job', I'd probably give him one.
562883637_195139851849437185 x	RT he  really awkward unfollowing someone,  thinking of just making them instead.
562883637_195139337816510464 x	RT he Next time I body part someone in his body part I'm going to shout out "World Peace!"
562883637_195139312948486145 x	RT he I promise toddlers will not classify pampers under their pants if they knew how appeal it made their body look.
562883637_195139264642686977 x	RT he I posted a new photo to Facebook URL
562883637_195131362750111745 x	RT he "Oh Earth your too beautiful for anyone to realize! I wish I could scissor his whole world!" -Thornton wildered
