963038778_336131702323806208 x	Putting together my list of his 50 rank movies from his 1970s. Got any nominees?
963038778_386672685817663490 x	This Flyers season is taking an informative early turn. Oh, and by his way, I miss Danny Briere.
963038778_386674144122634240 x	he Didn't admit Brier is a difference maker, just said I miss having him on team. They've got more problems.
963038778_337879497032470528 x	Did Philis call up Michael Martinez so that Ben Revere will not finish last in his clubhouse arm-wrestling tournament? I see no other reason.
963038778_296357086567202817 x	Six years ago tonight, I was working night shift at WIP when Jan Gorham announced, "Barbaro URL URL URL he is DEAD!" no Man, I miss Jan Gorham.
963038778_286872243928178689 x	My vote? Denver offencive Coordinator Mike McCoy for Eagles body part coach, Lovie Smith as defencive Coordinator. And Bill O'Brien goes at PSU.
963038778_392470242078646272 x	If Victor Cruz can get just 200 more units tonight and four more touchdowns, I'll mention he in his WIP Fantasy Football League.
963038778_387019132258234368 x	he when will admit Saturday am's with he and are diddy is his rank radio in  Thanks so much URL
963038778_377236898919747584 x	Sconces, Schmonces.
963038778_398895364956491777 x	he FS1 learning that Andrew Bynum says holiday is a   What do you  I vote yes.
963038778_376815333287661568 x	Did everyone enjoy seeing Nnamdi get taste as much as I did?
963038778_399631640500371456 x	Only two units lost by that faux fumble, but another bad call by refs.
963038778_399611958582079488 x	WHo's giving Chip tips on that failure to challenge? That's often going to cost Eagles points.
963038778_368555555964477440 x	They're all mine now, Rayne Sandberg. Good luck.
963038778_357693888565223426 x	"You want me that wall. You need me on that wall." Top number movie monologue of all time,
963038778_368433222432354304 x	Question: Who did a more job over his past two units URL Charlie or Ruben?
963038778_394924850554626048 x	he you use every chance you get to down Vick and he is one of his rank QB's in league!" Not in top 15.
963038778_394908693604868096 x	In his battle of angry, irrational, strange Eagles QB family - I'll take he over he any day.
963038778_291673901979795456 x	My thought on Vick: why would a rebuilding team want to keep an old, expensive broken-down QB? You're looking at his future, is he that?
963038778_291647376702181376 x	No way that Mike Vick belong back to his Eagles under Chip Kelly. No way.
963038778_291009530194714625 x	Watching "Cobb" on MB Network. A great sports biopic that is being changed no by his bleeping out of every word more that "drat."
963038778_288010960457850880 x	I hate that VW ad with his family who contains a sports like a number y-o biddy ball girl. Bad parenting.
963038778_277534189778259969 x	25 years ago today I was at his Spectrum when Ron hexitol scored a goal. Damn, I miss hockey. Mostly, I miss seeing hexitol in his prime.
963038778_276085465164165120 x	Trade Cliff Lee for Justin Upton? Uh, no, I'll pass.
963038778_276029431489916928 x	Daily number question today: Who's his ultimate Philadelphia sports enemy?
963038778_275652743392268288 x	he Sure don't.
963038778_275643477017104384 x	Read this informative project by he summing up his Washburn fiasco. "Wash his Mudd out."
963038778_275456187342917633 x	Was Fowles just giving his body part in pain? Looked that way to me, but computer guys said nothing.
963038778_395301776435728385 x	Who his hell is he to annoy Eagles people how to cheer? Go back to Eugene you ingrate.
963038778_395647596288413696 x	A huge Who's That Guy coming up at number on 94-WIP. You really want to step in for this one. Or call in (888-729-9494) to classify Ant's Primo $$.
963038778_386458683929931776 x	PROTECTED
963038778_394495290083782656 x	This Vet turf will be buried in his Linc today. no It will change his mojo. URL
963038778_386940161311129600 x	Run his ball, Chip!
