899147978_391530103634939904 x	RT he I would sleep so much better if you were by my side..
899147978_308709723845304320 x	he love realizing that my #number1fan needs to me all his time #bestgirlfriend #loveyou #YDST
899147978_308686149566742530 x	RT he My bed seems more comfy with you in it.
899147978_308355254087471104 x	RT he I just want to relax right now and watch movies.
899147978_308295467056394240 x	he What an awesome weekend we had together, how about it? happy #loveyouuuu #<3
899147978_308295207038894082 x	RT he I'm seriously angry but I have no earthly idea why a sports TV project with quality, personality-filled analysts opts to g job
899147978_307926103446667265 x	he #powerful
899147978_307659243748745216 x	RT he So Joe FLACC is now his highest-paid player in NFL history...until his Packers get their deal done with he
899147978_306874775580594176 x	Who needs to be in a Harlem Shake video?
899147978_306783231880069121 x	he Warming up my body part now person wink
899147978_306592951411277824 x	For no real reason, I want to put a sports really hard. At nothing in particular, I just want to put a football.
899147978_305927074500182016 x	All that works is what you do next #allin
899147978_304941535236067328 x	he I'm doing so well right now, and someone will be seeing a lot of me come fall semester!
899147978_304838995928555520 x	he How are you?!?!?! It's been too long
899147978_304800385179209728 x	he NINAAA!!!!!!!
899147978_304800349624090624 x	RT he Even if you know how something is going to end, you can still enjoy his drive
899147978_303396948394790913 x	he he he no he he he
899147978_304382431723655168 x	he he he he he he Hello miss you guys happy
899147978_304489630584147968 x	he he he he he he Doug, just have Charlie to text me when it is safe laugh
899147978_304209447352426496 x	he Either they do not show up or they show up and do not do their part
899147978_304440695341600768 x	he #solodolo
