78811893_398246952170565632 x	he It's rank to just leave them.
78811893_398973548913385472 x	Caves rookie Anthony Bennett is eating his right shoulder. That's not good.
78811893_398973385041924096 x	And a refresh rises up in South Philly. Not because his #Sixers took his lead, but because Bynum love a shot.
78811893_398972519702466561 x	Andrew Bynum is playing as good as a 7-footer who could not fly can, which does not admit much. Still, #Sixers doubling him on offense.
78811893_398971282722533376 x	Good news: Sixers held his Caves to more than 30. Bad news: Sixers scored 14 first-quarter points. Woof.
78811893_398971045698236417 x	Andrew Bynum units lavy Allen's shot, then units his secondary shot. And he was affected with URL real kiss URL boos.
78811893_398970621314342912 x	RT he I hope everyone is calling Sixers-Cavs his "Bynum Bowl" and that everyone gets it.
78811893_398970230417793024 x	Andrew Bynum contains down a defencive rebound...and gets booed. Predictable.
78811893_398969373185945600 x	"Bynum sucks" chants picking up steam here.
78811893_398969242092986368 x	RT he Touching reaction from his Philadelphia crowd, who emotion "DREEEEW" to their beleaguered nationality location
78811893_398969089504186368 x	It took more than a year, and a project from another team, but Andrew Bynum has taken his door at Wells Fargo Center.
78811893_398969062966837248 x	As expected, lots of boos.
78811893_398968903356805120 x	Andrew Bynum is getting ready to check in at next stoppage
78811893_398968821165203457 x	Andrew Bynum is off his bench.
78811893_398967850745856001 x	Sixers down, 17-8, at order timeout. They should have been off to a good start since Miami game.
78811893_398968227193044992 x	he Oh yeah. Simply his best.
78811893_398964795828752384 x	Well, no introduction for Andrew Bynum (yet) job because he is not starting. Hmm. Wonder how someone will go down when he shows in.
78811893_398962148392443904 x	Chants of "Bynum sucks" and "Let's go bowling" can be learned at Wells Fargo Center. #sixers
78811893_398960960771067904 x	#76ers blog: G/F Hollis Thompson "could be a keeper," #Sixers coach Brett Brown said URL
78811893_398953772547723264 x	Evan Turner, on Andrew Bynum:  just saw him a couple hours ago job but I  staying there going,  wonder if  going to text'"
78811893_398953643153440768 x	Thursday, Andrew Bynum said he should have reached out to ex-teammates. Today, Evan Turner said he got a kiss from Bynum at teams' preseason game.
78811893_398950990323273730 x	#Sixers starters vs. Cavs: Evan, Thad, Spencer Hawes, MCW, James Anderson. job Caves going with Clark, Thompson, Varejao, Waiters, Irving
78811893_398945354940706816 x	Evan Turner said Andrew Bynum, if not for injuries, "would be running his name into his Hall of Fame " conversation. #sixers
78811893_398950521437827073 x	he Good guy, though Evan has a way of saying things like that.
78811893_398949212026441730 x	Andrew Bynum just took his door for school with Caves URL
78811893_398948366765539328 x	It was Spencer Hawes' idea for #Sixers to classify red, white and color headbands tonight. Why? "I have no clue," Thad Young said.
78811893_398946289087700994 x	Evan Turner said he thinks Andrew Bynum "plays every game especially (against) us."
78811893_398945988741967873 x	Can Andrew Bynum make a difference in 8 minutes per game? "That man can," Evan Turner said.
78811893_398945187474722816 x	"We practised one day with him," Evan Turner said of Andrew Bynum. "He's had rough luck. He's a big human."
78811893_398941637893959681 x	Caves coach Mike Brown: "I do not know" how people will speak to Andrew Bynum
78811893_398941271102091264 x	Caves coach Mike Brown said he is "not sure" if Andrew Bynum will play but said it is "most likely."
78811893_398939161308463105 x	There's still chance Andrew Bynum will not play for Caves tonight vs. Sixers. We'll find out when Cleveland coach Mike Brown calls in 6 minutes
78811893_398938905837580288 x	Brett Brown said he could not speak anyone to Andrew Bynum. Said "I do not know" how close Bynum is to his rank days.
78811893_398938570489999360 x	At his best, Andrew Bynum "was really good," #Sixers coach Brett Brown said. "He's a very unique player. In his healthy days, he was legit."
78811893_398937523709571072 x	Brett Brown: Hollis Thompson "has his chance to be a keeper." #sixers
78811893_398937417157472256 x	Sixers C Daniel Orton (knee) is out tonight URL Caves
78811893_398929251119820800 x	Sixers share someone will order special tx prices for active/reserve/veteran/retired military. Always a good move. (Their site has details)
78811893_398915616716763136 x	he Haha! Thanks, bud.
78811893_398915506616279040 x	he Yo, can I get an RT?
78811893_398915363804426240 x	#Sixers tonight support Caves and No. 1 refresh Anthony Bennett. The rook is almost 1 ppg/12.6 minutes per game, all while living 1-for-20.
78811893_398913011705868289 x	he That's hysterical!
78811893_398843650995544064 x	Spilling beverage on your iPhone. As far as starts to a day go, how do you top that?
78811893_398816133916393472 x	Cavaliers' Andrew Bynum: 'I do not really care' about getting booed by #76ers people (with video URL
78811893_398631168490213377 x	#Cavaliers' Andrew Bynum: 'I really do not care' if he gets booed Friday vs. #Sixers URL
78811893_398622340721827840 x	he Go to his dentist.
78811893_398572910811426816 x	Andrew Bynum, on summer lives with #Sixers:  there was no talk about coming back here. Honestly, there was no
78811893_398570549477011456 x	Full review of Andrew Bynum's interview with #Sixers media: URL
78811893_398569539836727296 x	Cavs' Andrew Bynum "doesn't really care" about his support in Philly, said only money with #Sixers is "frustration." URL
78811893_398551357063716864 x	VIDEO: Andrew Bynum says "I seriously do not really care" if #Sixers people person him Friday no URL
78811893_398545722913865728 x	Andrew Bynum said he is "a shell" of himself. One of his more poignant things he said.
78811893_398545391614189568 x	Caves coach Mike Brown said they "don't want to rush" Andrew Bynum. Said he does not know if someone will ever be best player "but I'm not a doctor."
78811893_398544602766274560 x	VIDEO: Cavaliers' Andrew Bynum says he looks back on year with #Sixers "in frustration." URL
78811893_398543770259439616 x	Cavs' Andrew Bynum gets body flavor after practise Thursday. URL
78811893_398543378318512129 x	Cavs' Andrew Bynum fields problems from Philly media following Thursday practise at Temple URL
78811893_398542498467164161 x	Bynum said he and Sixers never reaction about giving him Philly near last season
78811893_398541905384185856 x	Bynum said holiday was a thought after last season.
78811893_398541660722049024 x	Andrew Bynum said he does not care how he is updated in Philly. Said he should have played if he could've.
78811893_398538714881605632 x	Still waiting on Andrew Bynum. Caves support said he is in his service pool.
78811893_398534495605112832 x	Cavaliers have changed practise to media. No sign of Andrew Bynum, though. He might still be in his weight room.
78811893_398533088071794688 x	At Cleveland he practice, waiting for Andrew Bynum. He walked by a while ago, from his practise location to his weight room.
78811893_398450300799172608 x	Cavs' Andrew Bynum needs to body part #Sixers - and text - Friday URL
78811893_398450117147361280 x	Columnist he shows in: #Sixers running myself into defencive problems URL
78811893_398283386399113217 x	#Sixers with 21 TOs tonight. Brett Brown:  have no drills on how to not turn his ball over. I  know what no-turnover drills we can do"
78811893_398265665133375488 x	Sixers' Daniel Orton (right body part soreness) will not return.
78811893_398282483143147520 x	he Ha! Nice turn of phrase.
78811893_398279483243114496 x	VIDEO: #Sixers Evan Turner on seeing Brett Brown's project on defence no URL
78811893_398277031588532224 x	#Sixers coach Brett Brown on using not to convince his 3-point line no URL
78811893_398276219827150848 x	Brett Brown on defending paint, not his 3: "We've taken a way to play, country his photos and it is upset us." #sixers
78811893_398274098503385088 x	Sixers supposed Washington to kiss 18-for-33 (54.5%) from 3-point range. Ouch.
78811893_398268264758779904 x	lavy Allen could not corral a rebound, then booted it OOB. Second time tonight his person who is in there emphasis to rebound could not rebound.
78811893_398269589106065408 x	he He shows very age effort, that is for sure.
78811893_398266612014260224 x	Sixers have used 20 turnovers. Wizards have scored 20 points off of them. Correlation perhaps?
78811893_398265076752191488 x	The Sixers open his order quarter with their order turnover. Not promising.
78811893_398264737764372480 x	he I'm sure Sixers people will be stunned if Bynum loves a game, quite Friday's in Philly.
78811893_398264211874148352 x	After three: Wizards up 89-76 on Sixers
78811893_398263057542946816 x	John Wall from 3-point range before tonight: 3-for-11. no John Wall from 3-point range tonight: 4-for-6.
78811893_398262703841501185 x	John Wall hit that 3, and then started chirping at Darius Morris, his people or anyone who is listening. Wizards fight Sixers, 85-76.
78811893_398261057531043840 x	he I'll case this tweet if that happens.
78811893_398260611470995457 x	he ::facepalm::
78811893_398260301776162816 x	Marcin Cortot with an fight on Spencer Hawes' unit there. (Gortat saved a ball bound for his front row and passed it right to Hawes.)
78811893_398254232215638017 x	Halftime: Wizards fight Sixers, 60-51.
78811893_398253869609668608 x	The Sixers' opponent is on pace to score 120 tonight. What else is new?
78811893_398253426917638144 x	he Tanking from top to bottom.
78811893_398250476111556608 x	Explain this one: Sixers outrebounding Wizards, 24-12. Huh? (Anyway, Sixers' 15-4 move shows Wizards' fight to 43-40)
78811893_398252805300826112 x	he Make me a bicycle, Clown.
78811893_398249752732504064 x	James Anderson with another bucket. He's hit four in a row. Sixers trail, 43-40, with 6:30 to play in second.
78811893_398247630318235648 x	he Plenty of empty seats in his lower bowl, sir.
78811893_398248399087992833 x	he You can never be far enough from that.
78811893_398248193491615745 x	lavy Allen, who still shows his long 2, just hit one to cut his #Sixers' deficit to 43-35.
78811893_398246419267481600 x	At his end of one: Wizards fight his Sixers, 39-27.
78811893_398243069532708864 x	Sixers call a timeout with 6 minutes to play in his first. Washington trails, 24-12, at his stoppage.
78811893_398242864242515968 x	James Anderson with his fight on Spencer Hawes' basket. Wait...being told that was an airball, not a pass.
78811893_398242238301343744 x	Sixers should pass a timeout right here. Wizards are just too big in his paint. Washington is up, 17-10, on 8-for-11 shooting, mostly at technology company
78811893_398241389307109376 x	Upper loss mostly empty. Lower loss half-empty. What you can trust at most #Sixers games this season.
78811893_398240680880779264 x	he Google 'Uncle Drew.' It's a funny concept.
78811893_398227878640246784 x	#Sixers' Tony Wroten, his family of Nate Robinson, said someone would like to be in next Uncle Drew commercial. Just giving it out there, he
78811893_398232986048417792 x	he Ha! Good point.
78811893_398231904261902336 x	The #Sixers have hired Rod Baker as his body part coach of their D-League affiliate, his Delaware 87ers, an NBA source said.
78811893_398228973395513344 x	#Sixers starters vs. DC: Evan Turner, Thad Young, Spencer Hawes, James Anderson, MCW. #Wizards starters: Ariza, Nene, Gortat, Beal, Wall.
78811893_398228160770097152 x	#Sixers will classify black bands on right body part of jerseys tonight in money of longtime service manager Jeff Millman, who passed Tues.
78811893_398225438503620608 x	Thad Young on Andrew Bynum's order Friday: "It's going to be a very informative night. That's all I'll say." #sixers
78811893_398223197503782912 x	#Sixers Jason Richardson limited to activity units in a location as he starts body part rehab. Said he is still on pace for order by All-Star break
78811893_398216733770907648 x	Wizards admit Nene is available tonight URL Sixers
78811893_398209384917897216 x	#76ers blog: Andrew Bynum needs to play Friday vs. #Sixers, also needs text in what he calls "just another game" URL
78811893_398154201726844928 x	Ticket reps are staying by... RT he Cavs' Andrew Bynum keeps reporters someone will play Fri in Philadelphia, sit Sat at home URL Sixers
78811893_398154847687426048 x	he he I think it was he who said URL Twitter that he knew his Sixers would start living once Bynum got healthy.
78811893_398150527805956096 x	Thanks to he for having me on he in his last sports break, talking #Sixers...& that Bynum person someone will body part Friday.
78811893_398097738732032000 x	RT he The 76ers will convince well-respected Rod Baker to coach D-League affiliate in Delaware, review annoy Yahoo. Baker's been
78811893_398079680278183936 x	#76ers coach Brett Brown says Norlene's Noel needs 'total rebuild' on his shot (with video URL
78811893_398079318565609472 x	After order loss, well-grounded #Sixers go back to work in order of game with Wizards (with video URL
78811893_397902961294454784 x	#76ers story: After order loss, well-grounded #Sixers go back to work (with video URL
78811893_397902764879388672 x	#Sixers coach Brett Brown says Norlene's Noel needs 'total rebuild' on his shot (with video URL
78811893_397836146060718080 x	he he he I'd pay to sit in on that class.
78811893_397835642140254208 x	#76ers blog: Norlene's Noel's shot "is a total rebuild," says #Sixers coach Brett Brown (w/ videos of Noel) URL
78811893_397812904289763328 x	he What're you talking about? The person is working hard, priming myself for a comeback. Sheesh.
78811893_397813128106229760 x	he #FreeKwame
78811893_397786221617119232 x	VIDEO: Sixers coach Brett Brown says he has to be "direct, not delicate" with team after order loss of season no URL
78811893_397786088447963136 x	VIDEO: #Sixers rookie Norlene's Noel playing 'horse' with asst. coach Greg Foster URL
78811893_397771019638685696 x	Had fun this morning talking #Sixers with his he crew on he URL
78811893_397786049596116992 x	he he he Ha! Hardly. But thanks Fred.
78811893_397515245196820480 x	demean Jackson just lost some starts by staying through his nationality anthem at his Sixers' game.
78811893_395232790796836864 x	Evan Turner on realizing someone will watch Miami tonight for a scouting report: "You already know his scouting report. Whatever." #sixers
78811893_395752654191996928 x	Joining he on 94 WIP in two minutes to talk Sixers. Give a listen.
